Location,Intercept,slope,Year
二林,1.558250362,0.8136100265,2017
三義,3.03804974,0.782638823,2017
土城,8.918875382,0.6465450626,2017
士林,6.823729766,0.7051495605,2017
大里,0.5072483504,0.7732698147,2017
大園,0.6307414141,0.8379082093,2017
大寮,1.111436808,0.7540803526,2017
小港,-0.5679771223,0.8008118616,2017
中山,4.863319836,0.6536716564,2017
中壢,-1.981604157,0.814855365,2017
仁武,0.01266949592,0.799943756,2017
斗六,0.225083017,0.7906103534,2017
冬山,-2.458996907,0.8972132839,2017
古亭,9.579811687,0.6090708048,2017
左營,-0.8475937402,0.8273503441,2017
平鎮,1.933247898,0.7938678152,2017
永和,7.705694701,0.6265557196,2017
安南,-1.314300266,0.8506913151,2017
朴子,0.01581834933,0.8427876324,2017
汐止,7.171556874,0.6630968174,2017
竹山,-0.08377154844,0.7834662035,2017
竹東,3.290569089,0.7626537587,2017
西屯,0.1980322001,0.8194438816,2017
沙鹿,0.020644144,0.8340409373,2017
宜蘭,-2.119745749,0.9126743913,2017
忠明,1.024652722,0.7849823535,2017
松山,7.687148839,0.630488118,2017
板橋,7.022482986,0.6578695637,2017
林口,4.523007529,0.755003813,2017
林園,1.944221418,0.7770156759,2017
花蓮,-0.9624232308,0.8933208363,2017
金門,0.04588838327,0.8712493123,2017
前金,-0.3028949243,0.8204039699,2017
前鎮,-0.7292096634,0.8167809894,2017
南投,0.3537690612,0.7719386763,2017
屏東,3.801106555,0.7193424982,2017
恆春,2.140539319,0.868881894,2017
美濃,2.858534328,0.7576146881,2017
苗栗,1.125826226,0.7983780672,2017
埔里,3.583776354,0.7371207132,2017
桃園,4.77591755,0.7275017486,2017
馬公,-1.282451043,0.9349418697,2017
馬祖,-0.5760484454,0.905322538,2017
基隆,4.691523725,0.763569356,2017
崙背,0.1712164084,0.8327256117,2017
淡水,4.276676672,0.7652812731,2017
麥寮,0.8184003099,0.8401166464,2017
善化,-0.7930179865,0.8212036869,2017
富貴角,5.431671716,0.7936200166,2017
復興,-0.5731294919,0.8033379775,2017
湖口,-0.3018646101,0.8700583157,2017
菜寮,6.805380496,0.684986683,2017
陽明,4.457204359,0.8003807991,2017
新竹,0.3908686157,0.8353837452,2017
新店,10.51179606,0.6151351683,2017
新莊,5.879532853,0.7059805965,2017
新港,0.421005019,0.8113454455,2017
新營,-1.742085572,0.8453067738,2017
楠梓,-0.1154626937,0.7994237435,2017
萬里,5.345286218,0.7806906228,2017
萬華,5.828892178,0.6317076423,2017
嘉義,-1.489590616,0.8146745746,2017
彰化,1.014456814,0.7925796284,2017
臺西,2.354510187,0.8177902718,2017
臺東,-1.155645266,0.9356865526,2017
臺南,-1.499265169,0.853011132,2017
鳳山,1.437737176,0.7516818907,2017
潮州,2.264309286,0.7626828793,2017
線西,0.9338852875,0.8309073755,2017
橋頭,1.119211152,0.7845545221,2017
頭份,0.8419391956,0.8245967275,2017
龍潭,5.281405392,0.7281248196,2017
豐原,3.954346134,0.7474323366,2017
關山,-2.031396737,0.9555305724,2017
觀音,0.9191761078,0.8501692741,2017
