,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
227759,竹苗空品區,三義,2018-01-01 00:00:00,0,39.0,39.6,34.0305471308,-4.969452869199998,TT_DOWN
227760,竹苗空品區,三義,2018-01-01 01:00:00,1,39.0,40.1,34.4218665423,-4.578133457699998,TT_DOWN
227761,竹苗空品區,三義,2018-01-01 02:00:00,2,40.0,39.5,33.9522832485,-6.047716751499998,TT_DOWN
227762,竹苗空品區,三義,2018-01-01 03:00:00,3,40.0,39.5,33.9522832485,-6.047716751499998,TT_DOWN
227763,竹苗空品區,三義,2018-01-01 04:00:00,4,40.0,39.6,34.0305471308,-5.969452869199998,TT_DOWN
227764,竹苗空品區,三義,2018-01-01 05:00:00,5,40.0,39.0,33.560963837,-6.439036162999997,TT_DOWN
227765,竹苗空品區,三義,2018-01-01 06:00:00,6,39.0,38.7,33.3261721901,-5.673827809899997,TT_DOWN
227766,竹苗空品區,三義,2018-01-01 07:00:00,7,39.0,37.0,31.995686190999997,-7.004313809000003,TT_DOWN
227767,竹苗空品區,三義,2018-01-01 08:00:00,8,39.0,36.7,31.760894544100005,-7.239105455899995,TT_DOWN
227768,竹苗空品區,三義,2018-01-01 09:00:00,9,38.0,37.8,32.6217972494,-5.378202750600003,TT_DOWN
227769,竹苗空品區,三義,2018-01-01 10:00:00,10,38.0,39.0,33.560963837,-4.439036162999997,TT_DOWN
227770,竹苗空品區,三義,2018-01-01 11:00:00,11,39.0,46.3,39.2742272449,0.27422724489999695,TT_DOWN
227771,竹苗空品區,三義,2018-01-01 12:00:00,12,41.0,53.9,45.2222822997,4.222282299699998,TT_DOWN
227772,竹苗空品區,三義,2018-01-01 13:00:00,13,44.0,60.7,50.5442262961,6.5442262961,TT_DOWN
227773,竹苗空品區,三義,2018-01-01 14:00:00,14,47.0,63.6,52.8138788828,5.813878882799997,TT_DOWN
227774,竹苗空品區,三義,2018-01-01 15:00:00,15,50.0,59.7,49.7615874731,-0.23841252689999948,TT_DOWN
