,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
52560,北部空品區,中壢,2018-01-01 00:00:00,0,20.0,35.3,26.782790227499998,6.782790227499998,TT_DOWN
52561,北部空品區,中壢,2018-01-01 01:00:00,1,22.0,33.8,25.56050718,3.5605071799999983,TT_DOWN
52562,北部空品區,中壢,2018-01-01 02:00:00,2,25.0,36.3,27.597645592499997,2.5976455924999975,TT_DOWN
52563,北部空品區,中壢,2018-01-01 03:00:00,3,28.0,40.2,30.775581516000003,2.7755815160000026,TT_DOWN
52564,北部空品區,中壢,2018-01-01 04:00:00,4,31.0,40.1,30.6940959795,-0.30590402050000165,TT_DOWN
52565,北部空品區,中壢,2018-01-01 05:00:00,5,34.0,36.5,27.7606166655,-6.239383334500001,TT_DOWN
52566,北部空品區,中壢,2018-01-01 06:00:00,6,35.0,30.8,23.115941085,-11.884058915,TT_DOWN
52567,北部空品區,中壢,2018-01-01 07:00:00,7,35.0,30.0,22.464056793,-12.535943206999999,TT_DOWN
52568,北部空品區,中壢,2018-01-01 08:00:00,8,35.0,31.7,23.8493109135,-11.150689086500002,TT_DOWN
52569,北部空品區,中壢,2018-01-01 09:00:00,9,35.0,31.0,23.278912158,-11.721087842,TT_DOWN
52570,北部空品區,中壢,2018-01-01 10:00:00,10,34.0,31.4,23.604854304,-10.395145696,TT_DOWN
52571,北部空品區,中壢,2018-01-01 11:00:00,11,33.0,31.6,23.767825377,-9.232174622999999,TT_DOWN
52572,北部空品區,中壢,2018-01-01 12:00:00,12,32.0,32.0,24.093767523,-7.906232477,TT_DOWN
52573,北部空品區,中壢,2018-01-01 13:00:00,13,31.0,30.8,23.115941085,-7.884058915000001,TT_DOWN
52574,北部空品區,中壢,2018-01-01 14:00:00,14,31.0,26.8,19.856519625,-11.143480375,TT_DOWN
52575,北部空品區,中壢,2018-01-01 15:00:00,15,30.0,26.1,19.286120869500003,-10.713879130499997,TT_DOWN
52576,北部空品區,中壢,2018-01-01 16:00:00,16,29.0,22.6,16.434127092,-12.565872908,TT_DOWN
52577,北部空品區,中壢,2018-01-01 17:00:00,17,28.0,22.0,15.945213873,-12.054786127,TT_DOWN
52578,北部空品區,中壢,2018-01-01 18:00:00,18,26.0,19.9,14.2340176065,-11.7659823935,TT_DOWN
52579,北部空品區,中壢,2018-01-01 19:00:00,19,25.0,21.3,15.374815117500003,-9.625184882499997,TT_DOWN
52580,北部空品區,中壢,2018-01-01 20:00:00,20,24.0,23.5,17.1674969205,-6.8325030795,TT_DOWN
52581,北部空品區,中壢,2018-01-01 21:00:00,21,23.0,22.3,16.189670482500002,-6.810329517499998,TT_DOWN
