,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
43800,北部空品區,中山,2018-01-01 00:00:00,0,27.0,32.3,25.976914337719997,-1.0230856622800033,TT_DOWN
43801,北部空品區,中山,2018-01-01 01:00:00,1,29.0,32.9,26.36911733156,-2.6308826684400017,TT_DOWN
43802,北部空品區,中山,2018-01-01 02:00:00,2,30.0,36.9,28.98380395716,-1.0161960428400008,TT_DOWN
43803,北部空品區,中山,2018-01-01 03:00:00,3,32.0,39.9,30.94481892636,-1.05518107364,TT_DOWN
43804,北部空品區,中山,2018-01-01 04:00:00,4,34.0,38.9,30.29114726996,-3.7088527300400003,TT_DOWN
43805,北部空品區,中山,2018-01-01 05:00:00,5,35.0,37.4,29.310639785360003,-5.689360214639997,TT_DOWN
43806,北部空品區,中山,2018-01-01 06:00:00,6,36.0,33.5,26.7613203254,-9.2386796746,TT_DOWN
43807,北部空品區,中山,2018-01-01 07:00:00,7,35.0,30.2,24.60420385928,-10.395796140720002,TT_DOWN
43808,北部空品區,中山,2018-01-01 08:00:00,8,35.0,27.9,23.100759049559997,-11.899240950440003,TT_DOWN
43809,北部空品區,中山,2018-01-01 09:00:00,9,35.0,31.7,25.584711343880002,-9.415288656119998,TT_DOWN
43810,北部空品區,中山,2018-01-01 10:00:00,10,34.0,35.3,27.937929306919997,-6.062070693080003,TT_DOWN
43811,北部空品區,中山,2018-01-01 11:00:00,11,34.0,36.5,28.7223352946,-5.277664705399999,TT_DOWN
43812,北部空品區,中山,2018-01-01 12:00:00,12,34.0,37.7,29.506741282280004,-4.493258717719996,TT_DOWN
43813,北部空品區,中山,2018-01-01 13:00:00,13,34.0,37.5,29.376006951,-4.623993048999999,TT_DOWN
43814,北部空品區,中山,2018-01-01 14:00:00,14,34.0,33.5,26.7613203254,-7.2386796746,TT_DOWN
43815,北部空品區,中山,2018-01-01 15:00:00,15,34.0,32.6,26.173015834640005,-7.826984165359995,TT_DOWN
43816,北部空品區,中山,2018-01-01 16:00:00,16,34.0,28.5,23.4929620434,-10.507037956600001,TT_DOWN
43817,北部空品區,中山,2018-01-01 17:00:00,17,33.0,26.0,21.8587829024,-11.141217097599998,TT_DOWN
43818,北部空品區,中山,2018-01-01 18:00:00,18,32.0,25.6,21.597314239840003,-10.402685760159997,TT_DOWN
43819,北部空品區,中山,2018-01-01 19:00:00,19,31.0,27.3,22.708556055720003,-8.291443944279997,TT_DOWN
43820,北部空品區,中山,2018-01-01 20:00:00,20,30.0,25.0,21.205111246,-8.794888753999999,TT_DOWN
43821,北部空品區,中山,2018-01-01 21:00:00,21,27.0,20.9,18.525057454760002,-8.474942545239998,TT_DOWN
43822,北部空品區,中山,2018-01-01 22:00:00,22,26.0,23.1,19.963135098840002,-6.036864901159998,TT_DOWN
43823,北部空品區,中山,2018-01-01 23:00:00,23,26.0,28.6,23.558329209040004,-2.4416707909599964,TT_DOWN
43824,北部空品區,中山,2018-01-02 00:00:00,0,27.0,35.9,28.33013230076,1.330132300759999,TT_DOWN
43825,北部空品區,中山,2018-01-02 01:00:00,1,28.0,39.5,30.6833502638,2.6833502638000013,TT_DOWN
43826,北部空品區,中山,2018-01-02 02:00:00,2,30.0,40.0,31.010186092000005,1.010186092000005,TT_DOWN
43827,北部空品區,中山,2018-01-02 03:00:00,3,32.0,40.5,31.3370219202,-0.6629780797999985,TT_DOWN
43828,北部空品區,中山,2018-01-02 04:00:00,4,34.0,39.7,30.814084595080004,-3.185915404919996,TT_DOWN
43829,北部空品區,中山,2018-01-02 05:00:00,5,35.0,32.8,26.30375016592,-8.69624983408,TT_DOWN
43830,北部空品區,中山,2018-01-02 06:00:00,6,35.0,21.6,18.982627614240002,-16.017372385759998,TT_DOWN
43831,北部空品區,中山,2018-01-02 07:00:00,7,33.0,13.2,13.49178570048,-19.50821429952,TT_DOWN
43832,北部空品區,中山,2018-01-02 08:00:00,8,30.0,15.2,14.79912901328,-15.20087098672,TT_DOWN
43833,北部空品區,中山,2018-01-02 09:00:00,9,27.0,16.5,15.648902166600001,-11.351097833399999,TT_DOWN
43834,北部空品區,中山,2018-01-02 10:00:00,10,25.0,24.2,20.68217392088,-4.31782607912,TT_DOWN
43835,北部空品區,中山,2018-01-02 11:00:00,11,24.0,29.0,23.819797871600002,-0.18020212839999772,TT_DOWN
43836,北部空品區,中山,2018-01-02 12:00:00,12,24.0,38.8,30.225780104320002,6.225780104320002,TT_DOWN
43837,北部空品區,中山,2018-01-02 13:00:00,13,25.0,37.8,29.57210844792,4.572108447920002,TT_DOWN
43838,北部空品區,中山,2018-01-02 14:00:00,14,26.0,32.0,25.780812840800003,-0.21918715919999698,TT_DOWN
43839,北部空品區,中山,2018-01-02 15:00:00,15,28.0,31.7,25.584711343880002,-2.4152886561199978,TT_DOWN
43840,北部空品區,中山,2018-01-02 16:00:00,16,31.0,34.7,27.545726313080003,-3.454273686919997,TT_DOWN
43841,北部空品區,中山,2018-01-02 17:00:00,17,30.0,14.0,14.0147230256,-15.9852769744,TT_DOWN
43842,北部空品區,中山,2018-01-02 18:00:00,18,28.0,9.6,11.13856773744,-16.86143226256,TT_DOWN
43843,北部空品區,中山,2018-01-02 19:00:00,19,26.0,9.9,11.33466923436,-14.66533076564,TT_DOWN
43844,北部空品區,中山,2018-01-02 20:00:00,20,23.0,16.3,15.518167835320002,-7.481832164679998,TT_DOWN
43845,北部空品區,中山,2018-01-02 21:00:00,21,21.0,18.6,17.02161264504,-3.978387354959999,TT_DOWN
43846,北部空品區,中山,2018-01-02 22:00:00,22,20.0,22.1,19.309463442440002,-0.690536557559998,TT_DOWN
43847,北部空品區,中山,2018-01-02 23:00:00,23,19.0,25.6,21.597314239840003,2.597314239840003,TT_DOWN
43848,北部空品區,中山,2018-01-03 00:00:00,0,19.0,32.5,26.107648669,7.107648669,TT_DOWN
43849,北部空品區,中山,2018-01-03 01:00:00,1,21.0,33.6,26.826687491040005,5.826687491040005,TT_DOWN
43850,北部空品區,中山,2018-01-03 02:00:00,2,24.0,33.8,26.95742182232,2.9574218223200006,TT_DOWN
43851,北部空品區,中山,2018-01-03 03:00:00,3,27.0,36.9,28.98380395716,1.9838039571599992,TT_DOWN
43852,北部空品區,中山,2018-01-03 04:00:00,4,30.0,36.1,28.460866632040002,-1.539133367959998,TT_DOWN
43853,北部空品區,中山,2018-01-03 05:00:00,5,32.0,32.0,25.780812840800003,-6.219187159199997,TT_DOWN
43854,北部空品區,中山,2018-01-03 06:00:00,6,31.0,18.0,16.6294096512,-14.3705903488,TT_DOWN
43855,北部空品區,中山,2018-01-03 07:00:00,7,29.0,9.1,10.81173190924,-18.188268090759998,TT_DOWN
43856,北部空品區,中山,2018-01-03 08:00:00,8,26.0,12.4,12.96884837536,-13.03115162464,TT_DOWN
43857,北部空品區,中山,2018-01-03 09:00:00,9,24.0,16.9,15.91037082916,-8.08962917084,TT_DOWN
43858,北部空品區,中山,2018-01-03 10:00:00,10,23.0,19.6,17.67528430144,-5.324715698559999,TT_DOWN
43859,北部空品區,中山,2018-01-03 11:00:00,11,22.0,31.2,25.25787551568,3.2578755156799986,TT_DOWN
