,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
280319,中部空品區,二林,2018-01-01 00:00:00,0,31.0,31.4,27.105605194099997,-3.894394805900003,TT_DOWN
280320,中部空品區,二林,2018-01-01 01:00:00,1,30.0,31.7,27.34968820205,-2.6503117979499997,TT_DOWN
280321,中部空品區,二林,2018-01-01 02:00:00,2,31.0,32.9,28.32602023385,-2.6739797661500013,TT_DOWN
280322,中部空品區,二林,2018-01-01 03:00:00,3,31.0,32.4,27.919215220599998,-3.080784779400002,TT_DOWN
280323,中部空品區,二林,2018-01-01 04:00:00,4,32.0,32.1,27.675132212650002,-4.324867787349998,TT_DOWN
280324,中部空品區,二林,2018-01-01 05:00:00,5,32.0,31.7,27.34968820205,-4.65031179795,TT_DOWN
280325,中部空品區,二林,2018-01-01 06:00:00,6,32.0,30.2,26.1292731623,-5.870726837700001,TT_DOWN
280326,中部空品區,二林,2018-01-01 07:00:00,7,32.0,31.3,27.024244191450002,-4.975755808549998,TT_DOWN
280327,中部空品區,二林,2018-01-01 08:00:00,8,32.0,34.1,29.30235226565,-2.6976477343499994,TT_DOWN
280328,中部空品區,二林,2018-01-01 09:00:00,9,32.0,34.9,29.953240286849997,-2.046759713150003,TT_DOWN
280329,中部空品區,二林,2018-01-01 10:00:00,10,32.0,32.5,28.00057622325,-3.9994237767499996,TT_DOWN
280330,中部空品區,二林,2018-01-01 11:00:00,11,33.0,40.7,34.672178440550006,1.672178440550006,TT_DOWN
280331,中部空品區,二林,2018-01-01 12:00:00,12,35.0,47.3,40.042004615450004,5.042004615450004,TT_DOWN
280332,中部空品區,二林,2018-01-01 13:00:00,13,38.0,55.4,46.632245830100004,8.632245830100004,TT_DOWN
280333,中部空品區,二林,2018-01-01 14:00:00,14,41.0,53.7,45.249108785050005,4.249108785050005,TT_DOWN
280334,中部空品區,二林,2018-01-01 15:00:00,15,44.0,50.0,42.238751687000004,-1.7612483129999958,TT_DOWN
280335,中部空品區,二林,2018-01-01 16:00:00,16,45.0,46.0,38.98431158100001,-6.015688418999993,TT_DOWN
280336,中部空品區,二林,2018-01-01 17:00:00,17,46.0,42.1,35.81123247765,-10.188767522349998,TT_DOWN
280337,中部空品區,二林,2018-01-01 18:00:00,18,47.0,37.2,31.824543347800002,-15.175456652199998,TT_DOWN
280338,中部空品區,二林,2018-01-01 19:00:00,19,46.0,33.5,28.81418624975,-17.18581375025,TT_DOWN
280339,中部空品區,二林,2018-01-01 20:00:00,20,43.0,28.9,25.071580127849998,-17.928419872150002,TT_DOWN
280340,中部空品區,二林,2018-01-01 21:00:00,21,39.0,20.5,18.23725590525,-20.76274409475,TT_DOWN
280341,中部空品區,二林,2018-01-01 22:00:00,22,35.0,19.9,17.74908988935,-17.25091011065,TT_DOWN
280342,中部空品區,二林,2018-01-01 23:00:00,23,31.0,17.9,16.121869836349997,-14.878130163650003,TT_DOWN
280343,中部空品區,二林,2018-01-02 00:00:00,0,27.0,15.0,13.7624007595,-13.2375992405,TT_DOWN
280344,中部空品區,二林,2018-01-02 01:00:00,1,23.0,10.5,10.10115564025,-12.89884435975,TT_DOWN
280345,中部空品區,二林,2018-01-02 02:00:00,2,19.0,6.7,7.00943753955,-11.99056246045,TT_DOWN
280346,中部空品區,二林,2018-01-02 03:00:00,3,16.0,4.7,5.38221748655,-10.617782513449999,TT_DOWN
280347,中部空品區,二林,2018-01-02 04:00:00,4,12.0,3.6,4.4872464573999995,-7.5127535426000005,TT_DOWN
280348,中部空品區,二林,2018-01-02 05:00:00,5,10.0,2.4,3.5109144255999998,-6.489085574400001,TT_DOWN
280349,中部空品區,二林,2018-01-02 06:00:00,6,8.0,2.0,3.185470415,-4.814529585,TT_DOWN
280350,中部空品區,二林,2018-01-02 07:00:00,7,6.0,3.4,4.3245244521,-1.6754755478999996,TT_DOWN
280351,中部空品區,二林,2018-01-02 08:00:00,8,6.0,11.9,11.240209677350002,5.240209677350002,TT_DOWN
280352,中部空品區,二林,2018-01-02 09:00:00,9,7.0,22.5,19.86447595825,12.86447595825,TT_DOWN
280353,中部空品區,二林,2018-01-02 10:00:00,10,10.0,28.1,24.42069210665,14.420692106650002,TT_DOWN
280354,中部空品區,二林,2018-01-02 11:00:00,11,14.0,38.7,33.044958387550004,19.044958387550004,TT_DOWN
280355,中部空品區,二林,2018-01-02 12:00:00,12,19.0,44.0,37.357091528000005,18.357091528000005,TT_DOWN
280356,中部空品區,二林,2018-01-02 13:00:00,13,25.0,49.9,42.157390684350005,17.157390684350005,TT_DOWN
280357,中部空品區,二林,2018-01-02 14:00:00,14,31.0,48.2,40.77425363930001,9.774253639300007,TT_DOWN
280358,中部空品區,二林,2018-01-02 15:00:00,15,36.0,47.3,40.042004615450004,4.042004615450004,TT_DOWN
280359,中部空品區,二林,2018-01-02 16:00:00,16,40.0,43.4,36.868925512100006,-3.131074487899994,TT_DOWN
280360,中部空品區,二林,2018-01-02 17:00:00,17,42.0,37.5,32.06862635575,-9.931373644250002,TT_DOWN
280361,中部空品區,二林,2018-01-02 18:00:00,18,43.0,32.2,27.7564932153,-15.2435067847,TT_DOWN
280362,中部空品區,二林,2018-01-02 19:00:00,19,41.0,24.5,21.49169601125,-19.50830398875,TT_DOWN
280363,中部空品區,二林,2018-01-02 20:00:00,20,37.0,12.9,12.05381970385,-24.94618029615,TT_DOWN
280364,中部空品區,二林,2018-01-02 21:00:00,21,33.0,15.5,14.16920577275,-18.83079422725,TT_DOWN
280365,中部空品區,二林,2018-01-02 22:00:00,22,29.0,16.3,14.82009379395,-14.17990620605,TT_DOWN
280366,中部空品區,二林,2018-01-02 23:00:00,23,24.0,9.6,9.3689066164,-14.6310933836,TT_DOWN
280367,中部空品區,二林,2018-01-03 00:00:00,0,20.0,9.1,8.96210160315,-11.03789839685,TT_DOWN
280368,中部空品區,二林,2018-01-03 01:00:00,1,16.0,11.5,10.91476566675,-5.08523433325,TT_DOWN
280369,中部空品區,二林,2018-01-03 02:00:00,2,13.0,8.4,8.3925745846,-4.6074254154,TT_DOWN
280370,中部空品區,二林,2018-01-03 03:00:00,3,11.0,7.6,7.7416865634,-3.2583134366,TT_DOWN
280371,中部空品區,二林,2018-01-03 04:00:00,4,10.0,2.9,3.91771943885,-6.08228056115,TT_DOWN
280372,中部空品區,二林,2018-01-03 05:00:00,5,8.0,2.5,3.59227542825,-4.40772457175,TT_DOWN
280373,中部空品區,二林,2018-01-03 06:00:00,6,7.0,7.5,7.6603255607500005,0.6603255607500005,TT_DOWN
280374,中部空品區,二林,2018-01-03 07:00:00,7,8.0,14.1,13.030151735650001,5.030151735650001,TT_DOWN
280375,中部空品區,二林,2018-01-03 08:00:00,8,8.0,11.7,11.077487672050001,3.077487672050001,TT_DOWN
280376,中部空品區,二林,2018-01-03 09:00:00,9,9.0,20.2,17.9931728973,8.9931728973,TT_DOWN
280377,中部空品區,二林,2018-01-03 10:00:00,10,12.0,28.9,25.071580127849998,13.071580127849998,TT_DOWN
280378,中部空品區,二林,2018-01-03 11:00:00,11,16.0,36.6,31.3363773319,15.3363773319,TT_DOWN
280379,中部空品區,二林,2018-01-03 12:00:00,12,22.0,52.6,44.354137755900005,22.354137755900005,TT_DOWN
280380,中部空品區,二林,2018-01-03 13:00:00,13,29.0,62.2,52.16479401030001,23.164794010300007,TT_DOWN
280381,中部空品區,二林,2018-01-03 14:00:00,14,36.0,57.7,48.50354889105001,12.50354889105001,TT_DOWN
280382,中部空品區,二林,2018-01-03 15:00:00,15,41.0,57.2,48.09674387780001,7.096743877800009,TT_DOWN
280383,中部空品區,二林,2018-01-03 16:00:00,16,46.0,56.2,47.28313385130001,1.2831338513000077,TT_DOWN
280384,中部空品區,二林,2018-01-03 17:00:00,17,51.0,54.5,45.89999680625,-5.100003193749998,TT_DOWN
280385,中部空品區,二林,2018-01-03 18:00:00,18,52.0,36.2,31.0109333213,-20.9890666787,TT_DOWN
280386,中部空品區,二林,2018-01-03 19:00:00,19,50.0,22.6,19.9458369609,-30.0541630391,TT_DOWN
280387,中部空品區,二林,2018-01-03 20:00:00,20,45.0,15.8,14.4132887807,-30.5867112193,TT_DOWN
280388,中部空品區,二林,2018-01-03 21:00:00,21,39.0,10.6,10.182516642900001,-28.8174833571,TT_DOWN
280389,中部空品區,二林,2018-01-03 22:00:00,22,33.0,14.8,13.5996787542,-19.4003212458,TT_DOWN
