,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
490431,高屏空品區,仁武,2018-01-01 00:00:00,0,31.0,14.8,11.85183708472,-19.14816291528,TT_DOWN
490432,高屏空品區,仁武,2018-01-01 01:00:00,1,25.0,11.6,9.29201706552,-15.70798293448,TT_DOWN
490433,高屏空品區,仁武,2018-01-01 02:00:00,2,20.0,10.2,8.17209580712,-11.82790419288,TT_DOWN
490434,高屏空品區,仁武,2018-01-01 03:00:00,3,17.0,10.9,8.73205643632,-8.26794356368,TT_DOWN
490435,高屏空品區,仁武,2018-01-01 04:00:00,4,14.0,8.4,6.73219704632,-7.26780295368,TT_DOWN
490436,高屏空品區,仁武,2018-01-01 05:00:00,5,12.0,8.0,6.412219543919999,-5.587780456080001,TT_DOWN
490437,高屏空品區,仁武,2018-01-01 06:00:00,6,11.0,8.3,6.6522026707199995,-4.3477973292800005,TT_DOWN
490438,高屏空品區,仁武,2018-01-01 07:00:00,7,10.0,7.5,6.0122476659199995,-3.9877523340800005,TT_DOWN
490439,高屏空品區,仁武,2018-01-01 08:00:00,8,10.0,17.2,13.771702099119999,3.7717020991199988,TT_DOWN
490440,高屏空品區,仁武,2018-01-01 09:00:00,9,12.0,26.9,21.531156532319997,9.531156532319997,TT_DOWN
490441,高屏空品區,仁武,2018-01-01 10:00:00,10,16.0,42.2,33.77029599912,17.770295999120002,TT_DOWN
490442,高屏空品區,仁武,2018-01-01 11:00:00,11,23.0,63.0,50.40912612392,27.409126123919997,TT_DOWN
490443,高屏空品區,仁武,2018-01-01 12:00:00,12,31.0,73.3,58.64854681071999,27.648546810719992,TT_DOWN
490444,高屏空品區,仁武,2018-01-01 13:00:00,13,40.0,84.7,67.76790562912,27.767905629119994,TT_DOWN
490445,高屏空品區,仁武,2018-01-01 14:00:00,14,50.0,86.1,68.88782688751998,18.887826887519978,TT_DOWN
490446,高屏空品區,仁武,2018-01-01 15:00:00,15,59.0,77.6,62.08830496151999,3.088304961519988,TT_DOWN
490447,高屏空品區,仁武,2018-01-01 16:00:00,16,66.0,72.8,58.24857493271999,-7.75142506728001,TT_DOWN
490448,高屏空品區,仁武,2018-01-01 17:00:00,17,70.0,58.6,46.88937359752,-23.11062640248,TT_DOWN
490449,高屏空品區,仁武,2018-01-01 18:00:00,18,70.0,43.9,35.13020038432,-34.86979961568,TT_DOWN
490450,高屏空品區,仁武,2018-01-01 19:00:00,19,67.0,39.0,31.21047597992,-35.78952402008,TT_DOWN
490451,高屏空品區,仁武,2018-01-01 20:00:00,20,62.0,34.3,27.450740326719995,-34.549259673280005,TT_DOWN
490452,高屏空品區,仁武,2018-01-01 21:00:00,21,55.0,27.8,22.25110591272,-32.74889408728,TT_DOWN
490453,高屏空品區,仁武,2018-01-01 22:00:00,22,47.0,25.2,20.171252147119997,-26.828747852880003,TT_DOWN
490454,高屏空品區,仁武,2018-01-01 23:00:00,23,40.0,20.7,16.571505245119997,-23.428494754880003,TT_DOWN
490455,高屏空品區,仁武,2018-01-02 00:00:00,0,34.0,19.3,15.45158398672,-18.54841601328,TT_DOWN
490456,高屏空品區,仁武,2018-01-02 01:00:00,1,28.0,13.2,10.57192707512,-17.42807292488,TT_DOWN
490457,高屏空品區,仁武,2018-01-02 02:00:00,2,24.0,13.2,10.57192707512,-13.42807292488,TT_DOWN
490458,高屏空品區,仁武,2018-01-02 03:00:00,3,20.0,9.5,7.612135177919999,-12.387864822080001,TT_DOWN
490459,高屏空品區,仁武,2018-01-02 04:00:00,4,17.0,10.7,8.572067685119999,-8.427932314880001,TT_DOWN
490460,高屏空品區,仁武,2018-01-02 05:00:00,5,15.0,7.0,5.612275787919999,-9.387724212080002,TT_DOWN
490461,高屏空品區,仁武,2018-01-02 06:00:00,6,13.0,8.7,6.972180173119998,-6.027819826880002,TT_DOWN
