,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
516711,高屏空品區,前金,2018-01-01 00:00:00,0,29.0,13.7,10.936639463329998,-18.063360536670004,TT_DOWN
516712,高屏空品區,前金,2018-01-01 01:00:00,1,23.0,11.6,9.213791126539999,-13.786208873460001,TT_DOWN
516713,高屏空品區,前金,2018-01-01 02:00:00,2,19.0,11.9,9.45991231751,-9.54008768249,TT_DOWN
516714,高屏空品區,前金,2018-01-01 03:00:00,3,15.0,6.8,5.275852071019999,-9.72414792898,TT_DOWN
516715,高屏空品區,前金,2018-01-01 04:00:00,4,13.0,8.0,6.2603368348999995,-6.7396631651000005,TT_DOWN
516716,高屏空品區,前金,2018-01-01 05:00:00,5,12.0,9.7,7.6550235837299985,-4.3449764162700015,TT_DOWN
516717,高屏空品區,前金,2018-01-01 06:00:00,6,11.0,8.1,6.34237723189,-4.65762276811,TT_DOWN
516718,高屏空品區,前金,2018-01-01 07:00:00,7,10.0,9.9,7.8191043777099996,-2.1808956222900004,TT_DOWN
516719,高屏空品區,前金,2018-01-01 08:00:00,8,10.0,15.7,12.577447403129998,2.577447403129998,TT_DOWN
516720,高屏空品區,前金,2018-01-01 09:00:00,9,12.0,25.0,20.2072043232,8.2072043232,TT_DOWN
516721,高屏空品區,前金,2018-01-01 10:00:00,10,16.0,40.8,33.16958704762,17.16958704762,TT_DOWN
516722,高屏空品區,前金,2018-01-01 11:00:00,11,22.0,58.8,47.93685850582,25.93685850582,TT_DOWN
516723,高屏空品區,前金,2018-01-01 12:00:00,12,30.0,70.1,57.20742336569,27.207423365689998,TT_DOWN
516724,高屏空品區,前金,2018-01-01 13:00:00,13,38.0,75.5,61.63760480315,23.637604803149998,TT_DOWN
516725,高屏空品區,前金,2018-01-01 14:00:00,14,48.0,84.4,68.93920013526,20.939200135259995,TT_DOWN
