,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
332876,中部空品區,南投,2018-01-01 00:00:00,0,19.0,18.6,14.71182844038,-4.28817155962,TT_DOWN
332877,中部空品區,南投,2018-01-01 01:00:00,1,18.0,19.2,15.174991646159997,-2.825008353840003,TT_DOWN
332878,中部空品區,南投,2018-01-01 02:00:00,2,18.0,17.5,13.862695896449997,-4.137304103550003,TT_DOWN
332879,中部空品區,南投,2018-01-01 03:00:00,3,18.0,18.9,14.943410043269997,-3.0565899567300026,TT_DOWN
332880,中部空品區,南投,2018-01-01 04:00:00,4,19.0,20.5,16.178511925349998,-2.821488074650002,TT_DOWN
332881,中部空品區,南投,2018-01-01 05:00:00,5,19.0,16.7,13.245144955409998,-5.754855044590002,TT_DOWN
332882,中部空品區,南投,2018-01-01 06:00:00,6,18.0,12.7,10.157390250209998,-7.842609749790002,TT_DOWN
332883,中部空品區,南投,2018-01-01 07:00:00,7,17.0,8.1,6.606472339229999,-10.393527660770001,TT_DOWN
332884,中部空品區,南投,2018-01-01 08:00:00,8,16.0,12.6,10.080196382579999,-5.919803617420001,TT_DOWN
332885,中部空品區,南投,2018-01-01 09:00:00,9,16.0,19.4,15.329379381419997,-0.6706206185800028,TT_DOWN
332886,中部空品區,南投,2018-01-01 10:00:00,10,17.0,26.1,20.50136851263,3.5013685126299983,TT_DOWN
332887,中部空品區,南投,2018-01-01 11:00:00,11,19.0,34.8,27.217234996439995,8.217234996439995,TT_DOWN
332888,中部空品區,南投,2018-01-01 12:00:00,12,22.0,47.0,36.634886847299995,14.634886847299995,TT_DOWN
332889,中部空品區,南投,2018-01-01 13:00:00,13,27.0,52.3,40.72616183168999,13.726161831689993,TT_DOWN
332890,中部空品區,南投,2018-01-01 14:00:00,14,32.0,56.6,44.045498139779994,12.045498139779994,TT_DOWN
332891,中部空品區,南投,2018-01-01 15:00:00,15,38.0,58.2,45.280600021859996,7.280600021859996,TT_DOWN
332892,中部空品區,南投,2018-01-01 16:00:00,16,43.0,48.3,37.638407126489994,-5.361592873510006,TT_DOWN
332893,中部空品區,南投,2018-01-01 17:00:00,17,45.0,38.4,29.996214231119996,-15.003785768880004,TT_DOWN
332894,中部空品區,南投,2018-01-01 18:00:00,18,45.0,28.0,21.9680519976,-23.0319480024,TT_DOWN
332895,中部空品區,南投,2018-01-01 19:00:00,19,44.0,21.1,16.64167513113,-27.35832486887,TT_DOWN
332896,中部空品區,南投,2018-01-01 20:00:00,20,40.0,15.5,12.318818543849998,-27.68118145615,TT_DOWN
332897,中部空品區,南投,2018-01-01 21:00:00,21,34.0,6.1,5.06259498663,-28.93740501337,TT_DOWN
332898,中部空品區,南投,2018-01-01 22:00:00,22,27.0,3.8,3.2871360311399993,-23.71286396886,TT_DOWN
332899,中部空品區,南投,2018-01-01 23:00:00,23,21.0,3.2,2.82397282536,-18.17602717464,TT_DOWN
332900,中部空品區,南投,2018-01-02 00:00:00,0,15.0,1.9,1.8204525461699996,-13.17954745383,TT_DOWN
332901,中部空品區,南投,2018-01-02 01:00:00,1,10.0,2.9,2.5923912224699994,-7.407608777530001,TT_DOWN
332902,中部空品區,南投,2018-01-02 02:00:00,2,7.0,1.4,1.4344832080199998,-5.56551679198,TT_DOWN
