,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
61320,北部空品區,古亭,2018-01-01 00:00:00,0,34.0,40.5,34.2471792814,0.24717928140000112,TT_DOWN
61321,北部空品區,古亭,2018-01-01 01:00:00,1,36.0,41.0,34.5517146838,-1.4482853161999998,TT_DOWN
61322,北部空品區,古亭,2018-01-01 02:00:00,2,37.0,42.0,35.1607854886,-1.8392145114000016,TT_DOWN
61323,北部空品區,古亭,2018-01-01 03:00:00,3,39.0,42.9,35.70894921292,-3.291050787080003,TT_DOWN
61324,北部空品區,古亭,2018-01-01 04:00:00,4,40.0,43.0,35.769856293400004,-4.230143706599996,TT_DOWN
61325,北部空品區,古亭,2018-01-01 05:00:00,5,41.0,42.7,35.587135051960004,-5.412864948039996,TT_DOWN
61326,北部空品區,古亭,2018-01-01 06:00:00,6,42.0,42.3,35.34350673004,-6.656493269960002,TT_DOWN
61327,北部空品區,古亭,2018-01-01 07:00:00,7,42.0,39.8,33.820829718039995,-8.179170281960005,TT_DOWN
61328,北部空品區,古亭,2018-01-01 08:00:00,8,42.0,39.7,33.75992263756,-8.240077362439997,TT_DOWN
61329,北部空品區,古亭,2018-01-01 09:00:00,9,42.0,40.6,34.30808636188,-7.691913638119999,TT_DOWN
61330,北部空品區,古亭,2018-01-01 10:00:00,10,42.0,41.4,34.79534300572,-7.2046569942800005,TT_DOWN
61331,北部空品區,古亭,2018-01-01 11:00:00,11,41.0,41.4,34.79534300572,-6.2046569942800005,TT_DOWN
61332,北部空品區,古亭,2018-01-01 12:00:00,12,41.0,42.2,35.282599649560005,-5.717400350439995,TT_DOWN
61333,北部空品區,古亭,2018-01-01 13:00:00,13,41.0,41.2,34.67352884476,-6.32647115524,TT_DOWN
61334,北部空品區,古亭,2018-01-01 14:00:00,14,41.0,42.8,35.64804213244,-5.351957867560003,TT_DOWN
61335,北部空品區,古亭,2018-01-01 15:00:00,15,41.0,41.8,35.03897132764,-5.961028672360001,TT_DOWN
61336,北部空品區,古亭,2018-01-01 16:00:00,16,42.0,43.0,35.769856293400004,-6.230143706599996,TT_DOWN
61337,北部空品區,古亭,2018-01-01 17:00:00,17,41.0,34.4,30.531847372119998,-10.468152627880002,TT_DOWN
61338,北部空品區,古亭,2018-01-01 18:00:00,18,40.0,33.0,29.6791482454,-10.3208517546,TT_DOWN
61339,北部空品區,古亭,2018-01-01 19:00:00,19,39.0,31.6,28.826449118680003,-10.173550881319997,TT_DOWN
61340,北部空品區,古亭,2018-01-01 20:00:00,20,37.0,30.1,27.91284291148,-9.087157088520001,TT_DOWN
61341,北部空品區,古亭,2018-01-01 21:00:00,21,36.0,28.5,26.9383296238,-9.061670376199999,TT_DOWN
61342,北部空品區,古亭,2018-01-01 22:00:00,22,35.0,34.9,30.836382774519997,-4.163617225480003,TT_DOWN
61343,北部空品區,古亭,2018-01-01 23:00:00,23,35.0,40.5,34.2471792814,-0.7528207185999989,TT_DOWN
61344,北部空品區,古亭,2018-01-02 00:00:00,0,34.0,42.7,35.587135051960004,1.5871350519600043,TT_DOWN
61345,北部空品區,古亭,2018-01-02 01:00:00,1,36.0,43.6,36.13529877628,0.13529877628000264,TT_DOWN
61346,北部空品區,古亭,2018-01-02 02:00:00,2,37.0,43.8,36.257112937239995,-0.7428870627600048,TT_DOWN
61347,北部空品區,古亭,2018-01-02 03:00:00,3,38.0,42.7,35.587135051960004,-2.4128649480399957,TT_DOWN
61348,北部空品區,古亭,2018-01-02 04:00:00,4,40.0,43.5,36.0743916958,-3.925608304199997,TT_DOWN
61349,北部空品區,古亭,2018-01-02 05:00:00,5,42.0,40.8,34.42990052284,-7.570099477159999,TT_DOWN
61350,北部空品區,古亭,2018-01-02 06:00:00,6,41.0,31.9,29.009170360120002,-11.990829639879998,TT_DOWN
61351,北部空品區,古亭,2018-01-02 07:00:00,7,39.0,23.7,24.01478976076,-14.98521023924,TT_DOWN
61352,北部空品區,古亭,2018-01-02 08:00:00,8,37.0,22.3,23.162090634040002,-13.837909365959998,TT_DOWN
61353,北部空品區,古亭,2018-01-02 09:00:00,9,35.0,32.3,29.25279868204,-5.747201317959998,TT_DOWN
61354,北部空品區,古亭,2018-01-02 10:00:00,10,35.0,38.9,33.27266599372,-1.727334006280003,TT_DOWN
61355,北部空品區,古亭,2018-01-02 11:00:00,11,34.0,41.7,34.97806424716,0.978064247159999,TT_DOWN
61356,北部空品區,古亭,2018-01-02 12:00:00,12,34.0,40.9,34.49080760332,0.4908076033200004,TT_DOWN
61357,北部空品區,古亭,2018-01-02 13:00:00,13,34.0,40.4,34.18627220092,0.1862722009200013,TT_DOWN
61358,北部空品區,古亭,2018-01-02 14:00:00,14,35.0,39.7,33.75992263756,-1.2400773624399974,TT_DOWN
61359,北部空品區,古亭,2018-01-02 15:00:00,15,37.0,41.0,34.5517146838,-2.4482853162,TT_DOWN
61360,北部空品區,古亭,2018-01-02 16:00:00,16,39.0,39.6,33.69901555708,-5.300984442919997,TT_DOWN
61361,北部空品區,古亭,2018-01-02 17:00:00,17,40.0,36.7,31.93271022316,-8.06728977684,TT_DOWN
61362,北部空品區,古亭,2018-01-02 18:00:00,18,39.0,33.6,30.04459072828,-8.95540927172,TT_DOWN
61363,北部空品區,古亭,2018-01-02 19:00:00,19,38.0,35.6,31.262732337880003,-6.737267662119997,TT_DOWN
61364,北部空品區,古亭,2018-01-02 20:00:00,20,38.0,35.5,31.201825257400003,-6.798174742599997,TT_DOWN
61365,北部空品區,古亭,2018-01-02 21:00:00,21,37.0,37.7,32.54178102796,-4.458218972040001,TT_DOWN
61366,北部空品區,古亭,2018-01-02 22:00:00,22,37.0,36.4,31.74998898172,-5.250011018279999,TT_DOWN
61367,北部空品區,古亭,2018-01-02 23:00:00,23,36.0,34.7,30.714568613560004,-5.2854313864399955,TT_DOWN
61368,北部空品區,古亭,2018-01-03 00:00:00,0,36.0,39.4,33.577201396119996,-2.422798603880004,TT_DOWN
61369,北部空品區,古亭,2018-01-03 01:00:00,1,37.0,39.9,33.88173679852,-3.118263201479998,TT_DOWN
61370,北部空品區,古亭,2018-01-03 02:00:00,2,38.0,41.8,35.03897132764,-2.9610286723600012,TT_DOWN
61371,北部空品區,古亭,2018-01-03 03:00:00,3,38.0,41.0,34.5517146838,-3.4482853162,TT_DOWN
61372,北部空品區,古亭,2018-01-03 04:00:00,4,39.0,41.8,35.03897132764,-3.9610286723600012,TT_DOWN
61373,北部空品區,古亭,2018-01-03 05:00:00,5,39.0,39.8,33.820829718039995,-5.179170281960005,TT_DOWN
61374,北部空品區,古亭,2018-01-03 06:00:00,6,38.0,27.6,26.390165899480003,-11.609834100519997,TT_DOWN
61375,北部空品區,古亭,2018-01-03 07:00:00,7,36.0,13.0,17.4977321494,-18.5022678506,TT_DOWN
61376,北部空品區,古亭,2018-01-03 08:00:00,8,33.0,22.5,23.283904794999998,-9.716095205000002,TT_DOWN
61377,北部空品區,古亭,2018-01-03 09:00:00,9,32.0,27.1,26.085630497080004,-5.914369502919996,TT_DOWN
61378,北部空品區,古亭,2018-01-03 10:00:00,10,31.0,35.7,31.323639418360003,0.32363941836000265,TT_DOWN
61379,北部空品區,古亭,2018-01-03 11:00:00,11,31.0,37.7,32.54178102796,1.541781027959999,TT_DOWN
61380,北部空品區,古亭,2018-01-03 12:00:00,12,30.0,37.7,32.54178102796,2.541781027959999,TT_DOWN
61381,北部空品區,古亭,2018-01-03 13:00:00,13,30.0,38.5,33.0290376718,3.0290376717999976,TT_DOWN
