,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
420351,雲嘉南空品區,善化,2018-01-01 00:00:00,0,23.0,15.9,12.26412063521,-10.73587936479,TT_DOWN
420352,雲嘉南空品區,善化,2018-01-01 01:00:00,1,20.0,15.3,11.77139842307,-8.22860157693,TT_DOWN
420353,雲嘉南空品區,善化,2018-01-01 02:00:00,2,18.0,16.1,12.42836137259,-5.57163862741,TT_DOWN
420354,雲嘉南空品區,善化,2018-01-01 03:00:00,3,17.0,17.4,13.495926165559998,-3.5040738344400015,TT_DOWN
420355,雲嘉南空品區,善化,2018-01-01 04:00:00,4,17.0,15.4,11.85351879176,-5.146481208240001,TT_DOWN
420356,雲嘉南空品區,善化,2018-01-01 05:00:00,5,16.0,14.7,11.27867621093,-4.72132378907,TT_DOWN
420357,雲嘉南空品區,善化,2018-01-01 06:00:00,6,16.0,14.6,11.196555842239999,-4.803444157760001,TT_DOWN
420358,雲嘉南空品區,善化,2018-01-01 07:00:00,7,16.0,15.2,11.689278054379999,-4.310721945620001,TT_DOWN
420359,雲嘉南空品區,善化,2018-01-01 08:00:00,8,16.0,20.1,15.713176120189999,-0.2868238798100009,TT_DOWN
420360,雲嘉南空品區,善化,2018-01-01 09:00:00,9,17.0,22.1,17.35558349399,0.3555834939900002,TT_DOWN
420361,雲嘉南空品區,善化,2018-01-01 10:00:00,10,19.0,31.9,25.403379625609997,6.403379625609997,TT_DOWN
420362,雲嘉南空品區,善化,2018-01-01 11:00:00,11,22.0,44.0,35.339944237100006,13.339944237100006,TT_DOWN
420363,雲嘉南空品區,善化,2018-01-01 12:00:00,12,27.0,55.5,44.78378663645,17.783786636450003,TT_DOWN
420364,雲嘉南空品區,善化,2018-01-01 13:00:00,13,33.0,60.2,48.64344396488001,15.643443964880007,TT_DOWN
420365,雲嘉南空品區,善化,2018-01-01 14:00:00,14,38.0,58.3,47.08315695977,9.083156959770001,TT_DOWN
420366,雲嘉南空品區,善化,2018-01-01 15:00:00,15,44.0,59.1,47.74011990929,3.7401199092900015,TT_DOWN
420367,雲嘉南空品區,善化,2018-01-01 16:00:00,16,48.0,54.6,44.04470331824,-3.9552966817599966,TT_DOWN
420368,雲嘉南空品區,善化,2018-01-01 17:00:00,17,51.0,45.8,36.81811087352,-14.181889126480002,TT_DOWN
420369,雲嘉南空品區,善化,2018-01-01 18:00:00,18,52.0,36.6,29.26303695404,-22.73696304596,TT_DOWN
420370,雲嘉南空品區,善化,2018-01-01 19:00:00,19,50.0,32.9,26.22458331251,-23.77541668749,TT_DOWN
420371,雲嘉南空品區,善化,2018-01-01 20:00:00,20,47.0,27.1,21.46160192849,-25.53839807151,TT_DOWN
420372,雲嘉南空品區,善化,2018-01-01 21:00:00,21,42.0,23.5,18.50526865565,-23.49473134435,TT_DOWN
420373,雲嘉南空品區,善化,2018-01-01 22:00:00,22,37.0,19.5,15.22045390805,-21.77954609195,TT_DOWN
420374,雲嘉南空品區,善化,2018-01-01 23:00:00,23,32.0,16.6,12.83896321604,-19.16103678396,TT_DOWN
420375,雲嘉南空品區,善化,2018-01-02 00:00:00,0,27.0,14.5,11.11443547355,-15.88556452645,TT_DOWN
420376,雲嘉南空品區,善化,2018-01-02 01:00:00,1,23.0,10.6,7.911741094640001,-15.08825890536,TT_DOWN
420377,雲嘉南空品區,善化,2018-01-02 02:00:00,2,19.0,7.0,4.955407821800001,-14.044592178199999,TT_DOWN
420378,雲嘉南空品區,善化,2018-01-02 03:00:00,3,15.0,4.8,3.14875971062,-11.85124028938,TT_DOWN
420379,雲嘉南空品區,善化,2018-01-02 04:00:00,4,13.0,5.2,3.47724118538,-9.52275881462,TT_DOWN
420380,雲嘉南空品區,善化,2018-01-02 05:00:00,5,10.0,3.4,1.99907454896,-8.00092545104,TT_DOWN
420381,雲嘉南空品區,善化,2018-01-02 06:00:00,6,8.0,3.5,2.08119491765,-5.91880508235,TT_DOWN
420382,雲嘉南空品區,善化,2018-01-02 07:00:00,7,6.0,2.7,1.42423196813,-4.57576803187,TT_DOWN
420383,雲嘉南空品區,善化,2018-01-02 08:00:00,8,6.0,10.5,7.82962072595,1.82962072595,TT_DOWN
420384,雲嘉南空品區,善化,2018-01-02 09:00:00,9,7.0,16.5,12.756842847349999,5.756842847349999,TT_DOWN
420385,雲嘉南空品區,善化,2018-01-02 10:00:00,10,9.0,26.4,20.88675934766,11.88675934766,TT_DOWN
420386,雲嘉南空品區,善化,2018-01-02 11:00:00,11,14.0,41.7,33.451175757230004,19.451175757230004,TT_DOWN
420387,雲嘉南空品區,善化,2018-01-02 12:00:00,12,20.0,52.5,42.32017557575001,22.320175575750007,TT_DOWN
420388,雲嘉南空品區,善化,2018-01-02 13:00:00,13,26.0,54.7,44.12682368693,18.126823686930003,TT_DOWN
420389,雲嘉南空品區,善化,2018-01-02 14:00:00,14,32.0,50.6,40.75988857064,8.759888570640001,TT_DOWN
420390,雲嘉南空品區,善化,2018-01-02 15:00:00,15,38.0,47.6,38.296277509940005,0.2962775099400048,TT_DOWN
420391,雲嘉南空品區,善化,2018-01-02 16:00:00,16,42.0,46.1,37.06447197959,-4.935528020409997,TT_DOWN
420392,雲嘉南空品區,善化,2018-01-02 17:00:00,17,44.0,35.6,28.44183326714,-15.558166732859998,TT_DOWN
420393,雲嘉南空品區,善化,2018-01-02 18:00:00,18,45.0,34.9,27.866990686309997,-17.133009313690003,TT_DOWN
420394,雲嘉南空品區,善化,2018-01-02 19:00:00,19,44.0,28.9,22.939768564909997,-21.060231435090003,TT_DOWN
420395,雲嘉南空品區,善化,2018-01-02 20:00:00,20,40.0,23.3,18.34102791827,-21.65897208173,TT_DOWN
420396,雲嘉南空品區,善化,2018-01-02 21:00:00,21,36.0,19.7,15.384694645429999,-20.61530535457,TT_DOWN
420397,雲嘉南空品區,善化,2018-01-02 22:00:00,22,32.0,16.0,12.3462410039,-19.653758996100002,TT_DOWN
420398,雲嘉南空品區,善化,2018-01-02 23:00:00,23,27.0,11.1,8.32234293809,-18.67765706191,TT_DOWN
420399,雲嘉南空品區,善化,2018-01-03 00:00:00,0,22.0,8.8,6.433574458220001,-15.56642554178,TT_DOWN
420400,雲嘉南空品區,善化,2018-01-03 01:00:00,1,19.0,7.4,5.283889296560001,-13.716110703439998,TT_DOWN
420401,雲嘉南空品區,善化,2018-01-03 02:00:00,2,15.0,8.7,6.35145408953,-8.64854591047,TT_DOWN
420402,雲嘉南空品區,善化,2018-01-03 03:00:00,3,14.0,19.8,15.466815014120002,1.4668150141200016,TT_DOWN
420403,雲嘉南空品區,善化,2018-01-03 04:00:00,4,14.0,17.1,13.249565059490001,-0.750434940509999,TT_DOWN
420404,雲嘉南空品區,善化,2018-01-03 05:00:00,5,13.0,13.4,10.21111141796,-2.7888885820400002,TT_DOWN
420405,雲嘉南空品區,善化,2018-01-03 06:00:00,6,11.0,4.7,3.0666393419299998,-7.933360658070001,TT_DOWN
420406,雲嘉南空品區,善化,2018-01-03 07:00:00,7,10.0,4.0,2.4917967611,-7.5082032389,TT_DOWN
420407,雲嘉南空品區,善化,2018-01-03 08:00:00,8,10.0,4.9,3.23088007931,-6.769119920690001,TT_DOWN
420408,雲嘉南空品區,善化,2018-01-03 09:00:00,9,11.0,18.9,14.727731695909998,3.7277316959099984,TT_DOWN
420409,雲嘉南空品區,善化,2018-01-03 10:00:00,10,15.0,40.8,32.71209243902,17.712092439019997,TT_DOWN
420410,雲嘉南空品區,善化,2018-01-03 11:00:00,11,18.0,42.7,34.27237944413,16.272379444130003,TT_DOWN
420411,雲嘉南空品區,善化,2018-01-03 12:00:00,12,23.0,51.0,41.088370045400005,18.088370045400005,TT_DOWN
420412,雲嘉南空品區,善化,2018-01-03 13:00:00,13,28.0,56.7,45.76923106073001,17.769231060730007,TT_DOWN
420413,雲嘉南空品區,善化,2018-01-03 14:00:00,14,35.0,61.7,49.87524949523001,14.875249495230008,TT_DOWN
420414,雲嘉南空品區,善化,2018-01-03 15:00:00,15,42.0,57.9,46.754675485010004,4.754675485010004,TT_DOWN
420415,雲嘉南空品區,善化,2018-01-03 16:00:00,16,47.0,49.8,40.10292562112,-6.897074378879999,TT_DOWN
420416,雲嘉南空品區,善化,2018-01-03 17:00:00,17,51.0,49.1,39.52808304029001,-11.471916959709993,TT_DOWN
420417,雲嘉南空品區,善化,2018-01-03 18:00:00,18,51.0,42.6,34.190259075440004,-16.809740924559996,TT_DOWN
420418,雲嘉南空品區,善化,2018-01-03 19:00:00,19,52.0,43.5,34.92934239365,-17.070657606349997,TT_DOWN
420419,雲嘉南空品區,善化,2018-01-03 20:00:00,20,50.0,40.0,32.055129489500004,-17.944870510499996,TT_DOWN
420420,雲嘉南空品區,善化,2018-01-03 21:00:00,21,47.0,29.2,23.186129670979998,-23.813870329020002,TT_DOWN
420421,雲嘉南空品區,善化,2018-01-03 22:00:00,22,41.0,18.1,14.070768746390002,-26.92923125361,TT_DOWN
420422,雲嘉南空品區,善化,2018-01-03 23:00:00,23,36.0,16.2,12.51048174128,-23.48951825872,TT_DOWN
420423,雲嘉南空品區,善化,2018-01-04 00:00:00,0,32.0,15.1,11.60715768569,-20.392842314310002,TT_DOWN
420424,雲嘉南空品區,善化,2018-01-04 01:00:00,1,27.0,9.9,7.336898513810001,-19.663101486189998,TT_DOWN
420425,雲嘉南空品區,善化,2018-01-04 02:00:00,2,23.0,13.3,10.12899104927,-12.87100895073,TT_DOWN
