,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
446631,雲嘉南空品區,嘉義,2018-01-01 00:00:00,0,18.0,14.9,10.64906054554,-7.350939454460001,TT_DOWN
446632,雲嘉南空品區,嘉義,2018-01-01 01:00:00,1,15.0,12.0,8.2865042792,-6.713495720799999,TT_DOWN
446633,雲嘉南空品區,嘉義,2018-01-01 02:00:00,2,15.0,17.1,12.44134460966,-2.5586553903400002,TT_DOWN
446634,雲嘉南空品區,嘉義,2018-01-01 03:00:00,3,14.0,15.9,11.463735120139999,-2.536264879860001,TT_DOWN
446635,雲嘉南空品區,嘉義,2018-01-01 04:00:00,4,14.0,16.1,11.62667003506,-2.37332996494,TT_DOWN
446636,雲嘉南空品區,嘉義,2018-01-01 05:00:00,5,15.0,17.4,12.685746982039998,-2.3142530179600023,TT_DOWN
446637,雲嘉南空品區,嘉義,2018-01-01 06:00:00,6,15.0,15.3,10.97493037538,-4.02506962462,TT_DOWN
446638,雲嘉南空品區,嘉義,2018-01-01 07:00:00,7,16.0,16.4,11.871072407439998,-4.128927592560002,TT_DOWN
446639,雲嘉南空品區,嘉義,2018-01-01 08:00:00,8,16.0,16.7,12.11547477982,-3.8845252201800005,TT_DOWN
446640,雲嘉南空品區,嘉義,2018-01-01 09:00:00,9,17.0,24.5,18.469936461699998,1.469936461699998,TT_DOWN
446641,雲嘉南空品區,嘉義,2018-01-01 10:00:00,10,20.0,34.3,26.453747292779994,6.453747292779994,TT_DOWN
446642,雲嘉南空品區,嘉義,2018-01-01 11:00:00,11,23.0,46.5,36.3927771029,13.392777102899998,TT_DOWN
446643,雲嘉南空品區,嘉義,2018-01-01 12:00:00,12,29.0,57.6,45.43566488096,16.435664880959997,TT_DOWN
446644,雲嘉南空品區,嘉義,2018-01-01 13:00:00,13,35.0,66.3,52.52333367997999,17.52333367997999,TT_DOWN
446645,雲嘉南空品區,嘉義,2018-01-01 14:00:00,14,41.0,69.3,54.96735740377999,13.967357403779992,TT_DOWN
446646,雲嘉南空品區,嘉義,2018-01-01 15:00:00,15,47.0,62.3,49.26463538157999,2.2646353815799927,TT_DOWN
446647,雲嘉南空品區,嘉義,2018-01-01 16:00:00,16,51.0,48.4,37.940658794639994,-13.059341205360006,TT_DOWN
446648,雲嘉南空品區,嘉義,2018-01-01 17:00:00,17,53.0,36.0,27.838694069599995,-25.161305930400005,TT_DOWN
446649,雲嘉南空品區,嘉義,2018-01-01 18:00:00,18,52.0,29.0,22.135972047399996,-29.864027952600004,TT_DOWN
446650,雲嘉南空品區,嘉義,2018-01-01 19:00:00,19,49.0,25.8,19.529013408679997,-29.470986591320003,TT_DOWN
446651,雲嘉南空品區,嘉義,2018-01-01 20:00:00,20,45.0,24.8,18.71433883408,-26.28566116592,TT_DOWN
446652,雲嘉南空品區,嘉義,2018-01-01 21:00:00,21,40.0,22.1,16.51471748266,-23.48528251734,TT_DOWN
446653,雲嘉南空品區,嘉義,2018-01-01 22:00:00,22,33.0,18.9,13.907758843939998,-19.092241156060002,TT_DOWN
446654,雲嘉南空品區,嘉義,2018-01-01 23:00:00,23,28.0,17.1,12.44134460966,-15.55865539034,TT_DOWN
446655,雲嘉南空品區,嘉義,2018-01-02 00:00:00,0,24.0,14.7,10.486125630619998,-13.513874369380002,TT_DOWN
