,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
341636,中部空品區,埔里,2018-01-01 00:00:00,0,23.0,21.3,19.28444754516,-3.715552454840001,TT_DOWN
341637,中部空品區,埔里,2018-01-01 01:00:00,1,19.0,16.7,15.893692264439998,-3.1063077355600015,TT_DOWN
341638,中部空品區,埔里,2018-01-01 02:00:00,2,17.0,13.5,13.534905982199998,-3.465094017800002,TT_DOWN
341639,中部空品區,埔里,2018-01-01 03:00:00,3,15.0,16.0,15.377707765199998,0.3777077651999985,TT_DOWN
341640,中部空品區,埔里,2018-01-01 04:00:00,4,14.0,11.1,11.765816270519998,-2.2341837294800015,TT_DOWN
341641,中部空品區,埔里,2018-01-01 05:00:00,5,14.0,4.6,6.97453163472,-7.02546836528,TT_DOWN
341642,中部空品區,埔里,2018-01-01 06:00:00,6,12.0,4.8,7.121955777359999,-4.878044222640001,TT_DOWN
341643,中部空品區,埔里,2018-01-01 07:00:00,7,12.0,6.8,8.59619720376,-3.403802796240001,TT_DOWN
341644,中部空品區,埔里,2018-01-01 08:00:00,8,10.0,9.9,10.881271414679999,0.8812714146799987,TT_DOWN
341645,中部空品區,埔里,2018-01-01 09:00:00,9,11.0,20.1,18.39990268932,7.399902689320001,TT_DOWN
341646,中部空品區,埔里,2018-01-01 10:00:00,10,14.0,39.1,32.40519624012,18.40519624012,TT_DOWN
341647,中部空品區,埔里,2018-01-01 11:00:00,11,18.0,50.2,40.58723615664,22.587236156640003,TT_DOWN
341648,中部空品區,埔里,2018-01-01 12:00:00,12,23.0,50.4,40.734660299279994,17.734660299279994,TT_DOWN
341649,中部空品區,埔里,2018-01-01 13:00:00,13,30.0,58.7,46.85276221884,16.85276221884,TT_DOWN
341650,中部空品區,埔里,2018-01-01 14:00:00,14,37.0,62.0,49.2852605724,12.285260572399999,TT_DOWN
341651,中部空品區,埔里,2018-01-01 15:00:00,15,44.0,65.2,51.64404685464,7.644046854640003,TT_DOWN
