,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
131400,北部空品區,基隆,2018-01-01 00:00:00,0,43.0,46.0,39.815714101,-3.1842858990000025,TT_DOWN
131401,北部空品區,基隆,2018-01-01 01:00:00,1,43.0,45.9,39.739357165399994,-3.260642834600006,TT_DOWN
131402,北部空品區,基隆,2018-01-01 02:00:00,2,44.0,43.1,37.6013629686,-6.3986370314,TT_DOWN
131403,北部空品區,基隆,2018-01-01 03:00:00,3,44.0,44.1,38.364932324600005,-5.635067675399995,TT_DOWN
131404,北部空品區,基隆,2018-01-01 04:00:00,4,44.0,45.4,39.35757248739999,-4.642427512600008,TT_DOWN
131405,北部空品區,基隆,2018-01-01 05:00:00,5,44.0,39.7,35.0052271582,-8.9947728418,TT_DOWN
131406,北部空品區,基隆,2018-01-01 06:00:00,6,44.0,45.1,39.128501680599996,-4.871498319400004,TT_DOWN
131407,北部空品區,基隆,2018-01-01 07:00:00,7,44.0,44.6,38.74671700259999,-5.253282997400007,TT_DOWN
131408,北部空品區,基隆,2018-01-01 08:00:00,8,44.0,43.1,37.6013629686,-6.3986370314,TT_DOWN
131409,北部空品區,基隆,2018-01-01 09:00:00,9,43.0,40.9,35.9215103854,-7.078489614600002,TT_DOWN
131410,北部空品區,基隆,2018-01-01 10:00:00,10,43.0,39.0,34.470728609,-8.529271391000002,TT_DOWN
131411,北部空品區,基隆,2018-01-01 11:00:00,11,42.0,38.0,33.707159253,-8.292840747,TT_DOWN
131412,北部空品區,基隆,2018-01-01 12:00:00,12,41.0,40.1,35.3106549006,-5.6893450994000005,TT_DOWN
131413,北部空品區,基隆,2018-01-01 13:00:00,13,41.0,36.8,32.790876025799996,-8.209123974200004,TT_DOWN
131414,北部空品區,基隆,2018-01-01 14:00:00,14,40.0,38.6,34.1653008666,-5.834699133400001,TT_DOWN
131415,北部空品區,基隆,2018-01-01 15:00:00,15,39.0,38.6,34.1653008666,-4.834699133400001,TT_DOWN
131416,北部空品區,基隆,2018-01-01 16:00:00,16,39.0,39.7,35.0052271582,-3.9947728417999997,TT_DOWN
131417,北部空品區,基隆,2018-01-01 17:00:00,17,38.0,36.9,32.8672329614,-5.132767038600001,TT_DOWN
131418,北部空品區,基隆,2018-01-01 18:00:00,18,38.0,37.9,33.6308023174,-4.369197682600003,TT_DOWN
131419,北部空品區,基隆,2018-01-01 19:00:00,19,39.0,40.3,35.46336877179999,-3.536631228200008,TT_DOWN
131420,北部空品區,基隆,2018-01-01 20:00:00,20,38.0,39.0,34.470728609,-3.5292713910000018,TT_DOWN
131421,北部空品區,基隆,2018-01-01 21:00:00,21,37.0,23.5,22.635403591,-14.364596409,TT_DOWN
131422,北部空品區,基隆,2018-01-01 22:00:00,22,34.0,12.3,14.0834268038,-19.916573196199998,TT_DOWN
131423,北部空品區,基隆,2018-01-01 23:00:00,23,32.0,25.7,24.315256174199998,-7.684743825800002,TT_DOWN
131424,北部空品區,基隆,2018-01-02 00:00:00,0,30.0,21.5,21.108264879,-8.891735121,TT_DOWN
131425,北部空品區,基隆,2018-01-02 01:00:00,1,28.0,27.1,25.3842532726,-2.6157467274000012,TT_DOWN
131426,北部空品區,基隆,2018-01-02 02:00:00,2,26.0,22.2,21.6427634282,-4.3572365718000015,TT_DOWN
131427,北部空品區,基隆,2018-01-02 03:00:00,3,25.0,28.9,26.7586781134,1.7586781133999985,TT_DOWN
