,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
17520,北部空品區,士林,2018-01-01 00:00:00,0,45.0,48.4,40.9529684942,-4.0470315058,TT_DOWN
17521,北部空品區,士林,2018-01-01 01:00:00,1,46.0,49.0,41.3760582305,-4.6239417695,TT_DOWN
17522,北部空品區,士林,2018-01-01 02:00:00,2,46.0,48.8,41.2350283184,-4.764971681600002,TT_DOWN
17523,北部空品區,士林,2018-01-01 03:00:00,3,47.0,49.1,41.44657318655,-5.553426813450002,TT_DOWN
17524,北部空品區,士林,2018-01-01 04:00:00,4,47.0,48.2,40.8119385821,-6.188061417900002,TT_DOWN
17525,北部空品區,士林,2018-01-01 05:00:00,5,48.0,47.7,40.45936380185,-7.540636198149997,TT_DOWN
17526,北部空品區,士林,2018-01-01 06:00:00,6,48.0,48.0,40.67090867,-7.329091329999997,TT_DOWN
17527,北部空品區,士林,2018-01-01 07:00:00,7,48.0,46.6,39.6836992853,-8.316300714699999,TT_DOWN
17528,北部空品區,士林,2018-01-01 08:00:00,8,48.0,45.0,38.555459988500004,-9.444540011499996,TT_DOWN
17529,北部空品區,士林,2018-01-01 09:00:00,9,47.0,44.1,37.920825384050005,-9.079174615949995,TT_DOWN
17530,北部空品區,士林,2018-01-01 10:00:00,10,47.0,45.9,39.19009459295,-7.809905407050003,TT_DOWN
17531,北部空品區,士林,2018-01-01 11:00:00,11,46.0,44.6,38.2734001643,-7.7265998357,TT_DOWN
17532,北部空品區,士林,2018-01-01 12:00:00,12,46.0,43.9,37.77979547195,-8.220204528049997,TT_DOWN
17533,北部空品區,士林,2018-01-01 13:00:00,13,45.0,43.6,37.5682506038,-7.431749396199997,TT_DOWN
17534,北部空品區,士林,2018-01-01 14:00:00,14,45.0,43.4,37.4272206917,-7.5727793082999995,TT_DOWN
17535,北部空品區,士林,2018-01-01 15:00:00,15,44.0,41.2,35.875891658600004,-8.124108341399996,TT_DOWN
17536,北部空品區,士林,2018-01-01 16:00:00,16,44.0,43.2,37.286190779600005,-6.713809220399995,TT_DOWN
17537,北部空品區,士林,2018-01-01 17:00:00,17,43.0,38.4,33.9014728892,-9.0985271108,TT_DOWN
17538,北部空品區,士林,2018-01-01 18:00:00,18,42.0,35.9,32.13859898795,-9.861401012050003,TT_DOWN
17539,北部空品區,士林,2018-01-01 19:00:00,19,41.0,41.2,35.875891658600004,-5.124108341399996,TT_DOWN
17540,北部空品區,士林,2018-01-01 20:00:00,20,41.0,44.1,37.920825384050005,-3.079174615949995,TT_DOWN
17541,北部空品區,士林,2018-01-01 21:00:00,21,41.0,41.8,36.2989813949,-4.701018605100003,TT_DOWN
17542,北部空品區,士林,2018-01-01 22:00:00,22,41.0,42.8,37.0041309554,-3.995869044599999,TT_DOWN
17543,北部空品區,士林,2018-01-01 23:00:00,23,41.0,41.8,36.2989813949,-4.701018605100003,TT_DOWN
17544,北部空品區,士林,2018-01-02 00:00:00,0,41.0,44.3,38.06185529615,-2.93814470385,TT_DOWN
17545,北部空品區,士林,2018-01-02 01:00:00,1,42.0,45.5,38.90803476875,-3.0919652312500006,TT_DOWN
17546,北部空品區,士林,2018-01-02 02:00:00,2,43.0,45.6,38.9785497248,-4.021450275200003,TT_DOWN
17547,北部空品區,士林,2018-01-02 03:00:00,3,44.0,46.0,39.260609549,-4.7393904509999984,TT_DOWN
17548,北部空品區,士林,2018-01-02 04:00:00,4,44.0,45.4,38.8375198127,-5.162480187299998,TT_DOWN
17549,北部空品區,士林,2018-01-02 05:00:00,5,44.0,43.3,37.356705735649996,-6.643294264350004,TT_DOWN
17550,北部空品區,士林,2018-01-02 06:00:00,6,44.0,41.1,35.80537670255,-8.19462329745,TT_DOWN
17551,北部空品區,士林,2018-01-02 07:00:00,7,44.0,38.9,34.25404766945,-9.745952330549997,TT_DOWN
17552,北部空品區,士林,2018-01-02 08:00:00,8,43.0,38.5,33.97198784525,-9.028012154750002,TT_DOWN
17553,北部空品區,士林,2018-01-02 09:00:00,9,42.0,39.4,34.6066224497,-7.393377550300002,TT_DOWN
17554,北部空品區,士林,2018-01-02 10:00:00,10,42.0,40.1,35.10022714205,-6.899772857949998,TT_DOWN
17555,北部空品區,士林,2018-01-02 11:00:00,11,41.0,43.2,37.286190779600005,-3.7138092203999946,TT_DOWN
17556,北部空品區,士林,2018-01-02 12:00:00,12,41.0,43.5,37.49773564775,-3.502264352250002,TT_DOWN
17557,北部空品區,士林,2018-01-02 13:00:00,13,41.0,43.8,37.7092805159,-3.290719484100002,TT_DOWN
17559,北部空品區,士林,2018-01-02 15:00:00,15,41.0,41.4,36.0169215707,-4.983078429300001,TT_DOWN
17560,北部空品區,士林,2018-01-02 16:00:00,16,41.0,37.8,33.4783831529,-7.521616847099999,TT_DOWN
17561,北部空品區,士林,2018-01-02 17:00:00,17,41.0,37.8,33.4783831529,-7.521616847099999,TT_DOWN
17562,北部空品區,士林,2018-01-02 18:00:00,18,41.0,38.0,33.619413065,-7.380586934999997,TT_DOWN
17563,北部空品區,士林,2018-01-02 19:00:00,19,40.0,38.7,34.11301775735,-5.886982242649999,TT_DOWN
17564,北部空品區,士林,2018-01-02 20:00:00,20,40.0,39.4,34.6066224497,-5.393377550300002,TT_DOWN
17565,北部空品區,士林,2018-01-02 21:00:00,21,39.0,40.3,35.24125705415,-3.7587429458500026,TT_DOWN
17566,北部空品區,士林,2018-01-02 22:00:00,22,39.0,40.3,35.24125705415,-3.7587429458500026,TT_DOWN
17567,北部空品區,士林,2018-01-02 23:00:00,23,39.0,40.5,35.38228696625,-3.6177130337500003,TT_DOWN
17568,北部空品區,士林,2018-01-03 00:00:00,0,40.0,41.2,35.875891658600004,-4.124108341399996,TT_DOWN
