,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
35040,北部空品區,大園,2018-01-01 00:00:00,0,40.0,44.6,38.00144754888001,-1.9985524511199912,TT_DOWN
35041,北部空品區,大園,2018-01-01 01:00:00,1,42.0,47.8,40.68275381864,-1.317246181359998,TT_DOWN
35042,北部空品區,大園,2018-01-01 02:00:00,2,43.0,48.1,40.934126281430004,-2.0658737185699962,TT_DOWN
35043,北部空品區,大園,2018-01-01 03:00:00,3,43.0,46.9,39.928636430270004,-3.0713635697299964,TT_DOWN
35044,北部空品區,大園,2018-01-01 04:00:00,4,44.0,45.9,39.09072822097001,-4.909271779029993,TT_DOWN
35045,北部空品區,大園,2018-01-01 05:00:00,5,44.0,39.6,33.811906502380005,-10.188093497619995,TT_DOWN
35046,北部空品區,大園,2018-01-01 06:00:00,6,44.0,36.5,31.214391053550003,-12.785608946449997,TT_DOWN
35047,北部空品區,大園,2018-01-01 07:00:00,7,43.0,34.5,29.538574634950002,-13.461425365049998,TT_DOWN
35048,北部空品區,大園,2018-01-01 08:00:00,8,42.0,38.6,32.97399829308001,-9.026001706919992,TT_DOWN
35049,北部空品區,大園,2018-01-01 09:00:00,9,42.0,44.0,37.498702623300005,-4.501297376699995,TT_DOWN
35050,北部空品區,大園,2018-01-01 10:00:00,10,42.0,46.6,39.67726396748001,-2.322736032519991,TT_DOWN
35051,北部空品區,大園,2018-01-01 11:00:00,11,42.0,46.5,39.593473146550004,-2.4065268534499964,TT_DOWN
35052,北部空品區,大園,2018-01-01 12:00:00,12,42.0,48.6,41.35308038608001,-0.6469196139199909,TT_DOWN
35053,北部空品區,大園,2018-01-01 13:00:00,13,43.0,48.1,40.934126281430004,-2.0658737185699962,TT_DOWN
35054,北部空品區,大園,2018-01-01 14:00:00,14,44.0,45.7,38.92314657911001,-5.076853420889989,TT_DOWN
35055,北部空品區,大園,2018-01-01 15:00:00,15,45.0,41.9,35.73909538377001,-9.260904616229993,TT_DOWN
35056,北部空品區,大園,2018-01-01 16:00:00,16,45.0,40.5,34.56602389075,-10.433976109249997,TT_DOWN
35057,北部空品區,大園,2018-01-01 17:00:00,17,45.0,38.2,32.63883500936001,-12.361164990639992,TT_DOWN
35058,北部空品區,大園,2018-01-01 18:00:00,18,44.0,39.3,33.56053403959,-10.439465960409997,TT_DOWN
35059,北部空品區,大園,2018-01-01 19:00:00,19,43.0,37.7,32.21988090471,-10.780119095289997,TT_DOWN
35060,北部空品區,大園,2018-01-01 20:00:00,20,41.0,39.1,33.39295239773001,-7.6070476022699935,TT_DOWN
35061,北部空品區,大園,2018-01-01 21:00:00,21,40.0,38.9,33.22537075587,-6.774629244129997,TT_DOWN
35062,北部空品區,大園,2018-01-01 22:00:00,22,39.0,36.3,31.046809411690003,-7.953190588309997,TT_DOWN
35063,北部空品區,大園,2018-01-01 23:00:00,23,38.0,35.7,30.544064486110006,-7.455935513889994,TT_DOWN
35064,北部空品區,大園,2018-01-02 00:00:00,0,38.0,37.9,32.38746254657,-5.612537453430001,TT_DOWN
35065,北部空品區,大園,2018-01-02 01:00:00,1,39.0,43.8,37.33112098144,-1.6688790185599984,TT_DOWN
35066,北部空品區,大園,2018-01-02 02:00:00,2,39.0,44.0,37.498702623300005,-1.5012973766999949,TT_DOWN
35067,北部空品區,大園,2018-01-02 03:00:00,3,40.0,44.7,38.08523836981001,-1.914761630189993,TT_DOWN
35068,北部空品區,大園,2018-01-02 04:00:00,4,41.0,44.0,37.498702623300005,-3.501297376699995,TT_DOWN
35069,北部空品區,大園,2018-01-02 05:00:00,5,40.0,36.1,30.879227769830006,-9.120772230169994,TT_DOWN
35070,北部空品區,大園,2018-01-02 06:00:00,6,40.0,30.7,26.354523439610002,-13.645476560389998,TT_DOWN
35071,北部空品區,大園,2018-01-02 07:00:00,7,39.0,33.0,28.281712321000004,-10.718287678999996,TT_DOWN
35072,北部空品區,大園,2018-01-02 08:00:00,8,39.0,36.8,31.46576351634,-7.534236483659999,TT_DOWN
35073,北部空品區,大園,2018-01-02 09:00:00,9,38.0,35.1,30.041319560530006,-7.958680439469994,TT_DOWN
35074,北部空品區,大園,2018-01-02 10:00:00,10,37.0,34.2,29.287202172160008,-7.712797827839992,TT_DOWN
35075,北部空品區,大園,2018-01-02 11:00:00,11,36.0,35.1,30.041319560530006,-5.958680439469994,TT_DOWN
35076,北部空品區,大園,2018-01-02 12:00:00,12,35.0,40.2,34.31465142796001,-0.6853485720399917,TT_DOWN
35077,北部空品區,大園,2018-01-02 13:00:00,13,36.0,40.9,34.90118717447,-1.098812825529997,TT_DOWN
35078,北部空品區,大園,2018-01-02 14:00:00,14,37.0,36.7,31.381972695410006,-5.618027304589994,TT_DOWN
35079,北部空品區,大園,2018-01-02 15:00:00,15,37.0,34.1,29.203411351230006,-7.796588648769994,TT_DOWN
35080,北部空品區,大園,2018-01-02 16:00:00,16,36.0,28.0,24.092171274500004,-11.907828725499996,TT_DOWN
35081,北部空品區,大園,2018-01-02 17:00:00,17,34.0,23.4,20.237793511720003,-13.762206488279997,TT_DOWN
35082,北部空品區,大園,2018-01-02 18:00:00,18,33.0,28.7,24.678707021010002,-8.321292978989998,TT_DOWN
35083,北部空品區,大園,2018-01-02 19:00:00,19,33.0,30.2,25.935569334960004,-7.064430665039996,TT_DOWN
35084,北部空品區,大園,2018-01-02 20:00:00,20,31.0,27.1,23.338053886130005,-7.661946113869995,TT_DOWN
35085,北部空品區,大園,2018-01-02 21:00:00,21,30.0,32.8,28.11413067914,-1.8858693208599995,TT_DOWN
35086,北部空品區,大園,2018-01-02 22:00:00,22,30.0,34.6,29.622365455880004,-0.37763454411999575,TT_DOWN
35087,北部空品區,大園,2018-01-02 23:00:00,23,30.0,33.2,28.449293962860008,-1.5507060371399923,TT_DOWN
35088,北部空品區,大園,2018-01-03 00:00:00,0,30.0,27.6,23.757007990780004,-6.242992009219996,TT_DOWN
35089,北部空品區,大園,2018-01-03 01:00:00,1,30.0,29.6,25.432824409380004,-4.567175590619996,TT_DOWN
35090,北部空品區,大園,2018-01-03 02:00:00,2,31.0,32.2,27.611385753560008,-3.3886142464399924,TT_DOWN
35091,北部空品區,大園,2018-01-03 03:00:00,3,31.0,32.7,28.030339858210006,-2.969660141789994,TT_DOWN
35092,北部空品區,大園,2018-01-03 04:00:00,4,32.0,30.2,25.935569334960004,-6.064430665039996,TT_DOWN
35093,北部空品區,大園,2018-01-03 05:00:00,5,31.0,28.1,24.175962095430005,-6.824037904569995,TT_DOWN
35094,北部空品區,大園,2018-01-03 06:00:00,6,29.0,18.2,15.880670823360001,-13.119329176639999,TT_DOWN
35095,北部空品區,大園,2018-01-03 07:00:00,7,26.0,7.9,7.250216267570001,-18.74978373243,TT_DOWN
35096,北部空品區,大園,2018-01-03 08:00:00,8,24.0,12.0,10.6856399257,-13.3143600743,TT_DOWN
35097,北部空品區,大園,2018-01-03 09:00:00,9,23.0,24.4,21.075701721020003,-1.9242982789799967,TT_DOWN
35098,北部空品區,大園,2018-01-03 10:00:00,10,24.0,39.3,33.56053403959,9.560534039590003,TT_DOWN
35099,北部空品區,大園,2018-01-03 11:00:00,11,25.0,43.4,36.99595769772,11.995957697720002,TT_DOWN
35100,北部空品區,大園,2018-01-03 12:00:00,12,27.0,45.0,38.3366108326,11.336610832600002,TT_DOWN
35101,北部空品區,大園,2018-01-03 13:00:00,13,31.0,58.3,49.48079001629,18.48079001629,TT_DOWN
35102,北部空品區,大園,2018-01-03 14:00:00,14,34.0,38.1,32.55504418843,-1.4449558115699972,TT_DOWN
35103,北部空品區,大園,2018-01-03 15:00:00,15,36.0,27.7,23.840798811710002,-12.159201188289998,TT_DOWN
35104,北部空品區,大園,2018-01-03 16:00:00,16,38.0,27.2,23.421844707060004,-14.578155292939996,TT_DOWN
35105,北部空品區,大園,2018-01-03 17:00:00,17,38.0,26.2,22.583936497760003,-15.416063502239997,TT_DOWN
35106,北部空品區,大園,2018-01-03 18:00:00,18,36.0,25.6,22.081191572180003,-13.918808427819997,TT_DOWN
35107,北部空品區,大園,2018-01-03 19:00:00,19,34.0,26.6,22.919099781480003,-11.080900218519997,TT_DOWN
35108,北部空品區,大園,2018-01-03 20:00:00,20,32.0,26.6,22.919099781480003,-9.080900218519997,TT_DOWN
