,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
472911,高屏空品區,大寮,2018-01-01 00:00:00,0,31.0,13.6,11.366929603360001,-19.63307039664,TT_DOWN
472912,高屏空品區,大寮,2018-01-01 01:00:00,1,26.0,14.3,11.894785850180002,-14.105214149819998,TT_DOWN
472913,高屏空品區,大寮,2018-01-01 02:00:00,2,21.0,11.9,10.084993003940001,-10.915006996059999,TT_DOWN
472914,高屏空品區,大寮,2018-01-01 03:00:00,3,16.0,5.9,5.5605108883400005,-10.439489111659999,TT_DOWN
472915,高屏空品區,大寮,2018-01-01 04:00:00,4,13.0,3.1,3.44908590106,-9.55091409894,TT_DOWN
472916,高屏空品區,大寮,2018-01-01 05:00:00,5,11.0,8.0,7.1440796288,-3.8559203712,TT_DOWN
472917,高屏空品區,大寮,2018-01-01 06:00:00,6,10.0,6.3,5.86214302938,-4.13785697062,TT_DOWN
472918,高屏空品區,大寮,2018-01-01 07:00:00,7,9.0,6.0,5.6359189236,-3.3640810763999998,TT_DOWN
472919,高屏空品區,大寮,2018-01-01 08:00:00,8,9.0,13.6,11.366929603360001,2.366929603360001,TT_DOWN
472920,高屏空品區,大寮,2018-01-01 09:00:00,9,10.0,25.0,19.963445623000002,9.963445623000002,TT_DOWN
472921,高屏空品區,大寮,2018-01-01 10:00:00,10,14.0,42.5,33.1598517935,19.159851793500003,TT_DOWN
472922,高屏空品區,大寮,2018-01-01 11:00:00,11,21.0,64.3,49.59880348018,28.598803480180003,TT_DOWN
472923,高屏空品區,大寮,2018-01-01 12:00:00,12,31.0,84.6,64.90663463796,33.906634637959996,TT_DOWN
472924,高屏空品區,大寮,2018-01-01 13:00:00,13,38.0,63.0,48.618499021800005,10.618499021800005,TT_DOWN
472925,高屏空品區,大寮,2018-01-01 14:00:00,14,48.0,84.8,65.05745070848,17.057450708480005,TT_DOWN
472926,高屏空品區,大寮,2018-01-01 15:00:00,15,57.0,78.2,60.08052038132001,3.0805203813200066,TT_DOWN
472927,高屏空品區,大寮,2018-01-01 16:00:00,16,64.0,66.2,51.031556150120004,-12.968443849879996,TT_DOWN
472928,高屏空品區,大寮,2018-01-01 17:00:00,17,68.0,58.8,45.45136154088,-22.54863845912,TT_DOWN
472929,高屏空品區,大寮,2018-01-01 18:00:00,18,70.0,56.8,43.94320083568,-26.056799164319997,TT_DOWN
472930,高屏空品區,大寮,2018-01-01 19:00:00,19,67.0,47.0,36.553213380200006,-30.446786619799994,TT_DOWN
472931,高屏空品區,大寮,2018-01-01 20:00:00,20,60.0,28.1,22.301094716060003,-37.69890528393999,TT_DOWN
