,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
289079,中部空品區,大里,2018-01-01 00:00:00,0,21.0,21.7,17.28720332939,-3.7127966706100004,TT_DOWN
289080,中部空品區,大里,2018-01-01 01:00:00,1,20.0,20.1,16.04997162587,-3.9500283741299995,TT_DOWN
289081,中部空品區,大里,2018-01-01 02:00:00,2,21.0,20.9,16.668587477630002,-4.331412522369998,TT_DOWN
289082,中部空品區,大里,2018-01-01 03:00:00,3,20.0,17.4,13.962143126179999,-6.037856873820001,TT_DOWN
289083,中部空品區,大里,2018-01-01 04:00:00,4,18.0,6.8,5.76548309036,-12.23451690964,TT_DOWN
289084,中部空品區,大里,2018-01-01 05:00:00,5,17.0,8.6,7.15736875682,-9.84263124318,TT_DOWN
289085,中部空品區,大里,2018-01-01 06:00:00,6,16.0,9.5,7.853311590050001,-8.146688409949999,TT_DOWN
289086,中部空品區,大里,2018-01-01 07:00:00,7,14.0,6.8,5.76548309036,-8.23451690964,TT_DOWN
289087,中部空品區,大里,2018-01-01 08:00:00,8,12.0,9.4,7.775984608580001,-4.224015391419999,TT_DOWN
289088,中部空品區,大里,2018-01-01 09:00:00,9,12.0,19.6,15.66333671852,3.66333671852,TT_DOWN
289089,中部空品區,大里,2018-01-01 10:00:00,10,14.0,30.0,23.7053427914,9.7053427914,TT_DOWN
289090,中部空品區,大里,2018-01-01 11:00:00,11,17.0,45.1,35.38171699337,18.38171699337,TT_DOWN
289091,中部空品區,大里,2018-01-01 12:00:00,12,23.0,54.8,42.882434195959995,19.882434195959995,TT_DOWN
289092,中部空品區,大里,2018-01-01 13:00:00,13,30.0,61.8,48.29532289885999,18.295322898859993,TT_DOWN
289093,中部空品區,大里,2018-01-01 14:00:00,14,37.0,65.8,51.388402157659996,14.388402157659996,TT_DOWN
289094,中部空品區,大里,2018-01-01 15:00:00,15,43.0,58.7,45.89818647329,2.8981864732899965,TT_DOWN
289095,中部空品區,大里,2018-01-01 16:00:00,16,48.0,49.4,38.70677719658,-9.29322280342,TT_DOWN
289096,中部空品區,大里,2018-01-01 17:00:00,17,51.0,40.0,31.4380409384,-19.5619590616,TT_DOWN
