,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
385407,雲嘉南空品區,安南,2018-01-02 17:00:00,17,56.0,46.5,38.24284588615001,-17.757154113849992,TT_DOWN
385408,雲嘉南空品區,安南,2018-01-02 18:00:00,18,52.0,36.9,30.07620926119,-21.92379073881,TT_DOWN
385409,雲嘉南空品區,安南,2018-01-02 19:00:00,19,50.0,36.7,29.906070998170005,-20.093929001829995,TT_DOWN
385410,雲嘉南空品區,安南,2018-01-02 20:00:00,20,48.0,36.0,29.3105870776,-18.6894129224,TT_DOWN
385411,雲嘉南空品區,安南,2018-01-02 21:00:00,21,45.0,28.1,22.590125688310003,-22.409874311689997,TT_DOWN
385412,雲嘉南空品區,安南,2018-01-02 22:00:00,22,40.0,18.2,14.16828166882,-25.83171833118,TT_DOWN
385413,雲嘉南空品區,安南,2018-01-02 23:00:00,23,34.0,15.6,11.95648424956,-22.04351575044,TT_DOWN
385414,雲嘉南空品區,安南,2018-01-03 00:00:00,0,29.0,15.3,11.701276855030002,-17.298723144969998,TT_DOWN
385415,雲嘉南空品區,安南,2018-01-03 01:00:00,1,25.0,16.7,12.89224469617,-12.10775530383,TT_DOWN
385416,雲嘉南空品區,安南,2018-01-03 02:00:00,2,24.0,24.5,19.52763695395,-4.472363046049999,TT_DOWN
385417,雲嘉南空品區,安南,2018-01-03 03:00:00,3,22.0,23.7,18.84708390187,-3.1529160981299995,TT_DOWN
385418,雲嘉南空品區,安南,2018-01-03 04:00:00,4,20.0,19.2,15.018972983920001,-4.981027016079999,TT_DOWN
385419,雲嘉南空品區,安南,2018-01-03 05:00:00,5,17.0,2.4,0.7273588902400001,-16.27264110976,TT_DOWN
385420,雲嘉南空品區,安南,2018-01-03 06:00:00,6,15.0,4.1,2.17353412591,-12.826465874090001,TT_DOWN
385421,雲嘉南空品區,安南,2018-01-03 07:00:00,7,14.0,3.6,1.7481884683600004,-12.25181153164,TT_DOWN
385422,雲嘉南空品區,安南,2018-01-03 08:00:00,8,12.0,5.2,3.1092945725200005,-8.89070542748,TT_DOWN
385423,雲嘉南空品區,安南,2018-01-03 09:00:00,9,13.0,21.5,16.975563008650003,3.9755630086500027,TT_DOWN
385424,雲嘉南空品區,安南,2018-01-03 10:00:00,10,15.0,44.2,36.28625586142,21.286255861420003,TT_DOWN
385425,雲嘉南空品區,安南,2018-01-03 11:00:00,11,19.0,54.1,44.70809988091,25.708099880909998,TT_DOWN
385426,雲嘉南空品區,安南,2018-01-03 12:00:00,12,25.0,61.4,50.91814648114,25.91814648114,TT_DOWN
385427,雲嘉南空品區,安南,2018-01-03 13:00:00,13,33.0,68.7,57.12819308137,24.12819308137,TT_DOWN
385428,雲嘉南空品區,安南,2018-01-03 14:00:00,14,41.0,69.7,57.97888439647001,16.978884396470008,TT_DOWN
385429,雲嘉南空品區,安南,2018-01-03 15:00:00,15,49.0,65.0,53.9806352155,4.980635215500001,TT_DOWN
385430,雲嘉南空品區,安南,2018-01-03 16:00:00,16,56.0,64.9,53.895566083990005,-2.104433916009995,TT_DOWN
385431,雲嘉南空品區,安南,2018-01-03 17:00:00,17,61.0,60.2,49.89731690302001,-11.102683096979987,TT_DOWN
385432,雲嘉南空品區,安南,2018-01-03 18:00:00,18,62.0,51.4,42.41123333014001,-19.588766669859993,TT_DOWN
385433,雲嘉南空品區,安南,2018-01-03 19:00:00,19,61.0,46.6,38.327915017660004,-22.672084982339996,TT_DOWN
385434,雲嘉南空品區,安南,2018-01-03 20:00:00,20,58.0,36.7,29.906070998170005,-28.093929001829995,TT_DOWN
385435,雲嘉南空品區,安南,2018-01-03 21:00:00,21,53.0,30.5,24.63178484455,-28.36821515545,TT_DOWN
385436,雲嘉南空品區,安南,2018-01-03 22:00:00,22,48.0,25.2,20.12312087452,-27.87687912548,TT_DOWN
385437,雲嘉南空品區,安南,2018-01-03 23:00:00,23,42.0,22.1,17.485977797710003,-24.514022202289997,TT_DOWN
385438,雲嘉南空品區,安南,2018-01-04 00:00:00,0,38.0,27.4,21.99464176774,-16.00535823226,TT_DOWN
