,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
613039,宜蘭空品區,宜蘭,2018-01-01 00:00:00,0,37.0,43.5,37.581590272549995,0.5815902725499953,TT_DOWN
613040,宜蘭空品區,宜蘭,2018-01-01 01:00:00,1,39.0,46.1,39.95454368993,0.9545436899299986,TT_DOWN
613041,宜蘭空品區,宜蘭,2018-01-01 02:00:00,2,41.0,45.0,38.9506018595,-2.049398140500003,TT_DOWN
613042,宜蘭空品區,宜蘭,2018-01-01 03:00:00,3,42.0,41.8,36.03004380733999,-5.969956192660007,TT_DOWN
613043,宜蘭空品區,宜蘭,2018-01-01 04:00:00,4,43.0,42.4,36.577648442119994,-6.422351557880006,TT_DOWN
613044,宜蘭空品區,宜蘭,2018-01-01 05:00:00,5,43.0,43.3,37.399055394289995,-5.600944605710005,TT_DOWN
613045,宜蘭空品區,宜蘭,2018-01-01 06:00:00,6,43.0,41.3,35.57370661168999,-7.4262933883100075,TT_DOWN
613046,宜蘭空品區,宜蘭,2018-01-01 07:00:00,7,43.0,39.3,33.74835782908999,-9.25164217091001,TT_DOWN
613047,宜蘭空品區,宜蘭,2018-01-01 08:00:00,8,42.0,34.7,29.550055629110002,-12.449944370889998,TT_DOWN
613048,宜蘭空品區,宜蘭,2018-01-01 09:00:00,9,41.0,37.6,32.196811363879995,-8.803188636120005,TT_DOWN
613049,宜蘭空品區,宜蘭,2018-01-01 10:00:00,10,40.0,36.8,31.466671850839997,-8.533328149160003,TT_DOWN
613050,宜蘭空品區,宜蘭,2018-01-01 11:00:00,11,39.0,35.0,29.8238579465,-9.176142053500001,TT_DOWN
613051,宜蘭空品區,宜蘭,2018-01-01 12:00:00,12,38.0,33.0,27.9985091639,-10.0014908361,TT_DOWN
613052,宜蘭空品區,宜蘭,2018-01-01 13:00:00,13,36.0,30.7,25.899358063909997,-10.100641936090003,TT_DOWN
613053,宜蘭空品區,宜蘭,2018-01-01 14:00:00,14,36.0,40.7,35.02610197691,-0.9738980230900012,TT_DOWN
613054,宜蘭空品區,宜蘭,2018-01-01 15:00:00,15,36.0,39.0,33.4745555117,-2.5254444883000033,TT_DOWN
613055,宜蘭空品區,宜蘭,2018-01-01 16:00:00,16,36.0,34.4,29.276253311719998,-6.723746688280002,TT_DOWN
613056,宜蘭空品區,宜蘭,2018-01-01 17:00:00,17,34.0,24.4,20.149509398719996,-13.850490601280004,TT_DOWN
613057,宜蘭空品區,宜蘭,2018-01-01 18:00:00,18,32.0,21.7,17.68528854221,-14.31471145779,TT_DOWN
613058,宜蘭空品區,宜蘭,2018-01-01 19:00:00,19,31.0,26.7,22.24866049871,-8.751339501290001,TT_DOWN
613059,宜蘭空品區,宜蘭,2018-01-01 20:00:00,20,31.0,34.3,29.184985872589994,-1.8150141274100058,TT_DOWN
613060,宜蘭空品區,宜蘭,2018-01-01 21:00:00,21,31.0,29.3,24.62161391609,-6.3783860839100015,TT_DOWN
613061,宜蘭空品區,宜蘭,2018-01-01 22:00:00,22,30.0,27.1,22.61373025523,-7.386269744770001,TT_DOWN
613062,宜蘭空品區,宜蘭,2018-01-01 23:00:00,23,28.0,26.4,21.97485818132,-6.025141818680002,TT_DOWN
613063,宜蘭空品區,宜蘭,2018-01-02 00:00:00,0,27.0,28.2,23.617672085659997,-3.382327914340003,TT_DOWN
613064,宜蘭空品區,宜蘭,2018-01-02 01:00:00,1,28.0,28.1,23.52640464653,-4.4735953534699995,TT_DOWN
613065,宜蘭空品區,宜蘭,2018-01-02 02:00:00,2,28.0,26.6,22.15739305958,-5.842606940420001,TT_DOWN
613066,宜蘭空品區,宜蘭,2018-01-02 03:00:00,3,29.0,29.2,24.53034647696,-4.469653523040002,TT_DOWN
613067,宜蘭空品區,宜蘭,2018-01-02 04:00:00,4,28.0,25.4,21.062183790019997,-6.937816209980003,TT_DOWN
613068,宜蘭空品區,宜蘭,2018-01-02 05:00:00,5,28.0,29.3,24.62161391609,-3.3783860839100015,TT_DOWN
613069,宜蘭空品區,宜蘭,2018-01-02 06:00:00,6,27.0,20.3,16.40754439439,-10.592455605609999,TT_DOWN
613070,宜蘭空品區,宜蘭,2018-01-02 07:00:00,7,26.0,19.1,15.31233512483,-10.68766487517,TT_DOWN
613071,宜蘭空品區,宜蘭,2018-01-02 08:00:00,8,26.0,26.5,22.06612562045,-3.9338743795500015,TT_DOWN
613072,宜蘭空品區,宜蘭,2018-01-02 09:00:00,9,26.0,31.2,26.355695259559997,0.35569525955999737,TT_DOWN
