,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
148920,北部空品區,富貴角,2018-01-01 00:00:00,0,49.0,51.0,45.9062925626,-3.093707437399999,TT_DOWN
148921,北部空品區,富貴角,2018-01-01 01:00:00,1,50.0,50.9,45.82693056094,-4.173069439060001,TT_DOWN
148922,北部空品區,富貴角,2018-01-01 02:00:00,2,50.0,50.9,45.82693056094,-4.173069439060001,TT_DOWN
148923,北部空品區,富貴角,2018-01-01 03:00:00,3,50.0,50.3,45.35075855097999,-4.6492414490200105,TT_DOWN
148924,北部空品區,富貴角,2018-01-01 04:00:00,4,51.0,49.7,44.874586541019994,-6.125413458980006,TT_DOWN
148925,北部空品區,富貴角,2018-01-01 05:00:00,5,51.0,50.3,45.35075855097999,-5.6492414490200105,TT_DOWN
148926,北部空品區,富貴角,2018-01-01 06:00:00,6,51.0,50.5,45.50948255429999,-5.490517445700007,TT_DOWN
148927,北部空品區,富貴角,2018-01-01 07:00:00,7,51.0,50.7,45.668206557619996,-5.331793442380004,TT_DOWN
148928,北部空品區,富貴角,2018-01-01 08:00:00,8,50.0,50.2,45.27139654932,-4.728603450679998,TT_DOWN
148929,北部空品區,富貴角,2018-01-01 09:00:00,9,50.0,49.5,44.71586253769999,-5.284137462300009,TT_DOWN
148930,北部空品區,富貴角,2018-01-01 10:00:00,10,50.0,49.2,44.47777653272,-5.52222346728,TT_DOWN
148931,北部空品區,富貴角,2018-01-01 11:00:00,11,50.0,49.5,44.71586253769999,-5.284137462300009,TT_DOWN
148932,北部空品區,富貴角,2018-01-01 12:00:00,12,50.0,49.4,44.63650053603999,-5.363499463960011,TT_DOWN
148933,北部空品區,富貴角,2018-01-01 13:00:00,13,50.0,50.2,45.27139654932,-4.728603450679998,TT_DOWN
148934,北部空品區,富貴角,2018-01-01 14:00:00,14,50.0,51.7,46.46182657422,-3.538173425780002,TT_DOWN
148935,北部空品區,富貴角,2018-01-01 15:00:00,15,50.0,51.4,46.22374056923999,-3.776259430760007,TT_DOWN
148936,北部空品區,富貴角,2018-01-01 16:00:00,16,50.0,50.2,45.27139654932,-4.728603450679998,TT_DOWN
148937,北部空品區,富貴角,2018-01-01 17:00:00,17,50.0,51.2,46.065016565920004,-3.934983434079996,TT_DOWN
148938,北部空品區,富貴角,2018-01-01 18:00:00,18,51.0,51.6,46.382464572559996,-4.617535427440004,TT_DOWN
148939,北部空品區,富貴角,2018-01-01 19:00:00,19,51.0,51.9,46.62055057754,-4.379449422459999,TT_DOWN
148940,北部空品區,富貴角,2018-01-01 20:00:00,20,51.0,50.8,45.74756855928,-5.252431440720002,TT_DOWN
148941,北部空品區,富貴角,2018-01-01 21:00:00,21,51.0,49.2,44.47777653272,-6.52222346728,TT_DOWN
148942,北部空品區,富貴角,2018-01-01 22:00:00,22,51.0,47.9,43.44607051113999,-7.553929488860007,TT_DOWN
148943,北部空品區,富貴角,2018-01-01 23:00:00,23,50.0,47.4,43.04926050284,-6.950739497160001,TT_DOWN
148944,北部空品區,富貴角,2018-01-02 00:00:00,0,50.0,46.5,42.3350024879,-7.664997512100001,TT_DOWN
148945,北部空品區,富貴角,2018-01-02 01:00:00,1,49.0,45.5,41.5413824713,-7.458617528700003,TT_DOWN
148946,北部空品區,富貴角,2018-01-02 02:00:00,2,48.0,46.0,41.93819247959999,-6.061807520400009,TT_DOWN
148947,北部空品區,富貴角,2018-01-02 03:00:00,3,47.0,46.1,42.01755448125999,-4.982445518740008,TT_DOWN
148948,北部空品區,富貴角,2018-01-02 04:00:00,4,47.0,45.1,41.223934464660005,-5.7760655353399954,TT_DOWN
148949,北部空品區,富貴角,2018-01-02 05:00:00,5,46.0,44.8,40.98584845968,-5.01415154032,TT_DOWN
148950,北部空品區,富貴角,2018-01-02 06:00:00,6,46.0,44.6,40.827124456359996,-5.172875543640004,TT_DOWN
148951,北部空品區,富貴角,2018-01-02 07:00:00,7,45.0,39.9,37.09711037833999,-7.902889621660009,TT_DOWN
148952,北部空品區,富貴角,2018-01-02 08:00:00,8,44.0,39.7,36.93838637502,-7.061613624979998,TT_DOWN
148953,北部空品區,富貴角,2018-01-02 09:00:00,9,43.0,40.5,37.5732823883,-5.426717611699999,TT_DOWN
148954,北部空品區,富貴角,2018-01-02 10:00:00,10,43.0,42.4,39.08116041983999,-3.918839580160011,TT_DOWN
148955,北部空品區,富貴角,2018-01-02 11:00:00,11,43.0,44.4,40.66840045303999,-2.331599546960007,TT_DOWN
148956,北部空品區,富貴角,2018-01-02 12:00:00,12,43.0,47.1,42.811174497859994,-0.1888255021400056,TT_DOWN
148957,北部空品區,富貴角,2018-01-02 13:00:00,13,43.0,47.4,43.04926050284,0.049260502839999276,TT_DOWN
148958,北部空品區,富貴角,2018-01-02 14:00:00,14,43.0,43.5,39.95414243809999,-3.0458575619000072,TT_DOWN
148959,北部空品區,富貴角,2018-01-02 15:00:00,15,44.0,43.9,40.27159044474,-3.7284095552600007,TT_DOWN
148960,北部空品區,富貴角,2018-01-02 16:00:00,16,44.0,44.2,40.509676449720004,-3.490323550279996,TT_DOWN
148961,北部空品區,富貴角,2018-01-02 17:00:00,17,45.0,46.7,42.49372649122,-2.506273508779998,TT_DOWN
148962,北部空品區,富貴角,2018-01-02 18:00:00,18,46.0,46.9,42.65245049453999,-3.347549505460009,TT_DOWN
148963,北部空品區,富貴角,2018-01-02 19:00:00,19,46.0,45.8,41.77946847627999,-4.2205315237200125,TT_DOWN
148964,北部空品區,富貴角,2018-01-02 20:00:00,20,46.0,46.2,42.096916482919994,-3.903083517080006,TT_DOWN
148965,北部空品區,富貴角,2018-01-02 21:00:00,21,45.0,45.1,41.223934464660005,-3.7760655353399954,TT_DOWN
148966,北部空品區,富貴角,2018-01-02 22:00:00,22,45.0,37.9,35.50987034514,-9.490129654859999,TT_DOWN
148967,北部空品區,富貴角,2018-01-02 23:00:00,23,44.0,39.2,36.54157636672,-7.458423633279999,TT_DOWN
148968,北部空品區,富貴角,2018-01-03 00:00:00,0,44.0,43.5,39.95414243809999,-4.045857561900007,TT_DOWN
148969,北部空品區,富貴角,2018-01-03 01:00:00,1,43.0,42.8,39.398608426479996,-3.6013915735200044,TT_DOWN
148970,北部空品區,富貴角,2018-01-03 02:00:00,2,43.0,40.4,37.49392038664,-5.506079613360001,TT_DOWN
148971,北部空品區,富貴角,2018-01-03 03:00:00,3,42.0,37.8,35.43050834348,-6.56949165652,TT_DOWN
148972,北部空品區,富貴角,2018-01-03 04:00:00,4,41.0,42.2,38.92243641652,-2.07756358348,TT_DOWN
148973,北部空品區,富貴角,2018-01-03 05:00:00,5,40.0,36.0,34.0019923136,-5.998007686400001,TT_DOWN
148974,北部空品區,富貴角,2018-01-03 06:00:00,6,40.0,35.6,33.68454430696,-6.3154556930400005,TT_DOWN
148975,北部空品區,富貴角,2018-01-03 07:00:00,7,39.0,36.9,34.71625032854,-4.283749671460001,TT_DOWN
148976,北部空品區,富貴角,2018-01-03 08:00:00,8,39.0,40.4,37.49392038664,-1.5060796133600007,TT_DOWN
148977,北部空品區,富貴角,2018-01-03 09:00:00,9,39.0,42.0,38.7637124132,-0.23628758680000317,TT_DOWN
148978,北部空品區,富貴角,2018-01-03 10:00:00,10,39.0,43.0,39.5573324298,0.5573324297999989,TT_DOWN
148979,北部空品區,富貴角,2018-01-03 11:00:00,11,40.0,43.6,40.033504439759994,0.0335044397599944,TT_DOWN
148980,北部空品區,富貴角,2018-01-03 12:00:00,12,40.0,43.1,39.63669443146,-0.3633055685399995,TT_DOWN
148981,北部空品區,富貴角,2018-01-03 13:00:00,13,41.0,42.1,38.84307441486,-2.1569255851400015,TT_DOWN
148982,北部空品區,富貴角,2018-01-03 14:00:00,14,42.0,42.9,39.47797042814,-2.5220295718600028,TT_DOWN
148983,北部空品區,富貴角,2018-01-03 15:00:00,15,42.0,41.9,38.684350411539995,-3.315649588460005,TT_DOWN
148984,北部空品區,富貴角,2018-01-03 16:00:00,16,43.0,42.3,39.00179841818,-3.9982015818199983,TT_DOWN
148985,北部空品區,富貴角,2018-01-03 17:00:00,17,43.0,42.5,39.16052242149999,-3.8394775785000093,TT_DOWN
148986,北部空品區,富貴角,2018-01-03 18:00:00,18,43.0,43.5,39.95414243809999,-3.0458575619000072,TT_DOWN
148987,北部空品區,富貴角,2018-01-03 19:00:00,19,43.0,41.9,38.684350411539995,-4.315649588460005,TT_DOWN
148988,北部空品區,富貴角,2018-01-03 20:00:00,20,42.0,41.5,38.3669024049,-3.633097595099997,TT_DOWN
148989,北部空品區,富貴角,2018-01-03 21:00:00,21,42.0,41.3,38.20817840158,-3.7918215984200003,TT_DOWN
148990,北部空品區,富貴角,2018-01-03 22:00:00,22,42.0,37.5,35.192422338499995,-6.807577661500005,TT_DOWN
148991,北部空品區,富貴角,2018-01-03 23:00:00,23,41.0,40.2,37.335196383319996,-3.664803616680004,TT_DOWN
148992,北部空品區,富貴角,2018-01-04 00:00:00,0,41.0,35.7,33.76390630862,-7.236093691379999,TT_DOWN
148993,北部空品區,富貴角,2018-01-04 01:00:00,1,40.0,37.6,35.271784340159996,-4.728215659840004,TT_DOWN
148994,北部空品區,富貴角,2018-01-04 02:00:00,2,39.0,37.9,35.50987034514,-3.4901296548599987,TT_DOWN
148995,北部空品區,富貴角,2018-01-04 03:00:00,3,39.0,38.6,36.06540435676,-2.9345956432400016,TT_DOWN
148996,北部空品區,富貴角,2018-01-04 04:00:00,4,38.0,37.0,34.7956123302,-3.204387669799999,TT_DOWN
148997,北部空品區,富貴角,2018-01-04 05:00:00,5,38.0,36.5,34.39880232189999,-3.6011976781000072,TT_DOWN
148998,北部空品區,富貴角,2018-01-04 06:00:00,6,37.0,36.0,34.0019923136,-2.998007686400001,TT_DOWN
148999,北部空品區,富貴角,2018-01-04 07:00:00,7,37.0,33.5,32.0179422721,-4.982057727899999,TT_DOWN
149000,北部空品區,富貴角,2018-01-04 08:00:00,8,36.0,29.5,28.843462205699996,-7.156537794300004,TT_DOWN
149001,北部空品區,富貴角,2018-01-04 09:00:00,9,35.0,33.1,31.700494265459998,-3.299505734540002,TT_DOWN
149002,北部空品區,富貴角,2018-01-04 10:00:00,10,34.0,28.8,28.28792819408,-5.712071805920001,TT_DOWN
149003,北部空品區,富貴角,2018-01-04 11:00:00,11,33.0,30.1,29.31963421566,-3.680365784340001,TT_DOWN
149004,北部空品區,富貴角,2018-01-04 12:00:00,12,33.0,35.7,33.76390630862,0.7639063086200011,TT_DOWN
149005,北部空品區,富貴角,2018-01-04 13:00:00,13,33.0,39.9,37.09711037833999,4.097110378339991,TT_DOWN
149006,北部空品區,富貴角,2018-01-04 14:00:00,14,34.0,38.0,35.589232346799996,1.5892323467999958,TT_DOWN
149007,北部空品區,富貴角,2018-01-04 15:00:00,15,35.0,42.0,38.7637124132,3.763712413199997,TT_DOWN
149008,北部空品區,富貴角,2018-01-04 16:00:00,16,36.0,41.2,38.12881639992,2.128816399919998,TT_DOWN
149009,北部空品區,富貴角,2018-01-04 17:00:00,17,36.0,35.3,33.446458301979995,-2.5535416980200054,TT_DOWN
149010,北部空品區,富貴角,2018-01-04 18:00:00,18,38.0,39.2,36.54157636672,-1.458423633279999,TT_DOWN
149011,北部空品區,富貴角,2018-01-04 19:00:00,19,39.0,39.5,36.7796623717,-2.220337628300001,TT_DOWN
149012,北部空品區,富貴角,2018-01-04 20:00:00,20,39.0,39.2,36.54157636672,-2.458423633279999,TT_DOWN
149013,北部空品區,富貴角,2018-01-04 21:00:00,21,38.0,33.2,31.77985626712,-6.22014373288,TT_DOWN
149014,北部空品區,富貴角,2018-01-04 22:00:00,22,38.0,30.6,29.71644422396,-8.28355577604,TT_DOWN
149015,北部空品區,富貴角,2018-01-04 23:00:00,23,36.0,32.9,31.54177026214,-4.458229737860002,TT_DOWN
149016,北部空品區,富貴角,2018-01-05 00:00:00,0,35.0,32.3,31.065598252179996,-3.9344017478200044,TT_DOWN
149017,北部空品區,富貴角,2018-01-05 01:00:00,1,35.0,30.6,29.71644422396,-5.28355577604,TT_DOWN
149018,北部空品區,富貴角,2018-01-05 02:00:00,2,34.0,30.0,29.240272213999997,-4.759727786000003,TT_DOWN
