,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
481671,高屏空品區,小港,2018-01-01 00:00:00,0,29.0,14.9,11.36411961554,-17.635880384460002,TT_DOWN
481672,高屏空品區,小港,2018-01-01 01:00:00,1,24.0,9.9,7.3600603075399995,-16.63993969246,TT_DOWN
481673,高屏空品區,小港,2018-01-01 02:00:00,2,18.0,5.9,4.15681286114,-13.84318713886,TT_DOWN
481674,高屏空品區,小港,2018-01-01 03:00:00,3,14.0,6.1,4.316975233459999,-9.68302476654,TT_DOWN
481675,高屏空品區,小港,2018-01-01 04:00:00,4,12.0,9.9,7.3600603075399995,-4.6399396924600005,TT_DOWN
481676,高屏空品區,小港,2018-01-01 05:00:00,5,10.0,3.1,1.91453964866,-8.08546035134,TT_DOWN
481677,高屏空品區,小港,2018-01-01 06:00:00,6,8.0,3.4,2.15478320714,-5.8452167928600005,TT_DOWN
481678,高屏空品區,小港,2018-01-01 07:00:00,7,7.0,4.7,3.19583862722,-3.80416137278,TT_DOWN
481679,高屏空品區,小港,2018-01-01 08:00:00,8,6.0,7.4,5.358030653539999,-0.6419693464600007,TT_DOWN
481680,高屏空品區,小港,2018-01-01 09:00:00,9,8.0,21.4,16.569396715939998,8.569396715939998,TT_DOWN
481681,高屏空品區,小港,2018-01-01 10:00:00,10,13.0,44.2,34.82790716042,21.827907160419997,TT_DOWN
481682,高屏空品區,小港,2018-01-01 11:00:00,11,17.0,44.3,34.90798834658,17.907988346579998,TT_DOWN
481683,高屏空品區,小港,2018-01-01 12:00:00,12,24.0,66.5,52.686011674099994,28.686011674099994,TT_DOWN
481684,高屏空品區,小港,2018-01-01 13:00:00,13,33.0,71.4,56.60998979594,23.609989795940002,TT_DOWN
481685,高屏空品區,小港,2018-01-01 14:00:00,14,42.0,73.7,58.45185707762,16.451857077619998,TT_DOWN
481686,高屏空品區,小港,2018-01-01 15:00:00,15,50.0,67.7,53.64698590802,3.6469859080199996,TT_DOWN
481687,高屏空品區,小港,2018-01-01 16:00:00,16,57.0,69.1,54.76812251425999,-2.231877485740007,TT_DOWN
481688,高屏空品區,小港,2018-01-01 17:00:00,17,62.0,60.4,47.801059318339995,-14.198940681660005,TT_DOWN
481689,高屏空品區,小港,2018-01-01 18:00:00,18,64.0,55.1,43.55675645186,-20.443243548140003,TT_DOWN
481690,高屏空品區,小港,2018-01-01 19:00:00,19,64.0,44.6,35.14823190506,-28.85176809494,TT_DOWN
481691,高屏空品區,小港,2018-01-01 20:00:00,20,59.0,32.5,25.4584083797,-33.5415916203,TT_DOWN
481692,高屏空品區,小港,2018-01-01 21:00:00,21,54.0,26.1,20.33321246546,-33.66678753454,TT_DOWN
481693,高屏空品區,小港,2018-01-01 22:00:00,22,47.0,22.0,17.049883832899997,-29.950116167100003,TT_DOWN
481694,高屏空品區,小港,2018-01-01 23:00:00,23,40.0,12.6,9.52225233386,-30.47774766614,TT_DOWN
481695,高屏空品區,小港,2018-01-02 00:00:00,0,33.0,11.1,8.32103454146,-24.67896545854,TT_DOWN
481696,高屏空品區,小港,2018-01-02 01:00:00,1,27.0,8.7,6.399086073619999,-20.600913926380002,TT_DOWN
481697,高屏空品區,小港,2018-01-02 02:00:00,2,20.0,6.3,4.477137605779999,-15.52286239422,TT_DOWN
481698,高屏空品區,小港,2018-01-02 03:00:00,3,15.0,4.4,2.95559506874,-12.04440493126,TT_DOWN
481699,高屏空品區,小港,2018-01-02 04:00:00,4,12.0,6.1,4.316975233459999,-7.683024766540001,TT_DOWN
481700,高屏空品區,小港,2018-01-02 05:00:00,5,10.0,7.1,5.117787095059999,-4.882212904940001,TT_DOWN
481701,高屏空品區,小港,2018-01-02 06:00:00,6,8.0,4.2,2.7954326964200003,-5.204567303579999,TT_DOWN
481702,高屏空品區,小港,2018-01-02 07:00:00,7,7.0,5.1,3.51616337186,-3.48383662814,TT_DOWN
481703,高屏空品區,小港,2018-01-02 08:00:00,8,6.0,7.4,5.358030653539999,-0.6419693464600007,TT_DOWN
481704,高屏空品區,小港,2018-01-02 09:00:00,9,7.0,19.2,14.807610620419998,7.807610620419998,TT_DOWN
