,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
534228,高屏空品區,屏東,2018-01-01 00:00:00,0,31.0,14.7,14.375441278539999,-16.62455872146,TT_DOWN
534229,高屏空品區,屏東,2018-01-01 01:00:00,1,26.0,10.2,11.138400036639998,-14.861599963360002,TT_DOWN
534230,高屏空品區,屏東,2018-01-01 02:00:00,2,20.0,6.2,8.26103004384,-11.73896995616,TT_DOWN
534231,高屏空品區,屏東,2018-01-01 03:00:00,3,17.0,7.6,9.26810954132,-7.731890458680001,TT_DOWN
534232,高屏空品區,屏東,2018-01-01 04:00:00,4,13.0,6.1,8.18909579402,-4.81090420598,TT_DOWN
534233,高屏空品區,屏東,2018-01-01 05:00:00,5,12.0,9.8,10.85066303736,-1.1493369626399996,TT_DOWN
534234,高屏空品區,屏東,2018-01-01 06:00:00,6,10.0,5.1,7.4697532958199995,-2.5302467041800005,TT_DOWN
534235,高屏空品區,屏東,2018-01-01 07:00:00,7,8.0,7.7,9.34004379114,1.3400437911399994,TT_DOWN
534236,高屏空品區,屏東,2018-01-01 08:00:00,8,8.0,13.8,13.72803303016,5.728033030160001,TT_DOWN
534237,高屏空品區,屏東,2018-01-01 09:00:00,9,11.0,28.6,24.37430200352,13.37430200352,TT_DOWN
534238,高屏空品區,屏東,2018-01-01 10:00:00,10,16.0,48.6,38.76115196751999,22.761151967519993,TT_DOWN
534239,高屏空品區,屏東,2018-01-01 11:00:00,11,23.0,60.9,47.60906469537999,24.609064695379992,TT_DOWN
534240,高屏空品區,屏東,2018-01-01 12:00:00,12,30.0,64.2,49.982894939439994,19.982894939439994,TT_DOWN
534241,高屏空品區,屏東,2018-01-01 13:00:00,13,38.0,77.3,59.40628166585999,21.406281665859993,TT_DOWN
534242,高屏空品區,屏東,2018-01-01 14:00:00,14,48.0,84.4,64.51361340308,16.51361340308,TT_DOWN
534243,高屏空品區,屏東,2018-01-01 15:00:00,15,57.0,74.6,57.46405692071999,0.4640569207199903,TT_DOWN
534244,高屏空品區,屏東,2018-01-01 16:00:00,16,63.0,61.8,48.256472943759995,-14.743527056240005,TT_DOWN
534245,高屏空品區,屏東,2018-01-01 17:00:00,17,65.0,49.3,39.264691716259996,-25.735308283740004,TT_DOWN
534246,高屏空品區,屏東,2018-01-01 18:00:00,18,65.0,45.4,36.459255973279994,-28.540744026720006,TT_DOWN
534247,高屏空品區,屏東,2018-01-01 19:00:00,19,61.0,33.8,28.11488299416,-32.88511700584,TT_DOWN
534248,高屏空品區,屏東,2018-01-01 20:00:00,20,57.0,32.6,27.25167199632,-29.74832800368,TT_DOWN
534249,高屏空品區,屏東,2018-01-01 21:00:00,21,51.0,28.5,24.3023677537,-26.6976322463,TT_DOWN
534250,高屏空品區,屏東,2018-01-01 22:00:00,22,44.0,25.9,22.432077258379998,-21.567922741620002,TT_DOWN
534251,高屏空品區,屏東,2018-01-01 23:00:00,23,37.0,20.3,18.40375926846,-18.59624073154,TT_DOWN
534252,高屏空品區,屏東,2018-01-02 00:00:00,0,31.0,15.2,14.73511252764,-16.26488747236,TT_DOWN
534253,高屏空品區,屏東,2018-01-02 01:00:00,1,27.0,12.2,12.57708503304,-14.42291496696,TT_DOWN
534254,高屏空品區,屏東,2018-01-02 02:00:00,2,22.0,11.2,11.85774253484,-10.14225746516,TT_DOWN
534255,高屏空品區,屏東,2018-01-02 03:00:00,3,19.0,9.8,10.85066303736,-8.14933696264,TT_DOWN
534256,高屏空品區,屏東,2018-01-02 04:00:00,4,17.0,13.0,13.1525590316,-3.847440968400001,TT_DOWN
534257,高屏空品區,屏東,2018-01-02 05:00:00,5,16.0,17.4,16.317666023679998,0.3176660236799975,TT_DOWN
534258,高屏空品區,屏東,2018-01-02 06:00:00,6,13.0,7.3,9.05230679186,-3.9476932081400005,TT_DOWN
534259,高屏空品區,屏東,2018-01-02 07:00:00,7,11.0,4.8,7.25395054636,-3.7460494536400004,TT_DOWN
534260,高屏空品區,屏東,2018-01-02 08:00:00,8,12.0,18.9,17.396679770979997,5.396679770979997,TT_DOWN
534261,高屏空品區,屏東,2018-01-02 09:00:00,9,15.0,34.2,28.402619993440002,13.402619993440002,TT_DOWN
534262,高屏空品區,屏東,2018-01-02 10:00:00,10,19.0,50.3,39.984034214459996,20.984034214459996,TT_DOWN
