,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
402881,雲嘉南空品區,崙背,2018-01-01 00:00:00,0,31.0,32.9,27.56788903333,-3.432110966669999,TT_DOWN
402882,雲嘉南空品區,崙背,2018-01-01 01:00:00,1,31.0,32.4,27.151526227479998,-3.848473772520002,TT_DOWN
402883,雲嘉南空品區,崙背,2018-01-01 02:00:00,2,31.0,34.0,28.483887206200002,-2.516112793799998,TT_DOWN
402884,雲嘉南空品區,崙背,2018-01-01 03:00:00,3,32.0,33.7,28.234069522690003,-3.765930477309997,TT_DOWN
402885,雲嘉南空品區,崙背,2018-01-01 04:00:00,4,33.0,33.2,27.817706716840004,-5.182293283159996,TT_DOWN
402886,雲嘉南空品區,崙背,2018-01-01 05:00:00,5,33.0,31.5,26.40207317695,-6.597926823049999,TT_DOWN
402887,雲嘉南空品區,崙背,2018-01-01 06:00:00,6,33.0,30.3,25.40280244291,-7.5971975570899986,TT_DOWN
402888,雲嘉南空品區,崙背,2018-01-01 07:00:00,7,32.0,30.6,25.65262012642,-6.3473798735799996,TT_DOWN
402889,雲嘉南空品區,崙背,2018-01-01 08:00:00,8,32.0,34.2,28.650432328540003,-3.3495676714599973,TT_DOWN
402890,雲嘉南空品區,崙背,2018-01-01 09:00:00,9,33.0,37.3,31.23188172481,-1.7681182751900018,TT_DOWN
402891,雲嘉南空品區,崙背,2018-01-01 10:00:00,10,33.0,32.2,26.984981105140005,-6.015018894859995,TT_DOWN
402892,雲嘉南空品區,崙背,2018-01-01 11:00:00,11,34.0,40.1,33.56351343757,-0.43648656242999806,TT_DOWN
402893,雲嘉南空品區,崙背,2018-01-01 12:00:00,12,36.0,52.0,43.4729482168,7.472948216799999,TT_DOWN
402894,雲嘉南空品區,崙背,2018-01-01 13:00:00,13,39.0,57.9,48.38602932583,9.386029325830002,TT_DOWN
402895,雲嘉南空品區,崙背,2018-01-01 14:00:00,14,43.0,63.5,53.04929275135,10.049292751350002,TT_DOWN
402896,雲嘉南空品區,崙背,2018-01-01 15:00:00,15,47.0,59.9,50.05148054923,3.05148054923,TT_DOWN
402897,雲嘉南空品區,崙背,2018-01-01 16:00:00,16,50.0,54.9,45.88785249073,-4.112147509270002,TT_DOWN
402898,雲嘉南空品區,崙背,2018-01-01 17:00:00,17,51.0,48.9,40.89149882053,-10.108501179469997,TT_DOWN
402899,雲嘉南空品區,崙背,2018-01-01 18:00:00,18,53.0,43.5,36.39478051735,-16.60521948265,TT_DOWN
402900,雲嘉南空品區,崙背,2018-01-01 19:00:00,19,52.0,37.9,31.73151709183,-20.26848290817,TT_DOWN
402901,雲嘉南空品區,崙背,2018-01-01 20:00:00,20,50.0,32.0,26.8184359828,-23.1815640172,TT_DOWN
402902,雲嘉南空品區,崙背,2018-01-01 21:00:00,21,45.0,22.1,18.57445242697,-26.42554757303,TT_DOWN
402903,雲嘉南空品區,崙背,2018-01-01 22:00:00,22,41.0,24.8,20.82281157856,-20.17718842144,TT_DOWN
402904,雲嘉南空品區,崙背,2018-01-01 23:00:00,23,35.0,19.1,16.07627559187,-18.92372440813,TT_DOWN
402905,雲嘉南空品區,崙背,2018-01-02 00:00:00,0,30.0,15.4,12.99519082858,-17.00480917142,TT_DOWN
402906,雲嘉南空品區,崙背,2018-01-02 01:00:00,1,26.0,14.6,12.32901033922,-13.67098966078,TT_DOWN
402907,雲嘉南空品區,崙背,2018-01-02 02:00:00,2,22.0,11.5,9.747560942949999,-12.252439057050001,TT_DOWN
402908,雲嘉南空品區,崙背,2018-01-02 03:00:00,3,18.0,8.2,6.99956642434,-11.00043357566,TT_DOWN
402909,雲嘉南空品區,崙背,2018-01-02 04:00:00,4,15.0,6.1,5.25084263977,-9.74915736023,TT_DOWN
402910,雲嘉南空品區,崙背,2018-01-02 05:00:00,5,13.0,2.0,1.8366676318000001,-11.163332368199999,TT_DOWN
402911,雲嘉南空品區,崙背,2018-01-02 06:00:00,6,10.0,2.3,2.08648531531,-7.91351468469,TT_DOWN
402912,雲嘉南空品區,崙背,2018-01-02 07:00:00,7,8.0,4.3,3.75193653871,-4.24806346129,TT_DOWN
402913,雲嘉南空品區,崙背,2018-01-02 08:00:00,8,8.0,11.8,9.99737862646,1.9973786264599998,TT_DOWN
402914,雲嘉南空品區,崙背,2018-01-02 09:00:00,9,9.0,24.4,20.48972133388,11.489721333879999,TT_DOWN
402915,雲嘉南空品區,崙背,2018-01-02 10:00:00,10,12.0,33.8,28.317342083859998,16.317342083859998,TT_DOWN
402916,雲嘉南空品區,崙背,2018-01-02 11:00:00,11,16.0,41.2,34.47951161044001,18.479511610440007,TT_DOWN
402917,雲嘉南空品區,崙背,2018-01-02 12:00:00,12,21.0,51.6,43.139857972120005,22.139857972120005,TT_DOWN
402918,雲嘉南空品區,崙背,2018-01-02 13:00:00,13,28.0,56.1,46.88712322477,18.88712322477,TT_DOWN
402919,雲嘉南空品區,崙背,2018-01-02 14:00:00,14,35.0,58.6,48.968937254020005,13.968937254020005,TT_DOWN
402920,雲嘉南空品區,崙背,2018-01-02 15:00:00,15,42.0,54.5,45.554762246050004,3.5547622460500037,TT_DOWN
402921,雲嘉南空品區,崙背,2018-01-02 16:00:00,16,47.0,51.8,43.30640309446,-3.693596905539998,TT_DOWN
402922,雲嘉南空品區,崙背,2018-01-02 17:00:00,17,49.0,44.7,37.39405125139,-11.605948748609997,TT_DOWN
402923,雲嘉南空品區,崙背,2018-01-02 18:00:00,18,50.0,38.3,32.06460733651,-17.93539266349,TT_DOWN
