,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
499191,高屏空品區,左營,2018-01-01 00:00:00,0,29.0,14.5,11.14898624925,-17.85101375075,TT_DOWN
499192,高屏空品區,左營,2018-01-01 01:00:00,1,24.0,12.9,9.82522569869,-14.17477430131,TT_DOWN
499193,高屏空品區,左營,2018-01-01 02:00:00,2,19.0,12.0,9.080610388999999,-9.919389611000001,TT_DOWN
499194,高屏空品區,左營,2018-01-01 03:00:00,3,16.0,8.4,6.10214915024,-9.897850849760001,TT_DOWN
499195,高屏空品區,左營,2018-01-01 04:00:00,4,14.0,9.8,7.26043963198,-6.73956036802,TT_DOWN
499196,高屏空品區,左營,2018-01-01 05:00:00,5,12.0,10.3,7.67411480403,-4.32588519597,TT_DOWN
499197,高屏空品區,左營,2018-01-01 06:00:00,6,11.0,8.0,5.7712090126,-5.2287909874,TT_DOWN
499198,高屏空品區,左營,2018-01-01 07:00:00,7,11.0,8.7,6.350354253469999,-4.649645746530001,TT_DOWN
499199,高屏空品區,左營,2018-01-01 08:00:00,8,11.0,14.5,11.14898624925,0.14898624924999915,TT_DOWN
499200,高屏空品區,左營,2018-01-01 09:00:00,9,12.0,24.9,19.75342982789,7.753429827889999,TT_DOWN
499201,高屏空品區,左營,2018-01-01 10:00:00,10,16.0,41.3,33.32197547113,17.321975471130003,TT_DOWN
499202,高屏空品區,左營,2018-01-01 11:00:00,11,22.0,57.5,46.72505104555,24.725051045550003,TT_DOWN
499203,高屏空品區,左營,2018-01-01 12:00:00,12,30.0,72.6,59.21804124145999,29.218041241459993,TT_DOWN
499204,高屏空品區,左營,2018-01-01 13:00:00,13,39.0,85.4,69.80812564594001,30.80812564594001,TT_DOWN
499205,高屏空品區,左營,2018-01-01 14:00:00,14,48.0,82.5,67.40880964805,19.408809648049996,TT_DOWN
499206,高屏空品區,左營,2018-01-01 15:00:00,15,57.0,79.1,64.59581847810999,7.59581847810999,TT_DOWN
499207,高屏空品區,左營,2018-01-01 16:00:00,16,65.0,75.0,61.2036820673,-3.796317932699999,TT_DOWN
499208,高屏空品區,左營,2018-01-01 17:00:00,17,69.0,60.7,49.37257214667,-19.627427853329998,TT_DOWN
499209,高屏空品區,左營,2018-01-01 18:00:00,18,70.0,48.8,39.52710305188,-30.472896948120002,TT_DOWN
499210,高屏空品區,左營,2018-01-01 19:00:00,19,68.0,43.2,34.893941124920005,-33.106058875079995,TT_DOWN
499211,高屏空品區,左營,2018-01-01 20:00:00,20,64.0,37.4,30.09530912914,-33.90469087086,TT_DOWN
499212,高屏空品區,左營,2018-01-01 21:00:00,21,57.0,29.5,23.559241410749998,-33.44075858925,TT_DOWN
499213,高屏空品區,左營,2018-01-01 22:00:00,22,50.0,24.1,19.09154955261,-30.90845044739,TT_DOWN
499214,高屏空品區,左營,2018-01-01 23:00:00,23,42.0,21.0,16.5267634859,-25.4732365141,TT_DOWN
