,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
70080,北部空品區,平鎮,2018-01-01 00:00:00,0,31.0,39.3,33.132253035359994,2.1322530353599944,TT_DOWN
70081,北部空品區,平鎮,2018-01-01 01:00:00,1,33.0,39.1,32.97347947232,-0.026520527679998906,TT_DOWN
70082,北部空品區,平鎮,2018-01-01 02:00:00,2,35.0,39.9,33.608573724479996,-1.3914262755200042,TT_DOWN
70083,北部空品區,平鎮,2018-01-01 03:00:00,3,37.0,42.8,35.910790388559995,-1.0892096114400047,TT_DOWN
70084,北部空品區,平鎮,2018-01-01 04:00:00,4,38.0,42.6,35.752016825519995,-2.247983174480005,TT_DOWN
70085,北部空品區,平鎮,2018-01-01 05:00:00,5,40.0,42.3,35.513856480959994,-4.486143519040006,TT_DOWN
70086,北部空品區,平鎮,2018-01-01 06:00:00,6,40.0,40.4,34.00550763208,-5.994492367920003,TT_DOWN
70087,北部空品區,平鎮,2018-01-01 07:00:00,7,41.0,39.4,33.211639816879995,-7.788360183120005,TT_DOWN
70088,北部空品區,平鎮,2018-01-01 08:00:00,8,41.0,41.8,35.11692257335999,-5.883077426640007,TT_DOWN
70089,北部空品區,平鎮,2018-01-01 09:00:00,9,42.0,43.0,36.069563951599996,-5.930436048400004,TT_DOWN
70090,北部空品區,平鎮,2018-01-01 10:00:00,10,42.0,44.2,37.02220532984,-4.9777946701600015,TT_DOWN
70091,北部空品區,平鎮,2018-01-01 11:00:00,11,42.0,43.6,36.54588464072,-5.454115359280003,TT_DOWN
70092,北部空品區,平鎮,2018-01-01 12:00:00,12,42.0,44.5,37.26036567439999,-4.739634325600008,TT_DOWN
70093,北部空品區,平鎮,2018-01-01 13:00:00,13,43.0,44.2,37.02220532984,-5.9777946701600015,TT_DOWN
70094,北部空品區,平鎮,2018-01-01 14:00:00,14,43.0,41.8,35.11692257335999,-7.883077426640007,TT_DOWN
70095,北部空品區,平鎮,2018-01-01 15:00:00,15,43.0,41.5,34.87876222879999,-8.121237771200008,TT_DOWN
70096,北部空品區,平鎮,2018-01-01 16:00:00,16,43.0,39.4,33.211639816879995,-9.788360183120005,TT_DOWN
70097,北部空品區,平鎮,2018-01-01 17:00:00,17,42.0,37.1,31.38574384192,-10.61425615808,TT_DOWN
70098,北部空品區,平鎮,2018-01-01 18:00:00,18,41.0,35.4,30.036168556079996,-10.963831443920004,TT_DOWN
70099,北部空品區,平鎮,2018-01-01 19:00:00,19,40.0,35.0,29.71862143,-10.281378570000001,TT_DOWN
70100,北部空品區,平鎮,2018-01-01 20:00:00,20,38.0,32.2,27.495791547440003,-10.504208452559997,TT_DOWN
70101,北部空品區,平鎮,2018-01-01 21:00:00,21,37.0,32.0,27.3370179844,-9.6629820156,TT_DOWN
70102,北部空品區,平鎮,2018-01-01 22:00:00,22,36.0,32.7,27.89272545504,-8.10727454496,TT_DOWN
70103,北部空品區,平鎮,2018-01-01 23:00:00,23,35.0,36.9,31.226970278879996,-3.773029721120004,TT_DOWN
70104,北部空品區,平鎮,2018-01-02 00:00:00,0,35.0,40.0,33.687960505999996,-1.312039494000004,TT_DOWN
70105,北部空品區,平鎮,2018-01-02 01:00:00,1,36.0,41.4,34.79937544727999,-1.200624552720008,TT_DOWN
70106,北部空品區,平鎮,2018-01-02 02:00:00,2,36.0,39.3,33.132253035359994,-2.8677469646400056,TT_DOWN
70107,北部空品區,平鎮,2018-01-02 03:00:00,3,37.0,41.1,34.56121510272,-2.4387848972800015,TT_DOWN
70108,北部空品區,平鎮,2018-01-02 04:00:00,4,38.0,40.5,34.0848944136,-3.915105586400003,TT_DOWN
70109,北部空品區,平鎮,2018-01-02 05:00:00,5,39.0,38.8,32.73531912775999,-6.264680872240007,TT_DOWN
70110,北部空品區,平鎮,2018-01-02 06:00:00,6,39.0,34.9,29.63923464848,-9.360765351520001,TT_DOWN
70111,北部空品區,平鎮,2018-01-02 07:00:00,7,38.0,30.7,26.30498982464,-11.69501017536,TT_DOWN
70112,北部空品區,平鎮,2018-01-02 08:00:00,8,37.0,31.9,27.25763120288,-9.742368797120001,TT_DOWN
70113,北部空品區,平鎮,2018-01-02 09:00:00,9,36.0,34.5,29.321687522399998,-6.678312477600002,TT_DOWN
70114,北部空品區,平鎮,2018-01-02 10:00:00,10,36.0,36.8,31.147583497359996,-4.852416502640004,TT_DOWN
70115,北部空品區,平鎮,2018-01-02 11:00:00,11,36.0,40.0,33.687960505999996,-2.312039494000004,TT_DOWN
70116,北部空品區,平鎮,2018-01-02 12:00:00,12,36.0,41.7,35.03753579184,-0.9624642081600001,TT_DOWN
70117,北部空品區,平鎮,2018-01-02 13:00:00,13,36.0,40.7,34.24366797664,-1.7563320233600024,TT_DOWN
70118,北部空品區,平鎮,2018-01-02 14:00:00,14,37.0,38.6,32.57654556472,-4.42345443528,TT_DOWN
70119,北部空品區,平鎮,2018-01-02 15:00:00,15,38.0,36.1,30.59187602672,-7.408123973279999,TT_DOWN
70120,北部空品區,平鎮,2018-01-02 16:00:00,16,37.0,31.0,26.5431501692,-10.4568498308,TT_DOWN
70121,北部空品區,平鎮,2018-01-02 17:00:00,17,36.0,25.7,22.33565074864,-13.664349251360001,TT_DOWN
70122,北部空品區,平鎮,2018-01-02 18:00:00,18,35.0,23.1,20.27159442912,-14.72840557088,TT_DOWN
70123,北部空品區,平鎮,2018-01-02 19:00:00,19,32.0,22.2,19.55711339544,-12.442886604560002,TT_DOWN
70124,北部空品區,平鎮,2018-01-02 20:00:00,20,30.0,22.2,19.55711339544,-10.442886604560002,TT_DOWN
70125,北部空品區,平鎮,2018-01-02 21:00:00,21,28.0,24.2,21.14484902584,-6.855150974160001,TT_DOWN
70126,北部空品區,平鎮,2018-01-02 22:00:00,22,26.0,27.2,23.52645247144,-2.473547528560001,TT_DOWN
70127,北部空品區,平鎮,2018-01-02 23:00:00,23,25.0,22.1,19.47772661392,-5.522273386079998,TT_DOWN
70128,北部空品區,平鎮,2018-01-03 00:00:00,0,22.0,11.4,10.983340991279999,-11.016659008720001,TT_DOWN
70129,北部空品區,平鎮,2018-01-03 01:00:00,1,21.0,17.3,15.66716110096,-5.33283889904,TT_DOWN
70130,北部空品區,平鎮,2018-01-03 02:00:00,2,21.0,22.8,20.03343408456,-0.9665659154400004,TT_DOWN
70131,北部空品區,平鎮,2018-01-03 03:00:00,3,21.0,21.3,18.84263236176,-2.15736763824,TT_DOWN
70132,北部空品區,平鎮,2018-01-03 04:00:00,4,20.0,17.1,15.50838753792,-4.491612462080001,TT_DOWN
70133,北部空品區,平鎮,2018-01-03 05:00:00,5,18.0,6.7,7.25216225984,-10.74783774016,TT_DOWN
70134,北部空品區,平鎮,2018-01-03 06:00:00,6,15.0,2.0,3.5209835284,-11.4790164716,TT_DOWN
70135,北部空品區,平鎮,2018-01-03 07:00:00,7,13.0,3.5,4.7117852512,-8.2882147488,TT_DOWN
70136,北部空品區,平鎮,2018-01-03 08:00:00,8,12.0,8.6,8.76051110872,-3.2394888912800006,TT_DOWN
70137,北部空品區,平鎮,2018-01-03 09:00:00,9,13.0,21.9,19.318953050879998,6.318953050879998,TT_DOWN
70138,北部空品區,平鎮,2018-01-03 10:00:00,10,14.0,33.0,28.130885799599998,14.130885799599998,TT_DOWN
70139,北部空品區,平鎮,2018-01-03 11:00:00,11,17.0,43.4,36.38711107768,19.387111077679997,TT_DOWN
70140,北部空品區,平鎮,2018-01-03 12:00:00,12,21.0,48.0,40.03890302759999,19.038903027599993,TT_DOWN
70141,北部空品區,平鎮,2018-01-03 13:00:00,13,27.0,56.5,46.78677945679999,19.78677945679999,TT_DOWN
70142,北部空品區,平鎮,2018-01-03 14:00:00,14,34.0,59.5,49.16838290239999,15.16838290239999,TT_DOWN
70143,北部空品區,平鎮,2018-01-03 15:00:00,15,38.0,30.6,26.22560304312,-11.77439695688,TT_DOWN
70144,北部空品區,平鎮,2018-01-03 16:00:00,16,40.0,28.4,24.479093849679998,-15.520906150320002,TT_DOWN
70145,北部空品區,平鎮,2018-01-03 17:00:00,17,41.0,24.7,21.54178293344,-19.45821706656,TT_DOWN
70146,北部空品區,平鎮,2018-01-03 18:00:00,18,40.0,25.3,22.01810362256,-17.98189637744,TT_DOWN
70147,北部空品區,平鎮,2018-01-03 19:00:00,19,37.0,26.9,23.28829212688,-13.711707873120002,TT_DOWN
70148,北部空品區,平鎮,2018-01-03 20:00:00,20,35.0,26.8,23.20890534536,-11.791094654639998,TT_DOWN
