,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
350396,中部空品區,彰化,2018-01-01 00:00:00,0,27.0,29.2,24.15778196328,-2.8422180367199985,TT_DOWN
350397,中部空品區,彰化,2018-01-01 01:00:00,1,28.0,30.5,25.1881354802,-2.8118645198000003,TT_DOWN
350398,中部空品區,彰化,2018-01-01 02:00:00,2,29.0,32.6,26.852552699840004,-2.147447300159996,TT_DOWN
350399,中部空品區,彰化,2018-01-01 03:00:00,3,30.0,31.9,26.29774695996,-3.7022530400399987,TT_DOWN
350400,中部空品區,彰化,2018-01-01 04:00:00,4,30.0,30.9,25.50516733156,-4.494832668440001,TT_DOWN
350401,中部空品區,彰化,2018-01-01 05:00:00,5,31.0,30.6,25.267393443040003,-5.732606556959997,TT_DOWN
350402,中部空品區,彰化,2018-01-01 06:00:00,6,31.0,28.5,23.602976223400002,-7.3970237765999975,TT_DOWN
350403,中部空品區,彰化,2018-01-01 07:00:00,7,30.0,24.0,20.0363678956,-9.963632104399998,TT_DOWN
350404,中部空品區,彰化,2018-01-01 08:00:00,8,29.0,26.4,21.93855900376,-7.061440996240002,TT_DOWN
350405,中部空品區,彰化,2018-01-01 09:00:00,9,30.0,31.1,25.663683257240002,-4.336316742759998,TT_DOWN
350406,中部空品區,彰化,2018-01-01 10:00:00,10,30.0,39.1,32.004320284440006,2.0043202844400057,TT_DOWN
350407,中部空品區,彰化,2018-01-01 11:00:00,11,32.0,46.3,37.71089360892,5.710893608920003,TT_DOWN
350408,中部空品區,彰化,2018-01-01 12:00:00,12,35.0,55.3,44.84411026452,9.844110264519998,TT_DOWN
350409,中部空品區,彰化,2018-01-01 13:00:00,13,39.0,60.3,48.80700840652,9.807008406519998,TT_DOWN
350410,中部空品區,彰化,2018-01-01 14:00:00,14,43.0,57.9,46.90481729836,3.904817298360001,TT_DOWN
350411,中部空品區,彰化,2018-01-01 15:00:00,15,46.0,51.0,41.4360178624,-4.5639821376,TT_DOWN
350412,中部空品區,彰化,2018-01-01 16:00:00,16,48.0,43.0,35.095380835200004,-12.904619164799996,TT_DOWN
350413,中部空品區,彰化,2018-01-01 17:00:00,17,49.0,38.1,31.211740656040003,-17.788259343959997,TT_DOWN
