,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
560479,高屏空品區,復興,2018-01-01 00:00:00,0,23.0,10.9,8.183254462850002,-14.816745537149998,TT_DOWN
560480,高屏空品區,復興,2018-01-01 01:00:00,1,19.0,12.0,9.0669262381,-9.9330737619,TT_DOWN
560481,高屏空品區,復興,2018-01-01 02:00:00,2,16.0,10.3,7.701251676350001,-8.298748323649999,TT_DOWN
560482,高屏空品區,復興,2018-01-01 03:00:00,3,13.0,8.7,6.41591091235,-6.58408908765,TT_DOWN
560483,高屏空品區,復興,2018-01-01 04:00:00,4,12.0,7.7,5.612572934850001,-6.387427065149999,TT_DOWN
560484,高屏空品區,復興,2018-01-01 05:00:00,5,10.0,9.4,6.978247496600001,-3.0217525033999992,TT_DOWN
560485,高屏空品區,復興,2018-01-01 06:00:00,6,10.0,7.6,5.5322391371,-4.4677608629,TT_DOWN
560486,高屏空品區,復興,2018-01-01 07:00:00,7,9.0,7.4,5.371571541600001,-3.6284284583999993,TT_DOWN
560487,高屏空品區,復興,2018-01-01 08:00:00,8,9.0,10.7,8.02258686735,-0.9774131326499997,TT_DOWN
560488,高屏空品區,復興,2018-01-01 09:00:00,9,10.0,20.1,15.573963855850002,5.5739638558500015,TT_DOWN
560489,高屏空品區,復興,2018-01-01 10:00:00,10,14.0,42.8,33.8097359451,19.8097359451,TT_DOWN
560490,高屏空品區,復興,2018-01-01 11:00:00,11,19.0,48.3,38.22809482135,19.22809482135,TT_DOWN
560491,高屏空品區,復興,2018-01-01 12:00:00,12,26.0,58.0,46.0204732031,20.020473203100003,TT_DOWN
560492,高屏空品區,復興,2018-01-01 13:00:00,13,33.0,65.2,51.804506641100005,18.804506641100005,TT_DOWN
560493,高屏空品區,復興,2018-01-01 14:00:00,14,40.0,66.2,52.607844618600005,12.607844618600005,TT_DOWN
560494,高屏空品區,復興,2018-01-01 15:00:00,15,47.0,62.7,49.79616169735001,2.7961616973500085,TT_DOWN
560495,高屏空品區,復興,2018-01-01 16:00:00,16,53.0,60.4,47.9484843491,-5.051515650900001,TT_DOWN
560496,高屏空品區,復興,2018-01-01 17:00:00,17,57.0,55.4,43.9317944616,-13.0682055384,TT_DOWN
560497,高屏空品區,復興,2018-01-01 18:00:00,18,58.0,44.1,34.854075315850004,-23.145924684149996,TT_DOWN
560498,高屏空品區,復興,2018-01-01 19:00:00,19,56.0,35.4,27.8650349116,-28.1349650884,TT_DOWN
560499,高屏空品區,復興,2018-01-01 20:00:00,20,52.0,25.3,19.75132133885,-32.248678661149995,TT_DOWN
560500,高屏空品區,復興,2018-01-01 21:00:00,21,46.0,22.4,17.4216412041,-28.5783587959,TT_DOWN
560501,高屏空品區,復興,2018-01-01 22:00:00,22,41.0,19.1,14.770625878350002,-26.229374121649997,TT_DOWN
560502,高屏空品區,復興,2018-01-01 23:00:00,23,34.0,12.9,9.789930417850002,-24.21006958215,TT_DOWN
560503,高屏空品區,復興,2018-01-02 00:00:00,0,28.0,12.1,9.14726003585,-18.85273996415,TT_DOWN
560504,高屏空品區,復興,2018-01-02 01:00:00,1,23.0,10.9,8.183254462850002,-14.816745537149998,TT_DOWN
560505,高屏空品區,復興,2018-01-02 02:00:00,2,18.0,8.4,6.174909519100001,-11.825090480899998,TT_DOWN
560506,高屏空品區,復興,2018-01-02 03:00:00,3,15.0,9.9,7.379916485350001,-7.620083514649999,TT_DOWN
560507,高屏空品區,復興,2018-01-02 04:00:00,4,13.0,11.2,8.4242558561,-4.5757441439,TT_DOWN
560508,高屏空品區,復興,2018-01-02 05:00:00,5,12.0,15.3,11.717941563850001,-0.2820584361499989,TT_DOWN
560509,高屏空品區,復興,2018-01-02 06:00:00,6,11.0,10.2,7.6209178786,-3.3790821213999997,TT_DOWN
560510,高屏空品區,復興,2018-01-02 07:00:00,7,10.0,5.1,3.52389419335,-6.476105806650001,TT_DOWN
560511,高屏空品區,復興,2018-01-02 08:00:00,8,10.0,7.4,5.371571541600001,-4.628428458399999,TT_DOWN
560512,高屏空品區,復興,2018-01-02 09:00:00,9,13.0,33.2,26.0976913611,13.0976913611,TT_DOWN
560513,高屏空品區,復興,2018-01-02 10:00:00,10,16.0,35.3,27.784701113849998,11.784701113849998,TT_DOWN
560514,高屏空品區,復興,2018-01-02 11:00:00,11,22.0,54.9,43.53012547285,21.530125472850003,TT_DOWN
560515,高屏空品區,復興,2018-01-02 12:00:00,12,28.0,60.2,47.787816753600005,19.787816753600005,TT_DOWN
560516,高屏空品區,復興,2018-01-02 13:00:00,13,34.0,69.1,54.93752475335,20.937524753349997,TT_DOWN
560517,高屏空品區,復興,2018-01-02 14:00:00,14,40.0,57.5,45.61880421435,5.61880421435,TT_DOWN
560518,高屏空品區,復興,2018-01-02 15:00:00,15,47.0,55.2,43.771126866100005,-3.228873133899995,TT_DOWN
560519,高屏空品區,復興,2018-01-02 16:00:00,16,50.0,34.7,27.30269832735,-22.69730167265,TT_DOWN
560520,高屏空品區,復興,2018-01-02 17:00:00,17,50.0,29.6,23.2056746421,-26.7943253579,TT_DOWN
560521,高屏空品區,復興,2018-01-02 18:00:00,18,51.0,43.4,34.2917387316,-16.7082612684,TT_DOWN
560522,高屏空品區,復興,2018-01-02 19:00:00,19,49.0,43.4,34.2917387316,-14.708261268400001,TT_DOWN
560523,高屏空品區,復興,2018-01-02 20:00:00,20,47.0,43.1,34.050737338350004,-12.949262661649996,TT_DOWN
