,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
324116,中部空品區,忠明,2018-01-01 00:00:00,0,26.0,30.9,25.280607445149993,-0.7193925548500069,TT_DOWN
324117,中部空品區,忠明,2018-01-01 01:00:00,1,27.0,31.2,25.516102151199995,-1.4838978488000052,TT_DOWN
324118,中部空品區,忠明,2018-01-01 02:00:00,2,28.0,30.7,25.123610974449996,-2.8763890255500044,TT_DOWN
324119,中部空品區,忠明,2018-01-01 03:00:00,3,29.0,31.3,25.594600386549995,-3.4053996134500046,TT_DOWN
324120,中部空品區,忠明,2018-01-01 04:00:00,4,29.0,30.7,25.123610974449996,-3.8763890255500044,TT_DOWN
324121,中部空品區,忠明,2018-01-01 05:00:00,5,30.0,30.3,24.809618033049997,-5.190381966950003,TT_DOWN
324122,中部空品區,忠明,2018-01-01 06:00:00,6,30.0,29.7,24.338628620949997,-5.661371379050003,TT_DOWN
324123,中部空品區,忠明,2018-01-01 07:00:00,7,30.0,24.8,20.4922150888,-9.507784911200002,TT_DOWN
324124,中部空品區,忠明,2018-01-01 08:00:00,8,29.0,24.3,20.099723912049996,-8.900276087950004,TT_DOWN
324125,中部空品區,忠明,2018-01-01 09:00:00,9,29.0,28.6,23.475148032099998,-5.524851967900002,TT_DOWN
324126,中部空品區,忠明,2018-01-01 10:00:00,10,30.0,39.6,32.1099539206,2.109953920599999,TT_DOWN
324127,中部空品區,忠明,2018-01-01 11:00:00,11,32.0,46.9,37.84032510114999,5.840325101149993,TT_DOWN
324128,中部空品區,忠明,2018-01-01 12:00:00,12,35.0,55.8,44.82666804729999,9.82666804729999,TT_DOWN
324129,中部空品區,忠明,2018-01-01 13:00:00,13,39.0,64.2,51.42051981669999,12.420519816699993,TT_DOWN
324130,中部空品區,忠明,2018-01-01 14:00:00,14,43.0,63.6,50.94953040459999,7.94953040459999,TT_DOWN
324131,中部空品區,忠明,2018-01-01 15:00:00,15,48.0,57.1,45.84714510684999,-2.152854893150007,TT_DOWN
324132,中部空品區,忠明,2018-01-01 16:00:00,16,51.0,50.1,40.35226863235,-10.647731367650003,TT_DOWN
324133,中部空品區,忠明,2018-01-01 17:00:00,17,52.0,38.0,30.853982154999994,-21.146017845000006,TT_DOWN
324134,中部空品區,忠明,2018-01-01 18:00:00,18,51.0,32.2,26.301084504699997,-24.698915495300003,TT_DOWN
324135,中部空品區,忠明,2018-01-01 19:00:00,19,49.0,27.7,22.768663913949997,-26.231336086050003,TT_DOWN
324136,中部空品區,忠明,2018-01-01 20:00:00,20,44.0,21.2,17.666278616199996,-26.333721383800004,TT_DOWN
324137,中部空品區,忠明,2018-01-01 21:00:00,21,38.0,13.5,11.62191449425,-26.37808550575,TT_DOWN
324138,中部空品區,忠明,2018-01-01 22:00:00,22,31.0,10.0,8.874476257,-22.125523743000002,TT_DOWN
324139,中部空品區,忠明,2018-01-01 23:00:00,23,24.0,3.1,3.4580980178500003,-20.54190198215,TT_DOWN
324140,中部空品區,忠明,2018-01-02 00:00:00,0,18.0,1.8,2.4376209583,-15.5623790417,TT_DOWN
324141,中部空品區,忠明,2018-01-02 01:00:00,1,14.0,1.7,2.3591227229499996,-11.64087727705,TT_DOWN
324142,中部空品區,忠明,2018-01-02 02:00:00,2,10.0,1.6,2.2806244876,-7.7193755124,TT_DOWN
324143,中部空品區,忠明,2018-01-02 03:00:00,3,7.0,1.8,2.4376209583,-4.5623790417,TT_DOWN
324144,中部空品區,忠明,2018-01-02 04:00:00,4,4.0,1.7,2.3591227229499996,-1.6408772770500004,TT_DOWN
324145,中部空品區,忠明,2018-01-02 05:00:00,5,3.0,2.0,2.594617429,-0.4053825710000001,TT_DOWN
324146,中部空品區,忠明,2018-01-02 06:00:00,6,2.0,1.8,2.4376209583,0.43762095830000014,TT_DOWN
324147,中部空品區,忠明,2018-01-02 07:00:00,7,2.0,2.7,3.14410507645,1.1441050764499998,TT_DOWN
324148,中部空品區,忠明,2018-01-02 08:00:00,8,2.0,5.2,5.1065609601999995,3.1065609601999995,TT_DOWN
324149,中部空品區,忠明,2018-01-02 09:00:00,9,4.0,11.5,10.051949787249999,6.051949787249999,TT_DOWN
324150,中部空品區,忠明,2018-01-02 10:00:00,10,6.0,22.8,18.922250381799998,12.922250381799998,TT_DOWN
324151,中部空品區,忠明,2018-01-02 11:00:00,11,11.0,36.9,29.990501566149995,18.990501566149995,TT_DOWN
324152,中部空品區,忠明,2018-01-02 12:00:00,12,16.0,44.0,35.563876275999995,19.563876275999995,TT_DOWN
324153,中部空品區,忠明,2018-01-02 13:00:00,13,22.0,52.1,41.922233339349994,19.922233339349994,TT_DOWN
324154,中部空品區,忠明,2018-01-02 14:00:00,14,29.0,56.2,45.1406609887,16.1406609887,TT_DOWN
324155,中部空品區,忠明,2018-01-02 15:00:00,15,34.0,46.8,37.76182686579999,3.761826865799989,TT_DOWN
324156,中部空品區,忠明,2018-01-02 16:00:00,16,39.0,42.4,34.30790451039999,-4.692095489600007,TT_DOWN
324157,中部空品區,忠明,2018-01-02 17:00:00,17,42.0,31.2,25.516102151199995,-16.483897848800005,TT_DOWN
324158,中部空品區,忠明,2018-01-02 18:00:00,18,42.0,24.8,20.4922150888,-21.5077849112,TT_DOWN
324159,中部空品區,忠明,2018-01-02 19:00:00,19,38.0,7.9,7.226013314649999,-30.77398668535,TT_DOWN
324160,中部空品區,忠明,2018-01-02 20:00:00,20,33.0,3.7,3.92908742995,-29.070912570049998,TT_DOWN
324161,中部空品區,忠明,2018-01-02 21:00:00,21,28.0,7.2,6.676525667199999,-21.3234743328,TT_DOWN
324162,中部空品區,忠明,2018-01-02 22:00:00,22,21.0,6.3,5.970041549049999,-15.029958450950001,TT_DOWN
324163,中部空品區,忠明,2018-01-02 23:00:00,23,17.0,9.1,8.16799213885,-8.83200786115,TT_DOWN
324164,中部空品區,忠明,2018-01-03 00:00:00,0,12.0,4.0,4.164582136,-7.835417864,TT_DOWN
324165,中部空品區,忠明,2018-01-03 01:00:00,1,8.0,4.7,4.714069783449999,-3.2859302165500006,TT_DOWN
324166,中部空品區,忠明,2018-01-03 02:00:00,2,6.0,7.1,6.5980274318499985,0.5980274318499985,TT_DOWN
324167,中部空品區,忠明,2018-01-03 03:00:00,3,6.0,3.9,4.086083900649999,-1.9139160993500006,TT_DOWN
324168,中部空品區,忠明,2018-01-03 04:00:00,4,5.0,1.5,2.2021262522500002,-2.7978737477499998,TT_DOWN
324169,中部空品區,忠明,2018-01-03 05:00:00,5,5.0,1.8,2.4376209583,-2.5623790417,TT_DOWN
324170,中部空品區,忠明,2018-01-03 06:00:00,6,4.0,1.6,2.2806244876,-1.7193755124,TT_DOWN
324171,中部空品區,忠明,2018-01-03 07:00:00,7,3.0,2.2,2.7516138997,-0.24838610029999986,TT_DOWN
324172,中部空品區,忠明,2018-01-03 08:00:00,8,4.0,8.8,7.9324974328,3.9324974328,TT_DOWN
324173,中部空品區,忠明,2018-01-03 09:00:00,9,5.0,14.4,12.3283986124,7.328398612399999,TT_DOWN
324174,中部空品區,忠明,2018-01-03 10:00:00,10,8.0,29.7,24.338628620949997,16.338628620949997,TT_DOWN
324175,中部空品區,忠明,2018-01-03 11:00:00,11,14.0,49.4,39.80278098489999,25.80278098489999,TT_DOWN
324176,中部空品區,忠明,2018-01-03 12:00:00,12,22.0,65.8,52.67649158229999,30.676491582299988,TT_DOWN
324177,中部空品區,忠明,2018-01-03 13:00:00,13,31.0,78.0,62.25327629499999,31.253276294999992,TT_DOWN
324178,中部空品區,忠明,2018-01-03 14:00:00,14,39.0,61.1,48.987074520849994,9.987074520849994,TT_DOWN
324179,中部空品區,忠明,2018-01-03 15:00:00,15,46.0,64.4,51.577516287399995,5.577516287399995,TT_DOWN
324180,中部空品區,忠明,2018-01-03 16:00:00,16,53.0,64.6,51.73451275809999,-1.2654872419000114,TT_DOWN
324181,中部空品區,忠明,2018-01-03 17:00:00,17,59.0,56.7,45.53315216545,-13.466847834550002,TT_DOWN
324182,中部空品區,忠明,2018-01-03 18:00:00,18,61.0,44.0,35.563876275999995,-25.436123724000005,TT_DOWN
324183,中部空品區,忠明,2018-01-03 19:00:00,19,59.0,37.6,30.539989213599995,-28.460010786400005,TT_DOWN
324184,中部空品區,忠明,2018-01-03 20:00:00,20,52.0,12.3,10.67993567005,-41.32006432995,TT_DOWN
324185,中部空品區,忠明,2018-01-03 21:00:00,21,43.0,2.2,2.7516138997,-40.2483861003,TT_DOWN
324186,中部空品區,忠明,2018-01-03 22:00:00,22,35.0,1.8,2.4376209583,-32.5623790417,TT_DOWN
324187,中部空品區,忠明,2018-01-03 23:00:00,23,28.0,1.6,2.2806244876,-25.7193755124,TT_DOWN
324188,中部空品區,忠明,2018-01-04 00:00:00,0,20.0,1.5,2.2021262522500002,-17.79787374775,TT_DOWN
324189,中部空品區,忠明,2018-01-04 01:00:00,1,13.0,3.0,3.3795997824999997,-9.6204002175,TT_DOWN
324190,中部空品區,忠明,2018-01-04 02:00:00,2,8.0,5.2,5.1065609601999995,-2.8934390398000005,TT_DOWN
324191,中部空品區,忠明,2018-01-04 03:00:00,3,4.0,4.7,4.714069783449999,0.7140697834499994,TT_DOWN
324192,中部空品區,忠明,2018-01-04 04:00:00,4,3.0,3.0,3.3795997824999997,0.3795997824999997,TT_DOWN
324193,中部空品區,忠明,2018-01-04 05:00:00,5,3.0,1.9,2.51611919365,-0.4838808063500002,TT_DOWN
324194,中部空品區,忠明,2018-01-04 06:00:00,6,3.0,2.0,2.594617429,-0.4053825710000001,TT_DOWN
324195,中部空品區,忠明,2018-01-04 07:00:00,7,3.0,2.8,3.2226033117999995,0.22260331179999948,TT_DOWN
