,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
542988,高屏空品區,恆春,2018-01-01 00:00:00,0,44.0,43.4,39.8500135186,-4.149986481399999,TT_DOWN
542989,高屏空品區,恆春,2018-01-01 01:00:00,1,43.0,43.5,39.936901708,-3.0630982919999994,TT_DOWN
542990,高屏空品區,恆春,2018-01-01 02:00:00,2,43.0,43.4,39.8500135186,-3.149986481399999,TT_DOWN
542991,高屏空品區,恆春,2018-01-01 03:00:00,3,43.0,45.2,41.414000927800004,-1.5859990721999964,TT_DOWN
542992,高屏空品區,恆春,2018-01-01 04:00:00,4,44.0,44.8,41.0664481702,-2.9335518298000025,TT_DOWN
542993,高屏空品區,恆春,2018-01-01 05:00:00,5,44.0,44.5,40.805783602,-3.194216398000002,TT_DOWN
542994,高屏空品區,恆春,2018-01-01 06:00:00,6,44.0,45.3,41.500889117199996,-2.4991108828000037,TT_DOWN
542995,高屏空品區,恆春,2018-01-01 07:00:00,7,44.0,45.7,41.8484418748,-2.1515581251999976,TT_DOWN
542996,高屏空品區,恆春,2018-01-01 08:00:00,8,45.0,46.1,42.1959946324,-2.8040053675999985,TT_DOWN
542997,高屏空品區,恆春,2018-01-01 09:00:00,9,45.0,47.5,43.412429284,-1.5875707160000019,TT_DOWN
542998,高屏空品區,恆春,2018-01-01 10:00:00,10,46.0,50.2,45.758410397800006,-0.24158960219999415,TT_DOWN
542999,高屏空品區,恆春,2018-01-01 11:00:00,11,47.0,51.7,47.0617332388,0.061733238800002255,TT_DOWN
543000,高屏空品區,恆春,2018-01-01 12:00:00,12,48.0,52.9,48.1043915116,0.10439151159999938,TT_DOWN
543001,高屏空品區,恆春,2018-01-01 13:00:00,13,49.0,53.7,48.799497026800005,-0.20050297319999544,TT_DOWN
543002,高屏空品區,恆春,2018-01-01 14:00:00,14,50.0,52.6,47.8437269434,-2.1562730566,TT_DOWN
543003,高屏空品區,恆春,2018-01-01 15:00:00,15,51.0,53.4,48.5388324586,-2.461167541400002,TT_DOWN
543004,高屏空品區,恆春,2018-01-01 16:00:00,16,52.0,52.4,47.6699505646,-4.330049435399999,TT_DOWN
543005,高屏空品區,恆春,2018-01-01 17:00:00,17,52.0,51.0,46.453515913000004,-5.546484086999996,TT_DOWN
543006,高屏空品區,恆春,2018-01-01 18:00:00,18,52.0,50.7,46.192851344800005,-5.807148655199995,TT_DOWN
543007,高屏空品區,恆春,2018-01-01 19:00:00,19,52.0,52.0,47.322397807,-4.6776021929999985,TT_DOWN
543008,高屏空品區,恆春,2018-01-01 20:00:00,20,52.0,50.5,46.019074966,-5.980925034000002,TT_DOWN
543009,高屏空品區,恆春,2018-01-01 21:00:00,21,52.0,49.6,45.2370812614,-6.7629187386,TT_DOWN
543010,高屏空品區,恆春,2018-01-01 22:00:00,22,51.0,47.9,43.7599820416,-7.240017958400003,TT_DOWN
543011,高屏空品區,恆春,2018-01-01 23:00:00,23,50.0,47.2,43.151764715800006,-6.848235284199994,TT_DOWN
543012,高屏空品區,恆春,2018-01-02 00:00:00,0,49.0,46.8,42.8042119582,-6.1957880418,TT_DOWN
543013,高屏空品區,恆春,2018-01-02 01:00:00,1,49.0,46.0,42.109106443,-6.890893556999998,TT_DOWN
543014,高屏空品區,恆春,2018-01-02 02:00:00,2,48.0,46.3,42.3697710112,-5.630228988799999,TT_DOWN
543015,高屏空品區,恆春,2018-01-02 03:00:00,3,47.0,45.0,41.240224549,-5.759775451000003,TT_DOWN
543016,高屏空品區,恆春,2018-01-02 04:00:00,4,47.0,45.1,41.327112738400004,-5.672887261599996,TT_DOWN
543017,高屏空品區,恆春,2018-01-02 05:00:00,5,46.0,46.4,42.4566592006,-3.5433407993999992,TT_DOWN
543018,高屏空品區,恆春,2018-01-02 06:00:00,6,46.0,46.7,42.7173237688,-3.2826762312,TT_DOWN
543019,高屏空品區,恆春,2018-01-02 07:00:00,7,46.0,47.3,43.2386529052,-2.7613470948000014,TT_DOWN
543020,高屏空品區,恆春,2018-01-02 08:00:00,8,46.0,46.0,42.109106443,-3.8908935569999983,TT_DOWN
543021,高屏空品區,恆春,2018-01-02 09:00:00,9,46.0,46.8,42.8042119582,-3.1957880418,TT_DOWN
543022,高屏空品區,恆春,2018-01-02 10:00:00,10,47.0,49.4,45.0633048826,-1.9366951173999993,TT_DOWN
543023,高屏空品區,恆春,2018-01-02 11:00:00,11,47.0,48.2,44.0206466098,-2.9793533901999965,TT_DOWN
543024,高屏空品區,恆春,2018-01-02 12:00:00,12,47.0,48.3,44.107534799199996,-2.892465200800004,TT_DOWN
543025,高屏空品區,恆春,2018-01-02 13:00:00,13,48.0,49.0,44.715752125,-3.2842478749999984,TT_DOWN
543026,高屏空品區,恆春,2018-01-02 14:00:00,14,48.0,48.1,43.933758420400004,-4.066241579599996,TT_DOWN
