,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
376606,雲嘉南空品區,斗六,2018-01-01 00:00:00,0,23.0,20.7,16.59071733238,-6.409282667620001,TT_DOWN
376607,雲嘉南空品區,斗六,2018-01-01 01:00:00,1,21.0,20.4,16.35353422636,-4.646465773639999,TT_DOWN
376608,雲嘉南空品區,斗六,2018-01-01 02:00:00,2,20.0,23.1,18.48818218054,-1.5118178194599992,TT_DOWN
376609,雲嘉南空品區,斗六,2018-01-01 03:00:00,3,21.0,23.8,19.04160942792,-1.958390572079999,TT_DOWN
376610,雲嘉南空品區,斗六,2018-01-01 04:00:00,4,21.0,19.1,15.325740766940003,-5.674259233059997,TT_DOWN
376611,雲嘉南空品區,斗六,2018-01-01 05:00:00,5,21.0,15.0,12.084238318,-8.915761682,TT_DOWN
376612,雲嘉南空品區,斗六,2018-01-01 06:00:00,6,20.0,13.9,11.21456692926,-8.78543307074,TT_DOWN
376613,雲嘉南空品區,斗六,2018-01-01 07:00:00,7,19.0,18.2,14.61419144888,-4.38580855112,TT_DOWN
376614,雲嘉南空品區,斗六,2018-01-01 08:00:00,8,19.0,21.2,16.98602250908,-2.0139774909199986,TT_DOWN
376615,雲嘉南空品區,斗六,2018-01-01 09:00:00,9,20.0,26.8,21.413440488120003,1.4134404881200027,TT_DOWN
376616,雲嘉南空品區,斗六,2018-01-01 10:00:00,10,22.0,39.5,31.454191976300002,9.454191976300002,TT_DOWN
376617,雲嘉南空品區,斗六,2018-01-01 11:00:00,11,26.0,52.8,41.969309676520005,15.969309676520005,TT_DOWN
376618,雲嘉南空品區,斗六,2018-01-01 12:00:00,12,31.0,64.1,50.903206669940005,19.903206669940005,TT_DOWN
376619,雲嘉南空品區,斗六,2018-01-01 13:00:00,13,39.0,71.7,56.91184535578001,17.91184535578001,TT_DOWN
376620,雲嘉南空品區,斗六,2018-01-01 14:00:00,14,46.0,76.0,60.31146987540001,14.311469875400007,TT_DOWN
376621,雲嘉南空品區,斗六,2018-01-01 15:00:00,15,53.0,69.3,55.014380507620004,2.014380507620004,TT_DOWN
376622,雲嘉南空品區,斗六,2018-01-01 16:00:00,16,57.0,58.6,46.55484972624001,-10.445150273759992,TT_DOWN
376623,雲嘉南空品區,斗六,2018-01-01 17:00:00,17,60.0,47.6,37.858135838840006,-22.141864161159994,TT_DOWN
376624,雲嘉南空品區,斗六,2018-01-01 18:00:00,18,60.0,39.2,31.217008870280004,-28.782991129719996,TT_DOWN
