,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
175199,北部空品區,新店,2018-01-01 00:00:00,0,39.0,44.9,38.131365116670004,-0.8686348833299959,TT_DOWN
175200,北部空品區,新店,2018-01-01 01:00:00,1,41.0,46.9,39.36163545327,-1.6383645467300028,TT_DOWN
175201,北部空品區,新店,2018-01-01 02:00:00,2,42.0,47.1,39.484662486930006,-2.515337513069994,TT_DOWN
175202,北部空品區,新店,2018-01-01 03:00:00,3,44.0,46.7,39.23860841961,-4.761391580389997,TT_DOWN
175203,北部空品區,新店,2018-01-01 04:00:00,4,44.0,46.6,39.177094902780006,-4.822905097219994,TT_DOWN
175204,北部空品區,新店,2018-01-01 05:00:00,5,45.0,47.4,39.66920303742,-5.330796962580003,TT_DOWN
175205,北部空品區,新店,2018-01-01 06:00:00,6,46.0,45.4,38.438932700820004,-7.561067299179996,TT_DOWN
175206,北部空品區,新店,2018-01-01 07:00:00,7,46.0,43.4,37.208662364220004,-8.791337635779996,TT_DOWN
175207,北部空品區,新店,2018-01-01 08:00:00,8,46.0,44.1,37.639256982030005,-8.360743017969995,TT_DOWN
175208,北部空品區,新店,2018-01-01 09:00:00,9,46.0,45.1,38.254392150330006,-7.7456078496699945,TT_DOWN
175209,北部空品區,新店,2018-01-01 10:00:00,10,45.0,44.8,38.06985159984,-6.93014840016,TT_DOWN
175210,北部空品區,新店,2018-01-01 11:00:00,11,45.0,42.2,36.47050016226,-8.529499837739998,TT_DOWN
175211,北部空品區,新店,2018-01-01 12:00:00,12,45.0,44.0,37.5777434652,-7.422256534799999,TT_DOWN
175212,北部空品區,新店,2018-01-01 13:00:00,13,44.0,43.7,37.39320291471,-6.6067970852899975,TT_DOWN
175213,北部空品區,新店,2018-01-01 14:00:00,14,44.0,41.4,35.97839202762,-8.021607972379996,TT_DOWN
175214,北部空品區,新店,2018-01-01 15:00:00,15,43.0,41.0,35.7323379603,-7.267662039699999,TT_DOWN
175215,北部空品區,新店,2018-01-01 16:00:00,16,42.0,37.2,33.39482432076,-8.605175679239998,TT_DOWN
175216,北部空品區,新店,2018-01-01 17:00:00,17,41.0,34.3,31.61093233269,-9.389067667310002,TT_DOWN
175217,北部空品區,新店,2018-01-01 18:00:00,18,40.0,34.0,31.4263917822,-8.5736082178,TT_DOWN
175218,北部空品區,新店,2018-01-01 19:00:00,19,39.0,33.0,30.8112566139,-8.1887433861,TT_DOWN
175219,北部空品區,新店,2018-01-01 20:00:00,20,37.0,29.2,28.47374297436,-8.52625702564,TT_DOWN
