,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
429111,雲嘉南空品區,新港,2018-01-01 00:00:00,0,28.0,26.9,22.246197502949997,-5.753802497050003,TT_DOWN
429112,雲嘉南空品區,新港,2018-01-01 01:00:00,1,27.0,26.9,22.246197502949997,-4.753802497050003,TT_DOWN
429113,雲嘉南空品區,新港,2018-01-01 02:00:00,2,27.0,28.1,23.21981203755,-3.7801879624500003,TT_DOWN
429114,雲嘉南空品區,新港,2018-01-01 03:00:00,3,27.0,27.7,22.89527385935,-4.104726140650001,TT_DOWN
429115,雲嘉南空品區,新港,2018-01-01 04:00:00,4,28.0,28.1,23.21981203755,-4.78018796245,TT_DOWN
429116,雲嘉南空品區,新港,2018-01-01 05:00:00,5,28.0,26.0,21.515986601999998,-6.484013398000002,TT_DOWN
429117,雲嘉南空品區,新港,2018-01-01 06:00:00,6,27.0,25.8,21.353717512899998,-5.646282487100002,TT_DOWN
429118,雲嘉南空品區,新港,2018-01-01 07:00:00,7,27.0,23.8,19.7310266219,-7.2689733781,TT_DOWN
429119,雲嘉南空品區,新港,2018-01-01 08:00:00,8,27.0,27.6,22.8141393148,-4.1858606852000015,TT_DOWN
429120,雲嘉南空品區,新港,2018-01-01 09:00:00,9,28.0,32.9,27.114270175949997,-0.8857298240500029,TT_DOWN
429121,雲嘉南空品區,新港,2018-01-01 10:00:00,10,29.0,43.3,35.552262809149994,6.552262809149994,TT_DOWN
429122,雲嘉南空品區,新港,2018-01-01 11:00:00,11,32.0,45.7,37.49949187835,5.49949187835,TT_DOWN
429123,雲嘉南空品區,新港,2018-01-01 12:00:00,12,34.0,47.0,38.5542409575,4.554240957499999,TT_DOWN
429124,雲嘉南空品區,新港,2018-01-01 13:00:00,13,38.0,55.2,45.2072736106,7.207273610599998,TT_DOWN
429125,雲嘉南空品區,新港,2018-01-01 14:00:00,14,42.0,62.5,51.13009536275,9.130095362749998,TT_DOWN
429126,雲嘉南空品區,新港,2018-01-01 15:00:00,15,47.0,60.4,49.426269927199996,2.4262699271999963,TT_DOWN
429127,雲嘉南空品區,新港,2018-01-01 16:00:00,16,50.0,54.4,44.558197254199996,-5.441802745800004,TT_DOWN
429128,雲嘉南空品區,新港,2018-01-01 17:00:00,17,52.0,45.2,37.0938191556,-14.906180844399998,TT_DOWN
429129,雲嘉南空品區,新港,2018-01-01 18:00:00,18,51.0,38.9,31.982342848949997,-19.017657151050003,TT_DOWN
429130,雲嘉南空品區,新港,2018-01-01 19:00:00,19,50.0,35.0,28.8180956115,-21.1819043885,TT_DOWN
429131,雲嘉南空品區,新港,2018-01-01 20:00:00,20,48.0,31.4,25.897252007699997,-22.102747992300003,TT_DOWN
429132,雲嘉南空品區,新港,2018-01-01 21:00:00,21,44.0,26.5,21.92165932475,-22.07834067525,TT_DOWN
429133,雲嘉南空品區,新港,2018-01-01 22:00:00,22,39.0,21.7,18.02720118635,-20.97279881365,TT_DOWN
429134,雲嘉南空品區,新港,2018-01-01 23:00:00,23,34.0,18.4,15.3497612162,-18.6502387838,TT_DOWN
429135,雲嘉南空品區,新港,2018-01-02 00:00:00,0,29.0,13.8,11.6175721669,-17.3824278331,TT_DOWN
429136,雲嘉南空品區,新港,2018-01-02 01:00:00,1,25.0,15.8,13.240263057900002,-11.759736942099998,TT_DOWN
429137,雲嘉南空品區,新港,2018-01-02 02:00:00,2,22.0,12.3,10.40055399865,-11.59944600135,TT_DOWN
429138,雲嘉南空品區,新港,2018-01-02 03:00:00,3,18.0,7.2,6.2626922266,-11.737307773400001,TT_DOWN
429139,雲嘉南空品區,新港,2018-01-02 04:00:00,4,15.0,4.0,3.666386801,-11.333613199,TT_DOWN
429140,雲嘉南空品區,新港,2018-01-02 05:00:00,5,12.0,1.0,1.2323504645,-10.7676495355,TT_DOWN
429141,雲嘉南空品區,新港,2018-01-02 06:00:00,6,9.0,0.5,0.82667774175,-8.17332225825,TT_DOWN
429142,雲嘉南空品區,新港,2018-01-02 07:00:00,7,7.0,3.2,3.0173104446,-3.9826895554,TT_DOWN
429143,雲嘉南空品區,新港,2018-01-02 08:00:00,8,7.0,10.6,9.0212667413,2.0212667413,TT_DOWN
429144,雲嘉南空品區,新港,2018-01-02 09:00:00,9,8.0,24.8,20.5423720674,12.542372067399999,TT_DOWN
429145,雲嘉南空品區,新港,2018-01-02 10:00:00,10,11.0,33.7,27.76334653235,16.76334653235,TT_DOWN
429146,雲嘉南空品區,新港,2018-01-02 11:00:00,11,14.0,36.8,30.278517413399996,16.278517413399996,TT_DOWN
429147,雲嘉南空品區,新港,2018-01-02 12:00:00,12,20.0,45.4,37.256088244699995,17.256088244699995,TT_DOWN
429148,雲嘉南空品區,新港,2018-01-02 13:00:00,13,26.0,52.8,43.2600445414,17.2600445414,TT_DOWN
429149,雲嘉南空品區,新港,2018-01-02 14:00:00,14,33.0,57.3,46.91109904614999,13.911099046149992,TT_DOWN
429150,雲嘉南空品區,新港,2018-01-02 15:00:00,15,40.0,56.7,46.42429177885,6.424291778849998,TT_DOWN
429151,雲嘉南空品區,新港,2018-01-02 16:00:00,16,45.0,51.2,41.9618918286,-3.0381081713999976,TT_DOWN
429152,雲嘉南空品區,新港,2018-01-02 17:00:00,17,47.0,44.5,36.52587734375,-10.474122656250003,TT_DOWN
