,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
437871,雲嘉南空品區,新營,2018-01-01 00:00:00,0,24.0,22.2,17.023724806359997,-6.976275193640003,TT_DOWN
437872,雲嘉南空品區,新營,2018-01-01 01:00:00,1,22.0,20.5,15.586703290899997,-6.413296709100003,TT_DOWN
437873,雲嘉南空品區,新營,2018-01-01 02:00:00,2,22.0,22.1,16.93919412898,-5.060805871020001,TT_DOWN
437874,雲嘉南空品區,新營,2018-01-01 03:00:00,3,21.0,20.1,15.24858058138,-5.751419418619999,TT_DOWN
437875,雲嘉南空品區,新營,2018-01-01 04:00:00,4,21.0,19.4,14.656865839719998,-6.343134160280002,TT_DOWN
437876,雲嘉南空品區,新營,2018-01-01 05:00:00,5,20.0,17.9,13.388905679019997,-6.611094320980003,TT_DOWN
437877,雲嘉南空品區,新營,2018-01-01 06:00:00,6,20.0,18.7,14.065151098059998,-5.934848901940002,TT_DOWN
437878,雲嘉南空品區,新營,2018-01-01 07:00:00,7,20.0,19.3,14.57233516234,-5.42766483766,TT_DOWN
437879,雲嘉南空品區,新營,2018-01-01 08:00:00,8,20.0,20.2,15.333111258759999,-4.666888741240001,TT_DOWN
437880,雲嘉南空品區,新營,2018-01-01 09:00:00,9,20.0,23.1,17.78450090278,-2.2154990972200004,TT_DOWN
437881,雲嘉南空品區,新營,2018-01-01 10:00:00,10,21.0,33.2,26.32209931816,5.322099318159999,TT_DOWN
437882,雲嘉南空品區,新營,2018-01-01 11:00:00,11,25.0,46.7,37.73374076446,12.733740764460002,TT_DOWN
437883,雲嘉南空品區,新營,2018-01-01 12:00:00,12,29.0,55.3,45.00337901913999,16.00337901913999,TT_DOWN
437884,雲嘉南空品區,新營,2018-01-01 13:00:00,13,34.0,55.1,44.83431766438,10.834317664380002,TT_DOWN
437885,雲嘉南空品區,新營,2018-01-01 14:00:00,14,39.0,60.4,49.314443565519994,10.314443565519994,TT_DOWN
437886,雲嘉南空品區,新營,2018-01-01 15:00:00,15,44.0,57.8,47.116645953639996,3.1166459536399955,TT_DOWN
437887,雲嘉南空品區,新營,2018-01-01 16:00:00,16,48.0,51.8,42.04480531084,-5.9551946891600025,TT_DOWN
437888,雲嘉南空品區,新營,2018-01-01 17:00:00,17,50.0,43.6,35.11328976568,-14.886710234319999,TT_DOWN
437889,雲嘉南空品區,新營,2018-01-01 18:00:00,18,51.0,36.8,29.365203703839995,-21.634796296160005,TT_DOWN
437890,雲嘉南空品區,新營,2018-01-01 19:00:00,19,49.0,31.4,24.800547125319998,-24.199452874680002,TT_DOWN
437891,雲嘉南空品區,新營,2018-01-01 20:00:00,20,45.0,27.0,21.081197320599998,-23.918802679400002,TT_DOWN
437892,雲嘉南空品區,新營,2018-01-01 21:00:00,21,42.0,24.8,19.22152241824,-22.77847758176,TT_DOWN
437893,雲嘉南空品區,新營,2018-01-01 22:00:00,22,37.0,20.7,15.755764645659998,-21.244235354340002,TT_DOWN
437894,雲嘉南空品區,新營,2018-01-01 23:00:00,23,32.0,17.3,12.88172161474,-19.11827838526,TT_DOWN
437895,雲嘉南空品區,新營,2018-01-02 00:00:00,0,27.0,10.8,7.387227585040001,-19.61277241496,TT_DOWN
437896,雲嘉南空品區,新營,2018-01-02 01:00:00,1,23.0,12.3,8.65518774574,-14.34481225426,TT_DOWN
