,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
262799,竹苗空品區,新竹,2018-01-01 00:00:00,0,33.0,38.9,32.887296303979994,-0.11270369602000585,TT_DOWN
262800,竹苗空品區,新竹,2018-01-01 01:00:00,1,34.0,40.3,34.05683354726,0.05683354725999834,TT_DOWN
262801,竹苗空品區,新竹,2018-01-01 02:00:00,2,36.0,39.6,33.472064925619996,-2.5279350743800038,TT_DOWN
262802,竹苗空品區,新竹,2018-01-01 03:00:00,3,37.0,40.4,34.140371921779995,-2.8596280782200054,TT_DOWN
262803,竹苗空品區,新竹,2018-01-01 04:00:00,4,38.0,41.5,35.059294041499996,-2.940705958500004,TT_DOWN
262804,竹苗空品區,新竹,2018-01-01 05:00:00,5,39.0,40.2,33.97329517274,-5.026704827259998,TT_DOWN
262805,竹苗空品區,新竹,2018-01-01 06:00:00,6,40.0,38.9,32.887296303979994,-7.112703696020006,TT_DOWN
262806,竹苗空品區,新竹,2018-01-01 07:00:00,7,40.0,37.3,31.550682311659994,-8.449317688340006,TT_DOWN
262807,竹苗空品區,新竹,2018-01-01 08:00:00,8,40.0,39.8,33.639141674659996,-6.360858325340004,TT_DOWN
262808,竹苗空品區,新竹,2018-01-01 09:00:00,9,40.0,42.5,35.894677786699994,-4.105322213300006,TT_DOWN
262809,竹苗空品區,新竹,2018-01-01 10:00:00,10,41.0,44.4,37.48190690257999,-3.5180930974200066,TT_DOWN
262810,竹苗空品區,新竹,2018-01-01 11:00:00,11,41.0,46.3,39.06913601845999,-1.930863981540007,TT_DOWN
262811,竹苗空品區,新竹,2018-01-01 12:00:00,12,42.0,47.4,39.988058138179994,-2.011941861820006,TT_DOWN
262812,竹苗空品區,新竹,2018-01-01 13:00:00,13,43.0,46.5,39.2362127675,-3.7637872325000004,TT_DOWN
262813,竹苗空品區,新竹,2018-01-01 14:00:00,14,43.0,43.4,36.646523157379995,-6.353476842620005,TT_DOWN
262814,竹苗空品區,新竹,2018-01-01 15:00:00,15,44.0,39.7,33.55560330014,-10.44439669986,TT_DOWN
262815,竹苗空品區,新竹,2018-01-01 16:00:00,16,43.0,35.4,29.963453195779998,-13.036546804220002,TT_DOWN
262816,竹苗空品區,新竹,2018-01-01 17:00:00,17,42.0,29.3,24.86761235006,-17.13238764994,TT_DOWN
262817,竹苗空品區,新竹,2018-01-01 18:00:00,18,40.0,29.2,24.784073975539997,-15.215926024460003,TT_DOWN
262818,竹苗空品區,新竹,2018-01-01 19:00:00,19,38.0,29.8,25.28530422266,-12.714695777340001,TT_DOWN
262819,竹苗空品區,新竹,2018-01-01 20:00:00,20,35.0,28.3,24.03222860486,-10.967771395140002,TT_DOWN
262820,竹苗空品區,新竹,2018-01-01 21:00:00,21,33.0,28.5,24.199305353899998,-8.800694646100002,TT_DOWN
262821,竹苗空品區,新竹,2018-01-01 22:00:00,22,31.0,28.7,24.366382102939998,-6.633617897060002,TT_DOWN
262822,竹苗空品區,新竹,2018-01-01 23:00:00,23,30.0,28.0,23.7816134813,-6.218386518700001,TT_DOWN
262823,竹苗空品區,新竹,2018-01-02 00:00:00,0,29.0,28.8,24.449920477459997,-4.550079522540003,TT_DOWN
262824,竹苗空品區,新竹,2018-01-02 01:00:00,1,29.0,30.9,26.204226342379997,-2.7957736576200034,TT_DOWN
262825,竹苗空品區,新竹,2018-01-02 02:00:00,2,28.0,21.0,17.9339272649,-10.0660727351,TT_DOWN
262826,竹苗空品區,新竹,2018-01-02 03:00:00,3,26.0,14.2,12.25331779754,-13.74668220246,TT_DOWN
262827,竹苗空品區,新竹,2018-01-02 04:00:00,4,24.0,12.8,11.08378055426,-12.91621944574,TT_DOWN
262828,竹苗空品區,新竹,2018-01-02 05:00:00,5,23.0,18.5,15.8454679019,-7.154532098100001,TT_DOWN
262829,竹苗空品區,新竹,2018-01-02 06:00:00,6,21.0,13.3,11.50147242686,-9.49852757314,TT_DOWN
262830,竹苗空品區,新竹,2018-01-02 07:00:00,7,19.0,10.4,9.07885956578,-9.92114043422,TT_DOWN
262831,竹苗空品區,新竹,2018-01-02 08:00:00,8,18.0,19.0,16.263159774499997,-1.7368402255000035,TT_DOWN
262832,竹苗空品區,新竹,2018-01-02 09:00:00,9,17.0,23.1,19.68823312982,2.6882331298199986,TT_DOWN
262833,竹苗空品區,新竹,2018-01-02 10:00:00,10,17.0,26.8,22.779152987059998,5.779152987059998,TT_DOWN
262834,竹苗空品區,新竹,2018-01-02 11:00:00,11,20.0,34.5,29.211607825099996,9.211607825099996,TT_DOWN
262835,竹苗空品區,新竹,2018-01-02 12:00:00,12,24.0,44.7,37.732522026139996,13.732522026139996,TT_DOWN
