,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
183959,北部空品區,新莊,2018-01-01 00:00:00,0,36.0,41.0,34.8247373095,-1.1752626904999985,TT_DOWN
183960,北部空品區,新莊,2018-01-01 01:00:00,1,37.0,40.2,34.25995283230001,-2.7400471676999913,TT_DOWN
183961,北部空品區,新莊,2018-01-01 02:00:00,2,38.0,40.4,34.4011489516,-3.5988510484000003,TT_DOWN
183962,北部空品區,新莊,2018-01-01 03:00:00,3,38.0,42.1,35.60131596565,-2.3986840343499978,TT_DOWN
183963,北部空品區,新莊,2018-01-01 04:00:00,4,40.0,43.0,36.236698502500005,-3.763301497499995,TT_DOWN
183964,北部空品區,新莊,2018-01-01 05:00:00,5,41.0,42.7,36.024904323550004,-4.975095676449996,TT_DOWN
183965,北部空品區,新莊,2018-01-01 06:00:00,6,42.0,40.9,34.754139249850006,-7.245860750149994,TT_DOWN
183966,北部空品區,新莊,2018-01-01 07:00:00,7,41.0,37.3,32.21260910245,-8.787390897549997,TT_DOWN
183967,北部空品區,新莊,2018-01-01 08:00:00,8,41.0,38.2,32.847991639300005,-8.152008360699995,TT_DOWN
183968,北部空品區,新莊,2018-01-01 09:00:00,9,41.0,39.8,33.9775605937,-7.022439406300002,TT_DOWN
183969,北部空品區,新莊,2018-01-01 10:00:00,10,41.0,44.0,36.942679099,-4.057320900999997,TT_DOWN
183970,北部空品區,新莊,2018-01-01 11:00:00,11,41.0,44.4,37.2250713376,-3.7749286624000007,TT_DOWN
183971,北部空品區,新莊,2018-01-01 12:00:00,12,42.0,46.8,38.919424769200006,-3.080575230799994,TT_DOWN
183972,北部空品區,新莊,2018-01-01 13:00:00,13,42.0,45.6,38.07224805340001,-3.92775194659999,TT_DOWN
183973,北部空品區,新莊,2018-01-01 14:00:00,14,42.0,42.6,35.9543062639,-6.045693736099999,TT_DOWN
183974,北部空品區,新莊,2018-01-01 15:00:00,15,43.0,40.7,34.61294313055001,-8.387056869449992,TT_DOWN
183975,北部空品區,新莊,2018-01-01 16:00:00,16,43.0,40.9,34.754139249850006,-8.245860750149994,TT_DOWN
183976,北部空品區,新莊,2018-01-01 17:00:00,17,43.0,35.1,30.659451790150005,-12.340548209849995,TT_DOWN
183977,北部空品區,新莊,2018-01-01 18:00:00,18,41.0,33.0,29.176892537500006,-11.823107462499994,TT_DOWN
183978,北部空品區,新莊,2018-01-01 19:00:00,19,40.0,36.6,31.718422684900005,-8.281577315099995,TT_DOWN
183979,北部空品區,新莊,2018-01-01 20:00:00,20,39.0,35.4,30.871245969100002,-8.128754030899998,TT_DOWN
183980,北部空品區,新莊,2018-01-01 21:00:00,21,37.0,29.5,26.705960449750005,-10.294039550249995,TT_DOWN
183981,北部空品區,新莊,2018-01-01 22:00:00,22,35.0,27.9,25.576391495350002,-9.423608504649998,TT_DOWN
183982,北部空品區,新莊,2018-01-01 23:00:00,23,34.0,29.7,26.847156569050004,-7.152843430949996,TT_DOWN
183983,北部空品區,新莊,2018-01-02 00:00:00,0,33.0,36.6,31.718422684900005,-1.2815773150999945,TT_DOWN
183984,北部空品區,新莊,2018-01-02 01:00:00,1,33.0,39.2,33.5539722358,0.5539722358000034,TT_DOWN
183985,北部空品區,新莊,2018-01-02 02:00:00,2,35.0,41.9,35.460119846350004,0.460119846350004,TT_DOWN
183986,北部空品區,新莊,2018-01-02 03:00:00,3,35.0,41.4,35.107129548100005,0.10712954810000497,TT_DOWN
183987,北部空品區,新莊,2018-01-02 04:00:00,4,36.0,39.4,33.6951683551,-2.3048316448999984,TT_DOWN
183988,北部空品區,新莊,2018-01-02 05:00:00,5,37.0,37.7,32.495001341050006,-4.504998658949994,TT_DOWN
183989,北部空品區,新莊,2018-01-02 06:00:00,6,37.0,33.0,29.176892537500006,-7.823107462499994,TT_DOWN
183990,北部空品區,新莊,2018-01-02 07:00:00,7,37.0,26.9,24.870410898850004,-12.129589101149996,TT_DOWN
