,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
394126,雲嘉南空品區,朴子,2018-01-01 00:00:00,0,30.0,30.0,25.29944732133,-4.70055267867,TT_DOWN
394127,雲嘉南空品區,朴子,2018-01-01 01:00:00,1,29.0,30.3,25.55228361105,-3.447716388949999,TT_DOWN
394128,雲嘉南空品區,朴子,2018-01-01 02:00:00,2,29.0,30.9,26.05795619049,-2.9420438095100003,TT_DOWN
394129,雲嘉南空品區,朴子,2018-01-01 03:00:00,3,30.0,31.2,26.31079248021,-3.689207519789999,TT_DOWN
394130,雲嘉南空品區,朴子,2018-01-01 04:00:00,4,30.0,32.6,27.490695165570003,-2.5093048344299973,TT_DOWN
394131,雲嘉南空品區,朴子,2018-01-01 05:00:00,5,31.0,31.1,26.22651371697,-4.7734862830299996,TT_DOWN
394132,雲嘉南空品區,朴子,2018-01-01 06:00:00,6,31.0,30.6,25.805119900770002,-5.194880099229998,TT_DOWN
394133,雲嘉南空品區,朴子,2018-01-01 07:00:00,7,31.0,28.9,24.37238092569,-6.627619074310001,TT_DOWN
394134,雲嘉南空品區,朴子,2018-01-01 08:00:00,8,31.0,32.5,27.40641640233,-3.5935835976700012,TT_DOWN
394135,雲嘉南空品區,朴子,2018-01-01 09:00:00,9,32.0,37.7,31.78891209081,-0.21108790918999887,TT_DOWN
394136,雲嘉南空品區,朴子,2018-01-01 10:00:00,10,33.0,39.5,33.305929829129994,0.3059298291299939,TT_DOWN
394137,雲嘉南空品區,朴子,2018-01-01 11:00:00,11,35.0,49.6,41.81808491637,6.8180849163699975,TT_DOWN
394138,雲嘉南空品區,朴子,2018-01-01 12:00:00,12,39.0,60.3,50.835912583049996,11.835912583049996,TT_DOWN
394139,雲嘉南空品區,朴子,2018-01-01 13:00:00,13,43.0,67.9,57.241098589290004,14.241098589290004,TT_DOWN
394140,雲嘉南空品區,朴子,2018-01-01 14:00:00,14,48.0,68.1,57.40965611576999,9.409656115769991,TT_DOWN
394141,雲嘉南空品區,朴子,2018-01-01 15:00:00,15,52.0,63.1,53.19571795377,1.19571795377,TT_DOWN
394142,雲嘉南空品區,朴子,2018-01-01 16:00:00,16,56.0,57.9,48.813222265289994,-7.186777734710006,TT_DOWN
394143,雲嘉南空品區,朴子,2018-01-01 17:00:00,17,57.0,50.7,42.74515131201,-14.254848687989998,TT_DOWN
394144,雲嘉南空品區,朴子,2018-01-01 18:00:00,18,58.0,47.5,40.048230888329996,-17.951769111670004,TT_DOWN
394145,雲嘉南空品區,朴子,2018-01-01 19:00:00,19,57.0,44.4,37.43558922789,-19.56441077211,TT_DOWN
394146,雲嘉南空品區,朴子,2018-01-01 20:00:00,20,55.0,40.6,34.23299622477,-20.767003775230002,TT_DOWN
394147,雲嘉南空品區,朴子,2018-01-01 21:00:00,21,51.0,36.1,30.440451878970002,-20.559548121029998,TT_DOWN
394148,雲嘉南空品區,朴子,2018-01-01 22:00:00,22,46.0,31.2,26.31079248021,-19.68920751979,TT_DOWN
394149,雲嘉南空品區,朴子,2018-01-01 23:00:00,23,42.0,27.8,23.445314530050002,-18.554685469949998,TT_DOWN
394150,雲嘉南空品區,朴子,2018-01-02 00:00:00,0,38.0,25.2,21.25406668581,-16.74593331419,TT_DOWN
394151,雲嘉南空品區,朴子,2018-01-02 01:00:00,1,34.0,22.2,18.72570378861,-15.274296211389998,TT_DOWN
394152,雲嘉南空品區,朴子,2018-01-02 02:00:00,2,31.0,20.2,17.04012852381,-13.95987147619,TT_DOWN
394153,雲嘉南空品區,朴子,2018-01-02 03:00:00,3,27.0,15.2,12.82619036181,-14.17380963819,TT_DOWN
394154,雲嘉南空品區,朴子,2018-01-02 04:00:00,4,24.0,10.8,9.117924779250002,-14.882075220749998,TT_DOWN
394155,雲嘉南空品區,朴子,2018-01-02 05:00:00,5,20.0,5.7,4.81970785401,-15.18029214599,TT_DOWN
394156,雲嘉南空品區,朴子,2018-01-02 06:00:00,6,16.0,2.9,2.4599024832899996,-13.54009751671,TT_DOWN
394157,雲嘉南空品區,朴子,2018-01-02 07:00:00,7,13.0,5.0,4.22975651133,-8.770243488670001,TT_DOWN
394158,雲嘉南空品區,朴子,2018-01-02 08:00:00,8,12.0,16.7,14.09037181041,2.0903718104099998,TT_DOWN
394159,雲嘉南空品區,朴子,2018-01-02 09:00:00,9,13.0,27.6,23.27675700357,10.276757003570001,TT_DOWN
394160,雲嘉南空品區,朴子,2018-01-02 10:00:00,10,14.0,31.4,26.479350006689998,12.479350006689998,TT_DOWN
394161,雲嘉南空品區,朴子,2018-01-02 11:00:00,11,18.0,45.7,38.53121315001,20.531213150009997,TT_DOWN
394162,雲嘉南空品區,朴子,2018-01-02 12:00:00,12,24.0,53.6,45.18923544597,21.18923544597,TT_DOWN
394163,雲嘉南空品區,朴子,2018-01-02 13:00:00,13,30.0,54.5,45.947744315129995,15.947744315129995,TT_DOWN
394164,雲嘉南空品區,朴子,2018-01-02 14:00:00,14,36.0,54.8,46.200580604849996,10.200580604849996,TT_DOWN
394165,雲嘉南空品區,朴子,2018-01-02 15:00:00,15,43.0,58.1,48.981779791769995,5.981779791769995,TT_DOWN
394166,雲嘉南空品區,朴子,2018-01-02 16:00:00,16,48.0,55.2,46.53769565781,-1.4623043421900022,TT_DOWN
394167,雲嘉南空品區,朴子,2018-01-02 17:00:00,17,50.0,49.0,41.312412336929995,-8.687587663070005,TT_DOWN
394168,雲嘉南空品區,朴子,2018-01-02 18:00:00,18,52.0,41.7,35.16006262041,-16.839937379589998,TT_DOWN
394169,雲嘉南空品區,朴子,2018-01-02 19:00:00,19,50.0,36.6,30.86184569517,-19.13815430483,TT_DOWN
394170,雲嘉南空品區,朴子,2018-01-02 20:00:00,20,48.0,32.9,27.74353145529,-20.25646854471,TT_DOWN
394171,雲嘉南空品區,朴子,2018-01-02 21:00:00,21,45.0,32.8,27.659252692049996,-17.340747307950004,TT_DOWN
394172,雲嘉南空品區,朴子,2018-01-02 22:00:00,22,42.0,32.8,27.659252692049996,-14.340747307950004,TT_DOWN
394173,雲嘉南空品區,朴子,2018-01-02 23:00:00,23,39.0,27.5,23.19247824033,-15.80752175967,TT_DOWN
394174,雲嘉南空品區,朴子,2018-01-03 00:00:00,0,35.0,27.3,23.02392071385,-11.97607928615,TT_DOWN
394175,雲嘉南空品區,朴子,2018-01-03 01:00:00,1,32.0,28.3,23.86670834625,-8.13329165375,TT_DOWN
394176,雲嘉南空品區,朴子,2018-01-03 02:00:00,2,30.0,22.6,19.062818841570003,-10.937181158429997,TT_DOWN
394177,雲嘉南空品區,朴子,2018-01-03 03:00:00,3,27.0,14.7,12.404796545610001,-14.595203454389999,TT_DOWN
394178,雲嘉南空品區,朴子,2018-01-03 04:00:00,4,25.0,15.3,12.910469125050001,-12.089530874949999,TT_DOWN
394179,雲嘉南空品區,朴子,2018-01-03 05:00:00,5,22.0,7.1,5.99961053937,-16.00038946063,TT_DOWN
394180,雲嘉南空品區,朴子,2018-01-03 06:00:00,6,19.0,8.1,6.842398171769999,-12.15760182823,TT_DOWN
394181,雲嘉南空品區,朴子,2018-01-03 07:00:00,7,16.0,7.1,5.99961053937,-10.00038946063,TT_DOWN
394182,雲嘉南空品區,朴子,2018-01-03 08:00:00,8,14.0,8.9,7.51662827769,-6.48337172231,TT_DOWN
394183,雲嘉南空品區,朴子,2018-01-03 09:00:00,9,13.0,17.8,15.01743820605,2.0174382060500005,TT_DOWN
394184,雲嘉南空品區,朴子,2018-01-03 10:00:00,10,15.0,44.5,37.51986799113,22.51986799113,TT_DOWN
394185,雲嘉南空品區,朴子,2018-01-03 11:00:00,11,20.0,51.2,43.16654512821,23.166545128209997,TT_DOWN
394186,雲嘉南空品區,朴子,2018-01-03 12:00:00,12,25.0,58.1,48.981779791769995,23.981779791769995,TT_DOWN
394187,雲嘉南空品區,朴子,2018-01-03 13:00:00,13,33.0,66.8,56.31403219364999,23.314032193649993,TT_DOWN
394188,雲嘉南空品區,朴子,2018-01-03 14:00:00,14,40.0,65.1,54.88129321856999,14.881293218569994,TT_DOWN
394189,雲嘉南空品區,朴子,2018-01-03 15:00:00,15,47.0,67.4,56.81970477309,9.819704773090002,TT_DOWN
394190,雲嘉南空品區,朴子,2018-01-03 16:00:00,16,56.0,73.8,62.21354562044999,6.213545620449992,TT_DOWN
394191,雲嘉南空品區,朴子,2018-01-03 17:00:00,17,61.0,58.4,49.234616081489996,-11.765383918510004,TT_DOWN
394192,雲嘉南空品區,朴子,2018-01-03 18:00:00,18,61.0,44.4,37.43558922789,-23.56441077211,TT_DOWN
394193,雲嘉南空品區,朴子,2018-01-03 19:00:00,19,60.0,45.8,38.61549191325,-21.384508086750003,TT_DOWN
394194,雲嘉南空品區,朴子,2018-01-03 20:00:00,20,57.0,34.4,29.00771290389,-27.99228709611,TT_DOWN
394195,雲嘉南空品區,朴子,2018-01-03 21:00:00,21,53.0,34.0,28.67059785093,-24.32940214907,TT_DOWN
394196,雲嘉南空品區,朴子,2018-01-03 22:00:00,22,49.0,30.4,25.636562374289998,-23.363437625710002,TT_DOWN
394197,雲嘉南空品區,朴子,2018-01-03 23:00:00,23,43.0,25.9,21.844018028489998,-21.155981971510002,TT_DOWN
394198,雲嘉南空品區,朴子,2018-01-04 00:00:00,0,37.0,25.9,21.844018028489998,-15.155981971510002,TT_DOWN
394199,雲嘉南空品區,朴子,2018-01-04 01:00:00,1,33.0,23.8,20.07416400045,-12.92583599955,TT_DOWN
394200,雲嘉南空品區,朴子,2018-01-04 02:00:00,2,29.0,14.9,12.573354072090002,-16.42664592791,TT_DOWN
394201,雲嘉南空品區,朴子,2018-01-04 03:00:00,3,26.0,16.6,14.006093047170001,-11.993906952829999,TT_DOWN
394202,雲嘉南空品區,朴子,2018-01-04 04:00:00,4,24.0,20.0,16.87157099733,-7.12842900267,TT_DOWN
394203,雲嘉南空品區,朴子,2018-01-04 05:00:00,5,21.0,7.3,6.16816806585,-14.83183193415,TT_DOWN
