,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
113880,北部空品區,松山,2018-01-01 00:00:00,0,29.0,36.2,30.5108187106,1.5108187105999988,TT_DOWN
113881,北部空品區,松山,2018-01-01 01:00:00,1,31.0,34.5,29.438988909999996,-1.5610110900000045,TT_DOWN
113882,北部空品區,松山,2018-01-01 02:00:00,2,33.0,41.7,33.9785033596,0.9785033595999977,TT_DOWN
113883,北部空品區,松山,2018-01-01 03:00:00,3,35.0,40.7,33.3480152416,-1.6519847583999976,TT_DOWN
113884,北部空品區,松山,2018-01-01 04:00:00,4,36.0,41.4,33.7893569242,-2.2106430758,TT_DOWN
113885,北部空品區,松山,2018-01-01 05:00:00,5,38.0,42.3,34.35679623039999,-3.6432037696000066,TT_DOWN
113886,北部空品區,松山,2018-01-01 06:00:00,6,38.0,35.9,30.321672275199994,-7.678327724800006,TT_DOWN
113887,北部空品區,松山,2018-01-01 07:00:00,7,38.0,30.1,26.664841190799997,-11.335158809200003,TT_DOWN
113888,北部空品區,松山,2018-01-01 08:00:00,8,37.0,30.1,26.664841190799997,-10.335158809200003,TT_DOWN
113889,北部空品區,松山,2018-01-01 09:00:00,9,37.0,31.8,27.736670991399997,-9.263329008600003,TT_DOWN
113890,北部空品區,松山,2018-01-01 10:00:00,10,36.0,36.8,30.889111581399995,-5.110888418600005,TT_DOWN
113891,北部空品區,松山,2018-01-01 11:00:00,11,36.0,39.3,32.46533187639999,-3.5346681236000066,TT_DOWN
113892,北部空品區,松山,2018-01-01 12:00:00,12,36.0,40.3,33.095819994399996,-2.904180005600004,TT_DOWN
113893,北部空品區,松山,2018-01-01 13:00:00,13,35.0,38.3,31.834843758399995,-3.1651562416000054,TT_DOWN
113894,北部空品區,松山,2018-01-01 14:00:00,14,35.0,36.2,30.5108187106,-4.489181289400001,TT_DOWN
113895,北部空品區,松山,2018-01-01 15:00:00,15,36.0,34.0,29.123744850999998,-6.876255149000002,TT_DOWN
113896,北部空品區,松山,2018-01-01 16:00:00,16,36.0,32.1,27.9258174268,-8.074182573200002,TT_DOWN
113897,北部空品區,松山,2018-01-01 17:00:00,17,35.0,26.9,24.647279213199997,-10.352720786800003,TT_DOWN
113898,北部空品區,松山,2018-01-01 18:00:00,18,34.0,27.3,24.899474460399997,-9.100525539600003,TT_DOWN
113899,北部空品區,松山,2018-01-01 19:00:00,19,33.0,27.9,25.277767331199996,-7.722232668800004,TT_DOWN
113900,北部空品區,松山,2018-01-01 20:00:00,20,31.0,23.1,22.2514243648,-8.748575635200002,TT_DOWN
113901,北部空品區,松山,2018-01-01 21:00:00,21,28.0,17.2,18.531544468599996,-9.468455531400004,TT_DOWN
113902,北部空品區,松山,2018-01-01 22:00:00,22,26.0,19.4,19.918618328199997,-6.081381671800003,TT_DOWN
113903,北部空品區,松山,2018-01-01 23:00:00,23,25.0,27.5,25.025572083999997,0.025572083999996664,TT_DOWN
113904,北部空品區,松山,2018-01-02 00:00:00,0,25.0,34.1,29.186793662799996,4.186793662799996,TT_DOWN
113905,北部空品區,松山,2018-01-02 01:00:00,1,27.0,38.7,32.0870390056,5.087039005599998,TT_DOWN
113906,北部空品區,松山,2018-01-02 02:00:00,2,28.0,40.0,32.906673559,4.906673558999998,TT_DOWN
113907,北部空品區,松山,2018-01-02 03:00:00,3,30.0,38.8,32.1500878174,2.1500878173999993,TT_DOWN
113908,北部空品區,松山,2018-01-02 04:00:00,4,32.0,36.9,30.952160393199996,-1.0478396068000038,TT_DOWN
113909,北部空品區,松山,2018-01-02 05:00:00,5,34.0,34.2,29.249842474599998,-4.750157525400002,TT_DOWN
113910,北部空品區,松山,2018-01-02 06:00:00,6,34.0,25.5,23.764595847999995,-10.235404152000005,TT_DOWN
