,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
105120,北部空品區,板橋,2018-01-01 00:00:00,0,28.0,38.6,32.41624814482,4.416248144820003,TT_DOWN
105121,北部空品區,板橋,2018-01-01 01:00:00,1,30.0,38.0,32.021526406599996,2.021526406599996,TT_DOWN
105122,北部空品區,板橋,2018-01-01 02:00:00,2,33.0,42.1,34.718791617769995,1.7187916177699947,TT_DOWN
105123,北部空品區,板橋,2018-01-01 03:00:00,3,35.0,42.7,35.113513355989994,0.11351335598999412,TT_DOWN
105124,北部空品區,板橋,2018-01-01 04:00:00,4,37.0,43.2,35.44244813784,-1.5575518621599969,TT_DOWN
105125,北部空品區,板橋,2018-01-01 05:00:00,5,39.0,42.1,34.718791617769995,-4.281208382230005,TT_DOWN
105126,北部空品區,板橋,2018-01-01 06:00:00,6,40.0,40.5,33.66620031585,-6.3337996841500015,TT_DOWN
105127,北部空品區,板橋,2018-01-01 07:00:00,7,40.0,36.2,30.83736119194,-9.162638808059999,TT_DOWN
105128,北部空品區,板橋,2018-01-01 08:00:00,8,40.0,36.8,31.232082930159997,-8.767917069840003,TT_DOWN
105129,北部空品區,板橋,2018-01-01 09:00:00,9,40.0,36.3,30.903148148309995,-9.096851851690005,TT_DOWN
105130,北部空品區,板橋,2018-01-01 10:00:00,10,40.0,40.1,33.40305249037,-6.596947509629999,TT_DOWN
105131,北部空品區,板橋,2018-01-01 11:00:00,11,39.0,40.2,33.46883944674,-5.531160553260001,TT_DOWN
105142,北部空品區,板橋,2018-01-01 22:00:00,22,26.0,25.5,23.798156860349998,-2.201843139650002,TT_DOWN
105143,北部空品區,板橋,2018-01-01 23:00:00,23,28.0,34.9,29.982130759129998,1.9821307591299977,TT_DOWN
105144,北部空品區,板橋,2018-01-02 00:00:00,0,30.0,39.1,32.74518292667,2.7451829266699974,TT_DOWN
105145,北部空品區,板橋,2018-01-02 01:00:00,1,31.0,39.2,32.81096988304,1.810969883040002,TT_DOWN
105146,北部空品區,板橋,2018-01-02 02:00:00,2,32.0,40.2,33.46883944674,1.4688394467399988,TT_DOWN
105147,北部空品區,板橋,2018-01-02 03:00:00,3,34.0,41.3,34.19249596681,0.19249596681000014,TT_DOWN
105148,北部空品區,板橋,2018-01-02 04:00:00,4,36.0,41.3,34.19249596681,-1.8075040331899999,TT_DOWN
105149,北部空品區,板橋,2018-01-02 05:00:00,5,38.0,38.7,32.48203510119,-5.51796489881,TT_DOWN
105150,北部空品區,板橋,2018-01-02 06:00:00,6,38.0,32.6,28.469030762619997,-9.530969237380003,TT_DOWN
105151,北部空品區,板橋,2018-01-02 07:00:00,7,37.0,22.6,21.89033512562,-15.109664874380002,TT_DOWN
105152,北部空品區,板橋,2018-01-02 08:00:00,8,35.0,25.2,23.60079599124,-11.399204008760002,TT_DOWN
105153,北部空品區,板橋,2018-01-02 09:00:00,9,34.0,33.5,29.061113369949997,-4.938886630050003,TT_DOWN
105154,北部空品區,板橋,2018-01-02 10:00:00,10,34.0,35.0,30.0479177155,-3.952082284500001,TT_DOWN
105155,北部空品區,板橋,2018-01-02 11:00:00,11,33.0,38.8,32.54782205756,-0.4521779424400023,TT_DOWN
105156,北部空品區,板橋,2018-01-02 12:00:00,12,33.0,38.4,32.28467423207999,-0.7153257679200067,TT_DOWN
105157,北部空品區,板橋,2018-01-02 13:00:00,13,33.0,38.7,32.48203510119,-0.5179648988099999,TT_DOWN
105158,北部空品區,板橋,2018-01-02 14:00:00,14,34.0,39.9,33.27147857762999,-0.728521422370008,TT_DOWN
105159,北部空品區,板橋,2018-01-02 15:00:00,15,36.0,35.0,30.0479177155,-5.952082284500001,TT_DOWN
105160,北部空品區,板橋,2018-01-02 16:00:00,16,36.0,29.3,26.298061202409997,-9.701938797590003,TT_DOWN
105161,北部空品區,板橋,2018-01-02 17:00:00,17,35.0,27.1,24.850748162269998,-10.149251837730002,TT_DOWN
105162,北部空品區,板橋,2018-01-02 18:00:00,18,34.0,25.9,24.06130468583,-9.938695314170001,TT_DOWN
105163,北部空品區,板橋,2018-01-02 19:00:00,19,33.0,26.9,24.71917424953,-8.280825750470001,TT_DOWN
105164,北部空品區,板橋,2018-01-02 20:00:00,20,31.0,28.8,25.96912642056,-5.0308735794400015,TT_DOWN
105165,北部空品區,板橋,2018-01-02 21:00:00,21,30.0,29.5,26.42963511515,-3.570364884850001,TT_DOWN
105166,北部空品區,板橋,2018-01-02 22:00:00,22,29.0,31.3,27.613800329809997,-1.3861996701900026,TT_DOWN
105167,北部空品區,板橋,2018-01-02 23:00:00,23,29.0,32.4,28.337456849879995,-0.6625431501200048,TT_DOWN
105168,北部空品區,板橋,2018-01-03 00:00:00,0,30.0,35.9,30.640000322829998,0.640000322829998,TT_DOWN
105169,北部空品區,板橋,2018-01-03 01:00:00,1,31.0,37.5,31.692591624749998,0.6925916247499977,TT_DOWN
105170,北部空品區,板橋,2018-01-03 02:00:00,2,32.0,37.2,31.495230755639998,-0.504769244360002,TT_DOWN
105171,北部空品區,板橋,2018-01-03 03:00:00,3,34.0,38.7,32.48203510119,-1.5179648988099999,TT_DOWN
105172,北部空品區,板橋,2018-01-03 04:00:00,4,35.0,37.8,31.889952493859997,-3.1100475061400026,TT_DOWN
105173,北部空品區,板橋,2018-01-03 05:00:00,5,36.0,35.9,30.640000322829998,-5.359999677170002,TT_DOWN
105174,北部空品區,板橋,2018-01-03 06:00:00,6,36.0,29.2,26.23227424604,-9.76772575396,TT_DOWN
105175,北部空品區,板橋,2018-01-03 07:00:00,7,33.0,10.7,14.06168731759,-18.93831268241,TT_DOWN
105176,北部空品區,板橋,2018-01-03 08:00:00,8,29.0,7.2,11.75914384464,-17.24085615536,TT_DOWN
105177,北部空品區,板橋,2018-01-03 09:00:00,9,28.0,26.9,24.71917424953,-3.280825750470001,TT_DOWN
105178,北部空品區,板橋,2018-01-03 10:00:00,10,27.0,33.4,28.995326413579996,1.9953264135799955,TT_DOWN
105179,北部空品區,板橋,2018-01-03 11:00:00,11,27.0,35.3,30.245278584609995,3.245278584609995,TT_DOWN
105180,北部空品區,板橋,2018-01-03 12:00:00,12,27.0,36.5,31.034722061049997,4.034722061049997,TT_DOWN
105181,北部空品區,板橋,2018-01-03 13:00:00,13,27.0,34.2,29.52162206454,2.5216220645400007,TT_DOWN
105182,北部空品區,板橋,2018-01-03 14:00:00,14,25.0,17.7,18.666774263489998,-6.333225736510002,TT_DOWN
105183,北部空品區,板橋,2018-01-03 15:00:00,15,27.0,26.9,24.71917424953,-2.280825750470001,TT_DOWN
105184,北部空品區,板橋,2018-01-03 16:00:00,16,29.0,23.7,22.61399164569,-6.38600835431,TT_DOWN
105185,北部空品區,板橋,2018-01-03 17:00:00,17,29.0,20.5,20.50880904185,-8.49119095815,TT_DOWN
105186,北部空品區,板橋,2018-01-03 18:00:00,18,27.0,19.2,19.653578609039997,-7.346421390960003,TT_DOWN
105187,北部空品區,板橋,2018-01-03 19:00:00,19,25.0,19.1,19.58779165267,-5.412208347330001,TT_DOWN
105188,北部空品區,板橋,2018-01-03 20:00:00,20,23.0,25.0,23.4692220785,0.46922207849999964,TT_DOWN
105189,北部空品區,板橋,2018-01-03 21:00:00,21,22.0,24.9,23.40343512213,1.4034351221299985,TT_DOWN
105190,北部空品區,板橋,2018-01-03 22:00:00,22,23.0,24.4,23.074500340279997,0.07450034027999664,TT_DOWN
105191,北部空品區,板橋,2018-01-03 23:00:00,23,23.0,29.7,26.561209027889998,3.5612090278899977,TT_DOWN
