,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
96360,北部空品區,林口,2018-01-01 00:00:00,0,41.0,44.3,37.969676444899996,-3.0303235551000043,TT_DOWN
96361,北部空品區,林口,2018-01-01 01:00:00,1,42.0,44.6,38.1961775888,-3.8038224112000023,TT_DOWN
96362,北部空品區,林口,2018-01-01 02:00:00,2,42.0,46.0,39.253182927,-2.7468170730000026,TT_DOWN
96363,北部空品區,林口,2018-01-01 03:00:00,3,43.0,45.7,39.026681783099995,-3.9733182169000045,TT_DOWN
96364,北部空品區,林口,2018-01-01 04:00:00,4,43.0,44.6,38.1961775888,-4.803822411200002,TT_DOWN
96365,北部空品區,林口,2018-01-01 05:00:00,5,43.0,42.6,36.686169962799994,-6.313830037200006,TT_DOWN
96366,北部空品區,林口,2018-01-01 06:00:00,6,44.0,41.4,35.7801653872,-8.2198346128,TT_DOWN
96367,北部空品區,林口,2018-01-01 07:00:00,7,44.0,40.1,34.7986604303,-9.201339569700004,TT_DOWN
96368,北部空品區,林口,2018-01-01 08:00:00,8,43.0,40.7,35.2516627181,-7.7483372819,TT_DOWN
96369,北部空品區,林口,2018-01-01 09:00:00,9,43.0,44.5,38.120677207499995,-4.879322792500005,TT_DOWN
96370,北部空品區,林口,2018-01-01 10:00:00,10,43.0,46.5,39.6306848335,-3.3693151665000016,TT_DOWN
96371,北部空品區,林口,2018-01-01 11:00:00,11,43.0,47.4,40.3101882652,-2.689811734800003,TT_DOWN
96372,北部空品區,林口,2018-01-01 12:00:00,12,44.0,48.9,41.44269398469999,-2.557306015300007,TT_DOWN
96373,北部空品區,林口,2018-01-01 13:00:00,13,45.0,48.7,41.2916932221,-3.708306777899999,TT_DOWN
96374,北部空品區,林口,2018-01-01 14:00:00,14,45.0,46.3,39.47968407089999,-5.520315929100008,TT_DOWN
96375,北部空品區,林口,2018-01-01 15:00:00,15,46.0,43.6,37.441173775799996,-8.558826224200004,TT_DOWN
96376,北部空品區,林口,2018-01-01 16:00:00,16,46.0,44.7,38.2716779701,-7.728322029899999,TT_DOWN
96377,北部空品區,林口,2018-01-01 17:00:00,17,46.0,40.8,35.327163099399996,-10.672836900600004,TT_DOWN
96378,北部空品區,林口,2018-01-01 18:00:00,18,45.0,41.5,35.855665768499996,-9.144334231500004,TT_DOWN
96379,北部空品區,林口,2018-01-01 19:00:00,19,45.0,41.5,35.855665768499996,-9.144334231500004,TT_DOWN
96380,北部空品區,林口,2018-01-01 20:00:00,20,43.0,40.8,35.327163099399996,-7.672836900600004,TT_DOWN
96381,北部空品區,林口,2018-01-01 21:00:00,21,42.0,38.5,33.5906543295,-8.409345670500002,TT_DOWN
96382,北部空品區,林口,2018-01-01 22:00:00,22,41.0,39.2,34.1191569986,-6.880843001400002,TT_DOWN
96383,北部空品區,林口,2018-01-01 23:00:00,23,41.0,40.2,34.8741608116,-6.1258391884000005,TT_DOWN
96384,北部空品區,林口,2018-01-02 00:00:00,0,41.0,44.1,37.8186756823,-3.1813243177000032,TT_DOWN
96385,北部空品區,林口,2018-01-02 01:00:00,1,41.0,45.6,38.9511814018,-2.0488185982000005,TT_DOWN
96386,北部空品區,林口,2018-01-02 02:00:00,2,42.0,47.1,40.083687121299995,-1.9163128787000048,TT_DOWN
96387,北部空品區,林口,2018-01-02 03:00:00,3,43.0,46.6,39.706185214799994,-3.2938147852000057,TT_DOWN
96388,北部空品區,林口,2018-01-02 04:00:00,4,43.0,44.8,38.3471783514,-4.652821648600003,TT_DOWN
96389,北部空品區,林口,2018-01-02 05:00:00,5,44.0,42.1,36.3086680563,-7.6913319437,TT_DOWN
96390,北部空品區,林口,2018-01-02 06:00:00,6,44.0,39.2,34.1191569986,-9.880843001400002,TT_DOWN
96391,北部空品區,林口,2018-01-02 07:00:00,7,43.0,31.4,28.2301272572,-14.7698727428,TT_DOWN
96392,北部空品區,林口,2018-01-02 08:00:00,8,41.0,34.8,30.7971402214,-10.2028597786,TT_DOWN
96393,北部空品區,林口,2018-01-02 09:00:00,9,40.0,36.5,32.0806467035,-7.919353296499999,TT_DOWN
96394,北部空品區,林口,2018-01-02 10:00:00,10,39.0,33.5,29.8156352645,-9.1843647355,TT_DOWN
96395,北部空品區,林口,2018-01-02 11:00:00,11,36.0,27.8,25.5121135304,-10.4878864696,TT_DOWN
96396,北部空品區,林口,2018-01-02 12:00:00,12,36.0,40.0,34.723160049,-1.2768399509999995,TT_DOWN
96397,北部空品區,林口,2018-01-02 13:00:00,13,36.0,41.7,36.0066665311,0.00666653110000226,TT_DOWN
96398,北部空品區,林口,2018-01-02 14:00:00,14,36.0,41.0,35.478163861999995,-0.5218361380000047,TT_DOWN
96399,北部空品區,林口,2018-01-02 15:00:00,15,37.0,37.7,32.9866512791,-4.013348720899998,TT_DOWN
96400,北部空品區,林口,2018-01-02 16:00:00,16,37.0,38.3,33.4396535669,-3.560346433100001,TT_DOWN
96401,北部空品區,林口,2018-01-02 17:00:00,17,37.0,34.9,30.8726406027,-6.127359397300001,TT_DOWN
96402,北部空品區,林口,2018-01-02 18:00:00,18,36.0,30.4,27.475123444199998,-8.524876555800002,TT_DOWN
96403,北部空品區,林口,2018-01-02 19:00:00,19,37.0,31.2,28.0791264946,-8.9208735054,TT_DOWN
96404,北部空品區,林口,2018-01-02 20:00:00,20,36.0,36.1,31.7786451783,-4.2213548217,TT_DOWN
96405,北部空品區,林口,2018-01-02 21:00:00,21,36.0,37.9,33.137652041699994,-2.862347958300006,TT_DOWN
96406,北部空品區,林口,2018-01-02 22:00:00,22,35.0,36.4,32.0051463222,-2.994853677800002,TT_DOWN
96407,北部空品區,林口,2018-01-02 23:00:00,23,35.0,37.3,32.6846497539,-2.315350246100003,TT_DOWN
96408,北部空品區,林口,2018-01-03 00:00:00,0,36.0,41.0,35.478163861999995,-0.5218361380000047,TT_DOWN
