,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
507951,高屏空品區,林園,2018-01-01 00:00:00,0,27.0,8.2,8.31574996038,-18.68425003962,TT_DOWN
507952,高屏空品區,林園,2018-01-01 01:00:00,1,21.0,7.1,7.461032716890001,-13.538967283109999,TT_DOWN
507953,高屏空品區,林園,2018-01-01 02:00:00,2,17.0,10.5,10.10288601495,-6.89711398505,TT_DOWN
507954,高屏空品區,林園,2018-01-01 03:00:00,3,13.0,9.5,9.32587033905,-3.6741296609499994,TT_DOWN
507955,高屏空品區,林園,2018-01-01 04:00:00,4,10.0,4.3,5.285388824370001,-4.714611175629999,TT_DOWN
507956,高屏空品區,林園,2018-01-01 05:00:00,5,8.0,1.7,3.26514806703,-4.73485193297,TT_DOWN
507957,高屏空品區,林園,2018-01-01 06:00:00,6,7.0,3.4,4.586074716060001,-2.4139252839399994,TT_DOWN
507958,高屏空品區,林園,2018-01-01 07:00:00,7,7.0,7.3,7.616435852070001,0.6164358520700013,TT_DOWN
507959,高屏空品區,林園,2018-01-01 08:00:00,8,7.0,15.6,14.06566596204,7.065665962040001,TT_DOWN
507960,高屏空品區,林園,2018-01-01 09:00:00,9,10.0,31.5,26.420215208850003,16.420215208850003,TT_DOWN
507961,高屏空品區,林園,2018-01-01 10:00:00,10,16.0,56.2,45.61250240358,29.612502403580002,TT_DOWN
507962,高屏空品區,林園,2018-01-01 11:00:00,11,26.0,88.6,70.78781030274,44.78781030274,TT_DOWN
507963,高屏空品區,林園,2018-01-01 12:00:00,12,34.0,70.7,56.879229704130005,22.879229704130005,TT_DOWN
507964,高屏空品區,林園,2018-01-01 13:00:00,13,44.0,78.5,62.939951976150006,18.939951976150006,TT_DOWN
507965,高屏空品區,林園,2018-01-01 14:00:00,14,52.0,70.2,56.49072186618,4.490721866180003,TT_DOWN
507966,高屏空品區,林園,2018-01-01 15:00:00,15,60.0,72.4,58.20015635316001,-1.7998436468399888,TT_DOWN
507967,高屏空品區,林園,2018-01-01 16:00:00,16,68.0,74.6,59.90959084014,-8.090409159860002,TT_DOWN
507968,高屏空品區,林園,2018-01-01 17:00:00,17,73.0,70.7,56.879229704130005,-16.120770295869995,TT_DOWN
507969,高屏空品區,林園,2018-01-01 18:00:00,18,74.0,69.2,55.71370619028001,-18.286293809719993,TT_DOWN
507970,高屏空品區,林園,2018-01-01 19:00:00,19,71.0,61.9,50.04149175621,-20.95850824379,TT_DOWN
507971,高屏空品區,林園,2018-01-01 20:00:00,20,68.0,50.0,40.795005213,-27.204994786999997,TT_DOWN
507972,高屏空品區,林園,2018-01-01 21:00:00,21,62.0,28.2,23.856063478380005,-38.14393652161999,TT_DOWN
507973,高屏空品區,林園,2018-01-01 22:00:00,22,56.0,21.0,18.261550611900002,-37.738449388099994,TT_DOWN
507974,高屏空品區,林園,2018-01-01 23:00:00,23,49.0,13.0,12.0454252047,-36.9545747953,TT_DOWN
507975,高屏空品區,林園,2018-01-02 00:00:00,0,41.0,13.7,12.58933617783,-28.41066382217,TT_DOWN
507976,高屏空品區,林園,2018-01-02 01:00:00,1,34.0,11.2,10.64679698808,-23.35320301192,TT_DOWN
507977,高屏空品區,林園,2018-01-02 02:00:00,2,26.0,5.5,6.217807635450001,-19.78219236455,TT_DOWN
507978,高屏空品區,林園,2018-01-02 03:00:00,3,19.0,6.8,7.22792801412,-11.77207198588,TT_DOWN
507979,高屏空品區,林園,2018-01-02 04:00:00,4,14.0,9.3,9.170467203870002,-4.829532796129998,TT_DOWN
507980,高屏空品區,林園,2018-01-02 05:00:00,5,12.0,13.5,12.43393304265,0.43393304265000054,TT_DOWN
507981,高屏空品區,林園,2018-01-02 06:00:00,6,11.0,11.5,10.879901690850001,-0.12009830914999853,TT_DOWN
507982,高屏空品區,林園,2018-01-02 07:00:00,7,10.0,10.6,10.180587582540001,0.18058758254000118,TT_DOWN
507983,高屏空品區,林園,2018-01-02 08:00:00,8,11.0,22.1,19.116267855390003,8.116267855390003,TT_DOWN
507984,高屏空品區,林園,2018-01-02 09:00:00,9,15.0,38.7,32.014728075330005,17.014728075330005,TT_DOWN
507985,高屏空品區,林園,2018-01-02 10:00:00,10,20.0,46.5,38.07545034735,18.07545034735,TT_DOWN
507986,高屏空品區,林園,2018-01-02 11:00:00,11,26.0,55.8,45.30169613322,19.30169613322,TT_DOWN
507987,高屏空品區,林園,2018-01-02 12:00:00,12,33.0,66.3,53.46036073017,20.460360730170002,TT_DOWN
507988,高屏空品區,林園,2018-01-02 13:00:00,13,41.0,80.1,64.18317705759,23.18317705759,TT_DOWN
507989,高屏空品區,林園,2018-01-02 14:00:00,14,51.0,84.1,67.29123976119,16.29123976119,TT_DOWN
507990,高屏空品區,林園,2018-01-02 15:00:00,15,58.0,73.8,59.287978299420004,1.2879782994200042,TT_DOWN
507991,高屏空品區,林園,2018-01-02 16:00:00,16,64.0,68.6,55.24749678474,-8.752503215259999,TT_DOWN
507992,高屏空品區,林園,2018-01-02 17:00:00,17,68.0,66.4,53.53806229776001,-14.461937702239993,TT_DOWN
507993,高屏空品區,林園,2018-01-02 18:00:00,18,70.0,64.1,51.75092624319,-18.24907375681,TT_DOWN
507994,高屏空品區,林園,2018-01-02 19:00:00,19,70.0,60.2,48.72056510718001,-21.279434892819992,TT_DOWN
507995,高屏空品區,林園,2018-01-02 20:00:00,20,69.0,54.9,44.60238202491,-24.39761797509,TT_DOWN
507996,高屏空品區,林園,2018-01-02 21:00:00,21,65.0,45.2,37.065329968680004,-27.934670031319996,TT_DOWN
507997,高屏空品區,林園,2018-01-02 22:00:00,22,58.0,29.2,24.633079154280004,-33.366920845719996,TT_DOWN
507998,高屏空品區,林園,2018-01-02 23:00:00,23,51.0,18.3,16.163608286970003,-34.83639171303,TT_DOWN
507999,高屏空品區,林園,2018-01-03 00:00:00,0,44.0,11.3,10.724498555670001,-33.27550144433,TT_DOWN
508000,高屏空品區,林園,2018-01-03 01:00:00,1,36.0,8.0,8.160346825200001,-27.8396531748,TT_DOWN
508001,高屏空品區,林園,2018-01-03 02:00:00,2,30.0,9.5,9.32587033905,-20.67412966095,TT_DOWN
508002,高屏空品區,林園,2018-01-03 03:00:00,3,23.0,8.1,8.23804839279,-14.76195160721,TT_DOWN
508003,高屏空品區,林園,2018-01-03 04:00:00,4,17.0,5.9,6.528613905810001,-10.471386094189999,TT_DOWN
508004,高屏空品區,林園,2018-01-03 05:00:00,5,12.0,4.8,5.673896662320001,-6.326103337679999,TT_DOWN
508005,高屏空品區,林園,2018-01-03 06:00:00,6,8.0,2.0,3.4982527698000006,-4.5017472301999994,TT_DOWN
508006,高屏空品區,林園,2018-01-03 07:00:00,7,7.0,7.0,7.3833311493,0.3833311493,TT_DOWN
508007,高屏空品區,林園,2018-01-03 08:00:00,8,7.0,13.5,12.43393304265,5.4339330426500005,TT_DOWN
508008,高屏空品區,林園,2018-01-03 09:00:00,9,10.0,29.6,24.943885424640005,14.943885424640005,TT_DOWN
508009,高屏空品區,林園,2018-01-03 10:00:00,10,15.0,46.5,38.07545034735,23.07545034735,TT_DOWN
508010,高屏空品區,林園,2018-01-03 11:00:00,11,21.0,61.2,49.497580783080004,28.497580783080004,TT_DOWN
508012,高屏空品區,林園,2018-01-03 13:00:00,13,33.0,73.3,58.89947046147,25.899470461470003,TT_DOWN
508013,高屏空品區,林園,2018-01-03 14:00:00,14,45.0,80.8,64.72708803072001,19.72708803072001,TT_DOWN
508014,高屏空品區,林園,2018-01-03 15:00:00,15,55.0,78.2,62.706847273380006,7.706847273380006,TT_DOWN
508015,高屏空品區,林園,2018-01-03 16:00:00,16,64.0,76.7,61.54132375953001,-2.458676240469991,TT_DOWN
508016,高屏空品區,林園,2018-01-03 17:00:00,17,70.0,72.2,58.04475321798001,-11.95524678201999,TT_DOWN
508017,高屏空品區,林園,2018-01-03 18:00:00,18,73.0,67.3,54.23737640607,-18.76262359393,TT_DOWN
508018,高屏空品區,林園,2018-01-03 19:00:00,19,73.0,59.7,48.332057269230006,-24.667942730769994,TT_DOWN
508019,高屏空品區,林園,2018-01-03 20:00:00,20,69.0,45.0,36.9099268335,-32.0900731665,TT_DOWN
508020,高屏空品區,林園,2018-01-03 21:00:00,21,65.0,40.8,33.64646099472,-31.35353900528,TT_DOWN
508021,高屏空品區,林園,2018-01-03 22:00:00,22,60.0,38.1,31.548518669790006,-28.451481330209994,TT_DOWN
508022,高屏空品區,林園,2018-01-03 23:00:00,23,55.0,41.3,34.034968832669996,-20.965031167330004,TT_DOWN
508023,高屏空品區,林園,2018-01-04 00:00:00,0,50.0,38.9,32.17013121051,-17.82986878949,TT_DOWN
508024,高屏空品區,林園,2018-01-04 01:00:00,1,47.0,47.1,38.541659752890006,-8.458340247109994,TT_DOWN
508025,高屏空品區,林園,2018-01-04 02:00:00,2,45.0,45.6,37.37613623904,-7.623863760959999,TT_DOWN
508026,高屏空品區,林園,2018-01-04 03:00:00,3,42.0,36.0,29.916785750400006,-12.083214249599994,TT_DOWN
508027,高屏空品區,林園,2018-01-04 04:00:00,4,40.0,34.6,28.828963804140006,-11.171036195859994,TT_DOWN
508028,高屏空品區,林園,2018-01-04 05:00:00,5,39.0,32.5,27.197230884750006,-11.802769115249994,TT_DOWN
508029,高屏空品區,林園,2018-01-04 06:00:00,6,38.0,30.8,25.876304235720006,-12.123695764279994,TT_DOWN
508030,高屏空品區,林園,2018-01-04 07:00:00,7,36.0,26.1,22.224330558990005,-13.775669441009995,TT_DOWN
508031,高屏空品區,林園,2018-01-04 08:00:00,8,35.0,29.4,24.788482289460003,-10.211517710539997,TT_DOWN
508032,高屏空品區,林園,2018-01-04 09:00:00,9,34.0,34.0,28.362754398600003,-5.6372456013999965,TT_DOWN
508033,高屏空品區,林園,2018-01-04 10:00:00,10,34.0,45.5,37.29843467145,3.2984346714500035,TT_DOWN
508034,高屏空品區,林園,2018-01-04 11:00:00,11,37.0,60.1,48.64286353959,11.642863539590003,TT_DOWN
508035,高屏空品區,林園,2018-01-04 12:00:00,12,39.0,56.7,46.001010241530004,7.001010241530004,TT_DOWN
508036,高屏空品區,林園,2018-01-04 13:00:00,13,43.0,58.6,47.477340025740006,4.477340025740006,TT_DOWN
508037,高屏空品區,林園,2018-01-04 14:00:00,14,45.0,48.7,39.78488483433001,-5.215115165669992,TT_DOWN
508038,高屏空品區,林園,2018-01-04 15:00:00,15,48.0,50.5,41.183513050950005,-6.816486949049995,TT_DOWN
508039,高屏空品區,林園,2018-01-04 16:00:00,16,49.0,40.0,33.024848454,-15.975151546,TT_DOWN
