,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
122640,北部空品區,桃園,2018-01-01 00:00:00,0,30.0,37.5,32.0572331225,2.0572331225000013,TT_DOWN
122641,北部空品區,桃園,2018-01-01 01:00:00,1,32.0,37.6,32.12998329736,0.12998329735999903,TT_DOWN
122642,北部空品區,桃園,2018-01-01 02:00:00,2,34.0,39.9,33.803237319139996,-0.19676268086000448,TT_DOWN
122643,北部空品區,桃園,2018-01-01 03:00:00,3,36.0,41.8,35.185490641479994,-0.8145093585200058,TT_DOWN
122644,北部空品區,桃園,2018-01-01 04:00:00,4,37.0,41.6,35.03999029176,-1.9600097082400012,TT_DOWN
122645,北部空品區,桃園,2018-01-01 05:00:00,5,39.0,42.8,35.91299239008,-3.0870076099200006,TT_DOWN
122646,北部空品區,桃園,2018-01-01 06:00:00,6,39.0,37.5,32.0572331225,-6.942766877499999,TT_DOWN
122647,北部空品區,桃園,2018-01-01 07:00:00,7,40.0,39.2,33.29398609512,-6.7060139048800025,TT_DOWN
122648,北部空品區,桃園,2018-01-01 08:00:00,8,40.0,41.9,35.25824081634,-4.741759183660001,TT_DOWN
122649,北部空品區,桃園,2018-01-01 09:00:00,9,40.0,39.2,33.29398609512,-6.7060139048800025,TT_DOWN
122650,北部空品區,桃園,2018-01-01 10:00:00,10,41.0,40.1,33.94873766886,-7.051262331140002,TT_DOWN
122651,北部空品區,桃園,2018-01-01 11:00:00,11,41.0,41.9,35.25824081634,-5.741759183660001,TT_DOWN
122652,北部空品區,桃園,2018-01-01 12:00:00,12,41.0,42.1,35.40374116606,-5.596258833939999,TT_DOWN
122653,北部空品區,桃園,2018-01-01 13:00:00,13,40.0,41.1,34.676239417459996,-5.323760582540004,TT_DOWN
122654,北部空品區,桃園,2018-01-01 14:00:00,14,41.0,39.9,33.803237319139996,-7.1967626808600045,TT_DOWN
122655,北部空品區,桃園,2018-01-01 15:00:00,15,41.0,38.5,32.7847348711,-8.2152651289,TT_DOWN
122656,北部空品區,桃園,2018-01-01 16:00:00,16,40.0,36.9,31.620732073339997,-8.379267926660003,TT_DOWN
122657,北部空品區,桃園,2018-01-01 17:00:00,17,39.0,34.9,30.165728576139998,-8.834271423860002,TT_DOWN
122658,北部空品區,桃園,2018-01-01 18:00:00,18,39.0,33.5,29.147226128099998,-9.852773871900002,TT_DOWN
122659,北部空品區,桃園,2018-01-01 19:00:00,19,37.0,32.6,28.492474554359998,-8.507525445640002,TT_DOWN
122660,北部空品區,桃園,2018-01-01 20:00:00,20,36.0,29.9,26.528219833139996,-9.471780166860004,TT_DOWN
122661,北部空品區,桃園,2018-01-01 21:00:00,21,34.0,26.7,24.200214237619996,-9.799785762380004,TT_DOWN
122662,北部空品區,桃園,2018-01-01 22:00:00,22,33.0,29.2,26.018968609119998,-6.981031390880002,TT_DOWN
122663,北部空品區,桃園,2018-01-01 23:00:00,23,32.0,34.3,29.729227526979994,-2.2707724730200063,TT_DOWN
122664,北部空品區,桃園,2018-01-02 00:00:00,0,32.0,37.8,32.275483647079994,0.2754836470799944,TT_DOWN
122665,北部空品區,桃園,2018-01-02 01:00:00,1,33.0,36.8,31.547981898479996,-1.4520181015200038,TT_DOWN
122666,北部空品區,桃園,2018-01-02 02:00:00,2,33.0,37.8,32.275483647079994,-0.7245163529200056,TT_DOWN
122667,北部空品區,桃園,2018-01-02 03:00:00,3,34.0,38.9,33.07573557054,-0.9242644294600026,TT_DOWN
122668,北部空品區,桃園,2018-01-02 04:00:00,4,35.0,37.8,32.275483647079994,-2.7245163529200056,TT_DOWN
122669,北部空品區,桃園,2018-01-02 05:00:00,5,36.0,35.9,30.893230324739996,-5.106769675260004,TT_DOWN
122670,北部空品區,桃園,2018-01-02 06:00:00,6,36.0,30.9,27.255721581739998,-8.744278418260002,TT_DOWN
122671,北部空品區,桃園,2018-01-02 07:00:00,7,35.0,23.0,21.5084577678,-13.4915422322,TT_DOWN
122672,北部空品區,桃園,2018-01-02 08:00:00,8,33.0,25.5,23.3272121393,-9.672787860700002,TT_DOWN
122673,北部空品區,桃園,2018-01-02 09:00:00,9,33.0,30.2,26.746470357719996,-6.253529642280004,TT_DOWN
122674,北部空品區,桃園,2018-01-02 10:00:00,10,32.0,34.8,30.092978401279996,-1.9070215987200037,TT_DOWN
122675,北部空品區,桃園,2018-01-02 11:00:00,11,32.0,36.7,31.47523172362,-0.5247682763800015,TT_DOWN
122676,北部空品區,桃園,2018-01-02 12:00:00,12,32.0,37.2,31.838982597919998,-0.16101740208000237,TT_DOWN
122677,北部空品區,桃園,2018-01-02 13:00:00,13,31.0,28.1,25.21871668566,-5.781283314340001,TT_DOWN
122678,北部空品區,桃園,2018-01-02 14:00:00,14,31.0,33.4,29.074475953239997,-1.9255240467600032,TT_DOWN
122679,北部空品區,桃園,2018-01-02 15:00:00,15,32.0,33.7,29.29272647782,-2.7072735221799995,TT_DOWN
122680,北部空品區,桃園,2018-01-02 16:00:00,16,33.0,28.9,25.800718084539998,-7.199281915460002,TT_DOWN
122681,北部空品區,桃園,2018-01-02 17:00:00,17,32.0,26.9,24.345714587339998,-7.654285412660002,TT_DOWN
122682,北部空品區,桃園,2018-01-02 18:00:00,18,31.0,26.5,24.054713887899997,-6.945286112100003,TT_DOWN
122683,北部空品區,桃園,2018-01-02 19:00:00,19,30.0,27.3,24.63671528678,-5.3632847132200006,TT_DOWN
122684,北部空品區,桃園,2018-01-02 20:00:00,20,29.0,27.4,24.709465461639997,-4.290534538360003,TT_DOWN
122685,北部空品區,桃園,2018-01-02 21:00:00,21,29.0,28.0,25.145966510799997,-3.8540334892000025,TT_DOWN
122686,北部空品區,桃園,2018-01-02 22:00:00,22,29.0,29.9,26.528219833139996,-2.471780166860004,TT_DOWN
122687,北部空品區,桃園,2018-01-02 23:00:00,23,28.0,31.2,27.473972106319998,-0.526027893680002,TT_DOWN
122688,北部空品區,桃園,2018-01-03 00:00:00,0,29.0,32.9,28.710725078939998,-0.2892749210600023,TT_DOWN
122689,北部空品區,桃園,2018-01-03 01:00:00,1,29.0,32.5,28.419724379499996,-0.5802756205000037,TT_DOWN
122690,北部空品區,桃園,2018-01-03 02:00:00,2,30.0,32.8,28.637974904079996,-1.3620250959200035,TT_DOWN
122691,北部空品區,桃園,2018-01-03 03:00:00,3,31.0,34.1,29.58372717726,-1.4162728227400017,TT_DOWN
122692,北部空品區,桃園,2018-01-03 04:00:00,4,32.0,32.5,28.419724379499996,-3.5802756205000037,TT_DOWN
122693,北部空品區,桃園,2018-01-03 05:00:00,5,32.0,29.0,25.873468259399996,-6.126531740600004,TT_DOWN
122694,北部空品區,桃園,2018-01-03 06:00:00,6,31.0,25.6,23.39996231416,-7.60003768584,TT_DOWN
122695,北部空品區,桃園,2018-01-03 07:00:00,7,29.0,8.6,11.032432587959999,-17.96756741204,TT_DOWN
122696,北部空品區,桃園,2018-01-03 08:00:00,8,25.0,8.7,11.10518276282,-13.89481723718,TT_DOWN
122697,北部空品區,桃園,2018-01-03 09:00:00,9,25.0,26.3,23.909213538179998,-1.0907864618200023,TT_DOWN
122698,北部空品區,桃園,2018-01-03 10:00:00,10,25.0,33.7,29.29272647782,4.2927264778200005,TT_DOWN
122699,北部空品區,桃園,2018-01-03 11:00:00,11,25.0,36.2,31.11148084932,6.1114808493199995,TT_DOWN
122700,北部空品區,桃園,2018-01-03 12:00:00,12,26.0,36.8,31.547981898479996,5.547981898479996,TT_DOWN
122701,北部空品區,桃園,2018-01-03 13:00:00,13,26.0,35.1,30.311228925859997,4.3112289258599965,TT_DOWN
122702,北部空品區,桃園,2018-01-03 14:00:00,14,28.0,35.2,30.383979100719998,2.3839791007199977,TT_DOWN
122703,北部空品區,桃園,2018-01-03 15:00:00,15,31.0,32.6,28.492474554359998,-2.5075254456400025,TT_DOWN
122704,北部空品區,桃園,2018-01-03 16:00:00,16,33.0,25.9,23.618212838739996,-9.381787161260004,TT_DOWN
122705,北部空品區,桃園,2018-01-03 17:00:00,17,32.0,23.4,21.799458467239997,-10.200541532760003,TT_DOWN
122706,北部空品區,桃園,2018-01-03 18:00:00,18,31.0,25.5,23.3272121393,-7.6727878607000015,TT_DOWN
122707,北部空品區,桃園,2018-01-03 19:00:00,19,30.0,25.5,23.3272121393,-6.6727878607000015,TT_DOWN
122708,北部空品區,桃園,2018-01-03 20:00:00,20,29.0,27.6,24.85496581136,-4.14503418864,TT_DOWN
122709,北部空品區,桃園,2018-01-03 21:00:00,21,28.0,27.3,24.63671528678,-3.3632847132200006,TT_DOWN
122710,北部空品區,桃園,2018-01-03 22:00:00,22,27.0,28.0,25.145966510799997,-1.8540334892000025,TT_DOWN
122711,北部空品區,桃園,2018-01-03 23:00:00,23,26.0,28.3,25.364217035379998,-0.6357829646200024,TT_DOWN
122712,北部空品區,桃園,2018-01-04 00:00:00,0,27.0,29.2,26.018968609119998,-0.9810313908800019,TT_DOWN
122713,北部空品區,桃園,2018-01-04 01:00:00,1,28.0,29.9,26.528219833139996,-1.471780166860004,TT_DOWN
122714,北部空品區,桃園,2018-01-04 02:00:00,2,28.0,29.9,26.528219833139996,-1.471780166860004,TT_DOWN
122715,北部空品區,桃園,2018-01-04 03:00:00,3,28.0,25.2,23.10896161472,-4.891038385280002,TT_DOWN
122716,北部空品區,桃園,2018-01-04 04:00:00,4,28.0,24.7,22.745210740419996,-5.254789259580004,TT_DOWN
122717,北部空品區,桃園,2018-01-04 05:00:00,5,27.0,18.2,18.016449374519997,-8.983550625480003,TT_DOWN
122718,北部空品區,桃園,2018-01-04 06:00:00,6,24.0,9.2,11.46893363712,-12.53106636288,TT_DOWN
122719,北部空品區,桃園,2018-01-04 07:00:00,7,21.0,3.0,6.9584227958,-14.0415772042,TT_DOWN
122720,北部空品區,桃園,2018-01-04 08:00:00,8,18.0,5.0,8.413426293,-9.586573707,TT_DOWN
122721,北部空品區,桃園,2018-01-04 09:00:00,9,15.0,8.7,11.10518276282,-3.89481723718,TT_DOWN
122722,北部空品區,桃園,2018-01-04 10:00:00,10,15.0,25.5,23.3272121393,8.327212139299998,TT_DOWN
122723,北部空品區,桃園,2018-01-04 11:00:00,11,15.0,26.0,23.690963013599998,8.690963013599998,TT_DOWN
122724,北部空品區,桃園,2018-01-04 12:00:00,12,16.0,28.9,25.800718084539998,9.800718084539998,TT_DOWN
122725,北部空品區,桃園,2018-01-04 13:00:00,13,17.0,27.9,25.073216335939996,8.073216335939996,TT_DOWN
122726,北部空品區,桃園,2018-01-04 14:00:00,14,19.0,27.2,24.563965111919998,5.563965111919998,TT_DOWN
122727,北部空品區,桃園,2018-01-04 15:00:00,15,21.0,21.0,20.0534542706,-0.9465457294000004,TT_DOWN
122728,北部空品區,桃園,2018-01-04 16:00:00,16,23.0,18.0,17.870949024799998,-5.129050975200002,TT_DOWN
122729,北部空品區,桃園,2018-01-04 17:00:00,17,24.0,17.3,17.36169780078,-6.63830219922,TT_DOWN
122730,北部空品區,桃園,2018-01-04 18:00:00,18,23.0,18.7,18.38020024882,-4.61979975118,TT_DOWN
122731,北部空品區,桃園,2018-01-04 19:00:00,19,22.0,18.1,17.94369919966,-4.056300800340001,TT_DOWN
122732,北部空品區,桃園,2018-01-04 20:00:00,20,21.0,17.0,17.1434472762,-3.8565527238,TT_DOWN
122733,北部空品區,桃園,2018-01-04 21:00:00,21,19.0,13.0,14.2334402818,-4.7665597182,TT_DOWN
122734,北部空品區,桃園,2018-01-04 22:00:00,22,17.0,11.6,13.21493783376,-3.7850621662399995,TT_DOWN
122735,北部空品區,桃園,2018-01-04 23:00:00,23,17.0,20.1,19.39870269686,2.398702696859999,TT_DOWN
122736,北部空品區,桃園,2018-01-05 00:00:00,0,17.0,16.9,17.07069710134,0.07069710133999862,TT_DOWN
122737,北部空品區,桃園,2018-01-05 01:00:00,1,17.0,19.0,18.5984507734,1.5984507733999997,TT_DOWN
122738,北部空品區,桃園,2018-01-05 02:00:00,2,17.0,22.6,21.217457068359998,4.217457068359998,TT_DOWN
122739,北部空品區,桃園,2018-01-05 03:00:00,3,18.0,23.3,21.72670829238,3.7267082923799997,TT_DOWN
