,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
569239,高屏空品區,楠梓,2018-01-01 00:00:00,0,30.0,13.0,10.2770459718,-19.7229540282,TT_DOWN
569240,高屏空品區,楠梓,2018-01-01 01:00:00,1,24.0,10.6,8.358428987399998,-15.641571012600002,TT_DOWN
569241,高屏空品區,楠梓,2018-01-01 02:00:00,2,19.0,9.3,7.31917812085,-11.680821879149999,TT_DOWN
569242,高屏空品區,楠梓,2018-01-01 03:00:00,3,16.0,8.0,6.2799272542999995,-9.720072745700001,TT_DOWN
569243,高屏空品區,楠梓,2018-01-01 04:00:00,4,13.0,8.5,6.67963912605,-6.32036087395,TT_DOWN
569244,高屏空品區,楠梓,2018-01-01 05:00:00,5,11.0,6.8,5.3206187621,-5.6793812379,TT_DOWN
569245,高屏空品區,楠梓,2018-01-01 06:00:00,6,10.0,5.5,4.28136789555,-5.71863210445,TT_DOWN
569246,高屏空品區,楠梓,2018-01-01 07:00:00,7,9.0,7.8,6.1200425056,-2.8799574944,TT_DOWN
569247,高屏空品區,楠梓,2018-01-01 08:00:00,8,9.0,13.4,10.5968154692,1.5968154691999992,TT_DOWN
569248,高屏空品區,楠梓,2018-01-01 09:00:00,9,10.0,23.4,18.591052904199998,8.591052904199998,TT_DOWN
569249,高屏空品區,楠梓,2018-01-01 10:00:00,10,14.0,41.9,33.38039215894999,19.380392158949988,TT_DOWN
569250,高屏空品區,楠梓,2018-01-01 11:00:00,11,22.0,65.5,52.24679250554999,30.24679250554999,TT_DOWN
569251,高屏空品區,楠梓,2018-01-01 12:00:00,12,30.0,75.5,60.241029940549986,30.241029940549986,TT_DOWN
569252,高屏空品區,楠梓,2018-01-01 13:00:00,13,39.0,80.7,64.39803340675,25.398033406750002,TT_DOWN
569253,高屏空品區,楠梓,2018-01-01 14:00:00,14,48.0,77.9,62.159646924949996,14.159646924949996,TT_DOWN
569254,高屏空品區,楠梓,2018-01-01 15:00:00,15,56.0,72.0,57.44304683829999,1.443046838299992,TT_DOWN
569255,高屏空品區,楠梓,2018-01-01 16:00:00,16,63.0,64.3,51.28748401334999,-11.712515986650011,TT_DOWN
569256,高屏空品區,楠梓,2018-01-01 17:00:00,17,66.0,51.9,41.37462959394999,-24.62537040605001,TT_DOWN
569257,高屏空品區,楠梓,2018-01-01 18:00:00,18,67.0,44.5,35.45889389204999,-31.541106107950007,TT_DOWN
569258,高屏空品區,楠梓,2018-01-01 19:00:00,19,64.0,41.7,33.22050741024999,-30.779492589750006,TT_DOWN
569259,高屏空品區,楠梓,2018-01-01 20:00:00,20,59.0,38.1,30.34258193365,-28.65741806635,TT_DOWN
569260,高屏空品區,楠梓,2018-01-01 21:00:00,21,53.0,30.8,24.5067886061,-28.4932113939,TT_DOWN
569261,高屏空品區,楠梓,2018-01-01 22:00:00,22,46.0,22.1,17.55180203765,-28.44819796235,TT_DOWN
569262,高屏空品區,楠梓,2018-01-01 23:00:00,23,39.0,16.6,13.1549714484,-25.845028551600002,TT_DOWN
569263,高屏空品區,楠梓,2018-01-02 00:00:00,0,33.0,14.8,11.716008710099999,-21.2839912899,TT_DOWN
569264,高屏空品區,楠梓,2018-01-02 01:00:00,1,28.0,12.1,9.557564602649999,-18.442435397350003,TT_DOWN
569265,高屏空品區,楠梓,2018-01-02 02:00:00,2,24.0,12.6,9.957276474399999,-14.042723525600001,TT_DOWN
569266,高屏空品區,楠梓,2018-01-02 03:00:00,3,20.0,10.3,8.11860186435,-11.88139813565,TT_DOWN
569267,高屏空品區,楠梓,2018-01-02 04:00:00,4,17.0,14.1,11.156412089649999,-5.843587910350001,TT_DOWN
569268,高屏空品區,楠梓,2018-01-02 05:00:00,5,14.0,11.6,9.157852730899998,-4.842147269100002,TT_DOWN
569269,高屏空品區,楠梓,2018-01-02 06:00:00,6,12.0,6.7,5.24067638775,-6.75932361225,TT_DOWN
569270,高屏空品區,楠梓,2018-01-02 07:00:00,7,11.0,5.7,4.4412526442499995,-6.5587473557500005,TT_DOWN
569271,高屏空品區,楠梓,2018-01-02 08:00:00,8,10.0,8.2,6.439812002999999,-3.5601879970000008,TT_DOWN
569272,高屏空品區,楠梓,2018-01-02 09:00:00,9,10.0,14.6,11.556123961399999,1.556123961399999,TT_DOWN
569273,高屏空品區,楠梓,2018-01-02 10:00:00,10,15.0,52.4,41.77434146569999,26.77434146569999,TT_DOWN
569274,高屏空品區,楠梓,2018-01-02 11:00:00,11,21.0,58.1,46.33105680364999,25.331056803649993,TT_DOWN
569275,高屏空品區,楠梓,2018-01-02 12:00:00,12,28.0,66.3,52.88633150034999,24.88633150034999,TT_DOWN
569276,高屏空品區,楠梓,2018-01-02 13:00:00,13,35.0,66.5,53.04621624904999,18.04621624904999,TT_DOWN
569277,高屏空品區,楠梓,2018-01-02 14:00:00,14,43.0,68.7,54.80494848474999,11.804948484749993,TT_DOWN
569278,高屏空品區,楠梓,2018-01-02 15:00:00,15,50.0,65.0,51.84708063379999,1.8470806337999903,TT_DOWN
569279,高屏空品區,楠梓,2018-01-02 16:00:00,16,56.0,55.1,43.93278557314999,-12.067214426850008,TT_DOWN
569280,高屏空品區,楠梓,2018-01-02 17:00:00,17,60.0,49.1,39.13624311214999,-20.86375688785001,TT_DOWN
569281,高屏空品區,楠梓,2018-01-02 18:00:00,18,58.0,39.1,31.142005677149996,-26.857994322850004,TT_DOWN
569282,高屏空品區,楠梓,2018-01-02 19:00:00,19,55.0,30.6,24.346903857399997,-30.653096142600003,TT_DOWN
569283,高屏空品區,楠梓,2018-01-02 20:00:00,20,49.0,18.0,14.2741646893,-34.7258353107,TT_DOWN
569284,高屏空品區,楠梓,2018-01-02 21:00:00,21,42.0,13.6,10.756700217899999,-31.243299782100003,TT_DOWN
569285,高屏空品區,楠梓,2018-01-02 22:00:00,22,36.0,16.4,12.995086699699998,-23.004913300300004,TT_DOWN
569286,高屏空品區,楠梓,2018-01-02 23:00:00,23,29.0,11.5,9.07791035655,-19.92208964345,TT_DOWN
569287,高屏空品區,楠梓,2018-01-03 00:00:00,0,23.0,8.0,6.2799272542999995,-16.7200727457,TT_DOWN
569288,高屏空品區,楠梓,2018-01-03 01:00:00,1,18.0,3.2,2.4426932855,-15.557306714500001,TT_DOWN
569289,高屏空品區,楠梓,2018-01-03 02:00:00,2,13.0,4.5,3.4819441520499996,-9.51805584795,TT_DOWN
569290,高屏空品區,楠梓,2018-01-03 03:00:00,3,10.0,3.8,2.9223475315999994,-7.0776524684,TT_DOWN
569291,高屏空品區,楠梓,2018-01-03 04:00:00,4,8.0,2.8,2.1229237880999996,-5.8770762119,TT_DOWN
569292,高屏空品區,楠梓,2018-01-03 05:00:00,5,7.0,2.5,1.8830966650499996,-5.116903334950001,TT_DOWN
569293,高屏空品區,楠梓,2018-01-03 06:00:00,6,5.0,1.9,1.4034424189499997,-3.5965575810500003,TT_DOWN
569294,高屏空品區,楠梓,2018-01-03 07:00:00,7,4.0,2.7,2.0429814137499998,-1.9570185862500002,TT_DOWN
569295,高屏空品區,楠梓,2018-01-03 08:00:00,8,3.0,6.3,4.9209068903499995,1.9209068903499995,TT_DOWN
569296,高屏空品區,楠梓,2018-01-03 09:00:00,9,6.0,24.1,19.15064952465,13.15064952465,TT_DOWN
569297,高屏空品區,楠梓,2018-01-03 10:00:00,10,10.0,39.4,31.381832800199994,21.381832800199994,TT_DOWN
