,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
78840,北部空品區,永和,2018-01-01 00:00:00,0,34.0,39.1,32.20402333736,-1.795976662640001,TT_DOWN
78841,北部空品區,永和,2018-01-01 01:00:00,1,36.0,39.7,32.57995676912,-3.4200432308799975,TT_DOWN
78842,北部空品區,永和,2018-01-01 02:00:00,2,37.0,42.1,34.08369049616,-2.9163095038399973,TT_DOWN
78843,北部空品區,永和,2018-01-01 03:00:00,3,38.0,43.0,34.6475906438,-3.352409356199999,TT_DOWN
78844,北部空品區,永和,2018-01-01 04:00:00,4,39.0,43.3,34.835557359679996,-4.164442640320004,TT_DOWN
78845,北部空品區,永和,2018-01-01 05:00:00,5,40.0,43.8,35.14883521948,-4.851164780520001,TT_DOWN
78846,北部空品區,永和,2018-01-01 06:00:00,6,41.0,41.7,33.83306820832,-7.16693179168,TT_DOWN
78847,北部空品區,永和,2018-01-01 07:00:00,7,42.0,39.7,32.57995676912,-9.420043230879998,TT_DOWN
78848,北部空品區,永和,2018-01-01 08:00:00,8,42.0,39.8,32.642612341079996,-9.357387658920004,TT_DOWN
78849,北部空品區,永和,2018-01-01 09:00:00,9,42.0,41.8,33.89572378028,-8.10427621972,TT_DOWN
78850,北部空品區,永和,2018-01-01 10:00:00,10,42.0,44.3,35.46211307928,-6.537886920719998,TT_DOWN
78851,北部空品區,永和,2018-01-01 11:00:00,11,42.0,41.5,33.7077570644,-8.292242935600001,TT_DOWN
78852,北部空品區,永和,2018-01-01 12:00:00,12,42.0,42.4,34.27165721204,-7.728342787960003,TT_DOWN
78853,北部空品區,永和,2018-01-01 13:00:00,13,42.0,43.0,34.6475906438,-7.352409356199999,TT_DOWN
78854,北部空品區,永和,2018-01-01 14:00:00,14,42.0,40.7,33.20651248872,-8.793487511279999,TT_DOWN
78855,北部空品區,永和,2018-01-01 15:00:00,15,42.0,39.8,32.642612341079996,-9.357387658920004,TT_DOWN
78856,北部空品區,永和,2018-01-01 16:00:00,16,42.0,40.5,33.0812013448,-8.9187986552,TT_DOWN
78857,北部空品區,永和,2018-01-01 17:00:00,17,41.0,37.4,31.138878614040003,-9.861121385959997,TT_DOWN
78858,北部空品區,永和,2018-01-01 18:00:00,18,40.0,34.5,29.3218670272,-10.6781329728,TT_DOWN
78859,北部空品區,永和,2018-01-01 19:00:00,19,39.0,34.1,29.071244739360004,-9.928755260639996,TT_DOWN
78860,北部空品區,永和,2018-01-01 20:00:00,20,38.0,32.4,28.00610001604,-9.993899983959999,TT_DOWN
78861,北部空品區,永和,2018-01-01 21:00:00,21,36.0,31.0,27.1289220086,-8.8710779914,TT_DOWN
78862,北部空品區,永和,2018-01-01 22:00:00,22,36.0,35.6,30.01107831876,-5.988921681240001,TT_DOWN
78863,北部空品區,永和,2018-01-01 23:00:00,23,36.0,41.1,33.457134776560004,-2.542865223439996,TT_DOWN
78864,北部空品區,永和,2018-01-02 00:00:00,0,36.0,41.6,33.77041263636,-2.2295873636400003,TT_DOWN
78865,北部空品區,永和,2018-01-02 01:00:00,1,37.0,42.6,34.39696835596,-2.6030316440400014,TT_DOWN
78866,北部空品區,永和,2018-01-02 02:00:00,2,38.0,43.7,35.086179647520005,-2.913820352479995,TT_DOWN
78867,北部空品區,永和,2018-01-02 03:00:00,3,39.0,42.2,34.14634606812,-4.853653931879997,TT_DOWN
78868,北部空品區,永和,2018-01-02 04:00:00,4,40.0,42.3,34.20900164008,-5.790998359920003,TT_DOWN
78869,北部空品區,永和,2018-01-02 05:00:00,5,41.0,40.4,33.01854577284,-7.98145422716,TT_DOWN
78870,北部空品區,永和,2018-01-02 06:00:00,6,41.0,34.2,29.133900311320005,-11.866099688679995,TT_DOWN
78871,北部空品區,永和,2018-01-02 07:00:00,7,39.0,23.5,22.4297541116,-16.5702458884,TT_DOWN
78872,北部空品區,永和,2018-01-02 08:00:00,8,36.0,22.9,22.05382067984,-13.946179320159999,TT_DOWN
78873,北部空品區,永和,2018-01-02 09:00:00,9,35.0,31.9,27.69282215624,-7.307177843760002,TT_DOWN
78874,北部空品區,永和,2018-01-02 10:00:00,10,34.0,37.0,30.8882563262,-3.1117436737999995,TT_DOWN
78875,北部空品區,永和,2018-01-02 11:00:00,11,34.0,39.6,32.51730119716,-1.482698802839998,TT_DOWN
