,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
87600,北部空品區,汐止,2018-01-01 00:00:00,0,37.0,40.0,33.69542957,-3.3045704299999983,TT_DOWN
87601,北部空品區,汐止,2018-01-01 01:00:00,1,38.0,37.7,32.170306889980004,-5.829693110019996,TT_DOWN
87602,北部空品區,汐止,2018-01-01 02:00:00,2,40.0,43.5,36.0162684309,-3.9837315691000015,TT_DOWN
87603,北部空品區,汐止,2018-01-01 03:00:00,3,40.0,41.1,34.42483606914,-5.5751639308600005,TT_DOWN
87604,北部空品區,汐止,2018-01-01 04:00:00,4,41.0,39.8,33.56281020652,-7.437189793480002,TT_DOWN
87605,北部空品區,汐止,2018-01-01 05:00:00,5,40.0,39.0,33.0323327526,-6.967667247400001,TT_DOWN
87606,北部空品區,汐止,2018-01-01 06:00:00,6,40.0,40.2,33.828048933480005,-6.171951066519995,TT_DOWN
87607,北部空品區,汐止,2018-01-01 07:00:00,7,39.0,27.7,25.53933871598,-13.460661284019999,TT_DOWN
87608,北部空品區,汐止,2018-01-01 08:00:00,8,37.0,30.8,27.594938849920002,-9.405061150079998,TT_DOWN
87609,北部空品區,汐止,2018-01-01 09:00:00,9,37.0,34.0,29.7168486656,-7.283151334399999,TT_DOWN
87610,北部空品區,汐止,2018-01-01 10:00:00,10,37.0,41.7,34.82269415958,-2.177305840419997,TT_DOWN
87611,北部空品區,汐止,2018-01-01 11:00:00,11,37.0,45.7,37.47508142918001,0.4750814291800083,TT_DOWN
87612,北部空品區,汐止,2018-01-01 12:00:00,12,38.0,45.7,37.47508142918001,-0.5249185708199917,TT_DOWN
87613,北部空品區,汐止,2018-01-01 13:00:00,13,39.0,44.0,36.3478168396,-2.6521831604,TT_DOWN
87614,北部空品區,汐止,2018-01-01 14:00:00,14,39.0,40.2,33.828048933480005,-5.171951066519995,TT_DOWN
87615,北部空品區,汐止,2018-01-01 15:00:00,15,40.0,37.3,31.90506816302,-8.094931836979999,TT_DOWN
87616,北部空品區,汐止,2018-01-01 16:00:00,16,40.0,33.6,29.45160993864,-10.54839006136,TT_DOWN
87617,北部空品區,汐止,2018-01-01 17:00:00,17,41.0,39.0,33.0323327526,-7.967667247400001,TT_DOWN
87618,北部空品區,汐止,2018-01-01 18:00:00,18,41.0,39.7,33.496500524780004,-7.503499475219996,TT_DOWN
87619,北部空品區,汐止,2018-01-01 19:00:00,19,39.0,32.5,28.722203439500003,-10.277796560499997,TT_DOWN
87620,北部空品區,汐止,2018-01-01 20:00:00,20,37.0,28.6,26.136125851640003,-10.863874148359997,TT_DOWN
87621,北部空品區,汐止,2018-01-01 21:00:00,21,34.0,19.6,20.168254495040003,-13.831745504959997,TT_DOWN
87622,北部空品區,汐止,2018-01-01 22:00:00,22,32.0,22.7,22.22385462898,-9.77614537102,TT_DOWN
87623,北部空品區,汐止,2018-01-01 23:00:00,23,30.0,23.7,22.886951446380003,-7.113048553619997,TT_DOWN
87624,北部空品區,汐止,2018-01-02 00:00:00,0,30.0,35.4,30.64518420996,0.64518420996,TT_DOWN
87625,北部空品區,汐止,2018-01-02 01:00:00,1,31.0,42.9,35.61841034046,4.618410340460002,TT_DOWN
87626,北部空品區,汐止,2018-01-02 02:00:00,2,31.0,44.5,36.6793652483,5.679365248300002,TT_DOWN
87627,北部空品區,汐止,2018-01-02 03:00:00,3,32.0,40.0,33.69542957,1.6954295700000017,TT_DOWN
87628,北部空品區,汐止,2018-01-02 04:00:00,4,33.0,36.9,31.63982943606,-1.3601705639399988,TT_DOWN
87629,北部空品區,汐止,2018-01-02 05:00:00,5,35.0,35.4,30.64518420996,-4.35481579004,TT_DOWN
87630,北部空品區,汐止,2018-01-02 06:00:00,6,36.0,31.1,27.793867895140004,-8.206132104859996,TT_DOWN
87631,北部空品區,汐止,2018-01-02 07:00:00,7,36.0,23.3,22.621712719420003,-13.378287280579997,TT_DOWN
87633,北部空品區,汐止,2018-01-02 09:00:00,9,35.0,36.0,31.0430423004,-3.9569576996,TT_DOWN
87634,北部空品區,汐止,2018-01-02 10:00:00,10,35.0,39.9,33.62911988826,-1.37088011174,TT_DOWN
87635,北部空品區,汐止,2018-01-02 11:00:00,11,35.0,42.6,35.419481295240004,0.4194812952400042,TT_DOWN
87636,北部空品區,汐止,2018-01-02 12:00:00,12,36.0,43.8,36.21519747612,0.21519747611999662,TT_DOWN
87637,北部空品區,汐止,2018-01-02 13:00:00,13,38.0,46.1,37.74032015614,-0.259679843859999,TT_DOWN
87638,北部空品區,汐止,2018-01-02 14:00:00,14,40.0,45.3,37.20984270222,-2.7901572977799987,TT_DOWN
87639,北部空品區,汐止,2018-01-02 15:00:00,15,42.0,42.7,35.48579097698,-6.514209023020001,TT_DOWN
