,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
315356,中部空品區,沙鹿,2018-01-01 00:00:00,0,36.0,37.5,31.297179292750002,-4.702820707249998,TT_DOWN
315357,中部空品區,沙鹿,2018-01-01 01:00:00,1,36.0,37.2,31.046967011560003,-4.953032988439997,TT_DOWN
315358,中部空品區,沙鹿,2018-01-01 02:00:00,2,37.0,37.2,31.046967011560003,-5.953032988439997,TT_DOWN
315359,中部空品區,沙鹿,2018-01-01 03:00:00,3,37.0,36.8,30.713350636639998,-6.286649363360002,TT_DOWN
315360,中部空品區,沙鹿,2018-01-01 04:00:00,4,37.0,36.7,30.62994654291,-6.370053457089998,TT_DOWN
315361,中部空品區,沙鹿,2018-01-01 05:00:00,5,37.0,36.5,30.46313835545,-6.536861644550001,TT_DOWN
315362,中部空品區,沙鹿,2018-01-01 06:00:00,6,37.0,34.5,28.79505648085,-8.20494351915,TT_DOWN
315363,中部空品區,沙鹿,2018-01-01 07:00:00,7,36.0,30.6,25.542296825380003,-10.457703174619997,TT_DOWN
315364,中部空品區,沙鹿,2018-01-01 08:00:00,8,35.0,33.9,28.29463191847,-6.7053680815300005,TT_DOWN
315365,中部空品區,沙鹿,2018-01-01 09:00:00,9,36.0,40.8,34.049514385840006,-1.9504856141599944,TT_DOWN
315366,中部空品區,沙鹿,2018-01-01 10:00:00,10,37.0,46.0,38.386527259800005,1.3865272598000047,TT_DOWN
315367,中部空品區,沙鹿,2018-01-01 11:00:00,11,39.0,53.2,44.39162200836001,5.3916220083600095,TT_DOWN
315368,中部空品區,沙鹿,2018-01-01 12:00:00,12,42.0,60.5,50.48012085065,8.480120850650003,TT_DOWN
315369,中部空品區,沙鹿,2018-01-01 13:00:00,13,45.0,63.1,52.648627287630006,7.648627287630006,TT_DOWN
315370,中部空品區,沙鹿,2018-01-01 14:00:00,14,49.0,62.0,51.73118225660001,2.7311822566000075,TT_DOWN
315371,中部空品區,沙鹿,2018-01-01 15:00:00,15,52.0,57.6,48.061402132480005,-3.938597867519995,TT_DOWN
315372,中部空品區,沙鹿,2018-01-01 16:00:00,16,54.0,50.7,42.30651966511001,-11.69348033488999,TT_DOWN
315373,中部空品區,沙鹿,2018-01-01 17:00:00,17,55.0,44.1,36.80184947893001,-18.19815052106999,TT_DOWN
315374,中部空品區,沙鹿,2018-01-01 18:00:00,18,54.0,37.6,31.38058338648,-22.61941661352,TT_DOWN
315375,中部空品區,沙鹿,2018-01-01 19:00:00,19,51.0,32.3,26.96016641879,-24.03983358121,TT_DOWN
315376,中部空品區,沙鹿,2018-01-01 20:00:00,20,47.0,27.5,22.956769919750002,-24.043230080249998,TT_DOWN
315377,中部空品區,沙鹿,2018-01-01 21:00:00,21,41.0,18.9,15.78401785897,-25.21598214103,TT_DOWN
315378,中部空品區,沙鹿,2018-01-01 22:00:00,22,35.0,14.6,12.19764182858,-22.80235817142,TT_DOWN
315379,中部空品區,沙鹿,2018-01-01 23:00:00,23,30.0,11.5,9.612114922950001,-20.38788507705,TT_DOWN
315380,中部空品區,沙鹿,2018-01-02 00:00:00,0,24.0,5.9,4.941485674070001,-19.05851432593,TT_DOWN
315381,中部空品區,沙鹿,2018-01-02 01:00:00,1,19.0,1.8,1.5219178311400001,-17.47808216886,TT_DOWN
315382,中部空品區,沙鹿,2018-01-02 02:00:00,2,14.0,1.8,1.5219178311400001,-12.47808216886,TT_DOWN
315383,中部空品區,沙鹿,2018-01-02 03:00:00,3,10.0,1.7,1.43851373741,-8.56148626259,TT_DOWN
315384,中部空品區,沙鹿,2018-01-02 04:00:00,4,7.0,2.0,1.6887260186000002,-5.311273981399999,TT_DOWN
315385,中部空品區,沙鹿,2018-01-02 05:00:00,5,5.0,1.9,1.6053219248700001,-3.39467807513,TT_DOWN
315386,中部空品區,沙鹿,2018-01-02 06:00:00,6,4.0,2.0,1.6887260186000002,-2.3112739814,TT_DOWN
315387,中部空品區,沙鹿,2018-01-02 07:00:00,7,3.0,4.1,3.4402119869299996,0.44021198692999963,TT_DOWN
315388,中部空品區,沙鹿,2018-01-02 08:00:00,8,3.0,8.1,6.77637573613,3.7763757361300003,TT_DOWN
315389,中部空品區,沙鹿,2018-01-02 09:00:00,9,5.0,18.3,15.283593296590002,10.283593296590002,TT_DOWN
315390,中部空品區,沙鹿,2018-01-02 10:00:00,10,8.0,27.3,22.78996173229,14.78996173229,TT_DOWN
