,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
140160,北部空品區,淡水,2018-01-01 00:00:00,0,37.0,38.9,34.04611819559,-2.9538818044100026,TT_DOWN
140161,北部空品區,淡水,2018-01-01 01:00:00,1,37.0,38.9,34.04611819559,-2.9538818044100026,TT_DOWN
140162,北部空品區,淡水,2018-01-01 02:00:00,2,38.0,38.6,33.81653381366,-4.183466186339999,TT_DOWN
140163,北部空品區,淡水,2018-01-01 03:00:00,3,38.0,36.2,31.979858758220004,-6.020141241779996,TT_DOWN
140164,北部空品區,淡水,2018-01-01 04:00:00,4,38.0,37.6,33.05125254056,-4.94874745944,TT_DOWN
140165,北部空品區,淡水,2018-01-01 05:00:00,5,37.0,34.2,30.449296212020005,-6.5507037879799945,TT_DOWN
140166,北部空品區,淡水,2018-01-01 06:00:00,6,37.0,34.5,30.67888059395,-6.3211194060499984,TT_DOWN
140167,北部空品區,淡水,2018-01-01 07:00:00,7,37.0,36.6,32.28597126746,-4.714028732540001,TT_DOWN
140168,北部空品區,淡水,2018-01-01 08:00:00,8,37.0,36.5,32.20944314015,-4.79055685985,TT_DOWN
140169,北部空品區,淡水,2018-01-01 09:00:00,9,36.0,36.8,32.439027522079996,-3.5609724779200036,TT_DOWN
140170,北部空品區,淡水,2018-01-01 10:00:00,10,36.0,36.1,31.903330630910002,-4.096669369089998,TT_DOWN
140171,北部空品區,淡水,2018-01-01 11:00:00,11,36.0,35.7,31.597218121670004,-4.402781878329996,TT_DOWN
140172,北部空品區,淡水,2018-01-01 12:00:00,12,36.0,36.3,32.056386885529996,-3.943613114470004,TT_DOWN
140173,北部空品區,淡水,2018-01-01 13:00:00,13,36.0,36.5,32.20944314015,-3.7905568598499997,TT_DOWN
140174,北部空品區,淡水,2018-01-01 14:00:00,14,36.0,36.5,32.20944314015,-3.7905568598499997,TT_DOWN
140175,北部空品區,淡水,2018-01-01 15:00:00,15,36.0,35.1,31.138049357810004,-4.861950642189996,TT_DOWN
140176,北部空品區,淡水,2018-01-01 16:00:00,16,36.0,34.7,30.831936848570006,-5.168063151429994,TT_DOWN
140177,北部空品區,淡水,2018-01-01 17:00:00,17,36.0,34.5,30.67888059395,-5.3211194060499984,TT_DOWN
140178,北部空品區,淡水,2018-01-01 18:00:00,18,36.0,36.0,31.826802503600003,-4.173197496399997,TT_DOWN
140179,北部空品區,淡水,2018-01-01 19:00:00,19,36.0,36.2,31.979858758220004,-4.020141241779996,TT_DOWN
140180,北部空品區,淡水,2018-01-01 20:00:00,20,35.0,33.8,30.14318370278,-4.85681629722,TT_DOWN
140181,北部空品區,淡水,2018-01-01 21:00:00,21,35.0,31.0,28.0003961381,-6.999603861899999,TT_DOWN
140182,北部空品區,淡水,2018-01-01 22:00:00,22,34.0,33.3,29.76054306623,-4.2394569337700005,TT_DOWN
140183,北部空品區,淡水,2018-01-01 23:00:00,23,34.0,30.6,27.694283628860003,-6.305716371139997,TT_DOWN
140184,北部空品區,淡水,2018-01-02 00:00:00,0,34.0,34.0,30.2962399574,-3.703760042599999,TT_DOWN
140185,北部空品區,淡水,2018-01-02 01:00:00,1,34.0,35.1,31.138049357810004,-2.8619506421899956,TT_DOWN
140186,北部空品區,淡水,2018-01-02 02:00:00,2,34.0,34.2,30.449296212020005,-3.5507037879799945,TT_DOWN
140187,北部空品區,淡水,2018-01-02 03:00:00,3,33.0,33.9,30.219711830090002,-2.7802881699099977,TT_DOWN
140188,北部空品區,淡水,2018-01-02 04:00:00,4,33.0,35.5,31.444161867050003,-1.5558381329499973,TT_DOWN
140189,北部空品區,淡水,2018-01-02 05:00:00,5,34.0,34.7,30.831936848570006,-3.168063151429994,TT_DOWN
140190,北部空品區,淡水,2018-01-02 06:00:00,6,34.0,33.5,29.913599320850004,-4.086400679149996,TT_DOWN
140191,北部空品區,淡水,2018-01-02 07:00:00,7,34.0,32.5,29.148318047750003,-4.851681952249997,TT_DOWN
140192,北部空品區,淡水,2018-01-02 08:00:00,8,34.0,33.5,29.913599320850004,-4.086400679149996,TT_DOWN
140193,北部空品區,淡水,2018-01-02 09:00:00,9,34.0,32.5,29.148318047750003,-4.851681952249997,TT_DOWN
140194,北部空品區,淡水,2018-01-02 10:00:00,10,34.0,32.8,29.37790242968,-4.622097570320001,TT_DOWN
