,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
254039,竹苗空品區,湖口,2018-01-01 00:00:00,0,40.0,43.2,37.284654628140004,-2.7153453718599962,TT_DOWN
254040,竹苗空品區,湖口,2018-01-01 01:00:00,1,40.0,41.8,36.06657298616,-3.933427013840003,TT_DOWN
254041,竹苗空品區,湖口,2018-01-01 02:00:00,2,40.0,42.3,36.50160214400999,-3.4983978559900066,TT_DOWN
254042,竹苗空品區,湖口,2018-01-01 03:00:00,3,40.0,44.0,37.980701280699996,-2.0192987193000036,TT_DOWN
254043,竹苗空品區,湖口,2018-01-01 04:00:00,4,41.0,45.0,38.850759596399996,-2.149240403600004,TT_DOWN
254044,竹苗空品區,湖口,2018-01-01 05:00:00,5,41.0,41.9,36.15357881773,-4.846421182269999,TT_DOWN
254045,竹苗空品區,湖口,2018-01-01 06:00:00,6,42.0,42.1,36.32759048087,-5.6724095191299995,TT_DOWN
254046,竹苗空品區,湖口,2018-01-01 07:00:00,7,43.0,41.1,35.45753216517,-7.542467834829999,TT_DOWN
254047,竹苗空品區,湖口,2018-01-01 08:00:00,8,43.0,44.5,38.41573043855,-4.58426956145,TT_DOWN
254048,竹苗空品區,湖口,2018-01-01 09:00:00,9,43.0,46.7,40.32985873309,-2.670141266910001,TT_DOWN
254049,竹苗空品區,湖口,2018-01-01 10:00:00,10,44.0,48.4,41.808957869779995,-2.191042130220005,TT_DOWN
254050,竹苗空品區,湖口,2018-01-01 11:00:00,11,45.0,49.6,42.85302784862,-2.146972151379998,TT_DOWN
254051,竹苗空品區,湖口,2018-01-01 12:00:00,12,46.0,50.5,43.63608033275,-2.363919667250002,TT_DOWN
254052,竹苗空品區,湖口,2018-01-01 13:00:00,13,47.0,49.8,43.027039511759995,-3.9729604882400054,TT_DOWN
254053,竹苗空品區,湖口,2018-01-01 14:00:00,14,47.0,48.5,41.89596370135,-5.104036298650001,TT_DOWN
254054,竹苗空品區,湖口,2018-01-01 15:00:00,15,48.0,45.8,39.546806248959996,-8.453193751040004,TT_DOWN
254055,竹苗空品區,湖口,2018-01-01 16:00:00,16,48.0,42.6,36.762619638720004,-11.237380361279996,TT_DOWN
