,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
586759,高屏空品區,潮州,2018-01-01 00:00:00,0,34.0,16.2,14.61977193066,-19.38022806934,TT_DOWN
586760,高屏空品區,潮州,2018-01-01 01:00:00,1,29.0,14.9,13.628284187570001,-15.371715812429999,TT_DOWN
586761,高屏空品區,潮州,2018-01-01 02:00:00,2,25.0,12.8,12.026650141040001,-12.973349858959999,TT_DOWN
586762,高屏空品區,潮州,2018-01-01 03:00:00,3,21.0,10.5,10.27247951865,-10.72752048135,TT_DOWN
586763,高屏空品區,潮州,2018-01-01 04:00:00,4,17.0,9.6,9.58606492728,-7.413935072719999,TT_DOWN
586764,高屏空品區,潮州,2018-01-01 05:00:00,5,14.0,5.4,6.3827968342200005,-7.6172031657799995,TT_DOWN
586765,高屏空品區,潮州,2018-01-01 06:00:00,6,12.0,3.3,4.7811627876900005,-7.2188372123099995,TT_DOWN
586766,高屏空品區,潮州,2018-01-01 07:00:00,7,10.0,5.6,6.53533341008,-3.46466658992,TT_DOWN
586767,高屏空品區,潮州,2018-01-01 08:00:00,8,9.0,13.1,12.25545500483,3.255455004830001,TT_DOWN
586768,高屏空品區,潮州,2018-01-01 09:00:00,9,11.0,30.0,25.144795665000004,14.144795665000004,TT_DOWN
586769,高屏空品區,潮州,2018-01-01 10:00:00,10,17.0,54.5,43.830526207850006,26.830526207850006,TT_DOWN
586770,高屏空品區,潮州,2018-01-01 11:00:00,11,24.0,67.2,53.51659877496001,29.51659877496001,TT_DOWN
586771,高屏空品區,潮州,2018-01-01 12:00:00,12,33.0,81.6,64.49923223688,31.499232236880005,TT_DOWN
586772,高屏空品區,潮州,2018-01-01 13:00:00,13,45.0,107.0,83.87137737110001,38.87137737110001,TT_DOWN
586773,高屏空品區,潮州,2018-01-01 14:00:00,14,58.0,102.3,80.28676783839,22.286767838390006,TT_DOWN
586774,高屏空品區,潮州,2018-01-01 15:00:00,15,67.0,80.0,63.27893963000001,-3.7210603699999893,TT_DOWN
586775,高屏空品區,潮州,2018-01-01 16:00:00,16,75.0,75.1,59.54179352143,-15.458206478569998,TT_DOWN
586776,高屏空品區,潮州,2018-01-01 17:00:00,17,80.0,69.8,55.499574261140005,-24.500425738859995,TT_DOWN
586777,高屏空品區,潮州,2018-01-01 18:00:00,18,80.0,55.9,44.89828223887,-35.10171776113,TT_DOWN
586778,高屏空品區,潮州,2018-01-01 19:00:00,19,77.0,46.8,37.957868037240004,-39.042131962759996,TT_DOWN
586779,高屏空品區,潮州,2018-01-01 20:00:00,20,73.0,48.5,39.254428932050004,-33.745571067949996,TT_DOWN
586780,高屏空品區,潮州,2018-01-01 21:00:00,21,65.0,44.8,36.43250227864,-28.56749772136,TT_DOWN
586781,高屏空品區,潮州,2018-01-01 22:00:00,22,56.0,26.2,22.246600723660002,-33.75339927634,TT_DOWN
586782,高屏空品區,潮州,2018-01-01 23:00:00,23,48.0,14.3,13.170674459990002,-34.82932554001,TT_DOWN
586783,高屏空品區,潮州,2018-01-02 00:00:00,0,40.0,10.6,10.34874780658,-29.65125219342,TT_DOWN
586784,高屏空品區,潮州,2018-01-02 01:00:00,1,32.0,9.5,9.509796639350002,-22.49020336065,TT_DOWN
586785,高屏空品區,潮州,2018-01-02 02:00:00,2,26.0,6.1,6.916674849730001,-19.08332515027,TT_DOWN
586786,高屏空品區,潮州,2018-01-02 03:00:00,3,21.0,6.7,7.37428457731,-13.62571542269,TT_DOWN
586787,高屏空品區,潮州,2018-01-02 04:00:00,4,15.0,4.8,5.925187106640001,-9.074812893359999,TT_DOWN
586788,高屏空品區,潮州,2018-01-02 05:00:00,5,11.0,8.6,8.823382047980001,-2.176617952019999,TT_DOWN
586789,高屏空品區,潮州,2018-01-02 06:00:00,6,8.0,4.2,5.467577379060001,-2.5324226209399994,TT_DOWN
586790,高屏空品區,潮州,2018-01-02 07:00:00,7,7.0,7.2,7.755626016960001,0.7556260169600009,TT_DOWN
586791,高屏空品區,潮州,2018-01-02 08:00:00,8,8.0,19.3,16.984088856490004,8.984088856490004,TT_DOWN
586792,高屏空品區,潮州,2018-01-02 09:00:00,9,12.0,39.8,32.61908788214,20.61908788214,TT_DOWN
586793,高屏空品區,潮州,2018-01-02 10:00:00,10,19.0,60.4,48.33035519572,29.330355195720003,TT_DOWN
586794,高屏空品區,潮州,2018-01-02 11:00:00,11,28.0,79.1,62.59252503863001,34.59252503863001,TT_DOWN
586795,高屏空品區,潮州,2018-01-02 12:00:00,12,37.0,76.2,60.38074468866001,23.38074468866001,TT_DOWN
586796,高屏空品區,潮州,2018-01-02 13:00:00,13,46.0,84.0,66.3296711472,20.329671147200003,TT_DOWN
586797,高屏空品區,潮州,2018-01-02 14:00:00,14,57.0,87.5,68.99906122475001,11.999061224750008,TT_DOWN
586798,高屏空品區,潮州,2018-01-02 15:00:00,15,66.0,84.8,66.93981745064,0.9398174506400068,TT_DOWN
586799,高屏空品區,潮州,2018-01-02 16:00:00,16,73.0,68.3,54.35554994219,-18.644450057809998,TT_DOWN
586800,高屏空品區,潮州,2018-01-02 17:00:00,17,75.0,59.6,47.720208892280006,-27.279791107719994,TT_DOWN
586801,高屏空品區,潮州,2018-01-02 18:00:00,18,74.0,50.8,41.00859955444,-32.99140044556,TT_DOWN
586802,高屏空品區,潮州,2018-01-02 19:00:00,19,69.0,40.8,33.38177076144,-35.61822923856,TT_DOWN
586803,高屏空品區,潮州,2018-01-02 20:00:00,20,64.0,33.5,27.814185742550002,-36.18581425745,TT_DOWN
586804,高屏空品區,潮州,2018-01-02 21:00:00,21,57.0,31.3,26.136283408090005,-30.863716591909995,TT_DOWN
586805,高屏空品區,潮州,2018-01-02 22:00:00,22,50.0,29.4,24.68718593742,-25.31281406258,TT_DOWN
586806,高屏空品區,潮州,2018-01-02 23:00:00,23,42.0,23.7,20.33989352541,-21.66010647459,TT_DOWN
586807,高屏空品區,潮州,2018-01-03 00:00:00,0,36.0,22.0,19.043332630600002,-16.956667369399998,TT_DOWN
586808,高屏空品區,潮州,2018-01-03 01:00:00,1,31.0,19.8,17.365430296140005,-13.634569703859995,TT_DOWN
586809,高屏空品區,潮州,2018-01-03 02:00:00,2,28.0,21.6,18.738259478880003,-9.261740521119997,TT_DOWN
586810,高屏空品區,潮州,2018-01-03 03:00:00,3,25.0,18.8,16.602747416840003,-8.397252583159997,TT_DOWN
586811,高屏空品區,潮州,2018-01-03 04:00:00,4,23.0,20.6,17.975576599580005,-5.024423400419995,TT_DOWN
586812,高屏空品區,潮州,2018-01-03 05:00:00,5,21.0,10.3,10.119942942790003,-10.880057057209997,TT_DOWN
