,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
297839,中部空品區,竹山,2018-01-01 00:00:00,0,15.0,6.1,4.69537229291,-10.304627707089999,TT_DOWN
297840,中部空品區,竹山,2018-01-01 01:00:00,1,12.0,7.4,5.7138783574600005,-6.2861216425399995,TT_DOWN
297841,中部空品區,竹山,2018-01-01 02:00:00,2,10.0,11.0,8.53435669006,-1.4656433099400008,TT_DOWN
297842,中部空品區,竹山,2018-01-01 03:00:00,3,9.0,10.2,7.90758372726,-1.0924162727400004,TT_DOWN
297843,中部空品區,竹山,2018-01-01 04:00:00,4,8.0,10.9,8.45601006971,0.45601006971000047,TT_DOWN
297844,中部空品區,竹山,2018-01-01 05:00:00,5,8.0,7.8,6.02726483886,-1.9727351611400001,TT_DOWN
297845,中部空品區,竹山,2018-01-01 06:00:00,6,9.0,10.3,7.985930347610001,-1.014069652389999,TT_DOWN
297846,中部空品區,竹山,2018-01-01 07:00:00,7,9.0,9.0,6.96742428306,-2.0325757169400003,TT_DOWN
297847,中部空品區,竹山,2018-01-01 08:00:00,8,10.0,12.3,9.55286275461,-0.44713724538999955,TT_DOWN
297848,中部空品區,竹山,2018-01-01 09:00:00,9,11.0,20.2,15.74224576226,4.74224576226,TT_DOWN
297849,中部空品區,竹山,2018-01-01 10:00:00,10,14.0,34.5,26.945812472309996,12.945812472309996,TT_DOWN
297850,中部空品區,竹山,2018-01-01 11:00:00,11,20.0,53.5,41.83167033881,21.83167033881,TT_DOWN
297851,中部空品區,竹山,2018-01-01 12:00:00,12,27.0,66.5,52.01673098431,25.01673098431,TT_DOWN
297852,中部空品區,竹山,2018-01-01 13:00:00,13,35.0,74.3,58.12776737161,23.12776737161,TT_DOWN
297853,中部空品區,竹山,2018-01-01 14:00:00,14,44.0,78.4,61.33997880596,17.33997880596,TT_DOWN
297854,中部空品區,竹山,2018-01-01 15:00:00,15,52.0,76.5,59.85139301931,7.851393019310002,TT_DOWN
297855,中部空品區,竹山,2018-01-01 16:00:00,16,58.0,63.9,49.979718855209995,-8.020281144790005,TT_DOWN
297856,中部空品區,竹山,2018-01-01 17:00:00,17,62.0,47.9,37.44425959921,-24.55574040079,TT_DOWN
297857,中部空品區,竹山,2018-01-01 18:00:00,18,62.0,35.0,27.337545574059998,-34.66245442594,TT_DOWN
297858,中部空品區,竹山,2018-01-01 19:00:00,19,59.0,28.8,22.48005511236,-36.51994488764,TT_DOWN
297859,中部空品區,竹山,2018-01-01 20:00:00,20,53.0,19.3,15.03712617911,-37.962873820889996,TT_DOWN
297860,中部空品區,竹山,2018-01-01 21:00:00,21,45.0,10.6,8.220970208659999,-36.77902979134,TT_DOWN
297861,中部空品區,竹山,2018-01-01 22:00:00,22,37.0,12.5,9.70955599531,-27.290444004690002,TT_DOWN
297862,中部空品區,竹山,2018-01-01 23:00:00,23,28.0,7.0,5.40049187606,-22.599508123939998,TT_DOWN
297863,中部空品區,竹山,2018-01-02 00:00:00,0,21.0,7.8,6.02726483886,-14.972735161140001,TT_DOWN
297864,中部空品區,竹山,2018-01-02 01:00:00,1,16.0,9.4,7.28081076446,-8.71918923554,TT_DOWN
297865,中部空品區,竹山,2018-01-02 02:00:00,2,13.0,10.1,7.82923710691,-5.17076289309,TT_DOWN
297866,中部空品區,竹山,2018-01-02 03:00:00,3,11.0,9.6,7.437504005159999,-3.562495994840001,TT_DOWN
297867,中部空品區,竹山,2018-01-02 04:00:00,4,9.0,8.6,6.6540378016599995,-2.3459621983400005,TT_DOWN
297868,中部空品區,竹山,2018-01-02 05:00:00,5,9.0,4.1,3.1284398859099993,-5.87156011409,TT_DOWN
297869,中部空品區,竹山,2018-01-02 06:00:00,6,7.0,3.0,2.26662706206,-4.7333729379400005,TT_DOWN
297870,中部空品區,竹山,2018-01-02 07:00:00,7,7.0,5.5,4.22529257081,-2.7747074291900002,TT_DOWN
297871,中部空品區,竹山,2018-01-02 08:00:00,8,8.0,13.1,10.17963571741,2.179635717409999,TT_DOWN
297872,中部空品區,竹山,2018-01-02 09:00:00,9,10.0,27.5,21.461549047809996,11.461549047809996,TT_DOWN
297873,中部空品區,竹山,2018-01-02 10:00:00,10,13.0,30.8,24.04698751936,11.046987519359998,TT_DOWN
297874,中部空品區,竹山,2018-01-02 11:00:00,11,18.0,49.0,38.30607242306,20.30607242306,TT_DOWN
297875,中部空品區,竹山,2018-01-02 12:00:00,12,26.0,76.0,59.459659917559996,33.459659917559996,TT_DOWN
297876,中部空品區,竹山,2018-01-02 13:00:00,13,36.0,86.9,67.99944153571,31.999441535710005,TT_DOWN
297877,中部空品區,竹山,2018-01-02 14:00:00,14,44.0,64.8,50.684838438359996,6.684838438359996,TT_DOWN
297878,中部空品區,竹山,2018-01-02 15:00:00,15,51.0,57.2,44.73049529176,-6.2695047082399995,TT_DOWN
297879,中部空品區,竹山,2018-01-02 16:00:00,16,56.0,55.2,43.163562884760005,-12.836437115239995,TT_DOWN
297880,中部空品區,竹山,2018-01-02 17:00:00,17,57.0,36.7,28.66943812001,-28.33056187999,TT_DOWN
297881,中部空品區,竹山,2018-01-02 18:00:00,18,57.0,27.3,21.30485580711,-35.69514419289,TT_DOWN
297882,中部空品區,竹山,2018-01-02 19:00:00,19,53.0,20.9,16.290672104709998,-36.70932789529,TT_DOWN
297883,中部空品區,竹山,2018-01-02 20:00:00,20,45.0,12.3,9.55286275461,-35.447137245389996,TT_DOWN
297884,中部空品區,竹山,2018-01-02 21:00:00,21,35.0,8.6,6.6540378016599995,-28.34596219834,TT_DOWN
297885,中部空品區,竹山,2018-01-02 22:00:00,22,28.0,3.3,2.5016669231099997,-25.49833307689,TT_DOWN
297886,中部空品區,竹山,2018-01-02 23:00:00,23,21.0,3.2,2.42332030276,-18.57667969724,TT_DOWN
297887,中部空品區,竹山,2018-01-03 00:00:00,0,15.0,6.3,4.85206553361,-10.14793446639,TT_DOWN
297888,中部空品區,竹山,2018-01-03 01:00:00,1,11.0,8.3,6.418997940610001,-4.581002059389999,TT_DOWN
297889,中部空品區,竹山,2018-01-03 02:00:00,2,9.0,10.2,7.90758372726,-1.0924162727400004,TT_DOWN
297890,中部空品區,竹山,2018-01-03 03:00:00,3,8.0,8.9,6.88907766271,-1.11092233729,TT_DOWN
297891,中部空品區,竹山,2018-01-03 04:00:00,4,8.0,14.4,11.19814178196,3.1981417819600004,TT_DOWN
297892,中部空品區,竹山,2018-01-03 05:00:00,5,8.0,7.6,5.87057159816,-2.1294284018400003,TT_DOWN
297893,中部空品區,竹山,2018-01-03 06:00:00,6,9.0,9.5,7.35915738481,-1.6408426151900004,TT_DOWN
297894,中部空品區,竹山,2018-01-03 07:00:00,7,10.0,15.6,12.13830122616,2.1383012261599994,TT_DOWN
297895,中部空品區,竹山,2018-01-03 08:00:00,8,12.0,20.6,16.05563224366,4.05563224366,TT_DOWN
297896,中部空品區,竹山,2018-01-03 09:00:00,9,15.0,35.9,28.042665157209996,13.042665157209996,TT_DOWN
297897,中部空品區,竹山,2018-01-03 10:00:00,10,20.0,49.7,38.85449876551,18.85449876551,TT_DOWN
297898,中部空品區,竹山,2018-01-03 11:00:00,11,27.0,59.8,46.76750742086,19.76750742086,TT_DOWN
297899,中部空品區,竹山,2018-01-03 12:00:00,12,33.0,68.7,53.74035663201,20.74035663201,TT_DOWN
297900,中部空品區,竹山,2018-01-03 13:00:00,13,42.0,78.8,61.653365287359996,19.653365287359996,TT_DOWN
297901,中部空品區,竹山,2018-01-03 14:00:00,14,51.0,77.5,60.63485922281,9.63485922281,TT_DOWN
297902,中部空品區,竹山,2018-01-03 15:00:00,15,59.0,83.5,65.33565644381,6.335656443809995,TT_DOWN
297903,中部空品區,竹山,2018-01-03 16:00:00,16,65.0,62.5,48.88286617031,-16.117133829689998,TT_DOWN
297904,中部空品區,竹山,2018-01-03 17:00:00,17,68.0,61.8,48.334439827859995,-19.665560172140005,TT_DOWN
297905,中部空品區,竹山,2018-01-03 18:00:00,18,68.0,50.5,39.48127172831,-28.51872827169,TT_DOWN
297906,中部空品區,竹山,2018-01-03 19:00:00,19,65.0,38.9,30.393063767709997,-34.60693623229,TT_DOWN
297907,中部空品區,竹山,2018-01-03 20:00:00,20,61.0,33.4,26.083999648459997,-34.916000351540006,TT_DOWN
297908,中部空品區,竹山,2018-01-03 21:00:00,21,54.0,23.3,18.17099099311,-35.829009006890004,TT_DOWN
297909,中部空品區,竹山,2018-01-03 22:00:00,22,46.0,16.7,13.00011405001,-32.99988594999,TT_DOWN
297910,中部空品區,竹山,2018-01-03 23:00:00,23,38.0,18.7,14.56704645701,-23.43295354299,TT_DOWN
