,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
236519,竹苗空品區,竹東,2018-01-01 00:00:00,0,41.0,42.9,36.008415337230005,-4.991584662769995,TT_DOWN
236520,竹苗空品區,竹東,2018-01-01 01:00:00,1,42.0,43.9,36.77106909593,-5.228930904069998,TT_DOWN
236521,竹苗空品區,竹東,2018-01-01 02:00:00,2,43.0,44.2,36.999865223540006,-6.000134776459994,TT_DOWN
236522,竹苗空品區,竹東,2018-01-01 03:00:00,3,43.0,43.0,36.084680713100006,-6.915319286899994,TT_DOWN
236523,竹苗空品區,竹東,2018-01-01 04:00:00,4,43.0,41.0,34.559373195700005,-8.440626804299995,TT_DOWN
236524,竹苗空品區,竹東,2018-01-01 05:00:00,5,42.0,38.4,32.57647342308,-9.423526576919997,TT_DOWN
236525,竹苗空品區,竹東,2018-01-01 06:00:00,6,41.0,23.7,21.365463170190004,-19.634536829809996,TT_DOWN
236526,竹苗空品區,竹東,2018-01-01 07:00:00,7,37.0,19.9,18.46737888713,-18.53262111287,TT_DOWN
236527,竹苗空品區,竹東,2018-01-01 08:00:00,8,35.0,23.1,20.907870914970005,-14.092129085029995,TT_DOWN
236528,竹苗空品區,竹東,2018-01-01 09:00:00,9,34.0,37.5,31.89008504025,-2.10991495975,TT_DOWN
236529,竹苗空品區,竹東,2018-01-01 10:00:00,10,34.0,41.4,34.86443469918,0.864434699180002,TT_DOWN
236530,竹苗空品區,竹東,2018-01-01 11:00:00,11,33.0,42.6,35.77961920962001,2.7796192096200087,TT_DOWN
236531,竹苗空品區,竹東,2018-01-01 12:00:00,12,34.0,45.5,37.99131510985001,3.9913151098500066,TT_DOWN
236532,竹苗空品區,竹東,2018-01-01 13:00:00,13,35.0,45.0,37.60998823050001,2.609988230500008,TT_DOWN
236533,竹苗空品區,竹東,2018-01-01 14:00:00,14,37.0,41.0,34.559373195700005,-2.4406268042999955,TT_DOWN
236534,竹苗空品區,竹東,2018-01-01 15:00:00,15,39.0,37.6,31.96635041612,-7.033649583879999,TT_DOWN
236535,竹苗空品區,竹東,2018-01-01 16:00:00,16,41.0,34.4,29.52585838828,-11.47414161172,TT_DOWN
236536,竹苗空品區,竹東,2018-01-01 17:00:00,17,39.0,25.3,22.58570918411,-16.41429081589,TT_DOWN
236537,竹苗空品區,竹東,2018-01-01 18:00:00,18,36.0,18.6,17.475929000820003,-18.524070999179997,TT_DOWN
236538,竹苗空品區,竹東,2018-01-01 19:00:00,19,33.0,19.6,18.23858275952,-14.76141724048,TT_DOWN
236539,竹苗空品區,竹東,2018-01-01 20:00:00,20,29.0,14.4,14.27278321428,-14.72721678572,TT_DOWN
236540,竹苗空品區,竹東,2018-01-01 21:00:00,21,26.0,15.2,14.88290622124,-11.11709377876,TT_DOWN
236541,竹苗空品區,竹東,2018-01-01 22:00:00,22,23.0,16.2,15.64555997994,-7.35444002006,TT_DOWN
236542,竹苗空品區,竹東,2018-01-01 23:00:00,23,21.0,22.9,20.755340163230002,-0.2446598367699977,TT_DOWN
236543,竹苗空品區,竹東,2018-01-02 00:00:00,0,20.0,27.5,24.26354745325,4.263547453249998,TT_DOWN
236544,竹苗空品區,竹東,2018-01-02 01:00:00,1,20.0,26.3,23.34836294281,3.348362942809999,TT_DOWN
236545,竹苗空品區,竹東,2018-01-02 02:00:00,2,20.0,19.5,18.16231738365,-1.8376826163500013,TT_DOWN
236546,竹苗空品區,竹東,2018-01-02 03:00:00,3,20.0,17.6,16.71327524212,-3.2867247578799983,TT_DOWN
236547,竹苗空品區,竹東,2018-01-02 04:00:00,4,20.0,11.4,11.984821938180001,-8.015178061819999,TT_DOWN
236548,竹苗空品區,竹東,2018-01-02 05:00:00,5,20.0,14.7,14.50157934189,-5.49842065811,TT_DOWN
236549,竹苗空品區,竹東,2018-01-02 06:00:00,6,19.0,8.9,10.078187541430001,-8.921812458569999,TT_DOWN
236550,竹苗空品區,竹東,2018-01-02 07:00:00,7,18.0,15.1,14.806640845370001,-3.1933591546299986,TT_DOWN
236551,竹苗空品區,竹東,2018-01-02 08:00:00,8,16.0,14.5,14.349048590150002,-1.6509514098499984,TT_DOWN
236552,竹苗空品區,竹東,2018-01-02 09:00:00,9,16.0,22.7,20.60280941149,4.60280941149,TT_DOWN
236553,竹苗空品區,竹東,2018-01-02 10:00:00,10,17.0,33.2,28.610673877840007,11.610673877840007,TT_DOWN
