,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
359109,中部空品區,線西,2018-01-01 00:00:00,0,32.0,33.9,29.10164531695,-2.8983546830500018,TT_DOWN
359110,中部空品區,線西,2018-01-01 01:00:00,1,33.0,34.2,29.3509175296,-3.6490824704,TT_DOWN
359111,中部空品區,線西,2018-01-01 02:00:00,2,33.0,36.0,30.846550805499998,-2.153449194500002,TT_DOWN
359112,中部空品區,線西,2018-01-01 03:00:00,3,34.0,36.5,31.26200449325,-2.73799550675,TT_DOWN
359113,中部空品區,線西,2018-01-01 04:00:00,4,34.0,33.6,28.8523731043,-5.1476268957,TT_DOWN
359114,中部空品區,線西,2018-01-01 05:00:00,5,34.0,31.3,26.94128614065,-7.05871385935,TT_DOWN
359115,中部空品區,線西,2018-01-01 06:00:00,6,34.0,31.4,27.0243768782,-6.975623121800002,TT_DOWN
359116,中部空品區,線西,2018-01-01 07:00:00,7,33.0,30.3,26.11037876515,-6.889621234850001,TT_DOWN
359117,中部空品區,線西,2018-01-01 08:00:00,8,33.0,33.9,29.10164531695,-3.8983546830500018,TT_DOWN
359118,中部空品區,線西,2018-01-01 09:00:00,9,34.0,36.5,31.26200449325,-2.73799550675,TT_DOWN
359119,中部空品區,線西,2018-01-01 10:00:00,10,34.0,42.2,35.998176533599995,1.9981765335999953,TT_DOWN
359120,中部空品區,線西,2018-01-01 11:00:00,11,36.0,45.7,38.906352347849996,2.906352347849996,TT_DOWN
359121,中部空品區,線西,2018-01-01 12:00:00,12,38.0,51.4,43.642524388199995,5.642524388199995,TT_DOWN
359122,中部空品區,線西,2018-01-01 13:00:00,13,41.0,54.9,46.550700202449995,5.550700202449995,TT_DOWN
359123,中部空品區,線西,2018-01-01 14:00:00,14,43.0,51.2,43.4763429131,0.4763429130999981,TT_DOWN
359124,中部空品區,線西,2018-01-01 15:00:00,15,45.0,47.1,40.06962267354999,-4.930377326450007,TT_DOWN
359125,中部空品區,線西,2018-01-01 16:00:00,16,47.0,45.0,38.324717185,-8.675282815000003,TT_DOWN
359126,中部空品區,線西,2018-01-01 17:00:00,17,47.0,39.8,34.00399883239999,-12.996001167600006,TT_DOWN
359127,中部空品區,線西,2018-01-01 18:00:00,18,46.0,36.5,31.26200449325,-14.73799550675,TT_DOWN
359128,中部空品區,線西,2018-01-01 19:00:00,19,45.0,34.0,29.1847360545,-15.8152639455,TT_DOWN
359129,中部空品區,線西,2018-01-01 20:00:00,20,43.0,33.2,28.5200101541,-14.4799898459,TT_DOWN
359130,中部空品區,線西,2018-01-01 21:00:00,21,39.0,25.3,21.95584188765,-17.04415811235,TT_DOWN
359131,中部空品區,線西,2018-01-01 22:00:00,22,35.0,22.8,19.8785734489,-15.1214265511,TT_DOWN
359132,中部空品區,線西,2018-01-01 23:00:00,23,32.0,16.7,14.810038458349998,-17.18996154165,TT_DOWN
359133,中部空品區,線西,2018-01-02 00:00:00,0,27.0,10.7,9.82459420535,-17.17540579465,TT_DOWN
359134,中部空品區,線西,2018-01-02 01:00:00,1,23.0,8.2,7.747325766599999,-15.2526742334,TT_DOWN
359135,中部空品區,線西,2018-01-02 02:00:00,2,20.0,7.3,6.999509128649999,-13.000490871350001,TT_DOWN
359136,中部空品區,線西,2018-01-02 03:00:00,3,16.0,5.1,5.171512902549999,-10.828487097450001,TT_DOWN
359137,中部空品區,線西,2018-01-02 04:00:00,4,12.0,2.6,3.0942444638,-8.905755536200001,TT_DOWN
359138,中部空品區,線西,2018-01-02 05:00:00,5,10.0,2.8,3.2604259388999997,-6.739574061100001,TT_DOWN
359139,中部空品區,線西,2018-01-02 06:00:00,6,7.0,2.8,3.2604259388999997,-3.7395740611000003,TT_DOWN
359140,中部空品區,線西,2018-01-02 07:00:00,7,5.0,3.6,3.9251518393,-1.0748481607000002,TT_DOWN
359141,中部空品區,線西,2018-01-02 08:00:00,8,5.0,5.8,5.7531480654,0.7531480653999996,TT_DOWN
359142,中部空品區,線西,2018-01-02 09:00:00,9,6.0,18.6,16.3887624718,10.3887624718,TT_DOWN
359143,中部空品區,線西,2018-01-02 10:00:00,10,9.0,29.5,25.44565286475,16.44565286475,TT_DOWN
359144,中部空品區,線西,2018-01-02 11:00:00,11,13.0,39.4,33.67163588219999,20.671635882199993,TT_DOWN
359145,中部空品區,線西,2018-01-02 12:00:00,12,19.0,50.0,42.4792540625,23.479254062499997,TT_DOWN
359146,中部空品區,線西,2018-01-02 13:00:00,13,25.0,49.5,42.063800374749995,17.063800374749995,TT_DOWN
359147,中部空品區,線西,2018-01-02 14:00:00,14,31.0,50.4,42.81161701269999,11.81161701269999,TT_DOWN
359148,中部空品區,線西,2018-01-02 15:00:00,15,37.0,50.6,42.977798487799994,5.977798487799994,TT_DOWN
359149,中部空品區,線西,2018-01-02 16:00:00,16,41.0,43.9,37.41071907194999,-3.589280928050009,TT_DOWN
359150,中部空品區,線西,2018-01-02 17:00:00,17,44.0,36.7,31.42818596835,-12.57181403165,TT_DOWN
359151,中部空品區,線西,2018-01-02 18:00:00,18,44.0,29.9,25.77801581495,-18.22198418505,TT_DOWN
359152,中部空品區,線西,2018-01-02 19:00:00,19,43.0,29.7,25.61183433985,-17.38816566015,TT_DOWN
359153,中部空品區,線西,2018-01-02 20:00:00,20,40.0,30.4,26.193469502699998,-13.806530497300002,TT_DOWN
359154,中部空品區,線西,2018-01-02 21:00:00,21,36.0,18.5,16.305671734249998,-19.694328265750002,TT_DOWN
359155,中部空品區,線西,2018-01-02 22:00:00,22,31.0,9.9,9.15986830495,-21.840131695049998,TT_DOWN
359156,中部空品區,線西,2018-01-02 23:00:00,23,25.0,2.8,3.2604259388999997,-21.7395740611,TT_DOWN
359157,中部空品區,線西,2018-01-03 00:00:00,0,20.0,2.9,3.3435166764499997,-16.65648332355,TT_DOWN
359158,中部空品區,線西,2018-01-03 01:00:00,1,16.0,6.4,6.2516924907,-9.7483075093,TT_DOWN
359159,中部空品區,線西,2018-01-03 02:00:00,2,13.0,7.2,6.9164183911,-6.0835816089,TT_DOWN
359160,中部空品區,線西,2018-01-03 03:00:00,3,10.0,3.8,4.0913333144,-5.9086666856,TT_DOWN
359161,中部空品區,線西,2018-01-03 04:00:00,4,8.0,10.0,9.2429590425,1.2429590425000008,TT_DOWN
359162,中部空品區,線西,2018-01-03 05:00:00,5,7.0,9.0,8.412051667,1.412051667,TT_DOWN
359163,中部空品區,線西,2018-01-03 06:00:00,6,6.0,9.6,8.910596092299999,2.9105960922999987,TT_DOWN
359164,中部空品區,線西,2018-01-03 07:00:00,7,8.0,14.0,12.5665885445,4.5665885445,TT_DOWN
359165,中部空品區,線西,2018-01-03 08:00:00,8,10.0,19.9,17.46894205995,7.468942059949999,TT_DOWN
359166,中部空品區,線西,2018-01-03 09:00:00,9,13.0,31.5,27.10746761575,14.10746761575,TT_DOWN
359167,中部空品區,線西,2018-01-03 10:00:00,10,17.0,41.6,35.4996321083,18.4996321083,TT_DOWN
359168,中部空品區,線西,2018-01-03 11:00:00,11,23.0,45.1,38.40780792254999,15.407807922549992,TT_DOWN
359169,中部空品區,線西,2018-01-03 12:00:00,12,29.0,58.8,49.79123896689999,20.79123896689999,TT_DOWN
