,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
551719,高屏空品區,美濃,2018-01-01 00:00:00,0,33.0,16.7,15.51069961927,-17.48930038073,TT_DOWN
551720,高屏空品區,美濃,2018-01-01 01:00:00,1,28.0,11.4,11.495341772340002,-16.50465822766,TT_DOWN
551721,高屏空品區,美濃,2018-01-01 02:00:00,2,24.0,9.6,10.131635333759998,-13.868364666240002,TT_DOWN
551722,高屏空品區,美濃,2018-01-01 03:00:00,3,19.0,8.7,9.44978211447,-9.55021788553,TT_DOWN
551723,高屏空品區,美濃,2018-01-01 04:00:00,4,16.0,7.7,8.69216742637,-7.30783257363,TT_DOWN
551724,高屏空品區,美濃,2018-01-01 05:00:00,5,13.0,5.0,6.6466077685,-6.3533922315,TT_DOWN
551725,高屏空品區,美濃,2018-01-01 06:00:00,6,11.0,4.8,6.49508483088,-4.50491516912,TT_DOWN
551726,高屏空品區,美濃,2018-01-01 07:00:00,7,9.0,6.1,7.47998392541,-1.52001607459,TT_DOWN
551727,高屏空品區,美濃,2018-01-01 08:00:00,8,8.0,12.6,12.404479398060001,4.404479398060001,TT_DOWN
551728,高屏空品區,美濃,2018-01-01 09:00:00,9,10.0,28.1,24.147507063610004,14.147507063610004,TT_DOWN
551729,高屏空品區,美濃,2018-01-01 10:00:00,10,15.0,43.4,35.739011791539994,20.739011791539994,TT_DOWN
551730,高屏空品區,美濃,2018-01-01 11:00:00,11,20.0,50.4,41.04231460824,21.042314608239998,TT_DOWN
551731,高屏空品區,美濃,2018-01-01 12:00:00,12,26.0,55.4,44.83038804874,18.830388048739998,TT_DOWN
551732,高屏空品區,美濃,2018-01-01 13:00:00,13,33.0,66.0,52.861103742599994,19.861103742599994,TT_DOWN
551733,高屏空品區,美濃,2018-01-01 14:00:00,14,41.0,68.7,54.90666340047,13.906663400470002,TT_DOWN
551734,高屏空品區,美濃,2018-01-01 15:00:00,15,49.0,69.9,55.81580102619,6.815801026190002,TT_DOWN
551735,高屏空品區,美濃,2018-01-01 16:00:00,16,56.0,68.4,54.67937899404,-1.3206210059599996,TT_DOWN
