,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
464151,雲嘉南空品區,臺南,2018-01-01 00:00:00,0,24.0,17.0,13.001924075000002,-10.998075924999998,TT_DOWN
464152,雲嘉南空品區,臺南,2018-01-01 01:00:00,1,22.0,16.9,12.916622961799998,-9.083377038200002,TT_DOWN
464153,雲嘉南空品區,臺南,2018-01-01 02:00:00,2,20.0,18.3,14.1108385466,-5.8891614534,TT_DOWN
464154,雲嘉南空品區,臺南,2018-01-01 03:00:00,3,19.0,19.1,14.7932474522,-4.206752547800001,TT_DOWN
464155,雲嘉南空品區,臺南,2018-01-01 04:00:00,4,18.0,16.7,12.746020735399998,-5.253979264600002,TT_DOWN
464156,雲嘉南空品區,臺南,2018-01-01 05:00:00,5,17.0,16.9,12.916622961799998,-4.083377038200002,TT_DOWN
464157,雲嘉南空品區,臺南,2018-01-01 06:00:00,6,17.0,16.9,12.916622961799998,-4.083377038200002,TT_DOWN
464158,雲嘉南空品區,臺南,2018-01-01 07:00:00,7,17.0,17.7,13.5990318674,-3.400968132599999,TT_DOWN
464159,雲嘉南空品區,臺南,2018-01-01 08:00:00,8,18.0,20.4,15.902161923799998,-2.097838076200002,TT_DOWN
464160,雲嘉南空品區,臺南,2018-01-01 09:00:00,9,19.0,24.8,19.6554109046,0.6554109046000001,TT_DOWN
464161,雲嘉南空品區,臺南,2018-01-01 10:00:00,10,21.0,33.1,26.7354033002,5.7354033002000016,TT_DOWN
464162,雲嘉南空品區,臺南,2018-01-01 11:00:00,11,24.0,46.0,37.739246903,13.739246903000002,TT_DOWN
464163,雲嘉南空品區,臺南,2018-01-01 12:00:00,12,29.0,59.1,48.913692732200005,19.913692732200005,TT_DOWN
464164,雲嘉南空品區,臺南,2018-01-01 13:00:00,13,35.0,61.8,51.2168227886,16.2168227886,TT_DOWN
464165,雲嘉南空品區,臺南,2018-01-01 14:00:00,14,41.0,66.5,55.225975109000004,14.225975109000004,TT_DOWN
464166,雲嘉南空品區,臺南,2018-01-01 15:00:00,15,47.0,64.0,53.093447279,6.093447279000003,TT_DOWN
464167,雲嘉南空品區,臺南,2018-01-01 16:00:00,16,52.0,59.5,49.254897185000004,-2.7451028149999956,TT_DOWN
464168,雲嘉南空品區,臺南,2018-01-01 17:00:00,17,55.0,51.0,42.004302563,-12.995697436999997,TT_DOWN
464169,雲嘉南空品區,臺南,2018-01-01 18:00:00,18,57.0,45.4,37.2274402238,-19.772559776199998,TT_DOWN
464170,雲嘉南空品區,臺南,2018-01-01 19:00:00,19,56.0,40.1,32.706481224200004,-23.293518775799996,TT_DOWN
464171,雲嘉南空品區,臺南,2018-01-01 20:00:00,20,53.0,33.6,27.1619088662,-25.8380911338,TT_DOWN
464172,雲嘉南空品區,臺南,2018-01-01 21:00:00,21,49.0,28.8,23.0674554326,-25.9325445674,TT_DOWN
464173,雲嘉南空品區,臺南,2018-01-01 22:00:00,22,43.0,25.0,19.826013131,-23.173986869,TT_DOWN
