,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
630559,花東空品區,臺東,2018-01-01 00:00:00,0,27.0,30.0,26.914951312,-0.08504868800000054,TT_DOWN
630560,花東空品區,臺東,2018-01-01 01:00:00,1,27.0,31.8,28.59918710668,1.5991871066799987,TT_DOWN
630561,花東空品區,臺東,2018-01-01 02:00:00,2,28.0,32.0,28.7863244172,0.7863244171999995,TT_DOWN
630562,花東空品區,臺東,2018-01-01 03:00:00,3,29.0,31.7,28.50561845142,-0.4943815485800016,TT_DOWN
630563,花東空品區,臺東,2018-01-01 04:00:00,4,30.0,32.1,28.87989307246,-1.1201069275400002,TT_DOWN
630564,花東空品區,臺東,2018-01-01 05:00:00,5,31.0,32.0,28.7863244172,-2.2136755828000005,TT_DOWN
630565,花東空品區,臺東,2018-01-01 06:00:00,6,31.0,30.9,27.75706920934,-3.242930790660001,TT_DOWN
630566,花東空品區,臺東,2018-01-01 07:00:00,7,31.0,29.2,26.16640206992,-4.83359793008,TT_DOWN
630567,花東空品區,臺東,2018-01-01 08:00:00,8,31.0,30.7,27.56993189882,-3.4300681011800016,TT_DOWN
630568,花東空品區,臺東,2018-01-01 09:00:00,9,32.0,33.7,30.376991556620002,-1.623008443379998,TT_DOWN
630569,花東空品區,臺東,2018-01-01 10:00:00,10,32.0,38.2,34.58758104332,2.58758104332,TT_DOWN
630570,花東空品區,臺東,2018-01-01 11:00:00,11,33.0,39.3,35.61683625118,2.616836251179997,TT_DOWN
630571,花東空品區,臺東,2018-01-01 12:00:00,12,34.0,39.4,35.71040490644,1.7104049064399973,TT_DOWN
630572,花東空品區,臺東,2018-01-01 13:00:00,13,35.0,39.7,35.991110872220005,0.9911108722200055,TT_DOWN
630573,花東空品區,臺東,2018-01-01 14:00:00,14,36.0,40.1,36.36538549326,0.3653854932599998,TT_DOWN
630574,花東空品區,臺東,2018-01-01 15:00:00,15,38.0,39.5,35.8039735617,-2.1960264383000023,TT_DOWN
630575,花東空品區,臺東,2018-01-01 16:00:00,16,39.0,39.2,35.523267595920004,-3.4767324040799963,TT_DOWN
630576,花東空品區,臺東,2018-01-01 17:00:00,17,39.0,37.9,34.30687507754,-4.693124922460001,TT_DOWN
630577,花東空品區,臺東,2018-01-01 18:00:00,18,39.0,35.2,31.780521385520004,-7.219478614479996,TT_DOWN
630578,花東空品區,臺東,2018-01-01 19:00:00,19,38.0,30.9,27.75706920934,-10.242930790660001,TT_DOWN
630579,花東空品區,臺東,2018-01-01 20:00:00,20,37.0,31.2,28.03777517512,-8.96222482488,TT_DOWN
630580,花東空品區,臺東,2018-01-01 21:00:00,21,36.0,30.2,27.10208862252,-8.89791137748,TT_DOWN
630581,花東空品區,臺東,2018-01-01 22:00:00,22,34.0,30.5,27.3827945883,-6.617205411699999,TT_DOWN
630582,花東空品區,臺東,2018-01-01 23:00:00,23,33.0,31.5,28.318481140899998,-4.681518859100002,TT_DOWN
630583,花東空品區,臺東,2018-01-02 00:00:00,0,32.0,31.1,27.94420651986,-4.05579348014,TT_DOWN
630584,花東空品區,臺東,2018-01-02 01:00:00,1,31.0,28.0,25.0435782068,-5.9564217932000005,TT_DOWN
630585,花東空品區,臺東,2018-01-02 02:00:00,2,30.0,27.9,24.95000955154,-5.049990448460001,TT_DOWN
630586,花東空品區,臺東,2018-01-02 03:00:00,3,30.0,29.1,26.07283341466,-3.92716658534,TT_DOWN
630587,花東空品區,臺東,2018-01-02 04:00:00,4,30.0,28.2,25.23071551732,-4.76928448268,TT_DOWN
630588,花東空品區,臺東,2018-01-02 05:00:00,5,29.0,27.1,24.20146030946,-4.79853969054,TT_DOWN
630589,花東空品區,臺東,2018-01-02 06:00:00,6,29.0,25.8,22.98506779108,-6.014932208920001,TT_DOWN
630590,花東空品區,臺東,2018-01-02 07:00:00,7,28.0,23.7,21.02012603062,-6.979873969380002,TT_DOWN
630591,花東空品區,臺東,2018-01-02 08:00:00,8,27.0,25.5,22.704361825299998,-4.295638174700002,TT_DOWN
630592,花東空品區,臺東,2018-01-02 09:00:00,9,27.0,26.0,23.1722051016,-3.8277948984000005,TT_DOWN
630593,花東空品區,臺東,2018-01-02 10:00:00,10,27.0,28.5,25.5114214831,-1.4885785168999988,TT_DOWN
630594,花東空品區,臺東,2018-01-02 11:00:00,11,27.0,32.7,29.441305004020002,2.441305004020002,TT_DOWN
630595,花東空品區,臺東,2018-01-02 12:00:00,12,28.0,35.0,31.593384074999996,3.593384074999996,TT_DOWN
630596,花東空品區,臺東,2018-01-02 13:00:00,13,29.0,35.5,32.0612273513,3.0612273512999977,TT_DOWN
630597,花東空品區,臺東,2018-01-02 14:00:00,14,30.0,34.3,30.938403488179993,0.9384034881799934,TT_DOWN
630598,花東空品區,臺東,2018-01-02 15:00:00,15,31.0,33.2,29.909148280320004,-1.0908517196799963,TT_DOWN
630599,花東空品區,臺東,2018-01-02 16:00:00,16,32.0,32.5,29.2541676935,-2.7458323064999988,TT_DOWN
630600,花東空品區,臺東,2018-01-02 17:00:00,17,33.0,31.9,28.69275576194,-4.307244238060001,TT_DOWN
630601,花東空品區,臺東,2018-01-02 18:00:00,18,33.0,31.6,28.41204979616,-4.587950203839998,TT_DOWN
630602,花東空品區,臺東,2018-01-02 19:00:00,19,33.0,27.4,24.482166275239997,-8.517833724760003,TT_DOWN
630603,花東空品區,臺東,2018-01-02 20:00:00,20,31.0,25.3,22.51722451478,-8.48277548522,TT_DOWN
630604,花東空品區,臺東,2018-01-02 21:00:00,21,30.0,26.2,23.35934241212,-6.64065758788,TT_DOWN
630605,花東空品區,臺東,2018-01-02 22:00:00,22,29.0,27.0,24.1078916542,-4.8921083458000005,TT_DOWN
630606,花東空品區,臺東,2018-01-02 23:00:00,23,29.0,27.7,24.76287224102,-4.237127758980002,TT_DOWN
630607,花東空品區,臺東,2018-01-03 00:00:00,0,28.0,29.4,26.353539380439997,-1.6464606195600027,TT_DOWN
630608,花東空品區,臺東,2018-01-03 01:00:00,1,28.0,29.8,26.72781400148,-1.2721859985200012,TT_DOWN
630609,花東空品區,臺東,2018-01-03 02:00:00,2,28.0,29.2,26.16640206992,-1.8335979300799998,TT_DOWN
630610,花東空品區,臺東,2018-01-03 03:00:00,3,28.0,27.3,24.38859761998,-3.6114023800199995,TT_DOWN
630611,花東空品區,臺東,2018-01-03 04:00:00,4,28.0,23.8,21.11369468588,-6.886305314120001,TT_DOWN
