,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
455391,雲嘉南空品區,臺西,2018-01-01 00:00:00,0,35.0,26.7,24.18951044406,-10.810489555939998,TT_DOWN
455392,雲嘉南空品區,臺西,2018-01-01 01:00:00,1,33.0,24.9,22.71748795482,-10.282512045179999,TT_DOWN
455393,雲嘉南空品區,臺西,2018-01-01 02:00:00,2,32.0,29.0,26.070428069200002,-5.929571930799998,TT_DOWN
455394,雲嘉南空品區,臺西,2018-01-01 03:00:00,3,32.0,39.5,34.65722592310001,2.6572259231000075,TT_DOWN
455395,雲嘉南空品區,臺西,2018-01-01 04:00:00,4,33.0,40.0,35.066121059000004,2.066121059000004,TT_DOWN
455396,雲嘉南空品區,臺西,2018-01-01 05:00:00,5,33.0,38.2,33.59409856976001,0.594098569760007,TT_DOWN
455397,雲嘉南空品區,臺西,2018-01-01 06:00:00,6,34.0,39.0,34.248330787200004,0.248330787200004,TT_DOWN
455398,雲嘉南空品區,臺西,2018-01-01 07:00:00,7,35.0,40.1,35.14790008618001,0.14790008618000883,TT_DOWN
455399,雲嘉南空品區,臺西,2018-01-01 08:00:00,8,37.0,42.6,37.192375765680005,0.19237576568000492,TT_DOWN
455400,雲嘉南空品區,臺西,2018-01-01 09:00:00,9,39.0,46.3,40.218199771340004,1.2181997713400037,TT_DOWN
455401,雲嘉南空品區,臺西,2018-01-01 10:00:00,10,42.0,51.1,44.14359307598001,2.1435930759800073,TT_DOWN
455402,雲嘉南空品區,臺西,2018-01-01 11:00:00,11,44.0,57.0,48.96855567960001,4.9685556796000085,TT_DOWN
455403,雲嘉南空品區,臺西,2018-01-01 12:00:00,12,47.0,63.3,54.12063439194001,7.120634391940008,TT_DOWN
455404,雲嘉南空品區,臺西,2018-01-01 13:00:00,13,51.0,66.3,56.57400520734001,5.574005207340008,TT_DOWN
455405,雲嘉南空品區,臺西,2018-01-01 14:00:00,14,54.0,65.0,55.51087785400001,1.5108778540000074,TT_DOWN
455406,雲嘉南空品區,臺西,2018-01-01 15:00:00,15,57.0,61.5,52.648611902700004,-4.351388097299996,TT_DOWN
455407,雲嘉南空品區,臺西,2018-01-01 16:00:00,16,58.0,56.2,48.31432346216001,-9.685676537839988,TT_DOWN
455408,雲嘉南空品區,臺西,2018-01-01 17:00:00,17,59.0,53.0,45.69739459240001,-13.30260540759999,TT_DOWN
455409,雲嘉南空品區,臺西,2018-01-01 18:00:00,18,59.0,50.8,43.89825599444001,-15.101744005559993,TT_DOWN
455410,雲嘉南空品區,臺西,2018-01-01 19:00:00,19,58.0,47.6,41.281327124680004,-16.718672875319996,TT_DOWN
455411,雲嘉南空品區,臺西,2018-01-01 20:00:00,20,56.0,45.1,39.23685144518001,-16.763148554819992,TT_DOWN
455412,雲嘉南空品區,臺西,2018-01-01 21:00:00,21,53.0,45.1,39.23685144518001,-13.763148554819992,TT_DOWN
455413,雲嘉南空品區,臺西,2018-01-01 22:00:00,22,50.0,40.3,35.311458140540005,-14.688541859459995,TT_DOWN
455414,雲嘉南空品區,臺西,2018-01-01 23:00:00,23,46.0,33.6,29.832263319480003,-16.167736680519997,TT_DOWN
455415,雲嘉南空品區,臺西,2018-01-02 00:00:00,0,43.0,29.7,26.64288125946,-16.35711874054,TT_DOWN
455416,雲嘉南空品區,臺西,2018-01-02 01:00:00,1,39.0,19.6,18.38319951428,-20.61680048572,TT_DOWN
455417,雲嘉南空品區,臺西,2018-01-02 02:00:00,2,35.0,18.3,17.32007216094,-17.67992783906,TT_DOWN
455418,雲嘉南空品區,臺西,2018-01-02 03:00:00,3,31.0,16.0,15.4391545358,-15.5608454642,TT_DOWN
455419,雲嘉南空品區,臺西,2018-01-02 04:00:00,4,26.0,7.7,8.65149527986,-17.34850472014,TT_DOWN
455420,雲嘉南空品區,臺西,2018-01-02 05:00:00,5,21.0,5.8,7.09769376344,-13.902306236560001,TT_DOWN
455421,雲嘉南空品區,臺西,2018-01-02 06:00:00,6,17.0,6.9,7.997263062420001,-9.00273693758,TT_DOWN
455422,雲嘉南空品區,臺西,2018-01-02 07:00:00,7,14.0,8.0,8.896832361400001,-5.103167638599999,TT_DOWN
455423,雲嘉南空品區,臺西,2018-01-02 08:00:00,8,13.0,18.1,17.15651410658,4.156514106580001,TT_DOWN
455424,雲嘉南空品區,臺西,2018-01-02 09:00:00,9,14.0,34.0,30.1593794282,16.1593794282,TT_DOWN
455425,雲嘉南空品區,臺西,2018-01-02 10:00:00,10,17.0,43.2,37.683049928760006,20.683049928760006,TT_DOWN
455426,雲嘉南空品區,臺西,2018-01-02 11:00:00,11,21.0,46.5,40.38175782570001,19.381757825700006,TT_DOWN
455427,雲嘉南空品區,臺西,2018-01-02 12:00:00,12,26.0,48.6,42.099117396480004,16.099117396480004,TT_DOWN
455428,雲嘉南空品區,臺西,2018-01-02 13:00:00,13,33.0,54.9,47.251196108820004,14.251196108820004,TT_DOWN
455429,雲嘉南空品區,臺西,2018-01-02 14:00:00,14,39.0,56.6,48.64143957088001,9.64143957088001,TT_DOWN
455430,雲嘉南空品區,臺西,2018-01-02 15:00:00,15,45.0,57.0,48.96855567960001,3.9685556796000085,TT_DOWN
455431,雲嘉南空品區,臺西,2018-01-02 16:00:00,16,49.0,53.4,46.02451070112001,-2.9754892988799924,TT_DOWN
455432,雲嘉南空品區,臺西,2018-01-02 17:00:00,17,52.0,52.6,45.37027848368001,-6.629721516319989,TT_DOWN
455433,雲嘉南空品區,臺西,2018-01-02 18:00:00,18,52.0,47.1,40.87243198878001,-11.127568011219992,TT_DOWN
455434,雲嘉南空品區,臺西,2018-01-02 19:00:00,19,52.0,42.6,37.192375765680005,-14.807624234319995,TT_DOWN
455435,雲嘉南空品區,臺西,2018-01-02 20:00:00,20,51.0,40.0,35.066121059000004,-15.933878940999996,TT_DOWN
455436,雲嘉南空品區,臺西,2018-01-02 21:00:00,21,49.0,40.8,35.72035327644,-13.279646723559999,TT_DOWN
455437,雲嘉南空品區,臺西,2018-01-02 22:00:00,22,46.0,32.4,28.85091499332,-17.14908500668,TT_DOWN
