,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
621799,花東空品區,花蓮,2018-01-01 00:00:00,0,39.0,36.8,31.911783545039995,-7.088216454960005,TT_DOWN
621800,花東空品區,花蓮,2018-01-01 01:00:00,1,40.0,45.5,39.683674820849994,-0.3163251791500059,TT_DOWN
621801,花東空品區,花蓮,2018-01-01 02:00:00,2,40.0,35.2,30.482470206960002,-9.517529793039998,TT_DOWN
621802,花東空品區,花蓮,2018-01-01 03:00:00,3,39.0,29.6,25.47987352368,-13.520126476320002,TT_DOWN
621803,花東空品區,花蓮,2018-01-01 04:00:00,4,38.0,29.9,25.74786977457,-12.252130225430001,TT_DOWN
621804,花東空品區,花蓮,2018-01-01 05:00:00,5,36.0,25.7,21.99592226211,-14.00407773789,TT_DOWN
621805,花東空品區,花蓮,2018-01-01 06:00:00,6,34.0,23.5,20.03061642225,-13.969383577750001,TT_DOWN
621806,花東空品區,花蓮,2018-01-01 07:00:00,7,31.0,18.4,15.474680157119996,-15.525319842880004,TT_DOWN
621807,花東空品區,花蓮,2018-01-01 08:00:00,8,28.0,15.1,12.526721397329998,-15.473278602670002,TT_DOWN
621808,花東空品區,花蓮,2018-01-01 09:00:00,9,26.0,32.5,28.070503948949998,2.070503948949998,TT_DOWN
621809,花東空品區,花蓮,2018-01-01 10:00:00,10,26.0,36.2,31.37579104326,5.375791043260001,TT_DOWN
621810,花東空品區,花蓮,2018-01-01 11:00:00,11,28.0,40.8,35.48506689024,7.485066890239999,TT_DOWN
621811,花東空品區,花蓮,2018-01-01 12:00:00,12,30.0,44.5,38.790353984549995,8.790353984549995,TT_DOWN
621812,花東空品區,花蓮,2018-01-01 13:00:00,13,32.0,47.8,41.73831274433999,9.738312744339993,TT_DOWN
621813,花東空品區,花蓮,2018-01-01 14:00:00,14,35.0,47.5,41.47031649345,6.4703164934499995,TT_DOWN
621814,花東空品區,花蓮,2018-01-01 15:00:00,15,39.0,43.7,38.07569731551,-0.9243026844900015,TT_DOWN
621815,花東空品區,花蓮,2018-01-01 16:00:00,16,41.0,36.8,31.911783545039995,-9.088216454960005,TT_DOWN
621816,花東空品區,花蓮,2018-01-01 17:00:00,17,41.0,31.7,27.355847279909998,-13.644152720090002,TT_DOWN
621817,花東空品區,花蓮,2018-01-01 18:00:00,18,40.0,28.3,24.31855643649,-15.681443563510001,TT_DOWN
621818,花東空品區,花蓮,2018-01-01 19:00:00,19,38.0,26.0,22.263918513,-15.736081487,TT_DOWN
621819,花東空品區,花蓮,2018-01-01 20:00:00,20,36.0,23.0,19.5839560041,-16.4160439959,TT_DOWN
621820,花東空品區,花蓮,2018-01-01 21:00:00,21,32.0,19.7,16.635997244309998,-15.364002755690002,TT_DOWN
621821,花東空品區,花蓮,2018-01-01 22:00:00,22,28.0,18.7,15.742676408009997,-12.257323591990003,TT_DOWN
621822,花東空品區,花蓮,2018-01-01 23:00:00,23,25.0,15.0,12.437389313699999,-12.562610686300001,TT_DOWN
621823,花東空品區,花蓮,2018-01-02 00:00:00,0,22.0,16.5,13.777370568149998,-8.222629431850002,TT_DOWN
621825,花東空品區,花蓮,2018-01-02 02:00:00,2,25.0,35.2,30.482470206960002,5.482470206960002,TT_DOWN
621826,花東空品區,花蓮,2018-01-02 03:00:00,3,25.0,26.2,22.44258268026,-2.5574173197400007,TT_DOWN
621827,花東空品區,花蓮,2018-01-02 04:00:00,4,27.0,41.5,36.11039147565,9.110391475649998,TT_DOWN
621828,花東空品區,花蓮,2018-01-02 05:00:00,5,30.0,40.1,34.85974230483,4.85974230483,TT_DOWN
621829,花東空品區,花蓮,2018-01-02 06:00:00,6,31.0,27.1,23.24657143293,-7.753428567069999,TT_DOWN
621830,花東空品區,花蓮,2018-01-02 07:00:00,7,31.0,17.9,15.028019738969997,-15.971980261030003,TT_DOWN
621831,花東空品區,花蓮,2018-01-02 08:00:00,8,32.0,27.8,23.87189601834,-8.12810398166,TT_DOWN
621832,花東空品區,花蓮,2018-01-02 09:00:00,9,31.0,34.7,30.035809788810003,-0.9641902111899974,TT_DOWN
621833,花東空品區,花蓮,2018-01-02 10:00:00,10,31.0,31.8,27.44517936354,-3.5548206364600006,TT_DOWN
621834,花東空品區,花蓮,2018-01-02 11:00:00,11,32.0,34.5,29.85714562155,-2.14285437845,TT_DOWN
621835,花東空品區,花蓮,2018-01-02 12:00:00,12,32.0,40.6,35.306402722979996,3.306402722979996,TT_DOWN
621836,花東空品區,花蓮,2018-01-02 13:00:00,13,32.0,45.1,39.326346486329996,7.326346486329996,TT_DOWN
621837,花東空品區,花蓮,2018-01-02 14:00:00,14,35.0,44.1,38.43302565003,3.4330256500299967,TT_DOWN
621839,花東空品區,花蓮,2018-01-02 16:00:00,16,37.0,27.7,23.782563934709998,-13.217436065290002,TT_DOWN
621840,花東空品區,花蓮,2018-01-02 17:00:00,17,35.0,22.8,19.40529183684,-15.59470816316,TT_DOWN
621841,花東空品區,花蓮,2018-01-02 18:00:00,18,33.0,13.4,11.008075975619999,-21.99192402438,TT_DOWN
621842,花東空品區,花蓮,2018-01-02 19:00:00,19,31.0,20.3,17.17198974609,-13.828010253910001,TT_DOWN
621843,花東空品區,花蓮,2018-01-02 20:00:00,20,29.0,28.6,24.58655268738,-4.413447312620001,TT_DOWN
621844,花東空品區,花蓮,2018-01-02 21:00:00,21,26.0,26.0,22.263918513,-3.736081487,TT_DOWN
621845,花東空品區,花蓮,2018-01-02 22:00:00,22,24.0,30.0,25.8372018582,1.8372018582000003,TT_DOWN
621846,花東空品區,花蓮,2018-01-02 23:00:00,23,25.0,28.2,24.229224352859998,-0.7707756471400025,TT_DOWN
621847,花東空品區,花蓮,2018-01-03 00:00:00,0,24.0,23.3,19.85195225499,-4.14804774501,TT_DOWN
621848,花東空品區,花蓮,2018-01-03 01:00:00,1,24.0,23.5,20.03061642225,-3.9693835777500013,TT_DOWN
621849,花東空品區,花蓮,2018-01-03 02:00:00,2,26.0,25.1,21.45992976033,-4.540070239670001,TT_DOWN
621850,花東空品區,花蓮,2018-01-03 03:00:00,3,26.0,20.5,17.350653913349998,-8.649346086650002,TT_DOWN
621851,花東空品區,花蓮,2018-01-03 04:00:00,4,24.0,16.4,13.688038484519996,-10.311961515480004,TT_DOWN
621852,花東空品區,花蓮,2018-01-03 05:00:00,5,23.0,16.2,13.509374317259997,-9.490625682740003,TT_DOWN
621853,花東空品區,花蓮,2018-01-03 06:00:00,6,21.0,15.8,13.152045982739999,-7.847954017260001,TT_DOWN
621854,花東空品區,花蓮,2018-01-03 07:00:00,7,19.0,12.7,10.382751390209998,-8.617248609790002,TT_DOWN
621855,花東空品區,花蓮,2018-01-03 08:00:00,8,18.0,16.5,13.777370568149998,-4.222629431850002,TT_DOWN
621856,花東空品區,花蓮,2018-01-03 09:00:00,9,18.0,21.2,17.97597849876,-0.02402150124000002,TT_DOWN
621857,花東空品區,花蓮,2018-01-03 10:00:00,10,20.0,39.7,34.50241397031,14.502413970310002,TT_DOWN
621858,花東空品區,花蓮,2018-01-03 11:00:00,11,23.0,43.4,37.80770106462,14.807701064619998,TT_DOWN
621859,花東空品區,花蓮,2018-01-03 12:00:00,12,26.0,42.2,36.73571606106,10.735716061060003,TT_DOWN
621860,花東空品區,花蓮,2018-01-03 13:00:00,13,29.0,42.3,36.825048144689994,7.825048144689994,TT_DOWN
621861,花東空品區,花蓮,2018-01-03 14:00:00,14,31.0,32.4,27.981171865319997,-3.018828134680003,TT_DOWN
621862,花東空品區,花蓮,2018-01-03 15:00:00,15,33.0,27.1,23.24657143293,-9.75342856707,TT_DOWN
621863,花東空品區,花蓮,2018-01-03 16:00:00,16,35.0,30.4,26.19453019272,-8.805469807280002,TT_DOWN
621864,花東空品區,花蓮,2018-01-03 17:00:00,17,35.0,26.3,22.53191476389,-12.46808523611,TT_DOWN
621865,花東空品區,花蓮,2018-01-03 18:00:00,18,32.0,14.5,11.990728895549998,-20.00927110445,TT_DOWN
621866,花東空品區,花蓮,2018-01-03 19:00:00,19,30.0,22.4,19.04796350232,-10.952036497680002,TT_DOWN
621867,花東空品區,花蓮,2018-01-03 20:00:00,20,28.0,24.7,21.102601425809997,-6.897398574190003,TT_DOWN
621868,花東空品區,花蓮,2018-01-03 21:00:00,21,25.0,24.2,20.655941007659997,-4.344058992340003,TT_DOWN
621869,花東空品區,花蓮,2018-01-03 22:00:00,22,24.0,23.3,19.85195225499,-4.14804774501,TT_DOWN
621870,花東空品區,花蓮,2018-01-03 23:00:00,23,24.0,25.1,21.45992976033,-2.5400702396700012,TT_DOWN
621871,花東空品區,花蓮,2018-01-04 00:00:00,0,23.0,26.1,22.35325059663,-0.6467494033699985,TT_DOWN
621872,花東空品區,花蓮,2018-01-04 01:00:00,1,23.0,27.3,23.42523560019,0.42523560018999973,TT_DOWN
621873,花東空品區,花蓮,2018-01-04 02:00:00,2,24.0,19.9,16.814661411569997,-7.185338588430003,TT_DOWN
621874,花東空品區,花蓮,2018-01-04 03:00:00,3,24.0,21.6,18.33330683328,-5.666693166719998,TT_DOWN
621875,花東空品區,花蓮,2018-01-04 04:00:00,4,24.0,21.1,17.886646415130002,-6.113353584869998,TT_DOWN
621876,花東空品區,花蓮,2018-01-04 05:00:00,5,23.0,20.0,16.903993495199998,-6.096006504800002,TT_DOWN
621877,花東空品區,花蓮,2018-01-04 06:00:00,6,22.0,18.0,15.117351822599998,-6.882648177400002,TT_DOWN
