,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
245279,竹苗空品區,苗栗,2018-01-01 00:00:00,0,36.0,39.3,32.50208426696,-3.497915733040003,TT_DOWN
245280,竹苗空品區,苗栗,2018-01-01 01:00:00,1,37.0,38.6,31.943219619920004,-5.056780380079996,TT_DOWN
245281,竹苗空品區,苗栗,2018-01-01 02:00:00,2,38.0,39.7,32.821435493840006,-5.178564506159994,TT_DOWN
245282,竹苗空品區,苗栗,2018-01-01 03:00:00,3,38.0,37.8,31.30451716616,-6.69548283384,TT_DOWN
245283,竹苗空品區,苗栗,2018-01-01 04:00:00,4,37.0,30.7,25.636032889040003,-11.363967110959997,TT_DOWN
245284,竹苗空品區,苗栗,2018-01-01 05:00:00,5,33.0,4.7,4.87820314184,-28.12179685816,TT_DOWN
245285,竹苗空品區,苗栗,2018-01-01 06:00:00,6,29.0,1.2,2.08387990664,-26.91612009336,TT_DOWN
245286,竹苗空品區,苗栗,2018-01-01 07:00:00,7,24.0,2.1,2.80242016712,-21.19757983288,TT_DOWN
245287,竹苗空品區,苗栗,2018-01-01 08:00:00,8,21.0,16.7,14.458739948240002,-6.541260051759998,TT_DOWN
245288,竹苗空品區,苗栗,2018-01-01 09:00:00,9,21.0,33.0,27.472302443600004,6.472302443600004,TT_DOWN
245289,竹苗空品區,苗栗,2018-01-01 10:00:00,10,21.0,42.7,35.21656969544001,14.216569695440008,TT_DOWN
245290,竹苗空品區,苗栗,2018-01-01 11:00:00,11,22.0,47.7,39.208460031440005,17.208460031440005,TT_DOWN
245291,竹苗空品區,苗栗,2018-01-01 12:00:00,12,25.0,51.2,42.00278326664001,17.00278326664001,TT_DOWN
245292,竹苗空品區,苗栗,2018-01-01 13:00:00,13,31.0,51.2,42.00278326664001,11.002783266640009,TT_DOWN
245293,竹苗空品區,苗栗,2018-01-01 14:00:00,14,37.0,48.0,39.44797345160001,2.4479734516000065,TT_DOWN
245294,竹苗空品區,苗栗,2018-01-01 15:00:00,15,41.0,41.1,33.93916478792001,-7.0608352120799935,TT_DOWN
245295,竹苗空品區,苗栗,2018-01-01 16:00:00,16,44.0,33.7,28.031167090640004,-15.968832909359996,TT_DOWN
245296,竹苗空品區,苗栗,2018-01-01 17:00:00,17,42.0,21.1,17.971603443920003,-24.028396556079997,TT_DOWN
245297,竹苗空品區,苗栗,2018-01-01 18:00:00,18,40.0,22.1,18.769981511120005,-21.230018488879995,TT_DOWN
245298,竹苗空品區,苗栗,2018-01-01 19:00:00,19,36.0,17.3,14.937766788560001,-21.06223321144,TT_DOWN
245299,竹苗空品區,苗栗,2018-01-01 20:00:00,20,31.0,11.2,10.067660578639998,-20.932339421360002,TT_DOWN
245300,竹苗空品區,苗栗,2018-01-01 21:00:00,21,25.0,6.8,6.55479708296,-18.44520291704,TT_DOWN
245301,竹苗空品區,苗栗,2018-01-01 22:00:00,22,19.0,0.5,1.5250152596,-17.4749847404,TT_DOWN
245302,竹苗空品區,苗栗,2018-01-01 23:00:00,23,14.0,0.0,1.125826226,-12.874173773999999,TT_DOWN
245303,竹苗空品區,苗栗,2018-01-02 00:00:00,0,10.0,1.1,2.0040420999200004,-7.99595790008,TT_DOWN
245304,竹苗空品區,苗栗,2018-01-02 01:00:00,1,8.0,6.5,6.315283662800001,-1.6847163371999994,TT_DOWN
245305,竹苗空品區,苗栗,2018-01-02 02:00:00,2,5.0,0.5,1.5250152596,-3.4749847404,TT_DOWN
245306,竹苗空品區,苗栗,2018-01-02 03:00:00,3,3.0,0.5,1.5250152596,-1.4749847404,TT_DOWN
245307,竹苗空品區,苗栗,2018-01-02 04:00:00,4,3.0,6.5,6.315283662800001,3.3152836628000006,TT_DOWN
245308,竹苗空品區,苗栗,2018-01-02 05:00:00,5,2.0,1.3,2.16371771336,0.16371771336000007,TT_DOWN
245309,竹苗空品區,苗栗,2018-01-02 06:00:00,6,2.0,0.0,1.125826226,-0.874173774,TT_DOWN
245310,竹苗空品區,苗栗,2018-01-02 07:00:00,7,2.0,2.7,3.28144700744,1.2814470074400002,TT_DOWN
245311,竹苗空品區,苗栗,2018-01-02 08:00:00,8,3.0,7.9,7.433012956880001,4.433012956880001,TT_DOWN
245312,竹苗空品區,苗栗,2018-01-02 09:00:00,9,5.0,21.6,18.370792477520002,13.370792477520002,TT_DOWN
245313,竹苗空品區,苗栗,2018-01-02 10:00:00,10,8.0,24.6,20.765926679120003,12.765926679120003,TT_DOWN
245314,竹苗空品區,苗栗,2018-01-02 11:00:00,11,13.0,36.0,29.8674366452,16.8674366452,TT_DOWN
245315,竹苗空品區,苗栗,2018-01-02 12:00:00,12,18.0,46.6,38.330244157520006,20.330244157520006,TT_DOWN
245316,竹苗空品區,苗栗,2018-01-02 13:00:00,13,24.0,53.0,43.439863787600004,19.439863787600004,TT_DOWN
245317,竹苗空品區,苗栗,2018-01-02 14:00:00,14,32.0,61.9,50.54542858568,18.54542858568,TT_DOWN
245318,竹苗空品區,苗栗,2018-01-02 15:00:00,15,38.0,50.3,41.284243006160004,3.284243006160004,TT_DOWN
245319,竹苗空品區,苗栗,2018-01-02 16:00:00,16,41.0,36.7,30.426301292240005,-10.573698707759995,TT_DOWN
245320,竹苗空品區,苗栗,2018-01-02 17:00:00,17,41.0,19.8,16.93371195656,-24.06628804344,TT_DOWN
245321,竹苗空品區,苗栗,2018-01-02 18:00:00,18,39.0,8.6,7.99187760392,-31.00812239608,TT_DOWN
245322,竹苗空品區,苗栗,2018-01-02 19:00:00,19,36.0,11.8,10.546687418960001,-25.45331258104,TT_DOWN
245323,竹苗空品區,苗栗,2018-01-02 20:00:00,20,31.0,6.9,6.634634889680001,-24.36536511032,TT_DOWN
245324,竹苗空品區,苗栗,2018-01-02 21:00:00,21,25.0,5.6,5.59674340232,-19.40325659768,TT_DOWN
245325,竹苗空品區,苗栗,2018-01-02 22:00:00,22,19.0,10.4,9.428958124880001,-9.571041875119999,TT_DOWN
245326,竹苗空品區,苗栗,2018-01-02 23:00:00,23,14.0,14.0,12.303119166800002,-1.696880833199998,TT_DOWN
245327,竹苗空品區,苗栗,2018-01-03 00:00:00,0,11.0,7.6,7.19349953672,-3.80650046328,TT_DOWN
245328,竹苗空品區,苗栗,2018-01-03 01:00:00,1,9.0,9.8,8.949931284560002,-0.05006871543999836,TT_DOWN
245329,竹苗空品區,苗栗,2018-01-03 02:00:00,2,8.0,1.5,2.3233933268,-5.6766066732,TT_DOWN
245330,竹苗空品區,苗栗,2018-01-03 03:00:00,3,7.0,1.7,2.48306894024,-4.51693105976,TT_DOWN
245331,竹苗空品區,苗栗,2018-01-03 04:00:00,4,7.0,2.7,3.28144700744,-3.71855299256,TT_DOWN
245332,竹苗空品區,苗栗,2018-01-03 05:00:00,5,8.0,14.6,12.782146007120001,4.7821460071200015,TT_DOWN
245333,竹苗空品區,苗栗,2018-01-03 06:00:00,6,8.0,10.4,9.428958124880001,1.4289581248800012,TT_DOWN
245334,竹苗空品區,苗栗,2018-01-03 07:00:00,7,6.0,0.5,1.5250152596,-4.4749847404,TT_DOWN
245335,竹苗空品區,苗栗,2018-01-03 08:00:00,8,6.0,3.7,4.07982507464,-1.9201749253599996,TT_DOWN
245336,竹苗空品區,苗栗,2018-01-03 09:00:00,9,7.0,17.0,14.6982533684,7.6982533684,TT_DOWN
245337,竹苗空品區,苗栗,2018-01-03 10:00:00,10,11.0,34.5,28.6698695444,17.6698695444,TT_DOWN
245338,竹苗空品區,苗栗,2018-01-03 11:00:00,11,16.0,42.6,35.13673188872001,19.136731888720007,TT_DOWN
245339,竹苗空品區,苗栗,2018-01-03 12:00:00,12,22.0,55.6,45.51564676232,23.515646762320003,TT_DOWN
245340,竹苗空品區,苗栗,2018-01-03 13:00:00,13,28.0,63.3,51.66315787976,23.66315787976,TT_DOWN
245341,竹苗空品區,苗栗,2018-01-03 14:00:00,14,35.0,63.7,51.98250910664001,16.98250910664001,TT_DOWN
245342,竹苗空品區,苗栗,2018-01-03 15:00:00,15,43.0,60.3,49.26802367816,6.268023678159999,TT_DOWN
245343,竹苗空品區,苗栗,2018-01-03 16:00:00,16,50.0,64.5,52.621211560400006,2.621211560400006,TT_DOWN
245344,竹苗空品區,苗栗,2018-01-03 17:00:00,17,54.0,49.2,40.406027132240006,-13.593972867759994,TT_DOWN
245345,竹苗空品區,苗栗,2018-01-03 18:00:00,18,55.0,37.6,31.144841552720003,-23.855158447279997,TT_DOWN
245346,竹苗空品區,苗栗,2018-01-03 19:00:00,19,54.0,34.6,28.749707351120005,-25.250292648879995,TT_DOWN
245347,竹苗空品區,苗栗,2018-01-03 20:00:00,20,50.0,22.9,19.40868396488,-30.59131603512,TT_DOWN
245348,竹苗空品區,苗栗,2018-01-03 21:00:00,21,43.0,12.8,11.345065486160003,-31.654934513839997,TT_DOWN
245349,竹苗空品區,苗栗,2018-01-03 22:00:00,22,36.0,9.9,9.02976909128,-26.970230908719998,TT_DOWN
245350,竹苗空品區,苗栗,2018-01-03 23:00:00,23,30.0,9.6,8.79025567112,-21.20974432888,TT_DOWN
245351,竹苗空品區,苗栗,2018-01-04 00:00:00,0,23.0,4.9,5.03787875528,-17.96212124472,TT_DOWN
245352,竹苗空品區,苗栗,2018-01-04 01:00:00,1,18.0,14.2,12.46279478024,-5.537205219760001,TT_DOWN
245353,竹苗空品區,苗栗,2018-01-04 02:00:00,2,15.0,12.6,11.185389872720002,-3.814610127279998,TT_DOWN
