,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
157680,北部空品區,菜寮,2018-01-01 00:00:00,0,35.0,37.9,32.7663757817,-2.233624218300001,TT_DOWN
157681,北部空品區,菜寮,2018-01-01 01:00:00,1,36.0,38.4,33.1088691232,-2.8911308767999984,TT_DOWN
157682,北部空品區,菜寮,2018-01-01 02:00:00,2,36.0,39.0,33.519861133,-2.480138867000001,TT_DOWN
157683,北部空品區,菜寮,2018-01-01 03:00:00,3,37.0,40.1,34.2733464843,-2.7266535157000007,TT_DOWN
157684,北部空品區,菜寮,2018-01-01 04:00:00,4,37.0,39.0,33.519861133,-3.480138867000001,TT_DOWN
157685,北部空品區,菜寮,2018-01-01 05:00:00,5,38.0,37.7,32.6293784451,-5.370621554899998,TT_DOWN
157686,北部空品區,菜寮,2018-01-01 06:00:00,6,38.0,34.8,30.6429170644,-7.357082935600001,TT_DOWN
157687,北部空品區,菜寮,2018-01-01 07:00:00,7,38.0,35.1,30.8484130693,-7.151586930699999,TT_DOWN
157688,北部空品區,菜寮,2018-01-01 08:00:00,8,37.0,35.0,30.779914401000003,-6.220085598999997,TT_DOWN
157689,北部空品區,菜寮,2018-01-01 09:00:00,9,37.0,35.7,31.259405079100002,-5.740594920899998,TT_DOWN
157690,北部空品區,菜寮,2018-01-01 10:00:00,10,37.0,38.2,32.9718717866,-4.028128213400002,TT_DOWN
157691,北部空品區,菜寮,2018-01-01 11:00:00,11,37.0,38.1,32.9033731183,-4.096626881699997,TT_DOWN
157692,北部空品區,菜寮,2018-01-01 12:00:00,12,37.0,39.4,33.7938558062,-3.2061441938,TT_DOWN
157693,北部空品區,菜寮,2018-01-01 13:00:00,13,37.0,36.1,31.533399752300003,-5.466600247699997,TT_DOWN
157694,北部空品區,菜寮,2018-01-01 14:00:00,14,37.0,34.5,30.4374210595,-6.5625789405,TT_DOWN
157695,北部空品區,菜寮,2018-01-01 15:00:00,15,36.0,34.0,30.094927718,-5.905072281999999,TT_DOWN
157696,北部空品區,菜寮,2018-01-01 16:00:00,16,37.0,36.8,32.0128904304,-4.987109569600001,TT_DOWN
157697,北部空品區,菜寮,2018-01-01 17:00:00,17,36.0,33.8,29.9579303814,-6.042069618599999,TT_DOWN
157698,北部空品區,菜寮,2018-01-01 18:00:00,18,36.0,35.4,31.0539090742,-4.9460909258,TT_DOWN
157699,北部空品區,菜寮,2018-01-01 19:00:00,19,36.0,34.1,30.163426386300003,-5.836573613699997,TT_DOWN
157700,北部空品區,菜寮,2018-01-01 20:00:00,20,34.0,30.6,27.765972995800002,-6.234027004199998,TT_DOWN
157701,北部空品區,菜寮,2018-01-01 21:00:00,21,34.0,30.6,27.765972995800002,-6.234027004199998,TT_DOWN
157702,北部空品區,菜寮,2018-01-01 22:00:00,22,33.0,29.5,27.012487644500002,-5.987512355499998,TT_DOWN
157703,北部空品區,菜寮,2018-01-01 23:00:00,23,33.0,32.6,29.135946361800002,-3.864053638199998,TT_DOWN
157704,北部空品區,菜寮,2018-01-02 00:00:00,0,33.0,36.7,31.944391762100004,-1.055608237899996,TT_DOWN
157705,北部空品區,菜寮,2018-01-02 01:00:00,1,33.0,38.3,33.0403704549,0.040370454899999686,TT_DOWN
157706,北部空品區,菜寮,2018-01-02 02:00:00,2,34.0,38.9,33.4513624647,-0.5486375353000028,TT_DOWN
157707,北部空品區,菜寮,2018-01-02 03:00:00,3,35.0,39.0,33.519861133,-1.4801388670000009,TT_DOWN
157708,北部空品區,菜寮,2018-01-02 04:00:00,4,36.0,38.4,33.1088691232,-2.8911308767999984,TT_DOWN
157709,北部空品區,菜寮,2018-01-02 05:00:00,5,36.0,34.3,30.3004237229,-5.6995762771,TT_DOWN
157710,北部空品區,菜寮,2018-01-02 06:00:00,6,35.0,24.6,23.656052897800002,-11.343947102199998,TT_DOWN
157711,北部空品區,菜寮,2018-01-02 07:00:00,7,34.0,21.9,21.8065888537,-12.1934111463,TT_DOWN
157712,北部空品區,菜寮,2018-01-02 08:00:00,8,32.0,23.3,22.7655702099,-9.234429790099998,TT_DOWN
157713,北部空品區,菜寮,2018-01-02 09:00:00,9,31.0,25.8,24.4780369174,-6.521963082599999,TT_DOWN
157714,北部空品區,菜寮,2018-01-02 10:00:00,10,30.0,31.7,28.519458347100002,-1.4805416528999977,TT_DOWN
157715,北部空品區,菜寮,2018-01-02 11:00:00,11,29.0,34.3,30.3004237229,1.3004237228999997,TT_DOWN
157716,北部空品區,菜寮,2018-01-02 12:00:00,12,29.0,39.3,33.7253571379,4.725357137899998,TT_DOWN
157717,北部空品區,菜寮,2018-01-02 13:00:00,13,30.0,38.1,32.9033731183,2.903373118300003,TT_DOWN
157718,北部空品區,菜寮,2018-01-02 14:00:00,14,31.0,37.2,32.2868851036,1.2868851035999995,TT_DOWN
157719,北部空品區,菜寮,2018-01-02 15:00:00,15,33.0,36.6,31.875893093800002,-1.124106906199998,TT_DOWN
157720,北部空品區,菜寮,2018-01-02 16:00:00,16,35.0,36.1,31.533399752300003,-3.466600247699997,TT_DOWN
157721,北部空品區,菜寮,2018-01-02 17:00:00,17,35.0,24.0,23.245060888,-11.754939111999999,TT_DOWN
157722,北部空品區,菜寮,2018-01-02 18:00:00,18,34.0,23.0,22.560074205,-11.439925795,TT_DOWN
157723,北部空品區,菜寮,2018-01-02 19:00:00,19,32.0,22.5,22.2175808635,-9.7824191365,TT_DOWN
157724,北部空品區,菜寮,2018-01-02 20:00:00,20,30.0,26.3,24.8205302589,-5.1794697411,TT_DOWN
157725,北部空品區,菜寮,2018-01-02 21:00:00,21,29.0,29.0,26.669994303,-2.3300056970000007,TT_DOWN
157726,北部空品區,菜寮,2018-01-02 22:00:00,22,28.0,29.3,26.8754903079,-1.1245096920999984,TT_DOWN
157727,北部空品區,菜寮,2018-01-02 23:00:00,23,28.0,30.0,27.354980986,-0.645019013999999,TT_DOWN
157728,北部空品區,菜寮,2018-01-03 00:00:00,0,27.0,33.5,29.752434376500002,2.752434376500002,TT_DOWN
157729,北部空品區,菜寮,2018-01-03 01:00:00,1,29.0,34.5,30.4374210595,1.4374210595,TT_DOWN
157730,北部空品區,菜寮,2018-01-03 02:00:00,2,30.0,34.2,30.2319250546,0.23192505460000135,TT_DOWN
157731,北部空品區,菜寮,2018-01-03 03:00:00,3,32.0,35.8,31.3279037474,-0.6720962525999994,TT_DOWN
157732,北部空品區,菜寮,2018-01-03 04:00:00,4,33.0,36.0,31.464901084,-1.535098915999999,TT_DOWN
157733,北部空品區,菜寮,2018-01-03 05:00:00,5,33.0,34.3,30.3004237229,-2.6995762771000003,TT_DOWN
157734,北部空品區,菜寮,2018-01-03 06:00:00,6,32.0,21.0,21.190100839,-10.809899161,TT_DOWN
157735,北部空品區,菜寮,2018-01-03 07:00:00,7,30.0,11.2,14.4772313456,-15.5227686544,TT_DOWN
157736,北部空品區,菜寮,2018-01-03 08:00:00,8,29.0,21.9,21.8065888537,-7.193411146300001,TT_DOWN
157737,北部空品區,菜寮,2018-01-03 09:00:00,9,27.0,25.1,23.9985462393,-3.0014537606999987,TT_DOWN
157738,北部空品區,菜寮,2018-01-03 10:00:00,10,26.0,26.6,25.026026263800002,-0.9739737361999978,TT_DOWN
157739,北部空品區,菜寮,2018-01-03 11:00:00,11,26.0,34.2,30.2319250546,4.231925054600001,TT_DOWN
157740,北部空品區,菜寮,2018-01-03 12:00:00,12,26.0,35.1,30.8484130693,4.848413069300001,TT_DOWN
157741,北部空品區,菜寮,2018-01-03 13:00:00,13,26.0,36.4,31.7388957572,5.738895757200002,TT_DOWN
157742,北部空品區,菜寮,2018-01-03 14:00:00,14,28.0,30.2,27.4919783226,-0.5080216773999986,TT_DOWN
157743,北部空品區,菜寮,2018-01-03 15:00:00,15,29.0,25.7,24.409538249100002,-4.590461750899998,TT_DOWN
157744,北部空品區,菜寮,2018-01-03 16:00:00,16,30.0,26.7,25.0945249321,-4.905475067899999,TT_DOWN
157745,北部空品區,菜寮,2018-01-03 17:00:00,17,30.0,25.5,24.272540912500002,-5.727459087499998,TT_DOWN
157746,北部空品區,菜寮,2018-01-03 18:00:00,18,30.0,25.8,24.4780369174,-5.521963082599999,TT_DOWN
157747,北部空品區,菜寮,2018-01-03 19:00:00,19,29.0,27.4,25.5740156102,-3.4259843898,TT_DOWN
157748,北部空品區,菜寮,2018-01-03 20:00:00,20,28.0,29.7,27.149484981100002,-0.8505150188999977,TT_DOWN
157749,北部空品區,菜寮,2018-01-03 21:00:00,21,27.0,28.0,25.98500762,-1.014992379999999,TT_DOWN
157750,北部空品區,菜寮,2018-01-03 22:00:00,22,27.0,29.6,27.0809863128,0.08098631280000035,TT_DOWN
157751,北部空品區,菜寮,2018-01-03 23:00:00,23,28.0,31.5,28.382461010500002,0.3824610105000019,TT_DOWN
157752,北部空品區,菜寮,2018-01-04 00:00:00,0,29.0,32.3,28.9304503569,-0.06954964310000022,TT_DOWN
157753,北部空品區,菜寮,2018-01-04 01:00:00,1,30.0,32.4,28.9989490252,-1.0010509747999983,TT_DOWN
157754,北部空品區,菜寮,2018-01-04 02:00:00,2,30.0,32.5,29.0674476935,-0.9325523064999999,TT_DOWN
157755,北部空品區,菜寮,2018-01-04 03:00:00,3,31.0,31.7,28.519458347100002,-2.4805416528999977,TT_DOWN
157756,北部空品區,菜寮,2018-01-04 04:00:00,4,31.0,31.0,28.039967669000003,-2.960032330999997,TT_DOWN
157757,北部空品區,菜寮,2018-01-04 05:00:00,5,31.0,29.0,26.669994303,-4.330005697000001,TT_DOWN
157758,北部空品區,菜寮,2018-01-04 06:00:00,6,30.0,17.5,18.792647448500002,-11.207352551499998,TT_DOWN
157759,北部空品區,菜寮,2018-01-04 07:00:00,7,27.0,11.4,14.6142286822,-12.3857713178,TT_DOWN
157760,北部空品區,菜寮,2018-01-04 08:00:00,8,24.0,9.2,13.1072579796,-10.8927420204,TT_DOWN
157761,北部空品區,菜寮,2018-01-04 09:00:00,9,22.0,14.7,16.8746847361,-5.125315263899999,TT_DOWN
157762,北部空品區,菜寮,2018-01-04 10:00:00,10,21.0,20.3,20.7106101609,-0.28938983910000005,TT_DOWN
157763,北部空品區,菜寮,2018-01-04 11:00:00,11,21.0,34.1,30.163426386300003,9.163426386300003,TT_DOWN
157764,北部空品區,菜寮,2018-01-04 12:00:00,12,23.0,48.0,39.68474128,16.684741279999997,TT_DOWN
157765,北部空品區,菜寮,2018-01-04 13:00:00,13,24.0,34.8,30.6429170644,6.642917064399999,TT_DOWN
157766,北部空品區,菜寮,2018-01-04 14:00:00,14,25.0,26.9,25.2315222687,0.23152226870000092,TT_DOWN
157767,北部空品區,菜寮,2018-01-04 15:00:00,15,26.0,21.3,21.3955968439,-4.604403156099998,TT_DOWN
157768,北部空品區,菜寮,2018-01-04 16:00:00,16,27.0,18.0,19.13514079,-7.864859209999999,TT_DOWN
157769,北部空品區,菜寮,2018-01-04 17:00:00,17,28.0,21.7,21.6695915171,-6.330408482900001,TT_DOWN
