,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
201479,北部空品區,萬華,2018-01-01 00:00:00,0,14.0,24.4,21.24255865012,7.242558650119999,TT_DOWN
201480,北部空品區,萬華,2018-01-01 01:00:00,1,17.0,22.2,19.85280183706,2.8528018370599995,TT_DOWN
201481,北部空品區,萬華,2018-01-01 02:00:00,2,19.0,26.3,22.44280317049,3.4428031704899986,TT_DOWN
201482,北部空品區,萬華,2018-01-01 03:00:00,3,21.0,31.5,25.72768291045,4.7276829104499996,TT_DOWN
201483,北部空品區,萬華,2018-01-01 04:00:00,4,24.0,27.6,23.26402310548,-0.7359768945200003,TT_DOWN
201485,北部空品區,萬華,2018-01-01 06:00:00,6,26.0,23.5,20.67402177205,-5.325978227949999,TT_DOWN
201486,北部空品區,萬華,2018-01-01 07:00:00,7,25.0,21.7,19.53694801591,-5.463051984090001,TT_DOWN
201488,北部空品區,萬華,2018-01-01 09:00:00,9,25.0,20.7,18.90524037361,-6.094759626390001,TT_DOWN
201489,北部空品區,萬華,2018-01-01 10:00:00,10,25.0,24.8,21.495241707039998,-3.504758292960002,TT_DOWN
201490,北部空品區,萬華,2018-01-01 11:00:00,11,24.0,27.5,23.20085234125,-0.7991476587500017,TT_DOWN
201491,北部空品區,萬華,2018-01-01 12:00:00,12,24.0,28.7,23.958901512009998,-0.04109848799000204,TT_DOWN
201492,北部空品區,萬華,2018-01-01 13:00:00,13,25.0,27.9,23.45353539817,-1.5464646018299995,TT_DOWN
201493,北部空品區,萬華,2018-01-01 14:00:00,14,25.0,25.4,21.87426629242,-3.1257337075800002,TT_DOWN
201494,北部空品區,萬華,2018-01-01 15:00:00,15,25.0,16.5,16.25206827595,-8.747931724050002,TT_DOWN
201495,北部空品區,萬華,2018-01-01 16:00:00,16,24.0,22.8,20.23182642244,-3.768173577559999,TT_DOWN
201496,北部空品區,萬華,2018-01-01 17:00:00,17,24.0,18.7,17.64182508901,-6.358174910990002,TT_DOWN
201497,北部空品區,萬華,2018-01-01 18:00:00,18,23.0,18.3,17.38914203209,-5.61085796791,TT_DOWN
201498,北部空品區,萬華,2018-01-01 19:00:00,19,22.0,17.9,17.136458975169997,-4.863541024830003,TT_DOWN
201499,北部空品區,萬華,2018-01-01 20:00:00,20,20.0,14.2,14.799140698659997,-5.200859301340003,TT_DOWN
201500,北部空品區,萬華,2018-01-01 21:00:00,21,18.0,13.9,14.60962840597,-3.3903715940300003,TT_DOWN
201501,北部空品區,萬華,2018-01-01 22:00:00,22,17.0,13.6,14.420116113279999,-2.579883886720001,TT_DOWN
201502,北部空品區,萬華,2018-01-01 23:00:00,23,17.0,17.5,16.88377591825,-0.11622408175000132,TT_DOWN
201503,北部空品區,萬華,2018-01-02 00:00:00,0,18.0,28.6,23.89573074778,5.89573074778,TT_DOWN
201504,北部空品區,萬華,2018-01-02 01:00:00,1,18.0,22.1,19.78963107283,1.7896310728300016,TT_DOWN
201505,北部空品區,萬華,2018-01-02 02:00:00,2,20.0,29.0,24.1484138047,4.148413804699999,TT_DOWN
201506,北部空品區,萬華,2018-01-02 03:00:00,3,21.0,29.9,24.716950682769998,3.7169506827699976,TT_DOWN
201507,北部空品區,萬華,2018-01-02 04:00:00,4,23.0,28.0,23.5167061624,0.5167061623999984,TT_DOWN
201508,北部空品區,萬華,2018-01-02 05:00:00,5,25.0,28.8,24.02207227624,-0.9779277237600006,TT_DOWN
201509,北部空品區,萬華,2018-01-02 06:00:00,6,25.0,16.5,16.25206827595,-8.747931724050002,TT_DOWN
201510,北部空品區,萬華,2018-01-02 07:00:00,7,24.0,8.3,11.07206560909,-12.92793439091,TT_DOWN
201511,北部空品區,萬華,2018-01-02 08:00:00,8,21.0,8.2,11.008894844859999,-9.991105155140001,TT_DOWN
201512,北部空品區,萬華,2018-01-02 09:00:00,9,20.0,8.7,11.324748666009999,-8.675251333990001,TT_DOWN
201513,北部空品區,萬華,2018-01-02 10:00:00,10,18.0,18.9,17.768166617469998,-0.2318333825300023,TT_DOWN
201522,北部空品區,萬華,2018-01-02 19:00:00,19,16.0,14.0,14.672799170199998,-1.3272008298000024,TT_DOWN
201523,北部空品區,萬華,2018-01-02 20:00:00,20,16.0,15.8,15.809872926339999,-0.19012707366000114,TT_DOWN
201524,北部空品區,萬華,2018-01-02 21:00:00,21,16.0,16.8,16.44158056864,0.44158056863999917,TT_DOWN
201525,北部空品區,萬華,2018-01-02 22:00:00,22,16.0,17.5,16.88377591825,0.8837759182499987,TT_DOWN
201526,北部空品區,萬華,2018-01-02 23:00:00,23,17.0,21.2,19.22109419476,2.221094194759999,TT_DOWN
201527,北部空品區,萬華,2018-01-03 00:00:00,0,17.0,26.4,22.50597393472,5.50597393472,TT_DOWN
201528,北部空品區,萬華,2018-01-03 01:00:00,1,19.0,26.7,22.69548622741,3.695486227410001,TT_DOWN
201529,北部空品區,萬華,2018-01-03 02:00:00,2,21.0,29.7,24.59060915431,3.5906091543099983,TT_DOWN
201530,北部空品區,萬華,2018-01-03 03:00:00,3,23.0,29.5,24.46426762585,1.464267625849999,TT_DOWN
201531,北部空品區,萬華,2018-01-03 04:00:00,4,25.0,30.4,25.032804503919998,0.032804503919997785,TT_DOWN
201532,北部空品區,萬華,2018-01-03 05:00:00,5,26.0,29.9,24.716950682769998,-1.2830493172300024,TT_DOWN
201533,北部空品區,萬華,2018-01-03 06:00:00,6,27.0,19.2,17.95767891016,-9.042321089840001,TT_DOWN
201534,北部空品區,萬華,2018-01-03 07:00:00,7,25.0,10.2,12.27231012946,-12.72768987054,TT_DOWN
201535,北部空品區,萬華,2018-01-03 08:00:00,8,23.0,9.6,11.89328554408,-11.10671445592,TT_DOWN
201536,北部空品區,萬華,2018-01-03 09:00:00,9,21.0,12.9,13.97792076367,-7.022079236330001,TT_DOWN
201537,北部空品區,萬華,2018-01-03 10:00:00,10,20.0,21.1,19.15792343053,-0.8420765694699988,TT_DOWN
201538,北部空品區,萬華,2018-01-03 11:00:00,11,20.0,27.2,23.01134004856,3.011340048560001,TT_DOWN
201539,北部空品區,萬華,2018-01-03 12:00:00,12,20.0,27.5,23.20085234125,3.2008523412499983,TT_DOWN
