,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
192719,北部空品區,萬里,2018-01-01 00:00:00,0,50.0,53.4,47.03416547552,-2.9658345244800017,TT_DOWN
192720,北部空品區,萬里,2018-01-01 01:00:00,1,51.0,53.6,47.19030360008,-3.80969639992,TT_DOWN
192721,北部空品區,萬里,2018-01-01 02:00:00,2,52.0,53.5,47.1122345378,-4.887765462200001,TT_DOWN
192722,北部空品區,萬里,2018-01-01 03:00:00,3,52.0,52.5,46.331543915,-5.6684560850000025,TT_DOWN
192723,北部空品區,萬里,2018-01-01 04:00:00,4,53.0,52.6,46.40961297728,-6.590387022720002,TT_DOWN
192724,北部空品區,萬里,2018-01-01 05:00:00,5,53.0,53.5,47.1122345378,-5.887765462200001,TT_DOWN
192725,北部空品區,萬里,2018-01-01 06:00:00,6,53.0,53.2,46.878027350960004,-6.121972649039996,TT_DOWN
192726,北部空品區,萬里,2018-01-01 07:00:00,7,53.0,53.4,47.03416547552,-5.965834524480002,TT_DOWN
192727,北部空品區,萬里,2018-01-01 08:00:00,8,53.0,52.0,45.9411986036,-7.0588013964,TT_DOWN
192728,北部空品區,萬里,2018-01-01 09:00:00,9,53.0,50.8,45.00436985624,-7.995630143760003,TT_DOWN
192729,北部空品區,萬里,2018-01-01 10:00:00,10,52.0,49.0,43.5991267352,-8.400873264799998,TT_DOWN
192730,北部空品區,萬里,2018-01-01 11:00:00,11,52.0,48.0,42.8184361124,-9.1815638876,TT_DOWN
192731,北部空品區,萬里,2018-01-01 12:00:00,12,51.0,49.6,44.06754110888,-6.93245889112,TT_DOWN
192732,北部空品區,萬里,2018-01-01 13:00:00,13,51.0,50.2,44.53595548256,-6.464044517440001,TT_DOWN
192733,北部空品區,萬里,2018-01-01 14:00:00,14,50.0,49.8,44.223679233439995,-5.776320766560005,TT_DOWN
192734,北部空品區,萬里,2018-01-01 15:00:00,15,50.0,50.2,44.53595548256,-5.464044517440001,TT_DOWN
192735,北部空品區,萬里,2018-01-01 16:00:00,16,50.0,48.6,43.28685048608,-6.713149513920001,TT_DOWN
192736,北部空品區,萬里,2018-01-01 17:00:00,17,49.0,48.7,43.36491954836,-5.63508045164,TT_DOWN
192737,北部空品區,萬里,2018-01-01 18:00:00,18,49.0,50.0,44.379817358,-4.620182642000003,TT_DOWN
192738,北部空品區,萬里,2018-01-01 19:00:00,19,50.0,50.0,44.379817358,-5.620182642000003,TT_DOWN
