,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
306596,中部空品區,西屯,2018-01-01 00:00:00,0,38.0,38.1,31.418844089059995,-6.581155910940005,TT_DOWN
306597,中部空品區,西屯,2018-01-01 01:00:00,1,38.0,38.7,31.91051041802,-6.089489581980001,TT_DOWN
306598,中部空品區,西屯,2018-01-01 02:00:00,2,39.0,41.1,33.87717573386,-5.12282426614,TT_DOWN
306599,中部空品區,西屯,2018-01-01 03:00:00,3,39.0,40.9,33.71328695754,-5.286713042460001,TT_DOWN
306600,中部空品區,西屯,2018-01-01 04:00:00,4,39.0,40.3,33.22162062858,-5.778379371420002,TT_DOWN
306601,中部空品區,西屯,2018-01-01 05:00:00,5,40.0,41.0,33.795231345699996,-6.204768654300004,TT_DOWN
306602,中部空品區,西屯,2018-01-01 06:00:00,6,40.0,38.3,31.58273286537999,-8.417267134620008,TT_DOWN
306603,中部空品區,西屯,2018-01-01 07:00:00,7,39.0,36.0,29.698011937699995,-9.301988062300005,TT_DOWN
306604,中部空品區,西屯,2018-01-01 08:00:00,8,39.0,36.8,30.353567042979993,-8.646432957020007,TT_DOWN
306605,中部空品區,西屯,2018-01-01 09:00:00,9,39.0,37.9,31.254955312739995,-7.745044687260005,TT_DOWN
306606,中部空品區,西屯,2018-01-01 10:00:00,10,39.0,44.7,36.82717370762,-2.1728262923800017,TT_DOWN
306607,中部空品區,西屯,2018-01-01 11:00:00,11,41.0,53.2,43.79244670122,2.792446701220001,TT_DOWN
306608,中部空品區,西屯,2018-01-01 12:00:00,12,44.0,61.7,50.75771969482,6.757719694819997,TT_DOWN
306609,中部空品區,西屯,2018-01-01 13:00:00,13,47.0,69.0,56.7396600305,9.739660030499998,TT_DOWN
306610,中部空品區,西屯,2018-01-01 14:00:00,14,51.0,70.3,57.804937076579996,6.804937076579996,TT_DOWN
306611,中部空品區,西屯,2018-01-01 15:00:00,15,55.0,64.5,53.052162563299994,-1.9478374367000058,TT_DOWN
306612,中部空品區,西屯,2018-01-01 16:00:00,16,57.0,56.7,46.66050028682,-10.339499713179997,TT_DOWN
306613,中部空品區,西屯,2018-01-01 17:00:00,17,58.0,46.0,37.8924507537,-20.107549246300003,TT_DOWN
306614,中部空品區,西屯,2018-01-01 18:00:00,18,57.0,35.8,29.534123161379995,-27.465876838620005,TT_DOWN
306615,中部空品區,西屯,2018-01-01 19:00:00,19,54.0,29.6,24.453571095459996,-29.546428904540004,TT_DOWN
306616,中部空品區,西屯,2018-01-01 20:00:00,20,49.0,23.2,19.209130253219996,-29.790869746780004,TT_DOWN
306617,中部空品區,西屯,2018-01-01 21:00:00,21,43.0,16.9,14.046633799139999,-28.953366200860003,TT_DOWN
306618,中部空品區,西屯,2018-01-01 22:00:00,22,36.0,15.4,12.81746797674,-23.182532023260002,TT_DOWN
