,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
218999,北部空品區,觀音,2018-01-01 00:00:00,0,36.0,37.8,33.05557466878,-2.9444253312200033,TT_DOWN
219000,北部空品區,觀音,2018-01-01 01:00:00,1,36.0,36.9,32.290422322089995,-3.709577677910005,TT_DOWN
219001,北部空品區,觀音,2018-01-01 02:00:00,2,36.0,35.8,31.355236120579995,-4.644763879420005,TT_DOWN
219002,北部空品區,觀音,2018-01-01 03:00:00,3,36.0,35.7,31.27021919317,-4.72978080683,TT_DOWN
219003,北部空品區,觀音,2018-01-01 04:00:00,4,36.0,33.0,28.9747621531,-7.025237846900001,TT_DOWN
219004,北部空品區,觀音,2018-01-01 05:00:00,5,36.0,35.8,31.355236120579995,-4.644763879420005,TT_DOWN
219005,北部空品區,觀音,2018-01-01 06:00:00,6,36.0,37.8,33.05557466878,-2.9444253312200033,TT_DOWN
219006,北部空品區,觀音,2018-01-01 07:00:00,7,35.0,31.0,27.274423604899997,-7.725576395100003,TT_DOWN
219007,北部空品區,觀音,2018-01-01 08:00:00,8,36.0,38.0,33.225608523599995,-2.7743914764000053,TT_DOWN
219008,北部空品區,觀音,2018-01-01 09:00:00,9,36.0,37.6,32.88554081396,-3.1144591860400013,TT_DOWN
219009,北部空品區,觀音,2018-01-01 10:00:00,10,36.0,39.6,34.58587936216,-1.41412063784,TT_DOWN
219010,北部空品區,觀音,2018-01-01 11:00:00,11,37.0,40.0,34.925947071799996,-2.074052928200004,TT_DOWN
219011,北部空品區,觀音,2018-01-01 12:00:00,12,38.0,42.2,36.79631947482,-1.2036805251799976,TT_DOWN
219012,北部空品區,觀音,2018-01-01 13:00:00,13,39.0,42.2,36.79631947482,-2.2036805251799976,TT_DOWN
219013,北部空品區,觀音,2018-01-01 14:00:00,14,39.0,40.8,35.606082491079995,-3.393917508920005,TT_DOWN
219014,北部空品區,觀音,2018-01-01 15:00:00,15,40.0,38.0,33.225608523599995,-6.774391476400005,TT_DOWN
219015,北部空品區,觀音,2018-01-01 16:00:00,16,39.0,34.4,30.164999136839995,-8.835000863160005,TT_DOWN
219016,北部空品區,觀音,2018-01-01 17:00:00,17,39.0,31.4,27.614491314539997,-11.385508685460003,TT_DOWN
219017,北部空品區,觀音,2018-01-01 18:00:00,18,37.0,28.7,25.31903427447,-11.680965725530001,TT_DOWN
219018,北部空品區,觀音,2018-01-01 19:00:00,19,36.0,30.3,26.679305113029997,-9.320694886970003,TT_DOWN
219019,北部空品區,觀音,2018-01-01 20:00:00,20,36.0,38.3,33.480659305829995,-2.5193406941700047,TT_DOWN
219020,北部空品區,觀音,2018-01-01 21:00:00,21,35.0,38.7,33.82072701547,-1.1792729845300016,TT_DOWN
219021,北部空品區,觀音,2018-01-01 22:00:00,22,35.0,36.9,32.290422322089995,-2.709577677910005,TT_DOWN
219022,北部空品區,觀音,2018-01-01 23:00:00,23,34.0,32.0,28.124592878999998,-5.875407121000002,TT_DOWN
219023,北部空品區,觀音,2018-01-02 00:00:00,0,33.0,28.8,25.404051201879998,-7.595948798120002,TT_DOWN
219024,北部空品區,觀音,2018-01-02 01:00:00,1,33.0,29.1,25.65910198411,-7.3408980158900015,TT_DOWN
219025,北部空品區,觀音,2018-01-02 02:00:00,2,33.0,32.3,28.379643661229995,-4.620356338770005,TT_DOWN
219026,北部空品區,觀音,2018-01-02 03:00:00,3,33.0,31.5,27.69950824195,-5.300491758050001,TT_DOWN
219027,北部空品區,觀音,2018-01-02 04:00:00,4,32.0,28.1,24.808932710009998,-7.191067289990002,TT_DOWN
219028,北部空品區,觀音,2018-01-02 05:00:00,5,31.0,28.1,24.808932710009998,-6.191067289990002,TT_DOWN
219029,北部空品區,觀音,2018-01-02 06:00:00,6,30.0,28.2,24.893949637419997,-5.106050362580003,TT_DOWN
219030,北部空品區,觀音,2018-01-02 07:00:00,7,30.0,30.4,26.764322040439996,-3.235677959560004,TT_DOWN
219031,北部空品區,觀音,2018-01-02 08:00:00,8,30.0,32.1,28.20960980641,-1.7903901935899995,TT_DOWN
219032,北部空品區,觀音,2018-01-02 09:00:00,9,30.0,32.3,28.379643661229995,-1.620356338770005,TT_DOWN
219033,北部空品區,觀音,2018-01-02 10:00:00,10,31.0,34.8,30.505066846479995,-0.4949331535200052,TT_DOWN
219034,北部空品區,觀音,2018-01-02 11:00:00,11,31.0,37.3,32.63049003173,1.6304900317299982,TT_DOWN
219035,北部空品區,觀音,2018-01-02 12:00:00,12,33.0,40.0,34.925947071799996,1.925947071799996,TT_DOWN
219036,北部空品區,觀音,2018-01-02 13:00:00,13,34.0,40.8,35.606082491079995,1.6060824910799951,TT_DOWN
219037,北部空品區,觀音,2018-01-02 14:00:00,14,36.0,39.2,34.24581165252,-1.754188347480003,TT_DOWN
219038,北部空品區,觀音,2018-01-02 15:00:00,15,36.0,34.0,29.8249314272,-6.175068572800001,TT_DOWN
219039,北部空品區,觀音,2018-01-02 16:00:00,16,35.0,23.8,21.15320483138,-13.846795168620002,TT_DOWN
219040,北部空品區,觀音,2018-01-02 17:00:00,17,34.0,23.1,20.558086339509998,-13.441913660490002,TT_DOWN
219041,北部空品區,觀音,2018-01-02 18:00:00,18,33.0,26.0,23.023577234399998,-9.976422765600002,TT_DOWN
219042,北部空品區,觀音,2018-01-02 19:00:00,19,32.0,25.5,22.59849259735,-9.401507402650001,TT_DOWN
219043,北部空品區,觀音,2018-01-02 20:00:00,20,30.0,26.8,23.70371265368,-6.29628734632,TT_DOWN
219044,北部空品區,觀音,2018-01-02 21:00:00,21,28.0,27.7,24.46886500037,-3.5311349996300017,TT_DOWN
219045,北部空品區,觀音,2018-01-02 22:00:00,22,26.0,23.0,20.4730694121,-5.526930587900001,TT_DOWN
219046,北部空品區,觀音,2018-01-02 23:00:00,23,24.0,15.0,13.6717152193,-10.3282847807,TT_DOWN
219047,北部空品區,觀音,2018-01-03 00:00:00,0,22.0,12.6,11.63130896146,-10.36869103854,TT_DOWN
219048,北部空品區,觀音,2018-01-03 01:00:00,1,21.0,10.7,10.01598734067,-10.98401265933,TT_DOWN
219049,北部空品區,觀音,2018-01-03 02:00:00,2,18.0,5.2,5.340056333120001,-12.65994366688,TT_DOWN
219050,北部空品區,觀音,2018-01-03 03:00:00,3,16.0,4.7,4.91497169607,-11.085028303929999,TT_DOWN
219051,北部空品區,觀音,2018-01-03 04:00:00,4,14.0,12.1,11.20622432441,-2.79377567559,TT_DOWN
219052,北部空品區,觀音,2018-01-03 05:00:00,5,12.0,9.4,8.91076728434,-3.0892327156599997,TT_DOWN
219053,北部空品區,觀音,2018-01-03 06:00:00,6,10.0,7.0,6.8703610265,-3.1296389734999996,TT_DOWN
219054,北部空品區,觀音,2018-01-03 07:00:00,7,8.0,5.0,5.1700224783,-2.8299775217,TT_DOWN
219055,北部空品區,觀音,2018-01-03 08:00:00,8,8.0,8.4,8.06059801024,0.06059801023999967,TT_DOWN
219056,北部空品區,觀音,2018-01-03 09:00:00,9,9.0,17.4,15.712121477139998,6.712121477139998,TT_DOWN
219057,北部空品區,觀音,2018-01-03 10:00:00,10,12.0,32.0,28.124592878999998,16.124592878999998,TT_DOWN
219058,北部空品區,觀音,2018-01-03 11:00:00,11,16.0,34.8,30.505066846479995,14.505066846479995,TT_DOWN
219059,北部空品區,觀音,2018-01-03 12:00:00,12,21.0,53.2,46.14818148992,25.14818148992,TT_DOWN
219060,北部空品區,觀音,2018-01-03 13:00:00,13,27.0,59.1,51.16418020711,24.16418020711,TT_DOWN
219061,北部空品區,觀音,2018-01-03 14:00:00,14,32.0,48.3,41.982352046829995,9.982352046829995,TT_DOWN
219062,北部空品區,觀音,2018-01-03 15:00:00,15,36.0,34.6,30.33503299166,-5.66496700834,TT_DOWN
219063,北部空品區,觀音,2018-01-03 16:00:00,16,38.0,24.7,21.918357178069996,-16.081642821930004,TT_DOWN
219064,北部空品區,觀音,2018-01-03 17:00:00,17,38.0,19.3,17.327443097929997,-20.672556902070003,TT_DOWN
219065,北部空品區,觀音,2018-01-03 18:00:00,18,37.0,18.3,16.47727382383,-20.52272617617,TT_DOWN
219066,北部空品區,觀音,2018-01-03 19:00:00,19,35.0,19.5,17.49747695275,-17.50252304725,TT_DOWN
219067,北部空品區,觀音,2018-01-03 20:00:00,20,30.0,18.3,16.47727382383,-13.52272617617,TT_DOWN
219068,北部空品區,觀音,2018-01-03 21:00:00,21,25.0,19.7,17.667510807569997,-7.332489192430003,TT_DOWN
219069,北部空品區,觀音,2018-01-03 22:00:00,22,22.0,22.6,20.13300170246,-1.8669982975400004,TT_DOWN
219070,北部空品區,觀音,2018-01-03 23:00:00,23,21.0,25.4,22.513475669939996,1.5134756699399965,TT_DOWN
219071,北部空品區,觀音,2018-01-04 00:00:00,0,21.0,25.3,22.428458742529997,1.4284587425299975,TT_DOWN
219072,北部空品區,觀音,2018-01-04 01:00:00,1,22.0,24.3,21.57828946843,-0.4217105315699996,TT_DOWN
219073,北部空品區,觀音,2018-01-04 02:00:00,2,22.0,18.0,16.2222230416,-5.7777769584000005,TT_DOWN
219074,北部空品區,觀音,2018-01-04 03:00:00,3,21.0,14.5,13.24663058225,-7.753369417749999,TT_DOWN
219075,北部空品區,觀音,2018-01-04 04:00:00,4,20.0,12.0,11.121207397000001,-8.878792602999999,TT_DOWN
219076,北部空品區,觀音,2018-01-04 05:00:00,5,18.0,4.1,4.40487013161,-13.59512986839,TT_DOWN
219077,北部空品區,觀音,2018-01-04 06:00:00,6,16.0,2.2,2.7895485108200004,-13.210451489179999,TT_DOWN
219078,北部空品區,觀音,2018-01-04 07:00:00,7,13.0,3.5,3.89476856715,-9.105231432850001,TT_DOWN
219079,北部空品區,觀音,2018-01-04 08:00:00,8,13.0,22.2,19.792933992819997,6.7929339928199965,TT_DOWN
219080,北部空品區,觀音,2018-01-04 09:00:00,9,14.0,31.7,27.869542096769997,13.869542096769997,TT_DOWN
219081,北部空品區,觀音,2018-01-04 10:00:00,10,15.0,31.4,27.614491314539997,12.614491314539997,TT_DOWN
219082,北部空品區,觀音,2018-01-04 11:00:00,11,18.0,33.5,29.399846790149997,11.399846790149997,TT_DOWN
219083,北部空品區,觀音,2018-01-04 12:00:00,12,20.0,35.2,30.84513455612,10.845134556120001,TT_DOWN
219084,北部空品區,觀音,2018-01-04 13:00:00,13,24.0,35.2,30.84513455612,6.845134556120001,TT_DOWN
219085,北部空品區,觀音,2018-01-04 14:00:00,14,28.0,32.9,28.889745225689996,0.889745225689996,TT_DOWN
219086,北部空品區,觀音,2018-01-04 15:00:00,15,31.0,29.8,26.25422047598,-4.745779524020001,TT_DOWN
219087,北部空品區,觀音,2018-01-04 16:00:00,16,33.0,32.1,28.20960980641,-4.7903901935899995,TT_DOWN
219088,北部空品區,觀音,2018-01-04 17:00:00,17,33.0,30.5,26.84933896785,-6.150661032150001,TT_DOWN
219089,北部空品區,觀音,2018-01-04 18:00:00,18,32.0,25.2,22.34344181512,-9.656558184880002,TT_DOWN
219090,北部空品區,觀音,2018-01-04 19:00:00,19,31.0,28.0,24.7239157826,-6.276084217400001,TT_DOWN
219091,北部空品區,觀音,2018-01-04 20:00:00,20,30.0,27.9,24.638898855189996,-5.361101144810004,TT_DOWN
219092,北部空品區,觀音,2018-01-04 21:00:00,21,29.0,28.6,25.23401734706,-3.76598265294,TT_DOWN
219093,北部空品區,觀音,2018-01-04 22:00:00,22,29.0,27.3,24.12879729073,-4.871202709270001,TT_DOWN
219094,北部空品區,觀音,2018-01-04 23:00:00,23,29.0,29.3,25.82913583893,-3.17086416107,TT_DOWN
219095,北部空品區,觀音,2018-01-05 00:00:00,0,28.0,25.8,22.85354337958,-5.14645662042,TT_DOWN
219096,北部空品區,觀音,2018-01-05 01:00:00,1,27.0,26.1,23.10859416181,-3.89140583819,TT_DOWN
219097,北部空品區,觀音,2018-01-05 02:00:00,2,27.0,26.2,23.19361108922,-3.806388910780001,TT_DOWN
219098,北部空品區,觀音,2018-01-05 03:00:00,3,27.0,25.4,22.513475669939996,-4.4865243300600035,TT_DOWN
219099,北部空品區,觀音,2018-01-05 04:00:00,4,27.0,23.6,20.98317097656,-6.01682902344,TT_DOWN
219100,北部空品區,觀音,2018-01-05 05:00:00,5,26.0,23.5,20.898154049149998,-5.101845950850002,TT_DOWN
