,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
367846,中部空品區,豐原,2018-01-01 00:00:00,0,30.0,30.6,26.82577563396,-3.1742243660400007,TT_DOWN
367847,中部空品區,豐原,2018-01-01 01:00:00,1,30.0,28.1,24.95719479246,-5.042805207539999,TT_DOWN
367848,中部空品區,豐原,2018-01-01 02:00:00,2,30.0,28.7,25.405654194419995,-4.594345805580005,TT_DOWN
367849,中部空品區,豐原,2018-01-01 03:00:00,3,29.0,26.2,23.537073352919997,-5.462926647080003,TT_DOWN
367850,中部空品區,豐原,2018-01-01 04:00:00,4,29.0,24.9,22.56541131534,-6.43458868466,TT_DOWN
367851,中部空品區,豐原,2018-01-01 05:00:00,5,27.0,19.9,18.828249632339997,-8.171750367660003,TT_DOWN
367852,中部空品區,豐原,2018-01-01 06:00:00,6,26.0,15.3,15.39006088398,-10.60993911602,TT_DOWN
367853,中部空品區,豐原,2018-01-01 07:00:00,7,23.0,8.5,10.307520995099999,-12.692479004900001,TT_DOWN
367854,中部空品區,豐原,2018-01-01 08:00:00,8,20.0,8.8,10.53175069608,-9.46824930392,TT_DOWN
367855,中部空品區,豐原,2018-01-01 09:00:00,9,19.0,16.8,16.511209388879998,-2.4887906111200024,TT_DOWN
367856,中部空品區,豐原,2018-01-01 10:00:00,10,19.0,33.1,28.694356475459998,9.694356475459998,TT_DOWN
367857,中部空品區,豐原,2018-01-01 11:00:00,11,21.0,41.8,35.197017803879994,14.197017803879994,TT_DOWN
367858,中部空品區,豐原,2018-01-01 12:00:00,12,24.0,47.4,39.38263888883999,15.382638888839992,TT_DOWN
367859,中部空品區,豐原,2018-01-01 13:00:00,13,28.0,53.1,43.64300320746,15.643003207459998,TT_DOWN
367860,中部空品區,豐原,2018-01-01 14:00:00,14,33.0,57.1,46.632732553859995,13.632732553859995,TT_DOWN
367861,中部空品區,豐原,2018-01-01 15:00:00,15,39.0,53.3,43.79248967477999,4.792489674779993,TT_DOWN
367862,中部空品區,豐原,2018-01-01 16:00:00,16,44.0,49.0,40.5785306274,-3.4214693726000007,TT_DOWN
367863,中部空品區,豐原,2018-01-01 17:00:00,17,47.0,37.2,31.758829055520003,-15.241170944479997,TT_DOWN
367864,中部空品區,豐原,2018-01-01 18:00:00,18,46.0,29.4,25.928856830039997,-20.071143169960003,TT_DOWN
367865,中部空品區,豐原,2018-01-01 19:00:00,19,43.0,19.4,18.454533464039997,-24.545466535960003,TT_DOWN
367866,中部空品區,豐原,2018-01-01 20:00:00,20,39.0,16.7,16.436466155219996,-22.563533844780004,TT_DOWN
367867,中部空品區,豐原,2018-01-01 21:00:00,21,35.0,18.6,17.85658759476,-17.14341240524,TT_DOWN
367868,中部空品區,豐原,2018-01-01 22:00:00,22,30.0,18.4,17.707101127439998,-12.292898872560002,TT_DOWN
367869,中部空品區,豐原,2018-01-01 23:00:00,23,26.0,22.8,20.99580340848,-5.0041965915199995,TT_DOWN
367870,中部空品區,豐原,2018-01-02 00:00:00,0,23.0,22.4,20.696830473839995,-2.303169526160005,TT_DOWN
367871,中部空品區,豐原,2018-01-02 01:00:00,1,21.0,22.5,20.771573707499996,-0.22842629250000357,TT_DOWN
367872,中部空品區,豐原,2018-01-02 02:00:00,2,21.0,25.0,22.640154549000002,1.6401545490000018,TT_DOWN
367873,中部空品區,豐原,2018-01-02 03:00:00,3,21.0,24.2,22.042208679719998,1.042208679719998,TT_DOWN
367874,中部空品區,豐原,2018-01-02 04:00:00,4,22.0,20.7,19.42619550162,-2.5738044983799995,TT_DOWN
367875,中部空品區,豐原,2018-01-02 05:00:00,5,22.0,16.8,16.511209388879998,-5.488790611120002,TT_DOWN
367876,中部空品區,豐原,2018-01-02 06:00:00,6,21.0,14.4,14.717371781039999,-6.282628218960001,TT_DOWN
367877,中部空品區,豐原,2018-01-02 07:00:00,7,20.0,13.1,13.745709743459999,-6.254290256540001,TT_DOWN
367878,中部空品區,豐原,2018-01-02 08:00:00,8,19.0,12.8,13.52148004248,-5.47851995752,TT_DOWN
367879,中部空品區,豐原,2018-01-02 09:00:00,9,18.0,20.4,19.201965800639996,1.2019658006399965,TT_DOWN
367880,中部空品區,豐原,2018-01-02 10:00:00,10,20.0,35.8,30.71242378428,10.712423784279999,TT_DOWN
