,空品區,測站,日期,時間,移動平均,小時值,o3_8_hour_pred,o3_pred_error,check
648079,其他,金門,2018-01-01 00:00:00,0,49.0,55.3,48.225975353459994,-0.7740246465400062,TT_DOWN
648080,其他,金門,2018-01-01 01:00:00,1,50.0,53.7,46.83197645378,-3.168023546219999,TT_DOWN
648081,其他,金門,2018-01-01 02:00:00,2,51.0,52.5,45.78647727902,-5.213522720980002,TT_DOWN
648082,其他,金門,2018-01-01 03:00:00,3,51.0,50.9,44.39247837934,-6.607521620660002,TT_DOWN
648083,其他,金門,2018-01-01 04:00:00,4,51.0,47.5,41.43023071752,-9.569769282480003,TT_DOWN
648084,其他,金門,2018-01-01 05:00:00,5,51.0,46.6,40.646106336449996,-10.353893663550004,TT_DOWN
648085,其他,金門,2018-01-01 06:00:00,6,50.0,43.9,38.293733193239994,-11.706266806760006,TT_DOWN
648086,其他,金門,2018-01-01 07:00:00,7,49.0,45.1,39.339232368,-9.660767632000002,TT_DOWN
648087,其他,金門,2018-01-01 08:00:00,8,48.0,47.3,41.255980855059995,-6.744019144940005,TT_DOWN
648088,其他,金門,2018-01-01 09:00:00,9,48.0,50.0,43.60835399827,-4.3916460017300025,TT_DOWN
648089,其他,金門,2018-01-01 10:00:00,10,48.0,55.1,48.051725491,0.051725490999999124,TT_DOWN
648090,其他,金門,2018-01-01 11:00:00,11,50.0,61.3,53.453471227259996,3.453471227259996,TT_DOWN
648091,其他,金門,2018-01-01 12:00:00,12,52.0,64.8,56.50284382031,4.502843820309998,TT_DOWN
648092,其他,金門,2018-01-01 13:00:00,13,55.0,68.6,59.813591207049996,4.8135912070499955,TT_DOWN
648093,其他,金門,2018-01-01 14:00:00,14,58.0,70.1,61.120465175499994,3.1204651754999944,TT_DOWN
648094,其他,金門,2018-01-01 15:00:00,15,60.0,65.8,57.37409313260999,-2.6259068673900074,TT_DOWN
648095,其他,金門,2018-01-01 16:00:00,16,62.0,59.9,52.23372219004,-9.766277809960002,TT_DOWN
648096,其他,金門,2018-01-01 17:00:00,17,62.0,53.9,47.006226316239996,-14.993773683760004,TT_DOWN
648097,其他,金門,2018-01-01 18:00:00,18,62.0,49.4,43.08560441089,-18.91439558911,TT_DOWN
648098,其他,金門,2018-01-01 19:00:00,19,60.0,46.9,40.90748113014,-19.09251886986,TT_DOWN
648099,其他,金門,2018-01-01 20:00:00,20,58.0,46.1,40.2104816803,-17.7895183197,TT_DOWN
